   Abhinavagupta: Mālinīślokavārttika	ABinava-gupta: MAlinISloka-vArttika
   dvitīyaḥ kāṇḍaḥ	dvitIyaH kANxaH
   evaṃ maheśvaro devo viśvātmatvena saṃsthitaḥ	evam maheSvaraH devaH viSva-Atma-tvena saMsTitaH
   kramikajñānayogābhyāṃ dhāraṇābhir upāsyate // 2.1 //	kramika-jQAna-yogAByAm DAraNABiH upAsyate // 2.1 //
   tattvakramaṃ gatadvaitamalamāyādijālakam	tattva-kramam gata-dvEta-mala-mAyA-Adi-jAlakam
   aṣṭādaśe tat paṭale tattvaṃ samyag vibhāvyate // 2.2 //	azwAdaSe tat pawale tattvam samyak viBAvyate // 2.2 //
   prāṇāyāmādikaṃ yatra heyam ity eva varṇyate	prANAyAma-Adikam yatra heyam iti eva varNyate
   na hi tasya parāṃ vittiṃ prati kācid upāyatā // 2.3 //	na hi tasya parAm vittim prati kAcid upAya-tA // 2.3 //
   antaḥ saṃvidi yan nirūḍham abhitas tat prāṇadhīvigrahe	antar saMvidi yat nirUXam aBitas tat prANa-DI-vigrahe
   saṃcāryeta kathaṃ tatheti ghaṭatām abhyāsayogakramaḥ	saMcAryeta kaTam taTA-iti Gawa-tAm aByAsa-yoga-kramaH
   ye tv abhyāsapathena saṃvidam imāṃ saṃskartum abhyudyatās	ye tu aByAsa-paTena saMvidam imAm saMskartum aByudyata-as
   te kiṃ kutra kutaḥ kathaṃ vidadhatām ity atra saṃdihmahe // 2.4 //	te kim kutra kutas kaTam vidaDatAm iti atra saMdihmahe // 2.4 //
   abhyāso hi punaḥ punar arthaḥ so 'pi ca dikkālapratibhedāt	aByAsaH hi punar punar arTaH saH api ca diS-kAla-pratiBedAt-
   ābhāsetarayogasamuttho dehamanaḥprāṇākṣapathe syāt // 2.5 //	ABAsa-itara-yoga-samutTaH deha-manaH-prANa-akza-paTe syAt // 2.5 //
   prakāśaikaghane rūpe bhairavīye vivikṣavaḥ	prakASa-eka-Gane rUpe BEravIye vivikzavaH
   sakṛdvibhātavijñānaviśrāntyaiva susaṃsthitāḥ // 2.6 //	sakRt-viBAta-vijQAna-viSrAntyA-eva su-saMsTitAH // 2.6 //
   atraivātaḥ paraṃ proktam aṅgaṃ sarvopakāri yat	atra-eva-atas param proktam aFgam sarva-upakAri yat-
   dhāraṇā api taddvāraniścitāḥ syus tathātmikāḥ // 2.7 //	DAraNAH api tad-dvAra-niScitAH syuH taTA-AtmikAH // 2.7 //
   nanv apratiṣṭhe kas tarke samāśvāsaḥ prakalpyatām	nanu apratizWe kaH tarke samASvAsaH prakalpyatAm
   kiṃ vā na bhavatāṃ tādṛg apratiṣṭhāhataṃ vacaḥ // 2.8 //	kim vA na BavatAm tAdRS apratizWA-hatam vacaH // 2.8 //
   tathā hy āgama evaikaṃ pramāṇam iti niścitaiḥ	taTA hi AgamaH eva-ekam pramANam iti niScitEH
   tadviruddhāgamavrāte sati niścīyatāṃ katham // 2.9 //	tad-virudDa-Agama-vrAte sati niScIyatAm kaTam // 2.9 //
   mahājanaprasiddhis tu tatra prāmāṇyakāraṇam	mahA-jana-prasidDiH tu tatra prAmANya-kAraNam
   apratiṣṭhā tadviruddhamahājanasusaṃbhavāt // 2.10 //	apratizWA tad-virudDa-mahA-jana-su-saMBavAt // 2.10 //
   pratyakṣam api rucyādau dṛṣṭabādhakasaṃvidam	pratyakzam api ruci-AdO dRzwa-bADaka-saMvidam
   uttarottaravijñānānavasthābhājanaṃ nanu // 2.11 //	uttarottara-vijQAna-anavasTA-BAjanam nanu // 2.11 //
   svasaṃvid api tatraiva bādhiteti kathaṃ kila	sva-saMvid api tatra-eva bADitA-iti kaTam kila
   vyavahāram ayaṃ kuryād bhedasaṃdhānapaṇḍitaḥ // 2.12 //	vyavahAram ayam kuryAt Beda-saMDAna-paNxitaH // 2.12 //
   asmākaṃ tv apratiṣṭhānaṃ na kadācit kvacid bhavet	asmAkam tu apratizWAnam na kadAcid kvacid Bavet-
   yeṣāṃ sarvatra saṃpūrṇaḥ paro bhairavasāgaraḥ // 2.13 //	yezAm sarvatra saMpUrNaH paraH BErava-sAgaraH // 2.13 //
   viśeṣatas tu tarkasya tān praty evāpratiṣṭhatā	viSezataH tu tarkasya tAn prati eva-apratizWatA
   ye tarkārṇavatārāttaparamāmṛtasaṃvidaḥ // 2.14 //	ye tarka-arNava-tA-ArAt-ta-parama-amRta-saMvidaH // 2.14 //
   tathā hi sarve tarkāṃśā anāmṛṣṭasvasaṃvidaḥ	taTA hi sarve tarka-aMSAH anAmRzwa-sva-saMvidaH
   sarvatra paryantaphalaṃ na śivaṃ pratipedire // 2.15 //	sarvatra paryanta-Palam na Sivam pratipedire // 2.15 //
   abhedasāraḥ sarvo hi śāstrārthas tatprapattaye	aBeda-sAraH sarvaH hi SAstra-arTaH tad-prapattaye
   yas tatrodbhāvito bhedas tatra mūḍhadhiyo ratāḥ // 2.16 //	yaH tatra-udBAvitaH BedaH tatra mUXaDiyaH ratAH // 2.16 //
