   Adbhutadharmaparyāya	AdButa-Darma-paryAya
   [0] evaṃ mayā śrutam ekasmin samaye bhagavān śrāvastyāṃ viharati sma	[0] evam mayA Srutam ekasmin samaye BagavAn SrAvastyAm viharati sma
   veṇuvane kalandakanivāse.	veNu-vane kalandaka-nivAse.
   [1] athāyuṣmān ānandaḥ pūrvāhṇe nivāsya pātracīvaram ādāya rājagṛhaṃ	[1] aTa-AyuzmAn AnandaH pUrvAhNe nivAsya pAtra-cIvaram AdAya rAja-gRham
   piṇḍāya prāvikṣat. adrākṣīd āyuṣmān ānando rājagṛhe nagare sāvadānaṃ	piNxAya prAvikzat. adrAkzIt AyuzmAn AnandaH rAja-gRhe nagare sa-avadAnam
   piṇḍāya caramāṇo 'nyatamasmin pradeśe kūṭāgāram aśītidvāram	piNxAya caramANaH anyatamasmin pradeSe kUwAgAram aSIti-dvAram
   ulliptāvaliptam ucchṛtadhvajapatākam āmuktapaṭṭadāmakalāpam. dṛṣṭvā ca	ullipta-avaliptam ucCRta-Dvaja-patAkam Amukta-pawwa-dAma-kalApam. dRzwvA ca
   punas tasyaitad abhavat. yaḥ kaścic chrāddhaḥ kulaputro vā kuladuhitā vā	punar tasya-etat aBavat. yaH kaScid SrAdDaH kula-putraH vA kula-duhitA vA
   īdṛśaṃ kūṭāgāraṃ kārayitvā caturdiśe bhikṣusaṃghe niryātayed yo vā	IdRSam kUwAgAram kArayitvA caturdiSe Bikzu-saMGe niryAtayet yaH vA
   tathāgatasyārhatḥ samyaksaṃbuddhasyāmalakapramāṇaṃ stūpaṃ pratiṣṭhāpayet	taTAgatasya-arhatH samyaksaMbudDasya-Amalaka-pramANam stUpam pratizWApayet-
   sūcīmātrāṃ yaṣṭim āropayed badarīpatramātraṃ cchatraṃ yavaphalapramāṇāṃ	sUcI-mAtrAm yazwim Aropayet badarI-patra-mAtram cCatram yava-Pala-pramANAm
   pratimāṃ kārayet sarṣaphalapramāṇaṃ dhātuṃ pratiṣṭhāpayet tat katamaṃ	pratimAm kArayet sarza-Pala-pramANam DAtum pratizWApayet tat katamam
   tataḥ prabhūtataraṃ puṇyaṃ syāt? athāyuṣmata ānandasyaitad abhavat. śāstā	tatas praBUtataram puNyam syAt? aTa-AyuzmataH Anandasya-etat aBavat. SAstA
   me saṃmukhībhūtaḥ sugato me saṃmukhībhūtaḥ. yaṇv aham etam evārthaṃ	me saMmuKIBUtaH sugataH me saMmuKIBUtaH. yaNu aham etam eva-arTam
   bhagavata ārocayeyaṃ yathā me sa bhagavāṃ vyākariṣyati tathāhaṃ	BagavataH Arocayeyam yaTA me sa BagavAm vyAkarizyati taTA-aham
   dhārayiṣyāmīty.	DArayizyAmi-iti-.
   [2] athāyuṣmān ānando rājagṛhe nagare sāvadānaṃ piṇḍāya caritvā	[2] aTa-AyuzmAn AnandaH rAja-gRhe nagare sa-avadAnam piNxAya caritvA
   kṛtabhaktakṛtya paścādbhaktapiṇḍapātapratikrāntaḥ pātracīvaraṃ	kRta-Bakta-kRtya paScAt-Bakta-piNxa-pAta-pratikrAntaH pAtra-cIvaram
   pratiśamayya pādau prakṣālya yena bhagavāṃs tenopasaṃkrānta upasaṃkramya	pratiSamayya pAdO prakzAlya yena BagavAn tena-upasaMkrAntaH upasaMkramya
   bhagavataḥ pādau śirasā vanditvaikānte 'sthāt. ekāntasthita āyuṣmān ānando	BagavataH pAdO SirasA vanditvA-ekAnte asTAt. ekAnta-sTitaH AyuzmAn AnandaH-
   bhagavantam idam avocat. ihāhaṃ bhadanta pūrvāhṇe nivāsya pātracīvaram	Bagavantam idam avocat. iha-aham Badanta pUrvAhNe nivAsya pAtra-cIvaram
   ādāya rājagṛhaṃ piṇḍāya prāvikṣaṃ. so 'ham adrākṣam rājagṛhe nagare	AdAya rAjagRham piNxAya prAvikzaM. saH aham adrAkzam rAja-gRhe nagare
   sāvadānaṃ piṇḍāya caramāṇo 'nyatamasmin pradeśe kūṭāgāram aśītidvāram	sa-avadAnam piNxAya caramANaH anyatamasmin pradeSe kUwAgAram aSIti-dvAram
   ulliptāvaliptam ucchṛtadhvajapatākam āmuktapaṭṭadāmakalāpaṃ ca dṛṣṭvā ca	ullipta-avaliptam ucCRta-Dvaja-patAkam Amukta-pawwa-dAma-kalApam ca dRzwvA ca
   punar me etad abhavat. yaḥ kaścic chrāddhaḥ kulaputro vā kuladuhitā vā	punar me etat aBavat. yaH kaScid SrAdDaH kula-putraH vA kula-duhitA vA
   īdṛśaṃ kūṭāgāraṃ caturdiśe bhikṣusaṃghe niryātayed yo vā tathāgatasyārhatḥ	IdRSam kUwAgAram caturdiSe Bikzu-saMGe niryAtayet yaH vA taTAgatasya-arhatH
   samyaksaṃbuddhasya parinirvṛtasya mṛttikāpiṇḍād āmalakapramāṇaṃ stūpaṃ	samyaksaMbudDasya parinirvRtasya mRttikA-piNxAt Amalaka-pramANam stUpam
   pratiṣṭhāpayet sūcīmātrāṃ yaṣṭim āropayed badarīpatramātraṃ cchatraṃ	pratizWApayet sUcI-mAtrAm yazwim Aropayet badarI-patra-mAtram cCatram
   yavaphalapramāṇāṃ pratimāṃ kārayet sarṣaphalapramāṇaṃ dhātuṃ	yava-Pala-pramANAm pratimAm kArayet sarza-Pala-pramANam DAtum
   pratiṣṭhāpayet tat katamaṃ tataḥ prabhūtataraṃ puṇyaṃ syāt? tasya mamaitad	pratizWApayet tat katamam tatas praBUtataram puNyam syAt? tasya mama-etat-
   abhavat. śāstā me saṃmukhībhūtaḥ sugato me saṃmukhībhūtaḥ. yanv aham etam	aBavat. SAstA me saMmuKIBUtaH sugataH me saMmuKIBUtaH. yanu aham etam
   evārthaṃ bhagavata ārocayeyaṃ yathā bhagavāṃ vyākariṣyati tathāhaṃ	eva-arTam BagavataH Arocayeyam yaTA BagavAm vyAkarizyati taTA-aham
   dhārayiṣyāmīty.	DArayizyAmi-iti-.
   [3] evam ukte bhagavān āyuṣmantam ānanda, idam avocat. sādhu sādhv ānanda	[3] evam ukte BagavAn Ayuzmantam Ananda, idam avocat. sADu sADu Ananda
   bahujanahitāya tvam ānanda pratipanno ca bahujanasukhāya lokānukampāyai	bahu-jana-hitAya tvam Ananda pratipannaH ca bahu-jana-suKAya loka-anukampAyE
   arthāya hitāya sukhāya devamanuṣyāṇāṃ yas tvaṃ tathāgatam etam evārthaṃ	arTAya hitAya suKAya deva-manuzyANAm yaH tvam taTAgatam etam eva-arTam
   paripraṣṭavyaṃ manyase. tena hy ānanda śṛṇu sādhu ca suṣṭhu ca manasikuru,	pariprazwavyam manyase. tena hi Ananda SRNu sADu ca suzWu ca manasikuru,
   bhāṣiṣye. jambūdvīpo hy ānanda dvīpaḥ saptayojanasahasrāṇy āyāmavistāreṇa	BAzizye. jambUdvIpaH hi Ananda dvIpaH sapta-yojana-sahasrANi AyAma-vistAreNa
   uttaraviśālo dakṣiṇena śakaṭāmukhaḥ tam enam kāscic chrāddhaḥ kulaputro vā	uttara-viSAlaH dakziNena SakawAmuKaH tam enam kAscid SrAdDaH kula-putraH vA
