   caturtha uddyotaḥ	caturTaH uddyotaH
   caturtha uddyotaḥ evaṃ dhvaniṃ saprapañcaṃ vipratipattinirāsārthaṃ	caturTaH uddyotaH evam Dvanim sa-prapaQcam vipratipatti-nirAsa-arTam
   vyutpādya tadvyutpādane locanam caturtha uddyotaḥ kṛtyapañcakanirvāhayoge	vyutpAdya tad-vyutpAdane locanam caturTaH uddyotaH kRtya-paQcaka-nirvAha-yoge
   'pi parameśvaraḥ /	api parameSvaraH /
   nānyopakaraṇāpekṣo yayā tāṃ naumi śāṅkarīm // //	na-anya-upakaraNa-apekzaH yayA tAm nOmi SAFkarIm // //
   udyotāntarasaṅgatiṃ viracayituṃ vṛtikāra āha---evamiti /	udyota-antara-saFgatim viracayitum vRti-kAraH Aha---evam-iti /
   prayojanāntaramiti /	prayojana-antaram-iti /
   yadyapi 'sahadayamanaḥprītaya' ityanena prayojanaṃ prāgevoktaṃ,	yadi-api asahat-aya-manaH-prItaya-a iti-anena prayojanam prAk-eva-uktaM,
   tṛtīyodyotāvadhau ca satkāvyaṃ kartuṃ vā jñātuṃ veti tadeveṣatsphuṭīkṛtaṃ,	tRtIya-udyota-avaDO ca sat-kAvyam kartum vA jQAtum vA-iti tat-eva-Izat-sPuwIkRtaM,
   tathāpi sphuṭatarīkartumidānīṃ yatnaḥ /	taTA-api sPuwatarIkartum-idAnIm yatnaH /
   yatassuspaṣṭarūpatvena vijñāyate, ato	yatas-su-spazwa-rUpa-tvena vijQAyate, atas-
   'spaṣṭanirūpitātspaṣṭanirūpaṇamanyathaiva pratibhātīti	aspazwa-nirUpitAt-spazwa-nirUpaNam-anyaTA-eva pratiBAti-iti
   prayojanāntaramityuktam /	prayojana-antaram-iti-uktam /
   athavā pūrvoktayoḥ prayojanayorantaraṃ viśeṣo 'bhidhīyate; kena viśeṣeṇa	aTavA pUrva-uktayoH prayojanayoH-antaram viSezaH aBiDIyate; kena viSezeNa
   satkāvyakaraṇamasya prayojanaṃ, kena ca satkāvyabodha iti viśeṣo nirūpyate	satkAvya-karaNam-asya prayojanaM, kena ca sat-kAvya-boDaH iti viSezaH nirUpyate
   bālapriyā atha caturthodyotaṭippaṇī prārabhyate arthodyotaṃ caturthe ca	bAla-priyA aTa caturTa-udyota-wippaNI prAraByate arTa-udyotam caturTe ca
   locanasya yathāmati /	locanasya yaTAmati /
   kimapi vyākariṣyāmi prasīdantvatra me budhāḥ // //	kim-api vyAkarizyAmi prasIdantu-atra me buDAH // //
   kṛtyeti /	kRtyA-iti /
   kṛtyapañcakaṃ sṛṣṭyādirūpam /	kRtya-paQcakam sRzwi-Adi-rUpam /
   yathoktaṃ---"pañcavidhaṃ tatkṛtyaṃ sṛṣṭisthitisaṃhāratirobhāvaḥ	yaToktaM---"-paQcaviDam tat-kRtyam sRzwi-sTiti-saMhAra-tiroBAvaH
   tadvadanugrahakaraṇaṃ proktaṃ satatoditasyāsya" iti /	tadvat-anugraha-karaNam proktam satata-uditasya-Asya" iti /
   yayā māyārūpayā hetunā /	yayA mAyA-rUpayA hetunA /
   nānyopakaraṇāpekṣa iti sambandhaḥ /	na-anya-upakaraNa-apekzaH iti sambanDaH /
   māyārūpāṃ yāmevāpekṣamāṇaḥ sṛṣṭyādikaṃ nirvahatītyarthaḥ /	mAyA-rUpAm yAm-eva-apekzamANaH sRzwi-Adikam nirvahati-iti-arTaH /
   udyotāntarasaṅgatimiti /	udyota-antara-saFgatim-iti /
   tṛtīyodyotena saha caturthodyotasya saṅgatimityarthaḥ /	tRtIyaH-dyotena saha caturTa-udyotasya saFgatim-iti-arTaH /
   pūrvoktasyaiva prayojanasya vakṣyamāṇatvāt	pUrva-uktasya-eva prayojanasya vakzyamANa-tvAt-
   prayojanāntaramityuktirayuktetyāśaṅkya samādhatte--yadyapītyādi /	prayojana-antaram-iti-uktiH-ayuktA-iti-ASaFkya samADatte--yadi-api-ityAdi /
   nanu prītirūpaprayojanasyoktatve 'pi vakṣyamāṇaṃ tadanyadevetyata	nanu prIti-rUpa-prayojanasya-ukta-tve api vakzyamANam tat-anyat-eva-ityata
   āha--tṛtīyetyādi /	Aha--tRtIya-ityAdi /
   tadeveti /	tat-eva-iti /
   prayojanamevetyarthaḥ /	prayojanam-eva-iti-arTaH /
   sphuṭatarīkartumiti /	sPuwatarIkartum-iti /
   tadevetyanuṣajyate /	tat-eva-iti-anuzajyate /
   vijñāyata iti /	vijQAyate iti /
   vakṣyamāṇamiti śeṣaḥ /	vakzyamANam-iti SezaH /
   tataḥ kimata āha--ata ityādi /	tatas kim-atas Aha--ate ityAdi /
   aspaṣṭanirūpitāditi /	aspazwa-nirUpitAt-iti /
   prayojanāditi śeṣaḥ /	prayojanAt-iti SezaH /
   satkāvyaṃ kartuṃ vā jñātuṃ vā samyagabhiyuktaiḥ sadbhiḥ dhvaniḥ prayatnato	sat-kAvyam kartum vA jQAtum vA samyak-aBiyuktEH sadBiH DvaniH prayatnataH-
   vivecya ityuktyā satkāvyakaraṇajñānayoḥ	vivecya iti-uktyA satkAvya-karaNa-jQAnayoH
   dhvanivivecanaprayojanatvamarthāllabhyata	Dvani-vivecana-prayojana-tvam-arTAt-laByata
   ityatastatprayojanamaspaṣṭanirūpitamityarthaḥ /	iti-atas-tad-prayojanam-aspazwa-nirUpitam-iti-arTaH /
   spaṣṭanirūpaṇamiti /	spazwa-nirUpaNam-iti /
   spaṣṭamuktamityarthaḥ /	spazwam-uktam-iti-arTaH /
   prakārāntareṇa vyācaṣṭe--athavetyādi /	prakAra-antareNa vyAcazwe--aTavA-ityAdi /
   uktasyaiva vivaraṇam--kena viśeṣeṇetyādi /	uktasya-eva vivaraNam---kena viSezeNa-ityAdi /
   asyeti /	asya-iti /
   dhvanivyutpādanasyetyarthaḥ /	Dvani-vyutpAdanasya-iti-arTaH /
   prayojanāntaramucyate--	prayojana-antaram-ucyate--
   dhvaner yaḥ saguṇī-bhūta-vyaṅgyasyādhvā pradarśitaḥ /	DvaneH yaH sa-guNI--BUta-vyaFgyasya-aDvA pradarSitaH /
   anenānantyam āyāti kavīnāṃ pratibhā-guṇaḥ // DhvK_4.1 //	anena-Anantyam AyAti kavInAm pratiBA--guNaH // DhvK_4.1 //
   dhvaneryaḥ saguṇībhūtavyaṅgyasyādhvā pradarśitaḥ /	DvaneH-yaH sa-guNIBUta-vyaFgyasya-aDvA pradarSitaH /
   anenānantyamāyāti kavīnāṃ pratibhāguṇaḥ // 1 //	anena-Anantyam-AyAti kavInAm pratiBA-guNaH // 1 //
   ya eṣa dhvanerguṇabhūtavyaṅgyasya ca mārgaḥ prakāśitastasya phalāntaraṃ	yaH eza DvaneH-guNa-BUta-vyaFgyasya ca mArgaH prakASitaH-tasya Pala-antaram
   kavipratibhānantyam /	kavi-pratiBA-Anantyam /
   kathamiti cet---	kaTam-iti cet---
   ato hy anyatamenāpi prakāreṇa vibhūṣitā /	atas hi anyatamena-api prakAreNa viBUzitA /
   vāṇī navatvam āyāti pūrvārthānvayavaty api // DhvK_4.2 //	vANI nava-tvam AyAti pUrva-arTa-anvayavatI api // DhvK_4.2 //
   ato hyanyatamenāpi prakāreṇa vibhūṣitā /	atas hi-anyatamena-api prakAreNa viBUzitA /
