   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   āṅgirasasmṛtiḥ	AFgirasa-smRtiH
   pūrvāṅgirasam	pUrva-aFgirasam
   pāvakapratimaṃ sākṣān $ munimāṅgirasaṃ dvijāḥ &	pAvaka-pratimam sAkzAn $ munim-AFgirasam dvijAH &
   brūhi dharmānaśeṣānnaṃ % ityūcuḥ praṇipatya tam // Ang_1.1 //	brUhi DarmAn-aSeza-annam % iti-UcuH praNipatya tam // Ank-_1.1 //
   tebhyaḥ sa tu tataḥ prītyā $ śṛṇudhvamiti cāphaṇat &	teByaH sa tu tatas prItyA $ SRNuDvam-iti ca-aPaNat &
   vacmi tānakhilān dharmān % vaidikān muktaye parān // Ang_1.2 //	vacmi tAn-aKilAn DarmAn % vEdikAn muktaye parAn // Ank-_1.2 //
   dharmaḥ syāccodanā proktas $ tadanyastūpacārataḥ &	DarmaH syAt-codanA proktaH $ tad-anyaH-tu-upacArataH &
   liṅādirūpā sā jñeyā % muktidā śruticoditā // Ang_1.3 //	liFA-Adi-rUpA sA jQeyA % mukti-dA Sruti-coditAH // Ank-_1.3 //
   śrutyuktaliṅloṭtavyapra- $ tyayalakṣaṇalakṣitā &	Sruti-ukta-liFlowtavya-pra $ tyaya-lakzaNa-lakzitA &
   codanā saiva nānyā sā % purāṇasmṛticoditā // Ang_1.4 //	codanA sA-eva na-anyA sA % purANa-smRti-coditAH // Ank-_1.4 //
   purāṇoktaṃ na kuryāt	purANa-uktam na kuryAt-
   na vaidikaḥ purāṇoktaiḥ $ karmāṇi manubhiścaret &	na vEdikaH purANa-uktEH $ karmANi manuBiH-caret &
   vedoktaireva tairmantrair % nikhilāni samācaret // Ang_1.5 //	veda-uktEH-eva tEH-mantrEH % niKilAni samAcaret // Ank-_1.5 //
   karmamadhye purāṇokta- $ mantroccāraṇamātrataḥ &	karma-maDye purANa-ukta $ mantra-uccAraNa-mAtrataH &
   naśyettu vaidikaṃ karma % tasmāttu na tathā '; 'caret // Ang_1.6 //	naSyet-tu vEdikam karma % tasmAt-tu na taTA a; acaret // Ank-_1.6 //
   purāṇokteṣveṣu satsu $ laukikeṣu tathā '; 'caret &	purANa-uktezu-ezu satsu $ lOkikezu taTA a; acaret &
   mantrābhāve vyāhṛtayaḥ	mantra-aBAve vyAhRtayaH
   mantrābhāve tu sarvatra % smṛtā vyāhṛtayaḥ kila // Ang_1.7 //	mantra-aBAve tu sarvatra % smRtAH vyAhRtayaH kila // Ank-_1.7 //
   anvaye liṅgato 'rthādvā $ virodhābhāvataḥ pare &	anvaye liFgataH arTAt-vA $ viroDa-aBAvataH pare &
   tattanmantrā saṃbhavanti % teṣu teṣu tu karmasu // Ang_1.8 //	tad-tad-mantrAH saMBavanti % tezu tezu tu karmasu // Ank-_1.8 //
   prāyaścittaṃ dṛśyate naṃ $ yatra kutrāpi tatra vai &	prAyaScittam dRSyate nam $ yatra kutra-api tatra vE &
   tasyaitatkathitaṃ divyaṃ % prāyaścittaṃ mahattaram // Ang_1.9 //	tasya-etat-kaTitam divyam % prAyaScittam mahattaram // Ank-_1.9 //
   puṇyā vyāhṛtayaśceti $ sā ṛgvā vaiṣṇavī śivā &	puNyAH vyAhRtayaH-ca-iti $ sA Rc-vA vEzNavI SivAH &
   sarvapāpapraśamanī % cintitārthaikadāyinī // Ang_1.10 //	sarva-pApa-praSamanI % cintita-arTa-eka-dAyinI // Ank-_1.10 //
   prāyaścittakriyāhetor $ nirṇītā viṣṇunā purā &	prAyaScitta-kriyA-hetoH $ nirNItA vizNunA purA &
   na vyāhṛtisamo mantro % na vyāhṛtisamo japaḥ // Ang_1.11 //	na vyAhRti-samaH mantraH % na vyAhRti-samaH japaH // Ank-_1.11 //
   na vyāhṛtisamastīrtho $ na vyāhatisamaṃ tapaḥ &	na vyAhRti-samaH-tIrTaH $ na vyAhati-samam tapaH &
   na vyāhatisamo yajño % na vyāhṛtisamāḥ kriyāḥ // Ang_1.12 //	na vyAhati-samaH yajQaH % na vyAhRti-samAH kriyAH // Ank-_1.12 //
   tasmātsarvatra tā dṛṣṭāḥ $ prāyaścittāya kevalam &	tasmAt-sarvatra tAH dRzwAH $ prAyaScittAya kevalam &
   tasmādvaidikakṛtyānāṃ % laukikānāmaśeṣataḥ // Ang_1.13 //	tasmAt-vEdika-kRtyAnAm % lOkikAnAm-aSezatas // Ank-_1.13 //
   pramādākaraṇe kṛtsne $ tattyāge buddhipūrvake &	pramAda-akaraNe kRtsne $ tad-tyAge budDi-pUrvake &
   ajñānināṃ jñānināṃ ca % pāvakāstārakāḥ parāḥ // Ang_1.14 //	ajQAninAm jQAninAm ca % pAvakAH-tArakAH parAH // Ank-_1.14 //
   uttārakā vyāhṛtayo $ ṛcā yuktāstayā punaḥ &	uttArakAH vyAhRtayaH $ RcA yuktAH-tayA punar &
   jātakarmādyatikrame	jAtakarma-Adi-atikrame
   karmaṇo 'karaṇe jāta- % nāmnorvyāhatayaḥ smṛtāḥ // Ang_1.15 //	karmaNaH akaraNe jAta % nAmnoH-vyAhatayaH smRtAH // Ank-_1.15 //
   dinaikasādhyāḥ kathitās $ tathā nāmākhyakarmaṇaḥ &	dina-eka-sADyAH kaTitAH $ taTA nAma-AKya-karmaNaH &
   tathānnaprāśanasyāpi % caulasyākaraṇe tataḥ // Ang_1.16 //	taTA-annaprASanasya-api % cOlasya-akaraNe tatas // Ank-_1.16 //
   divasadvayasādhyā yāḥ $ parā vyāhṛtayaḥ smṛtāḥ &	divasa-dvaya-sADyAH yAH $ parAH vyAhRtayaH smRtAH &
   paścānmauñjī prakartavyā % mauñjyāstvakaraṇe tathā // Ang_1.17 //	paScAt-mOQjI prakartavyA % mOQjyAH-tu-akaraNe taTA // Ank-_1.17 //
   mukhyakāle ṣoḍaśābda- $ paryantaṃ daśamāditaḥ &	muKya-kAle zoxaSa-abda $ paryantam daSam-Aditas &
   dinatrayacatuṣpañca- % ṣaṭsaptāṣṭanavādikāḥ // Ang_1.18 //	dina-traya-catuzpaQca % zaz-sapta-azwana-vAdikAH // Ank-_1.18 //
   rātrayaḥ kathitāstasya $ tajjapastasya niṣkṛtiḥ &	rAtrayaH kaTitAH-tasya $ tad-japaH-tasya nizkRtiH &
   kimanyeṣāṃ karmaṇāṃ tu % yasya nāsti hi niṣkṛtiḥ // Ang_1.19 //	kim-anyezAm karmaNAm tu % yasya na-asti hi nizkRtiH // Ank-_1.19 //
   tasyaitāḥ kathitāḥ sadbhiḥ $ satataṃ vedavādibhiḥ &	tasya-etAH kaTitAH sadBiH $ satatam veda-vAdiBiH &
   japtvaitā vyāhṛtīrdivyāḥ % prāyaścittāya kevalam // Ang_1.20 //	japtvA-etAH vyAhRtIH-divyAH % prAyaScittAya kevalam // Ank-_1.20 //
   (paripūtāḥ) tataḥ sadyas $ tattatkarma samārabhet &	(paripUtAH) tatas sadyas $ tat-tat-karma samAraBet &
   pākārambhasamārambhaḥ % śrāddhamātrasya saṃtatam // Ang_1.21 //	pAka-AramBa-samAramBaH % SrAdDa-mAtrasya saMtatam // Ank-_1.21 //
   prabhaveddhi viśeṣeṇa $ saṃkalpastu na tasya vai &	praBavet-hi viSezeNa $ saMkalpaH-tu na tasya vE &
   śrāddhapākānantaramāśaucaṃ yadi	SrAdDa-pAka-anantaram-ASOcam yadi
   yadi daivādyatnamadhye % bhavetsūtakamṛtvijām // Ang_1.22 //	yadi dEvAt-yatna-maDye % Bavet-sUtakam-RtvijAm // Ank-_1.22 //
   tatkriyākaraṇe tattu $ na teṣāṃ vārakaṃ bhavet &	tad-kriyA-karaNe tat-tu $ na tezAm vArakam Bavet &
   tatkriyārthaṃ prathamataḥ % snātvā samyak samantrakam // Ang_1.23 //	tad-kriyA-arTam praTamatas % snAtvA samyak sa-mantrakam // Ank-_1.23 //
