   oṃ namaścidātmaparamārthavapuṣe //	om namaH-cidAtma-parama-arTa-vapuze //
   atha	aTa
   paramārthasāraḥ	parama-arTa-sAraH
   śrīmanmahāmāheśvarācāryavaryaśrīmadabhinavaguptācāryaviracitaḥ /	SrImat-mahA-mAheSvara-AcArya-varya-SrImat-aBinavagupta-AcArya-viracitaH /
   śrīmadyogarājācāryakṛtavivṛtyupetaḥ /	SrImat-yoga-rAja-AcArya-kRta-vivRti-upetaH /
   cidghano 'pi jaganmūrtyā śyāno yaḥ sa jayatyajaḥ /	cit-GanaH api jagat-mUrtyA SyAnaH yaH sa jayati-ajaH /
   svātmapracchādanakrīḍāvidagdhaḥ parameśvaraḥ // 1 //	sva-Atma-pracCAdana-krIxA-vidagDaH parameSvaraH // 1 //
   yo 'yaṃ vyadhāyi guruṇā yuktyā paramārthasārasaṃkṣepaḥ /	yaH ayam vyaDAyi guruNA yuktyA parama-arTa-sAra-saMkzepaH /
   vivṛtiṃ karomi laghvīmasminvidvajjanārthito yogaḥ // 2 //	vivRtim karomi laGvIm-asmin-vidvat-jana-arTitaH yogaH // 2 //
   iha śivādvayaśāsane	iha SivA-dvaya-SAsane
   dehādipramātṛtāprādhānyasvasaṃkalpasamutthaśaṅkātaṅkālasyasaṃśayādirūpavighnaughaprasarapradhvaṃsapūrvikāṃ	deha-Adi-pramAtR-tA-prADAnya-sva-saMkalpa-samutTa-SaFkA-taFka-Alasya-saMSaya-Adi-rUpa-viGna-oGa-prasara-praDvaMsa-pUrvikAm
   śāstraniṣpattiṃ manyamānaḥ parimitapramātṛtādhaspadīkāreṇa	SAstra-nizpattim manyamAnaH parimita-pramAtR-ta-aDaspadIkAreNa
   cidānandaikaghanasvātmadevatāsamāveśaśālinīṃ	cit-Ananda-eka-Gana-sva-Atma-devatA-samAveSa-SAlinIm
   samastaśāstrārthasaṃkṣepagarbhāṃ prathamatastāvatparameśvarapravaṇatāṃ	samasta-SAstra-arTa-saMkzepa-garBAm praTamatas-tAvat-parameSvara-pravaNa-tAm
   parāmṛśati /	parAmRSati /
   paraṃ parasthaṃ gahanādanādimekaṃ niviṣṭaṃ bahudhā guhāsu /	param para-sTam gahanAt-anAdim-ekam nivizwam bahuDA guhAsu /
   sarvālayaṃ sarvacarācarasthaṃ tvāmeva śaṃbhuṃ śaraṇaṃ prapadye // 1 //	sarva-Alayam sarva-carAcara-sTam tvAm-eva SaMBum SaraNam prapadye // 1 //
   tvām sarvapramātṛsphurattāsāraṃ svātmadevatārūpameva śaṃbhum	tvAm sarva-pramAtR-sPurat-tA-sAram sva-Atma-devatA-rUpam-eva SaMBum
   anuttaraśreyaḥsvabhāvaṃ sattātmakam śaraṇam trātāraṃ	anuttara-SreyaH-svaBAvam sattA-Atmakam SaraNam trAtAram
   tvatsamāveśasamāpattaye saṃśraye / evakāraḥ śaṃbhuṃ svātmadevatākārameva	tvad-samAveSa-samApattaye saMSraye / eva-kAraH SaMBum sva-Atma-devatA-AkAram-eva
   prapadye na punarmāyāntaścāriṇaṃ kañcidbhinnaṃ devamityanyayogaṃ	prapadye na punar-mAyA-antar-cAriNam kaQcid-Binnam devam-iti-anya-yogam
   vyavacchinatti / anyacca kiṃbhūtam param pūrṇaṃ	vyavacCinatti / anyat-ca kiMBUtam param pUrNam
   cidānandecchājñānakriyāśaktinirbharamanuttarasvarūpaṃ tathā parasthaṃ	cit-Ananda-icCA-jQAna-kriyA-Sakti-nirBaram-anuttara-svarUpam taTA para-sTam
   gahanāt iti gahanānmāyābhidhānāttattvātparasminpūrṇa eva	gahanAt iti gahanAt-mAyA-aBiDAnAt-tattvAt-parasmin-pUrNaH eva
   śivādividyātattvaparyante śuddhādhvani svarūpe tiṣṭhantaṃ na	Siva-Adi-vidyA-tattva-paryante SudDa-aDvani svarUpe tizWantam na
   punastattadavasthāvaicitryeṇāpi sphuratastataḥ parasmātpūrṇātsvarūpāttasya	punar-tad-tad-avasTA-vEcitryeNa-api sPurataH-tatas parasmAt-pUrNAt-sva-rUpAt-tasya
   pracyāvo bhavati / yaduktam	pracyAvaH Bavati / yat-uktam
