   āpastambaśulbasūtraṃ	Apastamba-Sulba-sUtram
   vihārayogān vyākhyāsyāmaḥ || ĀpŚus_1.1 ||	vihAra-yogAn vyAKyAsyAmaH || ĀpŚuH-_1.1 ||
   yāvadāyāmaṃ pramāṇam || ĀpŚus_1.2a ||	yAvat-AyAmam pramANam || ĀpŚuH-_1.2aH ||
   tadardhamabhyasyāparasmiṃstṛtīye ṣaḍbhāgone lakṣaṇaṃ karoti || ĀpŚus_1.2b	tad-arDam-aByasya-aparasmin=-tRtIye zaz-BAga-Une lakzaNam karoti || ĀpŚuH-_1.2b
   pṛṣṭhyāntayorantau niyamya lakṣaṇena dakṣiṇāpāyamya nimitaṃ karoti ||	pRzWyA-antayoH-antO niyamya lakzaNena dakziNA-apAyamya nimitam karoti ||
   ĀpŚus_1.2c ||	ĀpŚuH-_1.2t ||
   evamuttarato viparyasyetarataḥ sa samādhiḥ || ĀpŚus_1.2d ||	evam-uttaratas viparyasya-itarataH sa samADiH || ĀpŚuH-_1.2d ||
   tannimitto nirhrāso vivṛddhirvā || ĀpŚus_1.2e ||	tad-nimittaH nirhrAsaH vivRdDiH-vA || ĀpŚuH-_1.2e ||
   āyāmaṃ vābhyasyāgantucaturtham āyāmaścākṣṇayā rajjus tiryaṅbhānīśeṣaḥ |	AyAmam vA-aByasya-Agantu-caturTam AyAmaH-ca-akzNayA rajjuH tiryaFBAni-ISezaH |
   vyākhyātaṃ viharaṇam || ĀpŚus_1.3a ||	vyAKyAtam viharaNam || ĀpŚuH-_1.3aH ||
   dīrghasyākṣṇayārajjuḥ pārśvamānī tiryaṅmānī ca yat pṛthagbhute kurutas tad	dIrGasya-akzNayA-rajjuH pArSva-mAnI tiryak-mAnI ca yat pRTak-Bute kurutaH tat-
   ubhayaṃ karoti || ĀpŚus_1.4a ||	uBayam karoti || ĀpŚuH-_1.4aH ||
   tābhir jñeyābhir uktaṃ viharaṇam || ĀpŚus_1.4b ||	tABiH jQeyABiH uktam viharaNam || ĀpŚuH-_1.4B ||
   caturaśrasyākṣṇayārajjurdvistavatīṃ bhūmiṃ karoti | samasya dvikaraṇī ||	caturaSrasya-akzNayA-rajjuH-dvis-tavatIm BUmim karoti | samasya dvi-karaNI ||
   ĀpŚus_1.5 ||	ĀpŚuH-_1.5 ||
   pramāṇaṃ tṛtīyena vardhayet tac caturthenātmacatustriṃśonena saviśeṣaḥ ||	pramANam tRtIyena varDayet tat caturTena-Atma-catustriMSa-Unena sa-viSezaH ||
   ĀpŚus_1.6 ||	ĀpŚuH-_1.6 ||
   athāparam || ĀpŚus_1.7a ||	aTa-aparam || ĀpŚuH-_1.7aH ||
   pramāṇamātrīṃ rajjum ubhayataḥ pāśāṃ karoti || ĀpŚus_1.7b ||	pramANa-mAtrIm rajjum uBayatas pASAm karoti || ĀpŚuH-_1.7B ||
   madhye lakṣaṇam ardhamadhyamayoś ca pṛṣṭhyāyāṃ rajjum āyamya	maDye lakzaNam arDa-maDyamayoH ca pRzWyAyAm rajjum Ayamya
   pāśayorlakṣaṇeṣviti śaṅkūn nihaty upāntyayoḥ pāśau pratimucya madhyamena	pASayoH-lakzaNezu-iti SaFkUn nihati upAntyayoH pASO pratimucya maDyamena
   lakṣaṇena dakṣiṇāpāyamya śaṅkuṃ nimittaṃ karoti | madhyame pāśau	lakzaNena dakziNA-apAyamya SaFkum nimittam karoti | maDyame pASO
   pratimucya, uparyupari nimittaṃ madhyamena lakṣaṇena dakṣiṇamaṃsam	pratimucya, upari-upari nimittam maDyamena lakzaNena dakziNam-aMsam
   āyacchet | unmucya pūrvasmād aparasmin pratimucya madhyamenaiva lakṣaṇena	AyacCet | unmucya pUrvasmAt aparasmin pratimucya maDyamena-eva lakzaNena
   dakṣiṇāṃ śroṇim āyacchet | evamuttarau śroṇyaṃsau || ĀpŚus_1.7c ||	dakziNAm SroNim AyacCet | evam-uttarO SroNi-aMsO || ĀpŚuH-_1.7t ||
   athāparoyogaḥ || ĀpŚus_2.1a ||	aTa-aparaH-yogaH || ĀpŚuH-_2.1aH ||
   pṛṣṭhyāntayor madhye ca śaṅkūn nihatyārdhe 'rdhe tadviśeṣam abhyasya	pRzWyA-antayoH maDye ca SaFkUn nihatya-arDe arDe tad-viSezam aByasya
