   śrīmadarcaṭaviracitā	SrImat arcawa viracitA
   || hetubinduṭīkā	|| hetu binduwIkA
   || namaḥ sarvajñāya ||	|| namaH sarvajQAya ||
   [jinanamaskāreṇa maṅgalam |]	[jina namaskAreNa maFgalam |]
          yaḥ sañjātamahākṛpo vyasaninaṃ trātuṃ samagraṃ janam,	yaH san jAta mahA kRpaH vyasaninam trAtum samagram janam,
           puṇyajñānamayaṃ[1]pracitya vipulaṃ hetuṃ vidhūtaśramaḥ |	puNya jQAna mayaM[1] pracitya vipulam hetum viDUta SramaH |
                kṛtsnajñeyavisarppi[nirmalataraprajñoda]yādriṃ śrito	kRtsna jQeya visarppi[ nirmalatara prajQA uda]ya adrim SritaH 
                loke hārddatamopaho jinaravirmūrdhnā namasyāmi tam || 1 ||	loke hArddatama upahaH jina ravirmUrDnA namasyAmi tam || 1 ||
   __________NOTES__________	__________NOTEH __________
   [1] puṇya  : prastuta 	[1] puNya : prastuta 
   [dharmakīrtivacasāṃ sarasatamatvakhyāpanam | ]	[Darma kIrti vacasAm sarasatama tva KyApanam | ]
         varaṃ hidhārmakīrtteṣu^[.1]2carviteṣv api carvaṇam[2]|	varam hiDArma kIrttezu^[.1]2 carvitezu api carvaNam[2]|
                niṣpīḍitā'pi mṛdvī[kā mādhuryaṃ hi jahā]ti kim ? || 2 ||	nizpIxitA api mRdvI[kAH mADuryam hi jahA]ti kim ? || 2 ||
   __________NOTES__________	__________NOTEH __________
   [2] carciteṣvapi carvanam    T.	[2] carcitezu api carvanam   T.
   [svalāghavaṃ prakhyāpya granthavivaraṇapratijñā | ]	[sva lAGavam praKyApya granTa vivaraNa pratijQA | ]
   nyāyamārggatulārūḍhaṃ jagad ekatra yanmatiḥ |	nyAya mArgga tulA ArUXam jagat ekatra yat matiH |
   jayet tasya kva gambhīrā giro 'haṃ jaḍadhīḥ kva ca ? || 3 ||	jayet tasya kva gamBIrAH giraH aham jaxa DIH kva ca ? || 3 ||
         tathāpi mandamatayaḥ santi matto ['pi kecana |	taTA api manda matayaH santi mattaH [ api kecana |
                yānuddiśya] mayāpy eṣa hetubindur vibhajyate || 4	yAn uddiSya] mayA api eza hetu binduH viBajyate || 4
   ||[ādivākyasya prayojanaprakaṭanam | ]	||[Adi vAkyasya prayojana prakawanam | ]
       parokṣe    [Tt. 355b.] ty ādinā prakaraṇārambhe prayojanam āha | tac	parokze   [Tt. 355b.] ti AdinA prakaraNa AramBe prayojanam Aha | tat 
   ca[3]śrotṛjanapravṛtty artham itikecit |	ca[3] SrotR jana pravRtti arTam iti kecid |
       tad ukta[m   	tat ukta[m   
                sarvasyaiva hiśā]strasya karmaṇo vā'pi kasyacit |	sarvasya eva hiSA]strasya karmaNaH vA api kasyacid |
                yāvat prayojanaṃnoktaṃtāvat tat kena gṛhyatām || [ŚlSū 1.12.]	yAvat prayojanaMna uktaMtAvat tat kena gRhyatAm || [ŚlSU 1.12.]
   iti | tad ayuktam[4]| yato 'sya prakaraṇasyedaṃ prayojanam iti [pradarśane	iti | tat ayuktam [4]| yatas asya prakaraNasya idam prayojanam iti [pradarSane
   prayo]janaviśeṣaṃ prati upāyatāṃ prakaraṇasya niścityānupāye	prayo]jana viSezam prati upAyatAm prakaraNasya niScitya anupAye
   {p. 2.1} pravṛttyasambhavāt prekṣāvatāṃ	{p. 2.1} pravRtti asamBavAt prekzAvatAm
   tadarthitayā[5]pra[karaṇaśravaṇādau pravṛttiḥ] [S. 2a] syād iti	tad arTi tayA a[5] pra[karaNa SravaNa AdO pravRttiH] [S. 2a] syAt iti
   tadabhidhānasyārthavattā[6]varṇyate | na caitad[7]yuktam | yataḥ	tad aBiDAnasya arTavattA[6]varNyate | na ca etat [7]yuktam | yatas 
   prekṣāvatāṃ pravṛttiḥ prayojanārthināṃ tadupāye[8]tadbhāvaniścayāt[9]|	prekzAvatAm pravRttiH prayojana arTinAm tad upAye[8] tad BAva niScayAt[9]|
   yathā kṛṣīva[lādīnāṃ sasyā]dy upāye	yaTA kRzIva[la AdInAm sasya A]di upAye
   bījādāva'bījādivivekenā'vadhṛtabījādibhāvānām | anyathā hy aniścitopāyānām	bIja AdAva abIja Adi vivekenA avaDRta bIja Adi BAvAnAm | anyaTA hi aniScita upAyAnAm
   upeyārthanāṃ [T. 206b.] pravṛttau prekṣāvattaiva hīyeta | upeye tu	upeya arTanAm [T. 206b.] pravRttO prekzAvat tA eva hIyeta | upeye tu
   [bhāvini pramā]ṇavyāpārāsambhavād aniścaye 'pi vivecitopāyāḥ	[BAvini pramA]Na vyApAra asamBavAt aniScaye api vivecitA upAyAH
   pratibandhavaikalyayor asambhave `yogyam etad vivakṣitaṃ kāryaṃ	pratibanDa vEkalyayoH asamBave `yogyam etat vivakzitam kAryam
   niṣpādayitum' iti saṃ[bhāvanayā pravṛttau] prekṣāvat tāto na hīyeran |	nizpAdayitum a iti saM[BA= anayA pravRttO] prekzA vat tAtaH na hIyeran |
       niścayaś ca pramāṇād eva | na ca prayojanavākyasya prāmāṇyam asti,	niScayaH ca pramANAt eva | na ca prayojana vAkyasya prAmANyam asti,
   śabdānāṃ bahirarthe pratibandhābhāvāt | vivakṣāyāṃ [tasya prāmāṇye 'pi	SabdAnAm bahis arTe pratibanDa aBAvAt | vivakzAyAm [tasya prAmANye api
   yathā]vastupravṛttiniyamābhāvāt na tataḥ prakaraṇasya prayojanavise(śe)ṣaṃ	yaTA]vastu pravRtti niyama aBAvAt na tatas prakaraNasya prayojana vise(Se)zam
   prati upāyatāniścayaḥ samasti | na hi ye yathā [S. 2b.] yam arthaṃ	prati upAya tA niScayaH samasti | na hi ye yaTA [S. 2b.] yam arTam
   vivakṣanti te tathaiva tam anu[tiṣṭhanti vi]saṃvādanābhiprāyāṇām	vivakzanti te taTA eva tam anu[tizWanti vi]saMvAda nABi prAyANAm
   anyathā'bhidhāyānyathāpravṛttidarśanāl loke sarvatrānāśvāsāt |	anyaTA aBiDAyAnyaTA pravRtti darSanAt loke sarva tra anASvAsAt |
       prayojanaviśeṣopanyāsāt prakaraṇasya tadupāyatā[viṣayaḥ saṃśayaḥ	prayojana viSeza upanyAsAt prakaraNasya tad upAya tA[ vizayaH saMSayaH
   ja]nyate tatas[10]tadbhāvanirdhāraṇāya[11]kṛṣīvalāder iva bījād avadhṛtaye	ja]nyate tatas[10]tad BAva nirDAraNAya[11]kRzIvala AdeH iva bIjAt avaDRtaye
   pravṛttir yukteti cet; na, prayojanaviśeṣopāyatāsaṃśayasya tadabhidhā[nāt	pravRttiH yuktA iti cet; na, prayojana viSeza upAya tA saMSayasya tad aBiDA[nAt 
   prāg api] bhāvāt | tatsādhakabādhakapramāṇābhāve tasya[12]nyāyaprāptatvāt	prAk api] BAvAt | tad sADaka bADaka pramANa aBAve tasya[12]nyAya prApta tvAt 
   | anumānādivyutpattyarthānāṃ ca prakaraṇānāṃ darśanāt kim	| anumAna Adi vyutpatti arTAnAm ca prakaraNAnAm darSanAt kim
   asyānumā[navyutpādanaṃ pra]yojanam anyad vā, na vā kiñcid apīty evaṃ rūpaś	asya anumA[na vyutpAdanam pra]yojanam anyat vA, na vA kiQcid api iti evam rUpaS
   ca saṃśayaḥ prāk pravarttamānaḥ kena nivāryeta | api ca kim idaṃ	ca saMSayaH prAk pravarttamAnaH kena nivAryeta | api ca kim idam
   niṣprayojanam, uta prayojana[vat, asmad abhima]tena vā prayojanena tadvad	nizprayojanam, uta prayojana [vat, asmat aBima]tena vA prayojanena tadvat 
   iti jijñāsoḥ pravṛttisambhave vyartha eva prayojanavākyopanyāsaḥ | [S.	iti jijQAsoH pravRtti samBave vyarTaH eva prayojana vAkya upanyAsaH | [S.
   3a.]	3a.]
       tasmād `yat prayojanarahitaṃ vākyam, tadartho vā, na tat	tasmAt `yat prayojana rahitam vAkyam, tad arTaH vA, na tat 
   prekṣāvatā''rabhyate kartuṃ pratipādayituṃ vā | tadyathā [T. 207a.]	prekzAvatA aaraByate kartum pratipAdayitum vA | tat yaTA [T. 207a.]
   {p. 3.1} daśadāḍimādivākyaṃ kākadanta[parīkṣā ca | niṣprayojanaṃ cedaṃ]	{p. 3.1} daSa dAxima Adi vAkyam kAkadanta[ parIkzA ca | nizprayojanam cedaM]
   prakaraṇaṃ tadartho vā' iti vyāpakānupalabdhyā pratyavatiṣṭhamānasya	prakaraNam tad arTaH vA a iti vyApaka anupalabDyA pratyavatizWamAnasya
   tadasiddhatodbhāvanārtham ādau prayojanavākyopanyāsaḥ	tad asidDa tA udBAvanA arTam AdO prayojana vAkya upanyAsaH
   |[prakaraṇatadabhidheyayoḥ prayojanacintā |]	|[ prakaraNa tad aBiDeyayoH prayojana cintA |]
       tatra tadvyutpādanārtham iti vākyena svayam asya prakaraṇasya	tatra tad vyutpAdana arTam iti vAkyena svayam asya prakaraNasya
   prayojanam āha | yathāsvam abhidheyapratītir hi vākyasya prayojanam | tac	prayojanam Aha | yaTAsvam aBiDeya pratItiH hi vAkyasya prayojanam | tat 
   cehāsti padānām avāntaravākyānāṃ ca parasparasaṃsargāt samāsārthapratīteḥ	ca iha asti padAnAm avAntara vAkyAnAm ca paraspara saMsargAt samAsa arTa pratIteH
   | tathā hi    anumānamatra prakaraṇe vyutpādyata iti tad abhidheyam |	| taTA hi   anumAnam atra prakaraNe vyutpAdyate iti tat aBiDeyam |
   tasyaiva tacchabdena sambandhāt | yady api parokṣārthapratipattau	tasya eva tad Sabdena sambanDAt | yadi api parokza arTa pratipattO
   gu[ṇībhūtam anu]mānaṃ tathāpi vaktur abhiprāyānuvidhāyitayā śabdavṛtteḥ	gu[NIBUtam anu]mAnam taTA api vaktuH aBiprAya anuviDAyitayA Sabda vRtteH
   tacchabdena parāmṛśyate | anyathā pradhānasaṃsparso(śo)pi kathaṃ syāt? |	tad Sabdena parAmRSyate | anyaTA praDAna saMsparso(SaH )pi kaTam syAt? |
   śabdānāṃ sva[bhāvataḥ] sambhaddhā(ndhā)yogāt | pakṣadharma ityādinā	SabdAnAm sva[BAvataH] samBadDa a(nDA) yogAt | pakza DarmaH ityAdinA
   cānumānasyaiva vyutpādanāt | tasya [S. 3b.] vyutpatti[r	ca anumAnasya eva vyutpAdanAt | tasya [S. 3b.] vyutpatti[r
   aviparītasvarū]papratītir asya prakaraṇasya prayojanam, tasmādhyatvāt |	aviparIta svarU]papratItiH asya prakaraNasya prayojanam, tasmADya tvAt |
   ata eva cānumānavyutpattiviṣayaṃ prakaraṇa[vyāpāraṃ darṣa]yituṃ ṇicā	atas eva ca anumAna vyutpatti vizayam prakaraNa[ vyApAram darza]yitum NicA
   nirdiśati    tadvyutpādanārtham iti | tataś ca prakaraṇaprayojanayoḥ	nirdiSati   tad vyutpAdana arTam iti | tatas ca prakaraNa prayojanayoH
   sādhyasādhanalakṣaṇaḥ[13]sambandho 'py ukto bhavati | yady api	sADya sADana lakzaNaH[13]sambanDaH api uktaH Bavati | yadi api
   śabdavṛttenā[numānavyutpattivi]ṣayasya[14]prakaraṇavyāpārasya prādhānyaṃ	Sabda vRttena a[numAna vyutpatti vi]zayasya[14] prakaraNa vyApArasya prADAnyam
   tathāpi vastuvṛttena vyutpatter eva pradhānatā tasyās tatsādhyatvāt[15]|	taTA api vastu vRttena vyutpatteH eva praDAna tA tasyAH tad sADya tvAt[15]|
   itarasya[16]ca tadupāyatvenāpradhānatvāt | tasmād anumānavyutpattir [T.	itarasya[16]ca tad upAya tvena apraDAna tvAt | tasmAt anumAna vyutpattiH [T.
   207b.] eva prayojanatayā pratīyate na prakaraṇavyāpāra iti |	207b.] eva prayojana tayA pratIyate na prakaraNa vyApAraH iti |
       parokṣārthaprati[patteḥ anumānāśraya]tvāt ity anena tu	parokza arTa prati[patteH anumAna ASraya]tvAt iti anena tu
   prakaraṇārthasyānumānalakṣaṇasya prayojanam āha | na hi vākyasya	prakaraNa arTasya anumAna lakzaNasya prayojanam Aha | na hi vAkyasya
   svārthapratītilakṣaṇaṃ phalam[17]astīty etā[v ataiva prekṣāvān	sva arTa pratIti lakzaNam Palam [17]asti iti etA[u ata eva prekzAvAn
   prava]rttate 'pi tu tadabhidheyārthasya puruṣārthopayogitve sati | tac	prava]rttate api tu tad aBiDeya arTasya puruza arTa upayogi tve sati | tat 
   cehāsti yataḥ parokṣārthasya yā pratipattiḥ    niścayaḥ    tasyā anumā[naṃ	ca iha asti yatas parokza arTasya yA pratipattiH   niScayaH   tasyAH anumA[nam
      trirūpaliṅgam] [S. 4a.] kāraṇe kāryopacārāt | ananyopāyasādhyatāṃ	  trirUpa liFgam] [S. 4a.] kAraNe kArya upacArAt | ananya upAya sADyatAm
   darśayituṃ	darSayitum
   {p. 4.1} paramatanirāsārtham āśrayaḥ    kāraṇam, anumānam āśrayo yasyeti	{p. 4.1} para mata nirAsa arTam ASrayaH   kAraNam, anumAnam ASrayaH yasya iti
   sāmānyena vigṛhya | [tadanu ca] kasyānumānāśrayatvād iti viśeṣāpekṣāyām   	sAmAnyena vigRhya | [tadanu ca] kasya anumAna ASraya tvAt iti viSeza apekzAyAm   
   yady api parokṣārthapratipattiśabdasambhandhe strītvaṃ gamyate tathāpi	yadi api parokza arTa pratipatti Sabda samBanDe strI tvam gamyate taTA api
   tat[18]padasaṃskāravelāyāṃ buddhyasaṃnihitatvāt bahiraṅgam iti na	tat[18]pada saMskAra velAyAm budDi asaMnihita tvAt bahis aFgam iti na
