   daśa-gītikā-pāda	daSa-gItikA--pAda
   AB 1.1a/ @praṇipatya %ekam anekam kam satyām devatām param brahma/	AB 1.1a/ @praNipatya %ekam anekam kam satyAm devatAm param brahma/
   AB_1.1c/ āryabhaṭas %trīṇi @gadati gaṇitam kāla-kriyām golam//	AB_1.1c/ Arya-BawaH %trINi @gadati gaNitam kAla-kriyAm golam//
   AB_1.2a/ varga-akṣarāṇi varge avarge avarga-akṣarāṇi kāt $ṅmau $yas/	AB_1.2a/ varga-akzarANi varge avarge avarga-akzarANi kAt $FmO $yas/
   AB_1.2c/ #kha-%dvi-%navake svarās %nava varge avarge %nava antya-varge	AB_1.2c/ #Ka-%dvi-%navake svarAH %nava varge avarge %nava antya-varge
   vā//	vA//
   AB_1.3a/ yuga-ravi-bha-gaṇās $khyughṛ śaśi $cayagiyiṅuśuchlṛ ku	AB_1.3a/ yuga-ra-vi-Ba--gaNAH $Kyu-GR SaSi $caya-giyiFuSu-SlR ku
   $ṅiśibuṇḷṣkhṛ prāk/	$FiSibuN?zKR prAk-/
   AB_1.3c/ śani $ḍhuṅvighva guru $khricyubha kuja $bhadlijhnukhṛ	AB_1.3c/ Sani $XuFviGva guru $Kri-cyuBa kujaH $Bat-liJnu-KR
   bhṛgu-budha-saurās//	BRgu--buDa--sOrAs//
   AB_1.4a/ candra-ucca $rjuṣkhidha budha $suguśithṛna bhṛgu $jaṣabikhuchṛ	AB_1.4a/ candra-ucca $rjuzKiDa buDaH $suguSiTR-na BRgu $jaza-biKu-CR
   śeṣa arkās/	Seza arkAs/
   AB_1.4c/ $buphinaca pāta-vilomās budha-ahni aja-arka-udayāt ca laṅkāyām//	AB_1.4c/ $buPina-ca pAta--vilomAH buDa--ahni aja-arka--udayAt ca laFkAyAm//
   AB_1.5a/ ka-ahas manavas $ḍha manu-yugās $śkha gatās te ca manu-yugās	AB_1.5a/ ka-ahaH manavaH $Xa manu--yugAH $SKa gatAH te ca manu-yugAH-
   $chnā ca/	$CnA ca/
   AB_1.5c/ kalpa-ādes yuga-#pādās $ga ca guru-divasāt ca bhāratāt pūrvam//	AB_1.5c/ kalpa-AdeH yuga-#pAdAH $ga ca guru-divasAt ca BAratAt pUrvam//
   AB_1.6a/ śaśi-rāśayas $ṭha cakram te aṃśa-kalā-yojanāni $yavaña-guṇās/	AB_1.6a/ SaSi-rASayaH $Wa cakram te aMSa-kalA--yojanAni $yavaQa-guNAs/
   AB_1.6c/ prāṇena @eti kalām bham kha-yuga-aṃśe graha-javas bha-$va-aṃśe	AB_1.6c/ prANena @A-iti kalAm Bam Ka-yuga--aMSe graha-javaH Ba-$va-aMSe
   arkas//	arka-s//
   AB_1.7a/ nṛ-$ṣi yojanam $ñilā bhū-vyāsas arka-indvor $ghriñā $giṇa $ka	AB_1.7a/ nR-$zi yojanam $QilA BU-vyAsaH arka--indvoH $GriQA $giNaH $ka
   meros/	meros/
   AB_1.7c/ bhṛgu-guru-budha-śani-bhaumās śaśi-$ṅa-$ña-$ṇa-$na-$ma-aṃśakās	AB_1.7c/ BRgu-guru-buDa--Sani-BOmAH SaSi-$Fa-$Qa-$Na-$na-$m-a-aMSakAH-
   sama-arka-samās//	sama-arka--samAs//
   AB_1.8a/ $bha-apakramas graha-aṃśās śaśi-vikṣepas apamaṇḍalāt	AB_1.8a/ $Ba-apakramaH graha--aMSAH SaSi--vikzepaH apamaNxalAt-
   $jha-%ardham/	$Ja-%arDam/
