   Abhidharmasamuccaya	ABiDarma-samuccaya
   namo buddhāya	namaH budDAya
   [atha mūlavastuni tridharmaparicchedaḥ prathamaḥ /]	[aTa mUlavastuni triDarma-paricCedaH praTamaH /]
   tridharmaḥ saṃgrahaḥ saṃprayogo 'nvayaśca lakṣaṇe /	tri-DarmaH saMgrahaH saMprayogaH anvayaH-ca lakzaNe /
   viniścaye satyadharmau prāptiḥ sāṃkathyameva ca //	viniScaye satya-DarmO prAptiH sAMkaTyam-eva ca //
   kati kasmādupādānaṃ vyavasthānaṃ ca lakṣaṇam /	kati kasmAt-upAdAnam vyavasTAnam ca lakzaNam /
   anukamārthadṛṣṭāntabhedā jñeyāḥ samuccaye //	anukama-arTa-dRzwAnta-BedAH jQeyAH samuccaye //
   skandhā dhātava āyatanāni ca kati / skandhāḥ pañca / rūpaskandho	skanDAH DAtavaH AyatanAni ca kati / skanDAH paQca / rUpa-skanDaH-
   vedanāskandhaḥ saṃjñāskandhaḥ saṃskāraskandho vijñānaskandhaśca // dhātavo	vedanA-skanDaH saMjQA-skanDaH saMskAra-skanDaH vijQAna-skanDaH-ca // DAtavaH-
   'ṣṭādaśa / cakṣurdhātū rūpadhātuścakṣurvijñānadhātuḥ śrotradhātuḥ	azwAdaSa / cakzuH-DAtuH rUpa-DAtuH-cakzuH-vijQAna-DAtuH Srotra-DAtuH
   śabdadhātuḥ	Sabda-DAtuH
   śrotravijñānadhāturghrāṇadhāturgandhadhāturghrāṇavijñānadhāturjivhādhātū	Srotra-vijQAna-DAtuH-GrANa-DAtuH-ganDa-DAtuH-GrANa-vijQAna-DAtuH-jivhADAtU
   rasadhāturjivhāvijñānadhātuḥ kāyadhātuḥ spraṣṭavyadhātuḥ	rasa-DAtuH-jivhA-vijQAna-DAtuH kAyaDAtuH sprazwavya-DAtuH
   kāyavijñānadhāturmanodhāturdharmadhāturmanovijñānadhātuśca // āyatanāni	kAya-vijQAna-DAtuH-manaH-DAtuH-DarmaDAtuH-manaH-vijQAna-DAtuH-ca // AyatanAni
   dvadaśa / cakṣurāyatanaṃ rūpāyatanaṃ śrotrāyatanaṃ śabdāyatanaṃ	dvadaSa / cakzuH-Ayatanam rUpa-Ayatanam Srotra-Ayatanam Sabda-Ayatanam
   ghrāṇāyatanaṃ gandhāyatanaṃ jivhāyatanaṃ rasāyatanaṃ kāyāyatanaṃ	GrANa-Ayatanam ganDa-Ayatanam jivhA-Ayatanam rasa-Ayatanam kAya-Ayatanam
   spraṣṭavyāyatanaṃ manaāyatanaṃ dharmāyatanaṃ ca //	sprazwavya-Ayatanam manaA-Ayatanam Darma-Ayatanam ca //
   kimupādāya skandhāḥ pañcaiva / paṃcākārātmavastūdbhāvanatāmupādāya /	kim-upAdAya skanDAH paQca-eva / paMca-AkAra-Atma-vastu-udBAvana-tAm-upAdAya /
   saparigrahadehātmavastu upabhogātmavastu abhilāpātmavastu	sa-parigraha-deha-AtmavaH-tu upaBoga-Atmavastu aBilApa-Atma-vastu
   sarvadharmādharmābhisaṃskārātmavastu (Abhidh-s 2) tadāśrayātmasvastu	sarva-Darma-aDarma-aBisaMskAra-Atma-vastu (a-aBiD-H 2) tad-ASraya-Atma-svastu
   copādāya // kimupādāya dhātovo 'ṣṭādaśaiva / dvābhyāṃ	ca-upAdAya // kim-upAdAya DAtovaH azwAdaSa-eva / dvAByAm
   dehaparigrahābhyāmatītavarttamānaṣaḍākāropabhogadhāraṇatāmupādāya //	deha-parigrahAByAm-atIta-varttamAna-zaxa-AkAra-upaBoga-DAraNa-tAm-upAdAya //
   kimupādāyāyatanāni dvādaśaiva / dvābhyāṃ	kim-upAdAya-AyatanAni dvAdaSa-eva / dvAByAm
   dehaparigrahābhyāmanāgataṣaḍākāropabhogāyadvāratāmupādāya //	deha-parigrahAByAm-anAgata-zaxa-AkAra-upaBogAya-dvAra-tAm-upAdAya //
   kasmāt skandhā upādānamityucyante / upādānena sahitatvāt skandhā upādānami	kasmAt skanDAH upAdAnam-iti-ucyante / upAdAnena sahita-tvAt skanDAH upAdAnam-i
   tyucyante / upādānaṃ katamat / skandheṣu cchando rāgaśca / kasmāt /	ti-ucyante / upAdAnam katamat / skanDezu cCandaH rAgaH-ca / kasmAt /
   ḥcchando rāgaścopādānamityucyate /	HcCandaH rAgaH-ca-upAdAnam-iti-ucyate /
   anāgatavarttamānaskandhānāmabhinirvarttanato 'parihārataśca / anāgate	anAgata-varttamAna-skanDAnAm-aBinirvarttanataH aparihArataH-ca / anAgate
   'bhilāṣād varttamāne 'dhāvasānācca cchando rāgaścopādānamityucyate /	aBilAzAt varttamAne aDAvasAnAt-ca cCandaH rAgaH-ca-upAdAnam-iti-ucyate /
   kasmād dhātava āyatanāni ca sopādānadharmā ityucyante / tatra	kasmAt DAtavaH AyatanAni ca sa-upAdAna-DarmAH iti-ucyante / tatra
   skandhavannirddeśaḥ //	skanDa-vat-nirddeSaH //
   kiṃlakṣaṇaṃ rūpam / rūpaṇa lakṣaṇaṃ rūpam / tad dvividham / sparśena	kiMlakzaNam rUpam / rUpaNa lakzaNam rUpam / tat dviviDam / sparSena
