   (Msa 1)	(MsaH 1)
   mahāyānasūtrālaṃkāraḥ	mahAyAna sUtra alaMkAraH
   || oṃ ||	|| om ||
   namaḥ sarvabuddhabodhisatvebhyaḥ	namaH sarva budDa boDisatveByaH
   CHAPITRE I	CHAPITRA e I
   prathamo 'dhikāraḥ	praTamaH aDikAraH
   arthajño 'rthavibhāvanāṃ prakurute vācā padaiś cāmalair duḥkhasyottaraṇāya	arTa jQaH arTa viBAvanAm prakurute vAcA padEH ca amalEH duHKasya uttaraNAya
   duḥkhitajane kāruṇyatas tanmayaḥ |	duHKita jane kAruNyataH tad mayaH |
   dharmasyottamayānadeśitavidheḥ satveṣu tadgāmiṣu śliṣṭām arthagatiṃ	Darmasya uttama yAna deSita viDeH satvezu tad gAmizu SlizwAm arTa gatim
   niruttaragataṃ pañcātmikāṃ darśayan || AMsa_1.1 ||	niruttara gatam paQca AtmikAm darSayan || AMsaH _1.1 ||
   arthajño 'rthavibhāvanāṃ prakurute iti ka upadeśam ārabhya ko 'laṃkarotīti	arTa jQaH arTa viBAvanAm prakurute iti kaH upadeSam AraBya kaH alaMkaroti iti
   | arthajñaḥ | kam alaṃkāram alaṃkaroti | arthavibhāvanāṃ kurute | kena	| arTa jQaH | kam alaMkAram alaMkaroti | arTa viBAvanAm kurute | kena
   vācā padaiś cāmalaiḥ | amalayā vāceti pauruṣayā amalaiḥ padair yuktaiḥ	vAcA padEH ca amalEH | amalayA vAcA iti pOruzayA amalEH padEH yuktEH
   sahitair iti vistaraḥ | na hi vinā vācā padavyañjanair artho vibhāvayituṃ	sahitEH iti vistaraH | na hi vinA vAcA pada vyaQjanEH arTaH viBAvayitum
   sakyata iti | kasmai duḥkhasyottaraṇāya duḥkhitajane kāruṇyatas tanmayaḥ |	sakyate iti | kasmE duHKasya uttaraNAya duHKita jane kAruNyataH tad mayaH |
   duḥkhitajane yat kāruṇyaṃ tasmāt kāruṇyataḥ | tanmaya iti kāruṇyamayaḥ |	duHKita jane yat kAruNyam tasmAt kAruNyataH | tad mayaH iti kAruNya mayaH |
   kasyālaṃkāraṃ karoti | dharmasyottamayānadeśitavidheḥ | uttamayānasya	kasya alaMkAram karoti | Darmasya uttama yAna deSita viDeH | uttamayAnasya
   deśito vidhir yasmin dharme tasya dharmasya | kasminn alaṃkaroti | satveṣu	deSitaH viDiH yasmin Darme tasya Darmasya | kasmin alaMkaroti | satvezu
   tadgāmiṣu | nimittasaptam yeṣām mahāyānagāmisatvanimittam ity arthaḥ |	tad gAmizu | nimitta saptam yezAm mahAyAna gAmi satva nimittam iti arTaH |
   katividham alaṃkāraṃ karoti | pañcavidhaṃ | śliṣṭām arthagatiṃ	kativiDam alaMkAram karoti | paQcaviDam | SlizwAm arTa gatim
   niruttaragatāṃ pañcātmikāṃ darśayan | (Msa 2) śliṣṭam iti yuktāṃ	niruttara gatAm paQca AtmikAm darSayan | (MsaH 2) Slizwam iti yuktAm
   niruttaragatām ity anuttarajñānagatāṃ | tām idānīṃ pañcātmikāṃ arthagatiṃ	niruttara gatAm iti anuttara jQAna gatAm | tAm idAnIm paQca AtmikAm arTa gatim
   dvitīyena ślokena darśyati |	dvitIyena Slokena darSyati |
   ghaṭitam iva suvarṇaṃ vārijaṃ vā vibuddhaṃ sukṛtam iva subhojyaṃ	Gawitam iva suvarNam vArijam vA vibudDam sukRtam iva su Bojyam
   bhujyamānaṃ kṣudhārtaiḥ |	BujyamAnam kzuDA ArtEH |
   vidita iva sulekho ratnapeṭeva muktā vivṛta iha sa dharmaḥ prītimagryāṃ	viditaH iva su leKaH ratna pewA iva muktAH vivRtaH iha sa DarmaH prItim agryAm
   dadhāti || AMsa_1.2 ||	daDAti || AMsaH _1.2 ||
   anena ślokena pañcabhir dṛṣṭāntaiḥ sa hi dharmaḥ pañcavidham artham	anena Slokena paQcaBiH dRzwAntEH sa hi DarmaH paQcaviDam arTam
   adhikṛtya deśitaḥ sādhyaṃ vyutpādyaṃ cintyam acintyaṃ pariniṣpannaṃ	aDikRtya deSitaH sADyam vyutpAdyam cintyam acintyam parinizpannam
   cādhigamārthaṃ pratyātmavedanīyaṃ bodhipakṣasvabhāvaṃ | so 'nena	ca aDigama arTam pratyAtma vedanIyam boDi pakza svaBAvam | saH anena
   sūtrālaṃkāreṇa vivṛtaḥ prītim agrāṃ dadhādati | yathākramaṃ	sUtra alaMkAreNa vivRtaH prItim agrAm daDAdati | yaTAkramam
   ghaṭitasuvarṇādivat | yadā sa dharmaḥ prakṛtyaiva guṇayuktaḥ kathaṃ so	Gawita suvarNa Adi vat | yadA sa DarmaH prakRtyA eva guNa yuktaH kaTam saH 
   'laṃkriyata ity asya codyasya parihārārthaṃ trtīyaḥ ślokaḥ |	alaMkriyate iti asya ca udyasya parihAra arTam trtIyaH SlokaH |
   yathā bimbaṃ bhūṣāprakṛtiguṇavad darpaṇagataṃ viśiṣṭaṃ prāmodyaṃ janayati	yaTA bimbam BUzA prakRti guNavat darpaNa gatam viSizwam prAmodyam janayati
   nṛṇāṃ darśanavaśāt |	nRNAm darSana vaSAt |
   tathā dharmaḥ soktaprakṛtiguṇayukto 'pi satataṃ vibhaktārthas tuṣṭiṃ	taTA DarmaH sa ukta prakRti guNa yuktaH api satatam viBakta arTaH tuzwim
   janayati viśiṣṭām iha satām || AMsa_1.3 ||	janayati viSizwAm iha satAm || AMsaH _1.3 ||
   anena kiṃ darśayati | yathā bimbaṃ bhūṣāprakṛtiguṇavad darśaṇagataṃ	anena kim darSayati | yaTA bimbam BUzA prakRti guNavat darSaNa gatam
   darśanavaśād viśiṣṭaṃ prāmodyaṃ janayaty evaṃ sa dharmaḥ subhāṣitaiḥ	darSana vaSAt viSizwam prAmodyam janayati evam sa DarmaH su BAzitEH
   prajkṛtyaiva guṇayukto 'pi satataṃ vibhaktārthas tuṣṭiṃ viśiṣṭāṃ janayati	prajkRtyA eva guNa yuktaH api satatam viBakta arTaH tuzwim viSizwAm janayati
   | buddhimatām atas tuṣṭiviśeṣotpādanād alaṃkṛta iva bhavatīti | ataḥ paraṃ	| budDimatAm atas tuzwi viSeza utpAdanAt alaMkRtaH iva Bavati iti | atas param
   tribhiḥ ślokais tasmin dharme trividham upaśaṃsaṃ darśayaty	triBiH SlokEH tasmin Darme triviDam upaSaMsam darSayati 
   ādarotpādanārthaṃ |	Adara utpAdana arTam |
   āghrāyamāṇakaṭukaṃ svādurasaṃ yathāuṣadhaṃ tadvat |	AGrAyamANa kawukam svAdu rasam yaTAuzaDam tadvat |
   dharmarmo dvayavyavasthāstho vyañjanato 'rtho na ca jñeyaḥ || AMsa_1.4 ||	DarmarmaH dvaya vyavasTA sTaH vyaQjanataH arTaH na ca jQeyaH || AMsaH _1.4 ||
   rājeva durārādho dharmo 'yaṃ vipulagāḍhagambhīraḥ |	rAjA iva durArADaH DarmaH ayam vipula gAXa gamBIraH |
   ārādhitaś ca tadvadvaraguṇadhanadāyako bhavati || AMsa_1.5 ||	ArADitaH ca tadvat vara guNa Dana dAyakaH Bavati || AMsaH _1.5 ||
   ratnaṃ jātyamanarthaṃrghaṃ yathā 'parīkṣakajanaṃ na toṣayati |	ratnam jAtyam anarTaMrGam yaTA aparIkzaka janam na tozayati |
   dharmas tathāyam abudhaṃ viparyayāt toṣayati tadvat || AMsa_1.6 ||	DarmaH taTA ayam abuDam viparyayAt tozayati tadvat || AMsaH _1.6 ||
   trividho 'śaṃsaḥ | āvaraṇaprahāṇahetutvam auṣadhopamatvena |	triviDaH aSaMsaH | AvaraNa prahANa hetu tvam OzaDa upama tvena |
   svayavyavastha iti (Msa 3) vyañjanārthavyavasthaḥ | vibhutvahetutvam	svaya vyavasTaH iti (Msa 3) vyaQjana arTa vyavasTaH | viBu tva hetu tvam
   abhijñādivaiśeṣikaguṇāiśvaryadānād rājopamatvena |	aBijQa Adi vESezika guNa aiSvarya dAnAt rAja upama tvena |
   āryadhanopabhogahetutvaṃ ca anarthajātyaratnopamatvena | parīkṣakajana	Arya Dana upaBoga hetu tvam ca anarTa jAti aratna upama tvena | parIkzaka jana
   āryajano veditavyaḥ | naivedaṃ mahāyānaṃ buddhavacanaṃ kutas tasyāyam	Arya janaH veditavyaH | na eva idam mahAyAnam budDa vacanam kutas tasya ayam
   anuśaṃso bhaviṣyatīty atra vipratipannas tasya	anuSaMsaH Bavizyati iti atra vipratipannaH tasya
