   Buddhacarita	BudDa-carita
   CANTO 1	CANTO 1
   aikṣvāka ikṣvākusamaprabhāvaḥśākyeṣvaśakyeṣu viśuddhavṛttaḥ /	EkzvAkaH ikzvAku-sama-praBAvaH-SAkyezu-aSakyezu viSudDa-vRttaH /
   priyaḥ śaraccandra iva prajānāṃ śuddhodano nāma babhūva rājā // Bc_1.1 //	priyaH Sarad-candraH iva prajAnAm SudDodanaH nAma baBUva rAjA // Bc_1.1 //
   tasyendrakalpasya babhūva patnī dīptyā narendrasya samaprabhāvā /	tasya-indra-kalpasya baBUva patnI dIptyA narendrasya sama-praBAvAH /
   padmeva lakṣmīḥ pṛthivīva dhīrā māyeti nāmnānupameva māyā // Bc_1.2 //	padmA-iva lakzmIH pRTivI-iva DIrA mAyA-iti nAmnA-anupamA-iva mAyA // Bc_1.2 //
   sārdha tayāsau vijahāra rājā nācintayadvaiśravaṇasya lakṣmīm /	sArDa tayA-asO vijahAra rAjA na-acintayat-vESravaNasya lakzmIm /
   tataśca vidheva samādhiyuktā garbha dadhe pāpavivarjitā sā // Bc_1.3 //	tatas-ca viDA-iva samADi-yuktA garBa daDe pApa-vivarjitA sA // Bc_1.3 //
   prāggarbhadhānnānmanujendrapatnī sitaṃ dadarśa dviparājamekam /	prAk-garBaDA-annAt-manuja-indra-patnI sitam dadarSa dvipa-rAjam-ekam /
   svapne viśantaṃ vapurātmanaḥ sā na tannimittaṃ samavāpa tāpam // Bc_1.4 //	svapne viSantam vapuH-AtmanaH sA na tad-nimittam samavApa tApam // Bc_1.4 //
   sā tasya devapratimasya devī garbheṇa vaṃśaśriyamudvahantī /	sA tasya deva-pratimasya devI garBeNa vaMSa-Sriyam-udvahantI /
   śramaṃ na lebhe na śucaṃ na māyāṃ gantuṃ vanaṃ sā nibhṛtaṃ cakāṅkṣa //	Sramam na leBe na Sucam na mAyAm gantum vanam sA niBRtam cakAFkzaH //
   Bc_1.5 //	Bc_1.5 //
   sā lumbinī nāma vanāntabhūmiṃ citradrūmāṃ caitrarathābhirāmām /	sA lumbinI nAma vanAnta-BUmim citradrUmAm cEtraraTa-aBirAmAm /
   dhyānānukūlāṃ vijanāmiyeṣa tasyāṃ nivāsāya nṛpaṃ babhāṣe // Bc_1.6 //	DyAna-anukUlAm vijanAm-iyeza tasyAm nivAsAya nRpam baBAze // Bc_1.6 //
   āryāśayāṃ tāṃ pravaṇāṃ ca dharme vijñāya kautūhalaharṣapūrṇaḥ /	Arya-ASayAm tAm pravaNAm ca Darme vijQAya kOtUhala-harza-pUrNaH /
   śivāt purād bhūmipatirjagāma tatprītaye nāpi vihārahetoḥ // Bc_1.7 //	SivAt purAt BUmipatiH-jagAma tad-prItaye na-api vihAra-hetoH // Bc_1.7 //
   tasminvane śrīmati rājapatnī prasūtikālaṃ samavekṣamāṇā /	tasmin-vane SrImati rAja-patnI prasUti-kAlam samavekzamANAH /
   śayyāṃ vitānopahitāṃ prapede nārīsahasrairabhinandyamānā // Bc_1.8 //	SayyAm vitAna-upahitAm prapede nArI-sahasrEH-aBinandyamAnAH // Bc_1.8 //
   tataḥ prasannaśca babhūva puṣyastasyāśca devyā vratasaṃskṛtāyāḥ /	tatas prasannaH-ca baBUva puzyaH-tasyAH-ca devyAH vrata-saMskRtAyAH /
   pārśvātsuto lokahitāya jajñe nirvedanaṃ caiva nirāmayaṃ ca // Bc_1.9 //	pArSvAt-sutaH loka-hitAya jajQe nirvedanam ca-eva nirAmayam ca // Bc_1.9 //
   ūroryathaurvasya pṛthośca hastānmāndhāturindrapratimasya mūrdhnaḥ /	UroH-yaTA-Orvasya pRToH-ca hastAt-mAnDAtuH-indra-pratimasya mUrDnaH /
   kakṣīvataścaiva bhujāṃsadeśāttathāvidhaṃ tasya babhūva janma // Bc_1.10 //	kakzIvataH-ca-eva Buja-aMsa-deSAt-taTAviDam tasya baBUva janma // Bc_1.10 //
   krameṇa garbhādabhiniḥsṛtaḥ san babhau cyutaḥ khādiva yonyajātaḥ /	krameNa garBAt-aBiniHsRtaH san baBO cyutaH KAt-iva yoni-ajAtaH /
   kalpeṣvanekeṣu ca bhāvitātmā yaḥ saṃprajānansuṣuve na mūḍhaḥ // Bc_1.11 //	kalpezu-anekezu ca BAvitAtmA yaH saMprajA-nan-suzuve na mUXaH // Bc_1.11 //
   dīptyā ca dhairyeṇa ca yo rarāja bālo ravibhūmimivāvatīrṇaḥ /	dIptyA ca DEryeNa ca yaH rarAja bAlaH ravi-BUmim-iva-avatIrNaH /
   tathātidīpto 'pi nirīkṣyamāṇo jahāra cakṣūṃṣi yathā śaśāṅkaḥ // Bc_1.12 //	taTA-ati-dIptaH api nirIkzyamANaH jahAra cakzUMzi yaTA SaSAFkaH // Bc_1.12 //
   sa hi svagātraprabhayojjvalantyā dīpaprabhāṃ bhāskaravanmumoṣa /	sa hi sva-gAtra-praBayA-ujjvalantyA dIpa-praBAm BAskara-vat-mumoza /
   mahārhajāmbūnadacāruvarṇo vidyotayāmāsa diśaśca sarvāḥ // Bc_1.13 //	mahArha-jAmbUnada-cAru-varNaH vidyotayAmAsa diSaH-ca sarvAH // Bc_1.13 //
   anākulānyubjasamudgatāni niṣpeṣavadvyāyatavikramāṇi /	anAkula-ani-ubja-samudgatAni nizpeza-vat-vyAyata-vikramANi /
   tathaiva dhīrāṇi padāni sapta saptarṣitārāsadṛśo jagāma // Bc_1.14 //	taTA-eva DIrANi padAni sapta saptarzi-tArA-sadRSaH jagAma // Bc_1.14 //
   bodhāya jāto 'smi jagaddhitārthamantyā bhavotpattiriyaṃ mameti /	boDAya jAtaH asmi jagat-hita-arTam-antyA Bava-utpattiH-iyam mama-iti /
   caturdiśaṃ siṃhagatirvilokya vāṇī ca bhavyārthakarīmuvāca // Bc_1.15 //	caturdiSam siMha-gatiH-vilokya vANI ca Bavya-arTa-karIm-uvAca // Bc_1.15 //
   khātprasrūte candramarīciśubhre dve vāridhāre śiśiroṣṇavīrye /	KAt-prasrUte candra-marIci-SuBre dve vAri-DAre SiSira-uzNa-vIrye /
   śarīrasaṃsparśasukhāntarāya nipetaturmūrdhani tasya saumye // Bc_1.16 //	SarIra-saMsparSa-suKa-antarAya nipetatuH-mUrDani tasya sOmye // Bc_1.16 //
   śrīmadvitāne kanakojjvalāṅge vaiḍūryapāde śayane śayānam /	SrImat-vitAne kanaka-ujjvala-aFge vExUrya-pAde Sayane SayAnam /
   yadgauravātkāñcanapadmahastā yakṣādhipāḥ saṃparivārya tasthuḥ // Bc_1.17	yat-gOravAt-kAQcana-padma-hastAH yakza-aDipAH saMparivArya tasTuH // Bc_1.17
   adṛśyabhāvāśca divaukasaḥ khe yasya prabhāvātpraṇataiḥ śīrobhiḥ /	adRSya-BAvAH-ca divOkasaH Ke yasya praBAvAt-praNatEH SIroBiH /
   ādhārayan pāṇḍaramātapatraṃ bodhāya jepuḥ paramāśiṣaśca // Bc_1.18 //	ADArayan pANxaram-Ata-patram boDAya jepuH parama-ASizaH-ca // Bc_1.18 //
   mahoragā dharmaviśeṣatarṣād buddheṣvatīteṣu kṛtādhikārāḥ /	mahA-uragAH Darma-viSeza-tarzAt budDezu-atItezu kRta-aDikArAH /
   yamavyajan bhaktiviśiṣṭanetrā mandārapuṣpaiḥ samavākiraṃśca // Bc_1.19 //	yama-vyajan Bakti-viSizwa-netrAH mandAra-puzpEH samavAkiran=-ca // Bc_1.19 //
   tathāgatotpādaguṇena tuṣṭāḥ śuddhādhivāsāśca viśuddhasattvāḥ /	taTAgata-utpAda-guNena tuzwAH SudDa-aDivAsAH-ca viSudDa-sattvAH /
   devā nanandurvigate 'pi rāge magnasya duḥkhe jagato hitāya // Bc_1.20 //	devAH nananduH-vigate api rAge magnasya duHKe jagataH hitAya // Bc_1.20 //
   yasya prasūtau girirājakīlā vātāhatā nauriva bhūścacāla /	yasya prasUtO girirAjakIlA vAta-AhatA nOH-iva BUH-cacAla /
   sacandanā cotpalapadmagarbhā papāta vṛṣṭirgaganādanabhrāt // Bc_1.21 //	sa-candanA ca-utpala-padma-garBA papAta vRzwiH-gaganAt-anaBrAt // Bc_1.21 //
   vātā vavuḥ sparśasukhā manojñā divyāni vāsāṃsyavapātayantaḥ /	vAtAH vavuH sparSa-suKAH manojQAH divyAni vAsAMsi-avapAtayantaH /
   sūryaḥ sa evābhyadhikaṃ cakāśe jajvāla saumyārciranīrito 'gniḥ // Bc_1.22	sUryaH saH eva-aByaDikam cakASe jajvAla sOmya-arciH-anIritaH agniH // Bc_1.22
   prāguttare cāvasathapradeśe kūpaḥ svayaṃ prādurabhūtsitāmbuḥ	prAc-uttare ca-AvasaTa-pradeSe kUpaH svayam prAduraBUt-sita-ambuH
   antaḥpurāṇyāgatavismayāni yasmin kriyāstīrtha iva pracakruḥ // Bc_1.23 //	antaHpurANi-Agata-vismayAni yasmin kriyAH-tIrTaH iva pracakruH // Bc_1.23 //
   dharmārthibhirbhūtagaṇaiśca divyaistaddarśanārtha vanamāpupūre /	Darma-arTiBiH-BUta-gaNEH-ca divyEH-tad-darSana-arTa vanam-ApupUre /
