   harṣacaritam	harza-caritam
   prathama ucchvāsaḥ	praTamaH ucCvAsaH
   namastuṅgaśiraścumbicandracāmaracārave /	namaH-tuFga-SiraH-cumbi-candra-cAmara-cArave /
   trailokyanagarārambhamūlastambhāya śambhave // 1.1 //	trElokya-nagara-AramBa-mUla-stamBAya SamBave // 1.1 //
   harakaṇṭhagrahānandamīlitākṣī namāmyumām /	hara-kaNWa-graha-Ananda-mIlita-akzI namAmi-umAm /
   kālakūṭaviṣasparśajātamūrcchāgamāmiva // 1.2 //	kAlakUwa-viza-sparSa-jAta-mUrcCA-gamAm-iva // 1.2 //
   namaḥ sarvavide tasmai vyāsāya kavivedhase /	namaH sarva-vide tasmE vyAsAya kavi-veDase /
   cakre puṇyaṃ sarasvatyā yo varṣamiva bhāratam // 1.3 //	cakre puNyam sarasvatyAH yaH varzam-iva BAratam // 1.3 //
   prāyaḥ kukavayo loke rāgādhiṣṭhitadṛṣṭayaḥ /	prAyas kukavayaH loke rAga-aDizWita-dRzwayaH /
   kokilā iva jāyante vācālāḥ kāmakāriṇaḥ // 1.4 //	kokilAH iva jAyante vAcAlAH kAma-kAriNaH // 1.4 //
   santiśvāna ivāsaṃkhyā jātibhājo gṛhe-gṛhe /	santi-SvAnaH iva-asaMKyAH jAti-BAjaH gRhe--gRhe /
   utpādakā na bahavaḥ kavayaḥ śarabhā iva // 1.5 //	utpAdakAH na bahavaH kavayaH SaraBAH iva // 1.5 //
   anyavarṇaparāvṛttyā bandhacihnanigūhanaiḥ /	anya-varNa-parAvRttyA banDa-cihna-nigUhanEH /
   anākhyātāḥ satāṃ madhye kaviścauro vibhāvyate // 1.6 //	anAKyAtAH satAm maDye kaviH-cOraH viBAvyate // 1.6 //
   śleṣaprāyamudīcyeṣu pratīcyeṣvarthamātrakam /	Sleza-prAyam-udIcyezu pratIcyezu-arTa-mAtrakam /
   utprekṣā dākṣiṇātyeṣu gauḍeṣvakṣaraḍembaram // 1.7 //	utprekzA dAkziNAtyezu gOxezu-akzaraxa-imbaram // 1.7 //
   navor'tho jātiragrāmyā śleṣo 'kliṣṭaḥ sphuṭo rasaḥ /	navor-aTo jAtiH-agrAmyA SlezaH aklizwaH sPuwaH rasaH /
   vikaṭākṣarabandhaśca kṛtsnamekatra duṣkaram // 1.8 //	vikawa-akzara-banDaH-ca kRtsnam-ekatra duzkaram // 1.8 //
   kiṃ kavestasya kāvyena sarvavṛttāntagāminī /	kim kaveH-tasya kAvyena sarva-vRttAnta-gAminI /
   katheva bhāratī yasya na vyāpnoti jagattrayam // 1.9 //	kaTA-iva BAratI yasya na vyApnoti jagattrayam // 1.9 //
   ucchvāsānte 'pyakhinnāste yeṣāṃ vaktre sarasvatī /	ucCvAsa-ante api-aKinnAH-te yezAm vaktre sarasvatI /
