   Siddhārthacaritraṃ Kāvyam	SidDArTa-caritram KAvyam
   ācāryabuddhaghoṣaviracitaṃ	AcArya-budDa-Goza-viracitam
   padyacūḍāmaṇimahākāvyam	padya-cUxAmaNi-mahAkAvyam
   prathamaḥ sargaḥ	praTamaH sargaH
   maṅgalam	maFgalam
   kāruṇyakallolitadṛṣṭipātaṃ kandarpadarpānalakālamegham /	kAruNya-kallolita-dRzwi-pAtam kandarpa-darpa-anala-kAla-meGam /
   kaivalyakalpadrumamūlakandaṃ vande mahākandalamarkabandhum // 1.1 //	kEvalya-kalpadruma-mUla-kandam vande mahA-kandalam-arka-banDum // 1.1 //
   yasyaikadeśaṃ yatayo 'pi vaktuṃ nālaṃ babhūvurnalināsanādyāḥ /	yasya-eka-deSam yatayaH api vaktum nAlam baBUvuH-nalina-Asana-AdyAH /
   śāstustadetaccaritāpadānaṃ vaktuṃ manīṣā mama maugdhyameva // 1.2 //	SAstuH-tat-etat-carita-apadAnam vaktum manIzA mama mOgDyam-eva // 1.2 //
   tathāpi tatrāhitabhaktiśaktyā tadetadākhyātumahaṃ pravīṇaḥ /	taTA-api tatra-Ahita-Bakti-SaktyA tat-etat-AKyAtum-aham pravINaH /
   tathāhi tatpādasamāśrayeṇa rajo 'pi lakṣmīṃ kurute hi puṃsām // 1.3 //	taTA-hi tad-pAda-samASrayeNa rajaH api lakzmIm kurute hi puMsAm // 1.3 //
   asti praśastā kapileti nāmnā kācit purī kāmadughā prajānām /	asti praSastA kapilA-iti nAmnA kAcid purI kAmaduGA prajAnAm /
   yāṃ vīkṣya śakro nijarājadhānyāḥ ślāghābhisandhiṃ śithilīkaroti // 1.4 //	yAm vIkzya SakraH nija-rAjaDAnyAH SlAGA-aBisanDim SiTilIkaroti // 1.4 //
   sambhāvyate yatra sudhāmarīciḥ saudhadhvajastambhanilīnabimbaḥ /	samBAvyate yatra suDA-marIciH sODa-Dvaja-stamBa-nilIna-bimbaH /
   mukhāravindadyutimoṣaroṣādāropitaḥ śūlamivāṅganābhiḥ // 1.5 //	muKa-aravinda-dyutim-oza-rozAt-AropitaH SUlam-iva-aFganABiH // 1.5 //
   vīthīṣu māṇikyamayīṣu yasyāṃ jyotīṃṣi bhānti pratibimbitāni /	vITIzu mANikya-mayIzu yasyAm jyotIMzi BAnti pratibimbitAni /
   anaṅgacāpādapakṛṣyamāṇānmuktāphalānīva paricyutāni // 1.6 //	anaFga-cApAt-apakRzyamANAn-muktAPalAni-iva paricyutAni // 1.6 //
   utsedhino yatra gṛhāḥ prabhūṇāmudastajaitradhvajadaṇḍavāhāḥ /	utseDinaH yatra gRhAH praBUNAm-udasta-jEtra-Dvaja-daNxa-vAhAH /
   ālolaghaṇṭākvaṇitairajasramabhyarthino dātumivāhvayanti // 1.7 //	Alola-GaNwA-kvaNitEH-ajasram-aByarTinaH dAtum-iva-Ahvayanti // 1.7 //
   rathyāsu ratnopahitāsu yasyāṃ bimbapraviṣṭāḥ kariṇo vibhānti /	raTyAsu ratna-upahitAsu yasyAm bimba-pravizwAH kariNaH viBAnti /
   kūlādrikūṭā iva kuṇḍalīndrasāhāyakaṃ kartumadhaḥ pravṛttāḥ // 1.8 //	kUla-adri-kUwAH iva kuNxalI-indra-sAhAyakam kartum-aDas pravRttAH // 1.8 //
   pāñcālikā yadgṛhapañjareṣu prapañcitāḥ kāñcanasañcayena /	pAQcAlikAH yat-gRha-paQjarezu prapaQcitAH kAQcana-saQcayena /
   bhūmābhibhūtāripurāhṛtānāṃ puṣyanti śobhāṃ puradevatānām // 1.9 //	BUma-aBiBUta-ari-pura-AhRtAnAm puzyanti SoBAm pura-devatAnAm // 1.9 //
   āruhya saudhānatimeghamārgān varṣāndhakāreṣvapi vāsareṣu /	Aruhya sODa-Anati-meGa-mArgAn varza-anDakArezu-api vAsarezu /
   kathānabhijñā dhanagarjitānāṃ vasanti yasyāṃ vanitā viyuktāḥ // 1.10 //	kaTA-anaBijQAH Dana-garjitAnAm vasanti yasyAm vanitAH viyuktAH // 1.10 //
   yatrālayāḥ kāñcanaketudaṇḍairudañcitairdobhirivātidīrghaiḥ /	yatra-AlayAH kAQcana-ketu-daNxEH-udaQcitEH-doBiH-iva-ati-dIrGEH /
   apāharantīva kṛtābhyasūyāḥ śobhāṃ śunāsīrapurālayānām // 1.11 //	apAharanti-iva kRta-aByasUyAH SoBAm SunA-sIra-pura-AlayAnAm // 1.11 //
   yadaṅganāḥ saudhasamīpalagnāmādāya hastairamṛtāṃśulekhām /	yat-aFganAH sODa-samIpa-lagnAm-AdAya hastEH-amRtAMSu-leKAm /
   niveśayantyo nijakuntaleṣu viḍambayanti śriyamambikāyāḥ // 1.12 //	niveSayantyaH nija-kuntalezu vixambayanti Sriyam-ambikAyAH // 1.12 //
   yanmaṇḍapāḥ prauḍhanidāghataptāścañcatpatākārasanāñcalena /	yat-maNxapAH prOXa-nidAGa-taptAH-caQcat-patAkA-rasanA-aQcalena /
   āsvādayantīva tuṣāraraśmiṃ sudhārasena svadamānabimbam // 1.13 //	AsvAdayanti-iva tuzAra-raSmim suDA-rasena svadamAna-bimbam // 1.13 //
   vilokya caityadhvajasiṃhamudrāṃ bhayākule kvāpi gati kuraṅge /	vilokya cEtya-Dvaja-siMha-mudrAm Baya-Akule kvApi gati kuraFge /
   niśākaro yatra nitambinīnāṃ sādharmyamabhyeti sahānanābjaiḥ // 1.14 //	niSAkaraH yatra nitambinInAm sADarmyam-aByeti saha-Anana-abjEH // 1.14 //
   yaccandraśālāsvabalājanānāṃ vitanvatāṃ vibhramamaṇḍanāni /	yat-candraSAlA-su-abalA-janAnAm vitanvatAm viBrama-maNxanAni /
   ādarśatāmāśrayate niśāsu purogataṃ pūrṇasudhāṃśubimbāt // 1.15 //	AdarSatAm-ASrayate niSAsu puras-gatam pUrNa-suDAMSu-bimbAt // 1.15 //
   yatrendranīlopalagopurāṇāṃ vijṛmbhamāṇāḥ kiraṇapraṇālāḥ /	yatra-indranIla-upala-gopurANAm vijRmBamANAH kiraNa-praNAlAH /
   caṇḍāṃśubimbe 'pi sanīḍabhāji kṣaṇaṃ vitanvati kalaṅkaśaṅkām // 1.16 //	caNxAMSu-bimbe api sa-nIxa-BAji kzaNam vitanvati kalaFka-SaFkAm // 1.16 //
   yatrāpagāḥ svacchajalāntarālasaṃkrāntatīrasthitakeliśailāḥ /	yatra-ApagAH svacCa-jala-antarAla-saMkrAnta-tIra-sTita-keliSElAH /
   madoṣmaṇā magnasuradvipāyā mahendrasindhoḥ śriyamāśrayante // 1.17 //	mada-UzmaNA magna-suradvipAyAH mahA-indra-sinDoH Sriyam-ASrayante // 1.17 //
   yatraukasāṃ ratnavinirmitānāmuccāvacairuccalitairmayūkhaiḥ /	yatra-okasAm ratna-vinirmitAnAm-uccAvacEH-uccalitEH-mayUKEH /
   varṣāvasāne 'pi mahendracāpairābhāti sannaddhamivāntarikṣam // 1.18 //	varza-avasAne api mahA-indra-cApEH-ABAti sannadDam-iva-antarikzam // 1.18 //
   prāsādamālāsu hiraṇyamayīṣu prārabdhalīlāḥ pramadā yadīyāḥ /	prAsAda-mAlAsu hiraNya-mayIzu prArabDa-lIlAH pramadAH yadIyAH /
   sumeruśṛṅgeṣu vihāriṇīnāṃ surāṅganānāṃ dyutimākṣipanti // 1.19 //	sumeru-SRFgezu vihAriNInAm sura-aFganAnAm dyutim-Akzipanti // 1.19 //
   yatrālayānāṃ pravijṛmbhamāṇāḥ prabhāvirohāḥ sphaṭikācitānām /	yatra-AlayAnAm pravijRmBamANAH praBA-virohAH sPawika-AcitAnAm /
   āsannabhājāṃ haritāṃ hayānāṃ yāntīva karṇakṣaṇacāmaratvam // 1.20 //	Asanna-BAjAm haritAm hayAnAm yAnti-iva karNa-kzaNa-cAmara-tvam // 1.20 //
   marīcibhiryanmaṇitoraṇānāṃ visṛtvarairvicchuritapravāhā /	marIciBiH-yat-maNi-toraNAnAm visRtvarEH-vicCurita-pravAhAH /
   madhyenabho bhāti mahendrasindhuḥ kalindajākarburitāntareva // 1.21 //	maDyena-BaH BAti mahA-indra-sinDuH kalinda-jAkarburita-antar-eva // 1.21 //
   samucchritaiḥ saudhataleṣu yasyāṃ matsyadhvajairmārutakampamānaiḥ /	samucCritEH sODa-talezu yasyAm matsya-DvajEH-mAruta-kampamAnEH /
   sārdhaṃ vigṛhṇanti sapatnabuddhyā marutsravantīmakarāḥ saroṣam // 1.22 //	sArDam vigRhNanti sapatna-budDyA marut-sravantI-makarAH sa-rozam // 1.22 //
   ratiśramo yatra vilāsinīnāṃ prāsādamabhraṅkaṣamāśritānām /	rati-SramaH yatra vilAsinInAm prAsAdam-aBraFkazam-ASritAnAm /
   vinīyate gandhavahena mandaṃ mandākinīvīcivihārabhājā // 1.23 //	vinIyate ganDavahena mandam mandAkinI-vIci-vihAra-BAjA // 1.23 //
   sudhāsanāthena sudhāmayūkhaḥ kalāsamagraḥ karapallavena /	suDAsanATena suDA-mayUKaH kalA-samagraH karapallavena /
   vilimpatīva kṣaṇadāsu yasyāṃ krīḍāgṛhāṇāmuparisthalāni // 1.24 //	vilimpati-iva kzaNadAsu yasyAm krIxA-gRhANAm-upari-sTalAni // 1.24 //
