   akalādhipabhṛtyadarśitaṃ BhKir_3.59a	akala-aDipa-BRtya-darSitam BhKiH-_3.59a
   akusumān dadhataṃ na mahīruhaḥ BhKir_5.10d	akusumAn daDatam na mahIruhaH BhKiH-_5.10d
   akṛtrimapremarasābhirāmaṃ BhKir_3.37a	akRtrima-prema-rasa-aBirAmam BhKiH-_3.37a
   akṛtrimapremarasāhitair mano BhKir_8.46c	akRtrima-prema-rasa-AhitEH manaH BhKiH-_8.46c
   akṛśapariṇāhaśālini BhKir_12.20b	akRSa-pariNAha-SAlini BhKiH-_12.20b
   akṛśam akṛśalakṣmīś cetasāśaṃsitaṃ sa BhKir_5.52c	akRSam akRSa-lakzmIH cetasA-ASaMsitam sa BhKiH-_5.52c
   akṛṣṭapacyā iva sasyasampadaḥ BhKir_1.17b	akRzwa-pacyAH iva sasya-sampadaH BhKiH-_1.17b
   akṣamiṣṭa tad ayaṃ pramādyatāṃ BhKir_13.63c	akzam-izwa tat ayam pramAdyatAm BhKiH-_13.63c
   akṣāgrakṣatasuraveśmavedikānām BhKir_7.12b	akza-agra-kzata-sura-veSma-vedikAnAm BhKiH-_7.12b
   akhaṇḍam ākhaṇḍalatulyadhāmabhiś BhKir_1.29a	aKaNxam AKaNxala-tulya-DAmaBiH BhKiH-_1.29a
   akhaṇḍitaṃ pāṇḍavasāyakebhyaḥ BhKir_17.30c	aKaNxitam pANxava-sAyakeByaH BhKiH-_17.30c
   akhilam idam amuṣya gairīguros BhKir_5.21a	aKilam idam amuzya gErI-guroH BhKiH-_5.21a
   akhilaṃ hi hinasti bhūdharaṃ BhKir_2.51c	aKilam hi hinasti BUDaram BhKiH-_2.51c
   agaṇitagurumānalajjayāsau BhKir_10.56c	agaNita-guru-mAnalat-jaya-asO BhKiH-_10.56c
   agaṇair iva kiṃ yaśaḥ BhKir_15.8d	agaNEH iva kim yaSaH BhKiH-_15.8d
   agatāv aridṛṣṭigocaraṃ BhKir_3.57c	agatO ari-dRzwi-gocaram BhKiH-_3.57c
   agamyarūpāṃ padavīṃ prapitsunā BhKir_1.9b	agamya-rUpAm padavIm prapitsunA BhKiH-_1.9b
   agarīyān na padaṃ nṛpaśriyaḥ BhKir_2.14d	agarIyAt na padam nRpa-SriyaH BhKiH-_2.14d
   aguṇeṣu tasya dhiyam astavataḥ BhKir_6.21b	aguNezu tasya Diyam astavataH BhKiH-_6.21b
   agūḍhabhāvāpi vilokane sā BhKir_3.36c	agUXa-BAvA-api vilokane sA BhKiH-_3.36c
   agūḍhahāsasphuṭadantakesaraṃ BhKir_8.36a	agUXa-hAsa-sPuwa-danta-kesaram BhKiH-_8.36a
   agocare vāg iva copareme BhKir_17.11c	agocare vAc iva ca-upareme BhKiH-_17.11c
   agrasānuṣu nitāntapiśaṅgair BhKir_9.7a	agra-sAnuzu nitAnta-piSaFgEH BhKiH-_9.7a
   aghopaghātaṃ maghavā vibhūtyai BhKir_11.80c	aGa-upaGAtam maGavA viBUtyE BhKiH-_11.80c
   aṅganāsyacaṣakair madhuvāraḥ BhKir_9.57d	aFganA-Asya-cazakEH maDuvAraH BhKiH-_9.57d
   aṅgarāga iva lohitarāgaḥ BhKir_9.27d	aFga-rAgaH iva lohita-rAgaH BhKiH-_9.27d
   aṅgāny abhinnam api tattvavidāṃ munīnāṃ BhKir_15.53c	aFgAni aBinnam api tattva-vidAm munInAm BhKiH-_15.53c
   aṅgaiḥ parikṛśair api BhKir_11.5b	aFgEH parikRSEH api BhKiH-_11.5b
   acakamata sapallavāṃ dharitrīṃ BhKir_10.49a	acakamata sa-pallavAm DaritrIm BhKiH-_10.49a
   acalanalinalakṣmīhāri nālaṃ babhūva BhKir_6.47c	acala-nalina-lakzmI-hAri na-alam baBUva BhKiH-_6.47c
   acalasaṃcalanāharaṇo raṇaḥ BhKir_18.8b	acala-saMcalana-AharaNaH raNaH BhKiH-_18.8b
   acittatāyām api nāma yuktām BhKir_17.47a	acitta-tAyAm api nAma yuktAm BhKiH-_17.47a
   acirāṃśuvilāsacañcalā BhKir_2.19c	acira-aMSu-vilAsa-caQcalA BhKiH-_2.19c
