   Bhallaṭaśataka	Bhat-lawa-Sataka
   tāṃ bhavānīṃ bhavānīta- $ kleśanāśaviśāradām &	tAm BavAnIm Bava-AnIta $ kleSa-nASa-viSAradAm &
   śāradāṃ śāradāmbhoda- % sitasiṃhāsanāṃ namaḥ // Bhall_1 //	SAradAm SArada-amBoda % sita-siMhAsanAm namaH // Bhal=-_1 //
   yuṣmākam ambaramaṇeḥ prathame mayūkhās $ te maṅgalaṃ	yuzmAkam ambara-maNeH praTame mayUKAH $ te maFgalam
   vidadhatūdayarāgabhājaḥ &	vidaDatu-udaya-rAga-BAjaH &
   kurvanti ye divasajanmamahotsaveṣu % sindūrapāṭalamukhīr iva dikpurandhrīḥ	kurvanti ye divasa-janma-mahA-utsavezu % sindUra-pAwala-muKIH iva diS-puranDrIH
   // Bhall_2 //	// Bhal=-_2 //
   baddhā yad arpaṇaraseṇa vimardapūrvam $ arthān kathaṃ jhaṭiti tān prakṛtān	badDA yat arpaNa-raseNa vimarda-pUrvam $ arTAn kaTam Jawiti tAn prakRtAn
   na dadyuḥ &	na dadyuH &
   caurā ivātimṛdavo mahatāṃ kavīnām % arthāntarāṇy api haṭhād vitaranti	cOrAH iva-ati-mRdavaH mahatAm kavInAm % arTa-antarANi api haWAt vitaranti
   śabdāḥ // Bhall_3 //	SabdAH // Bhal=-_3 //
   kāco maṇir maṇiḥ kāco $ yeṣāṃ te 'nye hi dehinaḥ &	kAcaH maNiH maNiH kAcaH $ yezAm te anye hi dehinaH &
   santi te sudhiyo yeṣāṃ % kācaḥ kāco maṇir maṇiḥ // Bhall_4 //	santi te suDiyaH yezAm % kAcaH kAcaH maNiH maNiH // Bhal=-_4 //
   nanv āśrayasthitir iyaṃ tava kālakūṭa $ kenottarottaraviśiṣṭapadopadiṣṭā &	nanu ASraya-sTitiH iyam tava kAlakUwaH $ kena-uttarottara-viSizwa-pada-upadizwA &
   prāg arṇavasya hṛdaye vṛṣalakṣmaṇo 'tha % kaṇṭhe 'dhunā vasasi vāci punaḥ	prAk arNavasya hRdaye vRza-lakzmaNaH aTa % kaNWe aDunA vasasi vAci punar-
   khalānām // Bhall_5 //	KalAnAm // Bhal=-_5 //
   draviṇam āpadi bhūṣaṇam utsave $ śaraṇam ātmabhaye niśi dīpakaḥ &	draviNam Apadi BUzaNam utsave $ SaraNam Atma-Baye niSi dIpakaH &
   bahuvidhābhyupakārabharakṣamo % bhavati ko 'pi bhavān iva sanmaṇiḥ //	bahuviDa-aByupakAra-Bara-kzamaH % Bavati kaH api BavAn iva sat-maNiH //
   Bhall_6 //	Bhalt-_6 //
   śrīr viśṛṅkhalakhalābhisārikā $ vartmabhir ghanatamomalīmasaiḥ &	SrIH viSRFKala-Kala-aBisArikA $ vartmaBiH Gana-tamaH-malImasEH &
   śabdamātram api soḍhum akṣamā % bhūṣaṇasya guṇinaḥ samutthitam // Bhall_7	Sabda-mAtram api soXum akzamA % BUzaNasya guNinaH samutTitam // Bhalt-_7
   māne necchati vārayaty upaśame kṣmām ālikhantyāṃ hriyāṃ $ svātantrye	mAne na-icCati vArayati upaSame kzmAm AliKantyAm hriyAm $ svAtantrye
   parivṛtya tiṣṭhati karau vyādhūya dhairyaṃ gate &	parivRtya tizWati karO vyADUya DEryam gate &
