   Bhāvamiśra: Bhāvaprakāśaḥ	Bha-avamiSra: BhOva-prakASaH
   Bhāvaprakāśa, Vargaprakaraṇa, Harītakyādivarga	BhO=-a-prakASa, Varga-prakaraNa, HarItakI-Adi-varga
   dakṣaṃ prajāpatiṃ vastham aśvinau vākyam ūcatuḥ /	dakzam prajApatim vasTam aSvinO vAkyam UcatuH /
   kuto harītakī jātā tasyāstu kati jātayaḥ // 1	kutas harItakI jAtA tasyAH-tu kati jAtayaH // 1
   rasāḥ kati samākhyātāḥ kati coparasāḥ smṛtāḥ /	rasAH kati samAKyAtAH kati ca-uparasAH smRtAH /
   nāmāni kati coktāni kiṃvā tāsāṃ ca lakṣaṇam // 2	nAmAni kati ca-uktAni kiMvA tAsAm ca lakzaNam // 2
   ke ca varṇā guṇāḥ ke ca kā ca kutra prayujyate /	ke ca varNAH guNAH ke ca kA ca kutra prayujyate /
   kena dravyeṇa saṃyuktā kāṃś ca rogān vyapohati // 3	kena dravyeNa saMyuktA kAn ca rogAn vyapohati // 3
   praśnametadyathā pṛṣṭaṃ bhagavanvaktumarhasi /	praSnam-etat-yaTA pRzwam Bagavan-vaktum-arhasi /
   aśvinorvacanaṃ śrutvā dakṣo vacanamabravīt // 4	aSvinoH-vacanam SrutvA dakzaH vacanam-abravIt // 4
   papāta bindur medinyāṃ śakrasya pibato'mṛtam /	papAta binduH medinyAm Sakrasya pibataH-amRtam /
   tato divyātsamutpannā saptajātirharītakī // 5	tatas divyAt-samutpannA sapta-jAtiH-harItakI // 5
   harītakyabhayā pathyā kāyasthā pūtanāmṛtā /	harItakI-aBayA paTyA kAyasTA pUtanA-amRtA /
   haimavatyavyathā cāpi cetakī śreyasī śivā // 6	hEmavatI-avyaTA ca-api cetakI SreyasI SivAH // 6
   vayaḥsthā vijayā cāpi jīvantī rohiṇīti ca // 7	vayaHsTA vijayA ca-api jIvantI rohiNI-iti ca // 7
   vijayā rohiṇī caiva pūtanā cāmṛtābhayā /	vijayA rohiNI ca-eva pUtanA ca-amRtA-aBayA /
