   akariṣyat sudhīs tadā BhStc_40d	akarizyat suDIH tadA BhStt-_40d
   akṛtrimaphalodayā BhStc_108b	akRtrima-Pala-udayA BhStt-_108b
   ajñānatimirasyaikam BhStc_24a	ajQAna-timirasya-ekam BhStt-_24a
   aṇimādiguṇāvāptiḥ BhStc_55a	aNima-Adi-guNa-avAptiH BhStt-_55a
   ativāllabhyataḥ sādhu BhStc_4c	ati-vAllaByataH sADu BhStt-_4c
   adhyāsīyāpi dhūrjaṭe BhStc_95d	aDyAsIya-api DUrjawe BhStt-_95d
   anantānāṃ vidhāyine BhStc_63b	anantAnAm viDAyine BhStt-_63b
   ananyāpekṣasāmarthya- BhStc_18c	ananya-apekza-sAmarTya BhStt-_18c
   anāditve 'pi viśvasya BhStc_63c	anAdi-tve api viSvasya BhStt-_63c
   antarbhava bhavadguhām BhStc_12d	antarBava Bavat-guhAm BhStt-_12d
   api paśyema gambhīrāṃ BhStc_12a	api paSyema gamBIrAm BhStt-_12a
   api mūrtau na naḥ sthitim BhStc_78b	api mUrtO na naH sTitim BhStt-_78b
   abhittāv eva tanvate BhStc_9b	aBittO eva tanvate BhStt-_9b
   amī bhava bhavadbhakti- BhStc_55c	amI Bava Bavat-Bakti BhStt-_55c
   ayaṃ brahmā mahendro 'yaṃ BhStc_34a	ayam brahmA mahA-indraH ayam BhStt-_34a
   arcito 'yam ayaṃ dhyāta BhStc_22a	arcitaH ayam ayam DyAta BhStt-_22a
   avataṃsitasomāya BhStc_51c	avataMsita-somAya BhStt-_51c
   aṣṭamūrte kim ekasyām BhStc_78a	azwamUrte kim ekasyAm BhStt-_78a
   asattvaṃ sattvam eva vā BhStc_60b	asattvam sattvam eva vA BhStt-_60b
   asīti jñānaśālinām BhStc_31b	asi-iti jQAna-SAlinAm BhStt-_31b
   aho kṣetrajñatā seyaṃ BhStc_43a	aho kzetrajQa-tA sA-iyam BhStt-_43a
   aho gambhīrasundarī BhStc_69d	aho gamBIra-sundarI BhStt-_69d
   aho tattaraṇopāyaḥ BhStc_90c	aho tad-taraNa-upAyaH BhStt-_90c
   aho nisargagambhīro BhStc_90a	aho nisarga-gamBIraH BhStt-_90a
   aho brahmādayo dhanyā BhStc_62a	aho brahma-AdayaH DanyAH BhStt-_62a
   aho mahad idaṃ karma BhStc_48a	aho mahat idam karma BhStt-_48a
   aho svādutamaḥ śarva- BhStc_111a	aho svAdutamaH Sarva BhStt-_111a
   ānandaḥ kaścid īkṣyate BhStc_61b	AnandaH kaScid Ikzyate BhStt-_61b
   -ānyānyāṃ sthitim ūhitum BhStc_80b	-a-anyA-anyAm sTitim Uhitum BhStt-_80b
   ābrahmakrimi yasmin no BhStc_48c	Abrahma-krimi yasmin naH BhStt-_48c
   ārambhaḥ sarvakāryāṇāṃ BhStc_49a	AramBaH sarva-kAryANAm BhStt-_49a
   ārambhe bhava sarvatra BhStc_45a	AramBe Bava sarvatra BhStt-_45a
   icchāyā eva yasyeyat BhStc_32a	icCAyAH eva yasya-iyat BhStt-_32a
   iti dolāyate janaḥ BhStc_117d	iti dolAyate janaH BhStt-_117d
   iti nātha numaḥ kiṃ tvāṃ BhStc_97c	iti nATa numaH kim tvAm BhStt-_97c
   iti bhaktirasādhmātā BhStc_68c	iti Bakti-rasa-ADmAtAH BhStt-_68c
   iti labdho 'pi karhi tvaṃ BhStc_56c	iti labDaH api karhi tvam BhStt-_56c
   iti śaktilatā yasya BhStc_34c	iti Sakti-latA yasya BhStt-_34c
   ity āśaṃseha śobheta BhStc_102c	iti ASaMsa-iha SoBeta BhStt-_102c
   uddhartuṃ bhavato 'nyasya BhStc_46c	udDartum BavataH anyasya BhStt-_46c
   uddhṛtya vimalīkṛtam BhStc_10b	udDRtya vimalIkRtam BhStt-_10b
   unmṛṣṭatamasaṃ ramyām BhStc_12c	unmRzwa-tamasam ramyAm BhStt-_12c
   upabhoktuṃ ya udyatāḥ BhStc_20d	upaBoktum ye udyatAH BhStt-_20d
   upari tvayi yā sthitiḥ BhStc_110b	upari tvayi yA sTitiH BhStt-_110b
   upary upari dhāvanti BhStc_33c	upari upari DAvanti BhStt-_33c
   upasaṃhṛtakāmāya BhStc_51a	upasaMhRta-kAmAya BhStt-_51a
   ekavīrā smṛtir yasya BhStc_81c	eka-vIrA smRtiH yasya BhStt-_81c
   ekaiveśa bhavacchaktiḥ BhStc_106c	ekA-eva-ISa Bavat-SaktiH BhStt-_106c
   eṣa toṣita ity ayam BhStc_22b	eza tozitaH iti ayam BhStt-_22b
