   BhP_12.01.001/0 śrī-śuka uvāca	BhP_12.01.001/0 SrI-SukaH uvAca
   BhP_12.01.001/1 yo 'ntyaḥ purañjayo nāma bhaviṣyo bārahadrathaḥ	Bhu-_12.01.001/1 yaH antyaH puraQjayaH nAma BavizyaH bArahadraTaH
   BhP_12.01.001/3 tasyāmātyas tu śunako hatvā svāminam ātma-jam	Bhu-_12.01.001/3 tasya-amAtyaH tu SunakaH hatvA svAminam Atma-jam
   BhP_12.01.002/1 pradyota-saṃjñaṃ rājānaṃ kartā yat-pālakaḥ sutaḥ	Bhu-_12.01.002/1 pradyota--saMjQam rAjAnam kartA yat-pAlakaH sutaH
   BhP_12.01.002/3 viśākhayūpas tat-putro bhavitā rājakas tataḥ	Bhu-_12.01.002/3 viSAKayUpaH tat-putraH BavitA rAjakaH tatas-
   BhP_12.01.003/1 nandivardhanas tat-putraḥ pañca pradyotanā ime	Bhu-_12.01.003/1 nandivarDanaH tat-putraH paQca pradyotanAH ime
   BhP_12.01.003/3 aṣṭa-triṃśottara-śataṃ bhokṣyanti pṛthivīṃ nṛpāḥ	Bhu-_12.01.003/3 azwa-triMSa-uttara--Satam Bokzyanti pRTivIm nRpAH
   BhP_12.01.004/1 śiśunāgas tato bhāvyaḥ kākavarṇas tu tat-sutaḥ	BhP_12.01.004/1 SiSunAgaH tatas BAvyaH kAka-varNaH tu tat-sutaH
   BhP_12.01.004/3 kṣemadharmā tasya sutaḥ kṣetrajñaḥ kṣemadharma-jaḥ	Bhu-_12.01.004/3 kzemaDarmA tasya sutaH kzetrajQaH kzema-Darma--jaH
   BhP_12.01.005/1 vidhisāraḥ sutas tasyā- jātaśatrur bhaviṣyati	BhP_12.01.005/1 viDisAraH sutaH tasyA jAtaSatruH Bavizyati
   BhP_12.01.005/3 darbhakas tat-suto bhāvī darbhakasyājayaḥ smṛtaḥ	Bhu-_12.01.005/3 darBakaH tat-sutaH BAvI darBakasya-ajayaH smRtaH
   BhP_12.01.006/1 nandivardhana ājeyo mahānandiḥ sutas tataḥ	Bhu-_12.01.006/1 nandivarDanaH AjeyaH mahAnandiH sutaH tatas-
   BhP_12.01.006/3 śiśunāgā daśaivaite saṣṭy-uttara-śata-trayam	BhP_12.01.006/3 SiSunAgAH daSa-eva-ete sazwi--uttara--Sata-trayam
   BhP_12.01.007/1 samā bhokṣyanti pṛthivīṃ kuru-śreṣṭha kalau nṛpāḥ	Bhu-_12.01.007/1 samAH Bokzyanti pRTivIm kuru--SrezWa kalO nRpAH
   BhP_12.01.007/3 mahānandi-suto rājan śūdrā-garbhodbhavo balī	Bhu-_12.01.007/3 mahAnandi--sutaH rAjan SUdrA--garBodBavaH balI
   BhP_12.01.008/1 mahāpadma-patiḥ kaścin nandaḥ kṣatra-vināśa-kṛt	Bhu-_12.01.008/1 mahApadma--patiH kaScid nandaH kzatra-vinASa-kRt
   BhP_12.01.008/3 tato nṛpā bhaviṣyanti śūdra-prāyās tv adhārmikāḥ	Bhu-_12.01.008/3 tatas nRpAH Bavizyanti SUdra--prAyAH tu aDArmikAH
   BhP_12.01.009/1 sa eka-cchatrāṃ pṛthivīm anullaṅghita-śāsanaḥ	Bhu-_12.01.009/1 saH eka-cCatrAm pRTivIm anullaFGita-SAsanaH
   BhP_12.01.009/3 śāsiṣyati mahāpadmo dvitīya iva bhārgavaḥ	Bhu-_12.01.009/3 SAsizyati mahApadmaH dvitIyaH iva BArgavaH
   BhP_12.01.010/1 tasya cāṣṭau bhaviṣyanti sumālya-pramukhāḥ sutāḥ	Bhu-_12.01.010/1 tasya ca-azwO Bavizyanti sumAlya--pramuKAH sutAH
