   [dhana-ṛṇa-ṣaṣ-vidham]	[Dana--RNa--zaz-viDam]
   BG_1a/ utpādakam yad pravadanti buddhes adhiṣṭhitam sat-puruṣeṇa sāṃkhyās/	Bu-_1a/ utpAdakam yat pravadanti budDeH aDizWitam sat--puruzeNa sAMKyAs/
   BG_1c/ vyaktasya kṛtsnasya tad eka-bījam avyaktam īśam gaṇitam ca	Bu-_1c/ vyaktasya kRtsnasya tat eka-bIjam avyaktam ISam gaNitam ca
   vande//[upajāti]	vande//[upajAti]
   BG_2a/ pūrvam proktam vyaktam avyakta-bījam prāyas praśnās no vinā	Bu-_2a/ pUrvam proktam vyaktam avyakta-bIjam prAyas praSnAH naH vinA
   avyakta-yuktyā/	avyakta--yuktyA/
   BG_2c/ jñātum śakyās manda-dhībhis nitāntam yasmāt tasmāt vacmi	Bu-_2c/ jQAtum SakyAH manda-DIBiH nitAntam yasmAt tasmAt vacmi
   bīja-kriyām ca//[śālinī]	bIja--kriyAm ca//[-SAlinI]
   BG_3/ yoge yutis syāt kṣayayos svayos vā dhana-ṛṇayos antaram eva yogas/	Bu-_3/ yoge yutiH syAt kzayayoH svayoH vA Dana--RNayoH antaram eva yoga-s/
   BG_4a/ rūpa-trayam rūpa-catuṣṭayam ca kṣayam dhanam vā sahitam vada	BG_4a/ rUpa-trayam rUpa--catuzwayam ca kzayam Danam vA sahitam vada
   āśu//[upajāti]	ASu//[upajAti]
   BG_4c/ sva-ṛṇam kṣayam svam ca pṛthak-pṛthaktve dhana-ṛṇayos sṃkalanām	Bu-_4c/ sva-RNam kzayam svam ca pRTak--pRTaktve Dana--RNayoH sMkalanAm
   avaiṣi//[upajāti-ab; cd=7]	avEzi//[upajAti--ab; cd=7]
   BG_5/ atra rūpāṇām avyaktānām ca ādya-akṣarāṇi upalakṣaṇa-artham lekhyāni/	BG_5/ atra rUpANAm avyaktAnAm ca Adya--akzarANi upalakzaNa--arTam leKyAni/
   tathā yāni ūna-gatāni tāni ūrdhva-bindūni ca iti//[prose]	taTA yAni Una--gatAni tAni UrDva--bindUni ca iti//[prose]
   BG_6/ evam bhinneṣu api iti//[prose]	BG_6/ evam Binnezu api iti//[prose]
   BG_7/ saṃśodhyamānam svam ṛṇatvam eti svatvam kṣayas tad-yutis uktavat	Bu-_7/ saMSoDyamAnam svam RNa-tvam eti sva-tvam kzayaH tad--yutiH ukta-vat-
   ca//[upajāti-cd; ab=4cd]	ca//[upajAti--cd; ab=4cd]
   BG_8/ trayāt dvayam svāt svam ṛṇāt ṛṇam ca vyastam ca saṃśodhya vada āśu	Bu-_8/ trayAt dvayam svAt svam RNAt RNam ca vyastam ca saMSoDya vada ASu
   śeṣam//[upajāti-ab; cd=10]	Seza-m//[upajAti--ab; cd=10]
   BG_9/ svayos asvayos svam vadhas sva-ṛṇa-ghāte kṣayas//[bhujaṅgaprayāta-a	Bu-_9/ svayoH asvayoH svam vaDaH sva--RNa-GAte kzaya-s//[BujaFga-prayAta--a
   (+2akṣara); b=11; cd=13]	(+2akzara); b=11; cd=13]
   BG_10/ dhanam dhanena ṛṇam ṛṇena nighnam dvayam trayeṇa svam ṛṇena kim	Bu-_10/ Danam Danena RNam RNena niGnam dvayam trayeNa svam RNena kim
   syāt//[upajāti-cd; ab=8]	syAt//[upajAti--cd; ab=8]
   BG_11/ bhāga-hāre api ca evam niruktam//[bhujaṅgaprayāta-b (-2akṣara);	Bu-_11/ BAga-hAre api ca evam niruktam//[BujaFga-prayAta--B (-2akzara);
   a=9; cd=13]	a=9; cd=13]
   BG_12a/ rūpa-aṣṭakam rūpa-catuṣṭayena dhanam dhanena ṛṇam ṛṇena bhaktam/	BG_12a/ rUpa--azwakam rUpa--catuzwayena Danam Danena RNam RNena Baktam/
   BG_12c/ ṛṇam dhanena svam ṛṇena kim syāt drutam vada idam yadi	Bu-_12c/ RNam Danena svam RNena kim syAt drutam vada idam yadi
   bobudhīṣi//[upajāti]	bobuDIzi//[upajAti]
   BG_13/ kṛtis sva-ṛṇayos svam sva-mūle dhana-ṛṇe na mūlam kṣayasya asti	Bu-_13/ kRtiH sva--RNayoH svam sva-mUle Dana-RNe na mUlam kzayasya asti
   tasya akṛtitvāt//[bhujaṅgaprayāta-cd; a=9; b=11]	tasya akRti-tvAt//[BujaFga-prayAta--cd; a=9; b=11]
   BG_14/ dhanasya rūpa-tritayasya vargam kṣayasya ca brūhi sakhe mama āśu/	Bu-_14/ Danasya rUpa-tritayasya vargam kzayasya ca brUhi saKe mama ASu/
   BG_15/ dhana-ātmakānām adhana-ātmakānām mūlam navānām ca pṛthak vada	Bu-_15/ Dana-a-AtmakAnAm aDana-a-AtmakAnAm mUlam navAnAm ca pRTak vada
   āśu//[upajāti]	ASu//[upajAti]
   [śūnya-ṣaṣ-vidham]	[SUnya--zaz-viDam]
   BG_16/ kha-yoge viyoge dhana-ṛṇam tathā eva cyutam śūnya-tas	Bu-_16/ Ka-yoge viyoge Dana-RNam taTA eva cyutam SUnya--tas
   tad-viparyāsam eti//[bhujaṅgaprayāta-ab; cd=18]	tad--viparyAsam eti//[BujaFga-prayAta--ab; cd=18]
   BG_17/ rūoa-trayam svam kṣaya-gam ca kham ca kim syāt kha-yuktam vada	Bu-_17/ rUoa-trayam svam kzaya-gam ca Kam ca kim syAt Ka--yuktam vada
   kha-cyutam ca//[indravajrā-ab; cd=19]	Ka-cyutam ca//[indra-vajra-a-ab; cd=19]
   BG_18/ vadha-ādau viyat khasya kham khena ghāte kha-hāras bhavet khena	Bu-_18/ vaDa-AdO viyat Kasya Kam Kena GAte Ka-hAraH Bavet Kena
   bhaktas ca rāśis//[bhujaṅgaprayāta-cd; ab=16]	BaktaH ca rASi-s//[BujaFga-prayAta--cd; ab=16]
   BG_19/ dvi-ghnam tri-hṛt kham kha-hṛtam trayam ca śūnyasya vargam vada me	Bu-_19/ dvi-Gnam tri-hRd Kam Ka-hRtam trayam ca SUnyasya vargam vada me
   padam ca//[indravajrā-cd; ab=17]	padam ca//[indra-vajrA-cd; ab=17]
   BG_20a/ asmin vikāras kha-hareṇa rāśau api praviṣṭeṣu api niḥsṛteṣu/	Bu-_20a/ asmin vikAraH Ka-hareNa rASO api pravizwezu api niHsRtezu/
   BG_20c/ bahuṣu api syāt laya-sṛṣṭi-kāle anante acyute bhbūta0gaṇeṣu	Bu-_20c/ bahuzu api syAt laya--sRzwi--kAle anante acyute BbUta0-gaNezu
   yad-vat//[upajāti]	yat--vat//[-upajAti]
   [varṇa-ṣaṣ-vidham]	[varNa--zaz-viDam]
   BG_21a/ yāvattāvat-kālakas nīlakas anyas varṇas pītas lohitas ca	BG_21a/ yAvat-tAvat-kAlakaH nIlakaH anyaH varNaH pItaH lohitaH ca
   etad-ādyās/	etat--a-Adya-As/
   BG_21c/ avyaktānām kalpitās māna-saṃjñās tad-saṃkhyānam kartum	Bu-_21c/ avyaktAnAm kalpitAH mAna--saMjQAH tad--saMKyAnam kartum
   ācārya-varyais//[śālinī]	AcArya--varyEs//[-SAlinI]
   BG_22/ yogas antaram teṣu samāna-jātyos vibhinna-jātyos ca pṛthak sthitis	Bu-_22/ yogaH antaram tezu samAna--jAtyoH viBinna--jAtyoH ca pRTak sTiti-s
   ca//[upajāti-ab; cd=26ab]	ca//[upajAti--ab; cd=26ab]
   BG_23ab/ svam avyaktam ekam sakhe sa-eka-rūpam dhana-avyakta-yugmam	Bu-_23ab/ svam avyaktam ekam saKe sa--eka--rUpam Dana-avyakta--yugmam
   vi-rūpa-aṣṭakam ca/	vi-ru-upa-azwakam ca/
   BG_23cd/ yutau pakṣayos etayos kim dhana-ṛṇe viparyasya ca aikye bhavet	Bu-_23cd/ yutO pakzayoH etayoH kim Dana-RNe viparyasya ca Ekye Bavet-
   kim vada āśu//[bhujaṅgaprayāta]	kim vada ASu//[BujaFga-prayAta]
   BG_24/ dhana-avyakta-varga-trayam sa-tri-rūpam kṣaya-avyakta-yugmena	Bu-_24/ Dana-avyakta--varga--trayam sa-tri-rUpam kzaya--avyakta--yugmena
   yuktam ca kim syāt//[bhujaṅgaprayāta-ab; cd=25]	yuktam ca kim syAt-//[BujaFga-prayAta--ab; cd=25]
   BG_25/ dhana-avyakta-yugmāt ṛṇa-avyakta-ṣaṭkam sa-rūpa-aṣṭakam projjhya	Bu-_25/ Dana-avyakta-yugmAt RNa-avyakta--zawkam sa-rUpa--azwakam projJya
   śeṣam vada āśu//[bhujaṅgaprayāta-cd; ab=24]	Sezam vada ASu//[BujaFga-prayAta--cd; ab=24]
   BG_26a/ syāt rūpa-varṇa-abhihatau tu varṇas dvi-tri-ādikānām	Bu-_26a/ syAt rUpa-varNa--aBihatO tu varNaH dvi-tri-AdikAnAm
   sama-jātikānām//[upajāti-cd; ab=22]	sama-jAtikAnAm//[upajAti-cd; ab=22]
   BG_26c/ vadhe tu tad-varga-ghana-ādayas syus tad-bhāvitam ca	Bu-_26c/ vaDe tu tad--varga--Gana--AdayaH syuH tad--BAvitam ca
   asama-jāti-ghāte/	asama-jAti-GAte/
   BG_26e/ bhāga-ādikam rūpa-vat eva śeṣam vyakte yad uktam gaṇite tad	Bu-_26e/ BAga-a-Adikam rUpa-vat eva Sezam vyakte yat uktam gaNite tat-
   atra//[upajāti]	atra//[upajAti]
   BG_27a/ guṇyas pṛthak guṇa-khaṇḍa-samas niveśyas tais khaṇḍakais	Bu-_27a/ guNyaH pRTak guNa--KaNxa--samaH niveSyaH tEH KaNxakEH-
   krama-hatas sahitas yathā-uktyā/	krama-hataH sahitaH yaTA-uktyA/
   BG_27c/ avyakta-varga-karaṇī-guṇanāsu cintyas	Bu-_27c/ avyakta-varga--karaNI--guNanAsu cintya-s
   vyakta-ukta-khaṇḍa-guṇanā-vidhis evam atra//[vasantatilakā]	vyakta--ukta--KaNxa--guNanA--viDiH evam atra//[vasanta-tilakA]
   BG_28a/ yāvattāvat-pañcakam vi-eka-rūpam yāvattāvadbhis tribhis	BG_28a/ yAvat-tAvat--paQcakam vi-eka--rUpam yAvat-tAvadBiH triBiH-
   sa-dvi-rūpais/	sa-dvi--rUpEH-/
   BG_28c/ saṃguṇya drāk brūhi guṇyam guṇam vā vyastam sva-ṛṇam kalpayitvā ca	Bu-_28c/ saMguNya drAk brUhi guNyam guNam vA vyastam sva--RNam kalpayitvA ca
   vidvan//[śālinī]	vidvan//[-SAlinI]
   BG_29a/ bhājyāt chedas śudhyati pracyutas san sveṣu sthānakeṣu krameṇa/	Bu-_29a/ BAjyAt CedaH SuDyati pracyutaH san svezu sTAnakezu krameNa/
   BG_29c/ yais yais varṇais saṃguṇas yais ca rūpais bhāga-hāre labdhayas tās	BG_29c/ yEH yEH varNEH saMguNaH yEH ca rUpEH BAga-hAre labDayaH tAH-
   syus atra//[śālinī]	syuH atra//[-SAlinI]
   BG_30/ rūpais ṣaḍbhis varjitānām caturṇām avyaktānām brūhi vargam sakhe	Bu-_30/ rUpEH zaxBiH varjitAnAm caturNAm avyaktAnAm brUhi vargam saKe
   me/[śālinī-ab]	me/[SAlinI-ab]
   BG_31a/ kṛtibhyas ādāya padāni teṣām dvayos dvayos ca abhihatim	Bu-_31a/ kRtiByaH AdAya padAni tezAm dvayoH dvayoH ca aBihatim
   dvi-nighnīm/	dvi-niGnIm/
   BG_31c/ śeṣāt tyajet rūpa-padam gṛhītvā ced santi rūpāṇi tathā eva	Bu-_31c/ SezAt tyajet rUpa-padam gRhItvA ced santi rUpANi taTA eva
   śeṣam//[upajāti]	Sezam//[upajAti]
   BG_32a/ yāvattāvat-kālaka-nīlaka-varṇās tri-pañca-sapta-dhanam/	Bu-_32a/ yAvat-tAvat--kAla-ka-nIlaka-varNAH tri-paQca-sapta-Danam/
   BG_32c/ dvi-tri-eka-mitais kṣaya-gais sahitās rahitās kati syus	Bu-_32c/ dvi-tri--eka-mitEH kzaya-gEH sahitAH rahitAH kati syuH-
   tais//[āryā]	tEs//[AryA]
   BG_33a/ yāvattāvat-trayam ṛṇam ṛṇam kālakau nīlakas svam rūpeṇa āḍhyās	BG_33a/ yAvat-tAvat--trayam RNam RNam kAlakO nIlakaH svam rUpeNa AXyAH-
   dvi-guṇita-mitais tais tu tais eva nighnās/	dvi-guNita-mitEH tEH tu tEH eva niGnAs/
   BG_33c/ kim syāt teṣām guṇana-ja-phalam guṇya-bhaktam ca kim syāt guṇyasya	Bu-_33c/ kim syAt tezAm guNana-ja--Palam guNya--Baktam ca kim syAt guNyasya
   atha prakathaya kṛtim mūlam asyās kṛtes ca//[mandākrāntā]	aTa prakaTaya kRtim mUlam asyAH kRteH ca//[manda-AkrAntA]
   [karaṇī-ṣaṣ-vidham]	[karaNI--zaz-viDam]
   BG_34a/ yogam karaṇyos mahatīm prakalpya ghātasya mūlam dvi-guṇam laghum	Bu-_34a/ yogam karaNyoH mahatIm prakalpya GAtasya mUlam dvi-guNam laGum
   ca/	ca/
   BG_34c/ yoga-antare rūpa-vat etayos te vargeṇa vargam guṇayet bhajet	Bu-_34c/ yoga-antare rUpa-vat etayoH te vargeNa vargam guNayet Bajet-
   ca//[indravajrā]	ca//[-indra-vajrA]
   BG_34e/ laghvyā hṛtāyās tu padam mahatyā sa-ekam nir-ekam sva-hatam	Bu-_34e/ laGvyAH hRtAyAH tu padam mahatyA sa--ekam nir-ekam sva-hatam
   laghu-ghnam/	laGu-Gnam/
   BG_34g/ yoga-antare stas kramaśas tayos vā pṛthak-sthitis syāt yadi na	Bu-_34g/ yoga-antare staH kramaSas tayoH vA pRTak--sTitiH syAt yadi na
   asti mūlam//[upajāti]	asti mUlam-//[upajAti]
   BG_35a/ dvika-aṣṭa-mityos tri-bha-saṃkhyayos ca yoga-antare brūhi sakhe	Bu-_35a/ dvika--azwa--mityoH tri-Ba--saMKyayoH ca yoga-antare brUhi saKe
   karaṇyos/ BH 35c/ tri-sapta-mityos ca ciram vicintya ced ṣaṣ-vidham vetsi	karaNya-Us/ BH 35c/ tri-sapta--mityoH ca ciram vicintya ced zaz-viDam vetsi
   sakhe karaṇyās//[upajāti]	saKe karaNI-As//[upajAti]
   BG_36a/ dvi-tri-aṣṭa-saṃkhyā-guṇakas karaṇyos guṇyas tri-saṃkhyā ca	BG_36a/ dvi-tri--azwa--saMKyA-guNakaH karaNyoH guNyaH tri-saMKyA ca
   sa-pañca-rūpā/	sa-paQca--rUpA/
   BG_36c/ vadham pracakṣva āśu vi-pañca-rūpe guṇe atha vā tri-arka-mite	Bu-_36c/ vaDam pracakzva ASu vi-paQca--rUpe guNe aTa vA tri--arka--mite
   karaṇyau//[upajāti]	karaNyO//[upajAti]
   BG_37a/ kṣayas bhavet ca kṣaya-rūpa-vargas ced sādhyate asau	Bu-_37a/ kzayaH Bavet ca kzaya-rUpa-vargaH ced sADyate asO
   karaṇītva-hetos/ BH 37c/ ṛṇa-ātnikāyās ca tathā karaṇyās mūlam kṣayas	karaNI-tva--heta-us/ BH 37c/ RNa--AtnikAyAH ca taTA karaNyAH mUlam kzaya-s
   rūpa-vidhāna-hetos//[upajāti]	rUpa--viDAna--hetA-Us//[upajAti]
   BG_38a/ dhana-ṛṇa-tā-vyatyayam īpsitāyās chede karaṇyās asakṛt vidhāya/	Bu-_38a/ Dana--RNa-tA--vyatyayam IpsitAyAH Cede karaNyAH asakRt viDAya/
   BG_38c/ tādṛś chidā bhājya-harau nihanyāt ekā eva yāvat karaṇī hare	Bu-_38c/ tAdRS CidA BAjya--harO nihanyAt ekA eva yAvat karaNI hare
   syāt//[upajāti]	syAt//[upajAti]
   BG_38e/ bhājyās tayā bhājya-gatās karaṇyas labdhās karaṇyas yadi yoga-jās	Bu-_38e/ BAjyAH tayA BAjya--gatAH karaNyaH labDAH karaNyaH yadi yoga-jAH-
   syus/ BH 38g/ viśleṣa-sūtreṇa pṛthak ca kāryā yathā tathā praṣṭus	syus/ BH 38g/ viSleza--sUtreNa pRTak ca kAryA yaTA taTA prazwuH-
   abhīpsitās syus//[upajāti]	aBIpsitAH syu-s//[upajAti]
   BG_39a/ vargeṇa yoga-karaṇī vihṛtā viśudhyet khaṇḍāni tad-kṛti-padasya	BG_39a/ vargeNa yoga-karaNI vihRtAH viSuDyet KaNxAni tad--kRti-padasya
   yathā-īpsitāni/	yaTA-A-IpsitAni/
   BG_39c/ kṛtvā tadīya-kṛtayas khalu pūrva-labdhyā kṣuṇṇās bhavanti pṛthak	Bu-_39c/ kRtvA tadIya--kRtayaH Kalu pUrva-labDyA kzuNNAH Bavanti pRTak-
   evam imās karaṇyas//[vasantatilakā]	evam imAH karaNI-as//[vasanta-tilakA]
   BG_40a/ dvika-tri-pañca-pramitās karaṇyas tāsām kṛtim dvi-trika-saṃkhyayos	Bu-_40a/ dvi-ka-tri-paQca--pramitAH karaNyaH tAsAm kRtim dvi-trika--saMKyayoH-
   ca/	ca/
   BG_40c/ ṣaṣ-pañcaka-dvi-trika-saṃmitānām pṛthak pṛthak me kathaya āśu	Bu-_40c/ zaz-paQcaka-dvi-trika--saMmitAnAm pRTak pRTak me kaTaya ASu
   vidvan//[upajāti]	vidvan//[upajAti]
   BG_40e/ aṣṭādaśa-aṣṭa-dvika-saṃmitānām kṛtī kṛtīnām ca sakhe	Bu-_40e/ azwAdaSa--azwa--dvika--saMmitAnAm kRtI kRtInAm ca saKe
   padāni//[upajāti-ab; cd=43ab]	padA-ni//[upajAti--ab; cd=43ab]
   BG_41a/ varge karaṇyās yadi vā karaṇyos tulyāni rūpāṇi atha vā bahūnām/	Bu-_41a/ varge karaNyAH yadi vA karaNyoH tulyAni rUpANi aTa vA bahUnAm-/
   BG_41c/ viśodhayet rūpa-kṛtes padena śeṣasya rūpāṇi	Bu-_41c/ viSoDayet rUpa-kRteH padena Sezasya rUpANi
   yuta-ūnitāni//[upajāti]	yuta--Unita-ani//[upajAti]
   BG_41e/ pṛthak tad-ardhe karaṇī-dvayam syāt mūle atha bahvī karaṇī tayos	Bu-_41e/ pRTak tad--arDe karaNI--dvayam syAt mUle aTa bahvI karaNI tayos
   yā/	yA/
   BG_41g/ rūpāṇi tāni evam atas api bhūyas śeṣās karaṇyas yadi santi	Bu-_41g/ rUpANi tAni evam atas api BUyas SezAH karaNyaH yadi santi
   varge//[upajāti]	varge//[upajAti]
   BG_42a/ ṛṇa-ātmikā ced karaṇī kṛtau syāt dhana-ātmikām tām parikalpya	BG_42a/ RNa-A-AtmikA ced karaNI kRtO syAt Dana-a-AtmikAm tAm parikalpya
   sādhye/	sADye/
   BG_42c/ mūle karaṇyau anayos abhīṣṭā kṣaya-ātmikā ekā su-dhiyā	BG_42c/ mUle karaNyO anayoH aBIzwA kzaya--AtmikA ekA su-DiyA
   avagamyā//[upajāti]	avagamya-a//[upajAti]
   BG_43a/ tri-sapta-mityos vada me karaṇyos viśleṣa-vargam kṛtitas padam	Bu-_43a/ tri-sapta-m-ityoH vada me karaNyoH viSleza--vargam kRtitaH padam
   ca/[upajāti-cd; ab=40ef]	ca/[-upajAti-cd; ab=40ef]
   BG_43c/ dvika-tri-pañca-pramitās karaṇyas sva-sva-ṛṇa-gās	Bu-_43c/ dvi-ka-tri-paQca--pramitAH karaNyaH sva--sva-RNa-gAH-
   vyasta-dhana-ṛṇa-gās vā/	vyasta--Dana--RNa-gAH vA/
   BG_43e/ tāsām kṛtim brūhi kṛtes padam ca ced ṣaṣ-vidham vetsi sakhe	Bu-_43e/ tAsAm kRtim brUhi kRteH padam ca ced zaz-viDam vetsi saKe
   karaṇyās//[upajāti]	karaNI-As//[upajAti]
   BG_44a/ eka-ādi-saṃkalita-mita-karaṇī-khaṇḍāni varga-rāśau syus/	Bu-_44a/ eka-Adi-saMkalita--mita-karaNI---KaNxAni varga-rASO syus/
   BG_44c/ varge karaṇī-tritaye karaṇī-dvitayasya tulya-rūpāṇi//[gīti]	Bu-_44c/ varge karaNI-tritaye karaNI-dvitayasya tulya--rUpa-aNi//[gIti]
