   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   atha brahmāṇḍamahāpurāṇamadhyabhāgaprārambhaḥ /	aTa brahmANxa mahApurANa maDya BAga prAramBaH /
   śāṃśapāyana uvāca	SAMSapAyanaH uvAca
   pādaḥ śekto dvitīyastu anuṣaṅgena nastvayā /	pAdaH SektaH dvitIyaH tu anuzaFgena naH tvayA /
   tṛtīyaṃ vistarātpādaṃ sopoddhātaṃ pravarttaya // BndP_2,1.1 //	tRtIyam vistarAt pAdam sa upodDAtam pravarttaya // Bndu _2,1.1 //
   sūta uvāca	sUtaH uvAca
   kīrttayiṣye tṛtīyaṃ vaḥ sopoddhātaṃ savistaram /	kIrttayizye tRtIyam vaH sa upodDAtam sa vistaram /
   pādaṃ samuccayādviprā gadato me nibodhata // BndP_2,1.2 //	pAdam samuccayAt viprAH gadataH me niboData // Bndu _2,1.2 //
   manorvaivasvatasyemaṃ sāṃprataṃ tu mahātmanaḥ /	manoH vEvasvatasya imam sAMpratam tu mahAtmanaH /
   vistareṇānupūrvyā ca nisargaṃ śṛṇuta dvijāḥ // BndP_2,1.3 //	vistareNa AnupUrvyA ca nisargam SRNuta dvijAH // Bndu _2,1.3 //
   caturyugaikasa ptatyā saṃkhyātaṃ pūrvameva tu /	catur yuga ekasa ptatyA saMKyAtam pUrvam eva tu /
   maha devagaṇaiścaiva ṛṣibhirdānavaissaha // BndP_2,1.4 //	maha deva gaNEH ca eva RziBiH dAnavEH saha // Bndu _2,1.4 //
   pitṛgandharvayakṣaiśca rakṣobhūtamahoragaiḥ /	pitR ganDarva yakzEH ca rakzaH BUta mahA uragEH /
   mānuṣaiḥ paśubhiścaiva pakṣibhiḥ sthāvaraiḥ saha // BndP_2,1.5 //	mAnuzEH paSuBiH ca eva pakziBiH sTAvarEH saha // Bndu _2,1.5 //
   manvādikaṃ bhaviṣyāntamākhyānairbahubhiryutam /	manu Adikam Bavizya antam AKyAnEH bahuBiH yutam /
   vakṣye vaivasvataṃ sargaṃ namaskṛtya vivasvate // BndP_2,1.6 //	vakzye vEvasvatam sargam namaskRtya vivasvate // Bndu _2,1.6 //
   ādye manvantare 'tītāḥ sargaprāvarttakāstu ye /	Adye manvantare atItAH sarga prAvarttakAH tu ye /
   svāyaṃbhuveṃ'tare pūrvaṃ saptāsanye maharṣayaḥ // BndP_2,1.7 //	svAyaMBuveM atare pUrvam sapta Asanye mahA RzayaH // Bndu _2,1.7 //
   cākṣuṣasyāntare 'tīte prāpte vaivasvate punaḥ /	cAkzuzasya antare atIte prApte vEvasvate punar /
   dakṣasya ca ṛṣīṇāṃ ca bhṛgvādīnāṃ mahaujasām // BndP_2,1.8 //	dakzasya ca RzINAm ca BRgu AdInAm mahA ojasAm // Bndu _2,1.8 //
   śāpānmaheśvarasyāsītprādurbhāvo mahātmanām /	SApAt maheSvarasya AsIt prAdurBAvaH mahAtmanAm /
   bhūyaḥ saptarṣayastvevamutpannāḥ sapta mānasāḥ // BndP_2,1.9 //	BUyas saptarzayaH tu evam utpannAH sapta mAnasAH // Bndu _2,1.9 //
   putratve kalpitāścaiva svayameva svayaṃbhuvā /	putra tve kalpitAH ca eva svayam eva svayaMBuvA /
   prajāsaṃtānakṛdbhistairutpadadbhirmahātmabhiḥ // BndP_2,1.10 //	prajA saMtAna kRdBiH tEH utpadadBiH mahAtmaBiH // Bndu _2,1.10 //
   punaḥ pravarttitaḥ sargo yathāpūrvaṃ yathākramam /	punar pravarttitaH sargaH yaTApUrvam yaTAkramam /
   teṣāṃ prasūtiṃ vakṣyāmi viśuddhajñānakarmaṇām // BndP_2,1.11 //	tezAm prasUtim vakzyAmi viSudDa jQAna karmaNAm // Bndu _2,1.11 //
   samāsavyāsayogābhyāṃ yathāvadanupūrvaśaḥ /	samAsa vyAsa yogAByAm yaTAvat anupUrvaSas /
   yeṣāmanvayasaṃbhūtailar eko 'yaṃ sacarācaraḥ /	yezAm anvaya saMBUta elar ekaH ayam sa carAcaraH /
