   # atha dvitīyo 'dhyāyaḥ /.#	# aTa dvitIyaH aDyAyaH /.#
   saccidānandarūpāya kṛṣṇāyākliṣṭakāriṇe /	saccidAnanda rUpAya kRzNAya aklizwa kAriNe /
   namo vedāntavedyāya gurave buddhisākṣiṇe //1//	namaH vedAnta vedyAya gurave budDi sAkziNe //1//
   sāṃkhyādismṛtiyuktibhirna calito vedāntasiddhāntago	sAMKya Adi smRti yuktiBiH na calitaH vedAnta sidDAnta go
   nirmūlairvividhāgamairavidito vyomādijanmāpyayaḥ /	nirmUlEH viviDa AgamEH aviditaH vyoma Adi janma apyayaH /
   utpattyantavivarjitaścitivapurvyāpi ca kartāṃśako liṅgena prathito 'pi	utpatti anta vivarjitaH citi vapuH vyApi ca kartA aMSakaH liFgena praTitaH api
   nāmatanukṛttaṃ jānakīśaṃ bhaje //2//	nAma tanu kRttam jAnakISam Baje //2//
   START BsRp_2,1.1.1ḥ	START BsRp _2,1.1.1H
   smṛtyanavakāśadoṣaprasaṅga iti cen nānyasmṛtyanavakāśadoṣaprasaṅgāt |	smRti anavakASa doza prasaFgaH iti ced na anya smRti anavakASa doza prasaFgAt |
   BBs_2,1.1 |	BBH _2,1.1 |
   'nāmarūpe vyākaravāṇi'iti śruternāmatanukṛdapi saṃjñāmūrtivyākartāpi	anAma rUpe vyAkaravANi aiti SruteH nAma tanukRt api saMjQA mUrti vyAkartA api
   liṅgaśarīropādhinā karteti aṃśa iti ca prathitaḥ prasiddho yastaṃ	liFga SarIra upADinA kartA iti aMSaH iti ca praTitaH prasidDaH yaH tam
   pratyagabhinnaṃ paramātmānaṃ mūlaprakṛtiniyantāraṃ bhaje ityarthaḥ /	pratyagaBinnam paramAtmAnam mUlaprakRti niyantAram Baje iti arTaH /
   smṛtiprasaṅgātpūrvottarādhyāyayorviṣayaviṣayibhāvasaṃgatiṃ vaktuṃ vṛttaṃ	smRti prasaFgAt pUrva uttara aDyAyayoH vizaya vizayi BAva saMgatim vaktum vRttam
   kīrtayati # prathame 'dhyāya iti /.#	kIrtayati # praTame aDyAyaH iti /.#
   janmādisūtramārabhya jagadutpattyādikāraṇaṃ brahmeti pratipāditaṃ,	janma Adi sUtram AraBya jagat utpatti Adi kAraNam brahma iti pratipAditaM,
   'śāstradṛṣṭyā tu'ityādisūtreṣu sa evādvitīyaḥ sarvātmetyuktaṃ,	aSAstra dRzwyA tu aitya Adi sUtrezu saH eva advitIyaH sarva AtmA iti uktaM,
   'ānumānikam'ityādinā kāraṇāntarasyāśrautatvaṃ darśitamityarthaḥ /	aAnumAnikam aitya AdinA kAraNa antarasya aSrOta tvam darSitam iti arTaH /
   evaṃ prathamādhyāyasyārthamanūdya tasmin viṣaye virodhaparihāraviṣayiṇaṃ	evam praTama aDyAyasya arTam anUdya tasmin vizaye viroDa parihAra vizayiNam
   dvitīyādhyāyasyārthaṃ pādaśaḥ saṃkṣipya kathayati # idānīmiti /.#	dvitIya aDyAyasya arTam pAdaSas saMkzipya kaTayati # idAnIm iti /.#
   atra prathamapāde samanvayasya sāṃkhyādismṛtiyuktibhirvirodhaparihāraḥ	atra praTama pAde samanvayasya sAMKya Adi smRti yuktiBiH viroDa parihAraH
   kriyate /	kriyate /
   dvitīyapāde sāṃkhyādyāgamānāṃ bhrāntimūlatvamavirodhāya kathyate /	dvitIya pAde sAMKya Adi AgamAnAm BrAnti mUla tvam aviroDAya kaTyate /
   tṛtīyapāde prativedāntaṃ sṛṣṭiśrutīnāṃ jīvātmaśrutīnāṃ ca	tRtIya pAde prativeda antam sRzwi SrutInAm jIva Atma SrutInAm ca
   vyomādimahābhūtānāṃ janmalayakramādikathanenāvirodhaḥ pratipādyate /	vyoma Adi mahABUtAnAm janma laya krama Adi kaTanena aviroDaH pratipAdyate /
