   ADHYAYA 1	ADHYAYAH 1
   oṃ	om
   bṛhadāraṇyakopaniṣad	bRhadAraNyaka upanizad 
   oṃ pūrṇamadaḥ pūrṇamidaṃ pūrṇātpūrṇamadacyate /	om pUrNamadaH pUrNam idam pUrNAt pUrNam adacyate /
   pūrṇasya pūrṇamādāya pūrṇamevāvaśiṣyate //	pUrNasya pUrNam AdAya pUrNam eva avaSizyate //
   oṃ śāntiḥ ! śāntiḥ !! śāntiḥ !!!	om SAntiH ! SAntiH !! SAntiH !!!
   oṃ namo brahmādibhyo brahmavidyāsampradāyakartṛbhyo vaṃśaṛṣibhyo namo	om namaH brahma AdiByaH brahma vidyA sampradAya kartRByaH vaMSa RziByaH namaH 
   gurubhyaḥ /	guruByaH /
   'uṣā vā aśvasya'ityevamādyā vājasaneyibrāhmaṇopaniṣat /	auzAH vE aSvasya aiti evamAdyA vAjasaneyi brAhmaNa upanizad /
   tasyā iyamalpagranthā vṛttirārabhyate saṃsāravyāvivṛtsubhyaḥ	tasyAH iyam alpa granTAH vRttiH AraByate saMsAra vyAvivRtsuByaH
   saṃsārahetunivṛttisādhanabrahmātmaikatvavidyāpratipattaye /	saMsAra hetu nivRtti sADana brahma AtmA eka tva vidyA pratipattaye /
   seyaṃ brahmavidyā upaniṣacchabdhavācyātatparāṇāṃ sahetoḥ	sA iyam brahma vidyA upanizad SabDa vAcyA tatparANAm sa hetoH
   saṃsārasyātyantāvasādanāt /	saMsArasya atyanta avasAdanAt /
   upaniṣūvasyasadestadarthatvāt /	upanizUvasya sadeH tad arTa tvAt /
   tādarthyād grantho 'pyupaniṣad ucyate /	tAdarTyAt granTaH api upanizad ucyate /
   seyaṃ ṣaḍadhyāyī araṇye 'nūcyamānatvādāraṇyakam,bṛhattvātparimāṇato	sA iyam zaz aDyAyI araNye anUcyamAna tvAt AraNyakam,bRhat tvAt parimANataH 
   bṛhadāraṇyakam /	bRhadAraNyakam /
   tasyāsya karmakāṇḍena sambandho 'bhidhīyate /	tasya asya karma kANxena sambanDaH aBiDIyate /
   sarvo 'pyayaṃ vedaḥ	sarvaH api ayam vedaH
   pratyakṣānumānābhyāmanavagateṣṭāniṣṭaprāptiparihāropāya  prakāśanaparaḥ	pratyakza anumAnAByAm anavagata izwa anizwa prApti parihAra upAya prakASana paraH
   sarvapuruṣāṃ nisargata eva tatprāptiparihārayoriṣṭatvāt /	sarva puruzAm nisargataH eva tad prApti parihArayoH izwa tvAt /
   dṛṣṭaviṣaye ceṣṭāniṣṭaṣṭaprāptiparihāropāya  jñānasya	dRzwa vizaye ca izwA anizwazwa prApti parihAra upAya jQAnasya
   pratyakṣānumānābhyāmeva siddatvānnāgamānveṣaṇā /	pratyakza anumAnAByAm eva sidda tvA at na Agama anvezaNA /
   na cāsati janmāntarasambandhyātmāstitvavijñāne	na ca asati janma antara sambanDyAtma astitva vijQAne
   janmāntarasambandhyātmāstitvavijñāne	janma antara sambanDyAtma astitva vijQAne
   janmāntareṣṭāniṣṭaṣṭaprāptiparihārecchā syāt svabhāvavādidarśanāt /	janma antara izwA anizwazwa prApti parihAra icCA syAt svaBAva vAdi darSanAt /
   tasmājjanmāntarasambandhyātmāstitve	tasmAt janmAntara sambanDyAtma astitve
   janmāntareṣṭāniṣṭaṣṭaprāptiparihāropāyaviśeṣe ca śāstraṃ pravartate /	janma antara izwa anizwazwa prApti parihAra upAya viSeze ca SAstram pravartate /
   "yeyaṃ prete vicikitsā mānuṣye 'stītyeke nāyamastīti caike" (ka.u. 1 / 1 /	"yeyam prete vicikitsA mAnuzye asti iti eke na ayam asti iti ca eke" (ka.u. 1 / 1 /
   20) ityupakramya"astītyevopalabdhavyaḥ" (ka.u. 2 / 3 / 13)	20) iti upakramya"asti iti eva upalabDavyaH" (ka.u. 2 / 3 / 13)
   ityevamādinirṇayadarśanāt /	iti evamAdi nirNaya darSanAt /
   "yathā ca maraṇaṃ prāpya" (ka.u.2 / 2 / 6) ityupakramya"yonimanye	"yaTA ca maraNam prApya" (ka.u.2 / 2 / 6) iti upakramya"yonim anye
   prapadyante śarīratvāya dehinaḥ /	prapadyante SarIra tvAya dehinaH /
   sthāṇumanye 'nusaṃyanti yathākarma yathāśrutam"(ka.u.2 / 2 / 7) iti ca /	sTANum anye anusaMyanti yaTAkarma yaTASrutam "(ka.u.2 / 2 / 7) iti ca /
   "svayañjyotiḥ" (bṛ.u. 4 / 3 / 9) ityupakramya"taṃ vidyākarmaṇi	"svayan jyotiH" (bR.u. 4 / 3 / 9) iti upakramya"tam vidyA karmaNi
   samanvāramete"( 4 / 4 / 2 ) "puṇyo vai puṇena karmaṇā bhavati pāpaḥ	samanvAram ete"( 4 / 4 / 2 ) "puNyaH vE puNena karmaNA Bavati pApaH
   pāpena"( 3 / 2 / 13 ) iti ca /	pApena"( 3 / 2 / 13 ) iti ca /
   "jñapayiṣyāmi"(bṛ.u.2 / 1 / 15) ityupakramya"vijñānamayaḥ"(2 / 1 / 16) iti	"jQapayizyAmi "(bR.u.2 / 1 / 15) iti upakramya" vijQAna mayaH"(2 / 1 / 16) iti
   ca vyatiriktātmāstitvam /	ca vyatirikta Atma astitvam /
   tatpratyakṣaviṣayameveti cenna, vādivipratipattidarśanāt /	tad pratyakza vizayam eva iti ced na, vAdi vipratipatti darSanAt /
   na hi dehāntarasambandhina ātmanaḥ pratyakṣeṇāstitvavijñāne lokāyatikā	na hi deha antara sambanDinaH AtmanaH pratyakzeNa astitva vijQAne lokAyatikA
   bauddhāśca naḥ pratikūlāḥ syunāstyātmeti vadantaḥ /	bOdDAH ca naH pratikUlAH syunA asti AtmA iti vadantaH /
   na hi ghaṭādau pratyakṣaviṣaye kaścidvipratipadyate nāsti ghaṭa iti /	na hi Gawa AdO pratyakza vizaye kaScid vipratipadyate na asti GawaH iti /
   sthāṇvādau puruṣādidarśanānneti cenna nirūpite sthāṇvādau	sTANu AdO puruza Adi darSanAt na iti ced na nirUpite sTANu AdO
   vipratipattirbhavati /	vipratipattiH Bavati /
   vaināśikāstvahamitipratyaye jāyamāne 'pi dehāntaravyatiriktasya	vEnASikAH tu aham iti pratyaye jAyamAne api deha antara vyatiriktasya
   nāstitvameva pratijānate /	na astitvam eva pratijAnate /
   tasmātpratyakṣaviṣayavailakṣaṇyāt pratyakṣānnātmāstitvasiddhiḥ /	tasmAt pratyakza vizaya vElakzaNyAt pratyakzAt na Atma astitva sidDiH /
   tathānumānādapi /	taTA anumAnAt api /
   śrutyā ātmāstitve liṅgasya darśitvālliṅgasya ca pratyakṣaviṣayatvānneti	SrutyA Atma astitve liFgasya darSi tvAt liFgasya ca pratyakza vizaya tvAt na iti
   cenna, janmāntarasambandhasyāgrahaṇāt /	ced na, janma antara sambanDasya agrahaNAt /
   āgamena tvātmāstitve 'vagate vedapradarśitalaukikaliṅgaviśeṣaiśca	Agamena tu Atma astitve avagate veda pradarSita lOkika liFga viSezEH ca
   tadanusāriṇo mīmāṃsakāstārkikāśca ahampratyayaliṅgāni ca vaidikānyeva	tad anusAriNaH mImAMsakAH tArkikAH ca aham pratyaya liFgAni ca vEdikAni eva
   svamatiprabhavāṇīti kalpayanto vadanti pratyakṣaścānumeyaścātmeti /	sva m ati praBavANi iti kalpayantaH vadanti pratyakzaH ca anumeyaH ca AtmA iti /
   sarvathāpyastyātmā dehāntarasambandhītyevaṃ	sarvaTA api asti AtmA deha antara sambanDI iti evam
   pratipatturdehāntaragateṣṭāniṣṭaprāptiparihāropāyaviśeṣārthinastadviśeṣajñāpanāya	pratipattuH deha antara gata izwa anizwa prApti parihAra upAya viSeza arTinaH tad viSeza jQApanAya
   karmakāṇḍamārabdham /	karma kANxam ArabDam /
