   Ālambanaparīkṣāvṛttiḥ (Āpv)	Ālambana parIkzA vRttiH (Āpv)
   ācāryadiṅnāgakṛtā	AcArya diS nAga kRtA
   namaḥ sarvabuddhabodhisattvebhyaḥ	namaH sarva budDa boDisattveByaH
   ye cakṣurādijñānasyālambanaṃ bāhyārtho 'stītīcchanti / nanu te kalpayanti	ye cakzuH Adi jQAnasya Alambanam bAhya arTaH asti iti icCanti / nanu te kalpayanti
   paramāṇun; tatkāraṇātvāt[jñānasya] / saṃghātaṃ vā tadābhajñānasya	paramANun; tad kAraNA tvAt[jQAnasya] / saMGAtam vA tad ABajQAnasya
   jāyamānatvāt / tatra tāvat	jAyamAna tvAt / tatra tAvat 
   yadyapīndriyavijñaptergrāhyāṃśaḥ(=aṇavaḥ) kāraṇaṃ bhavet /	yadi api indriya vijQapteH grAhya aMSaH(=aNavaH) kAraNam Bavet /
   atadābhatayā tasyā nākṣavadviṣayaḥ sa tu(aṇavaḥ) // Āv_1 //	atad ABatayA tasyAH na akza vat vizayaH sa tu(aNavaH) // Āu _1 //
   viṣaya iti / jñānena svarūpa meva nirdhāryate / tadākāratayā jāyamānatvāt	vizayaH iti / jQAnena svarUpa mA iva nirDAryate / tad AkAratayA jAyamAna tvAt 
   / yadyapyaṇavaḥ tatkāraṇam / tathāpi na tādṛśāḥ akṣavat / evañca	/ yadi api aNavaH tad kAraNam / taTA api na tAdRSAH akza vat / evaQca
   nāṇavastāvadālambanam / saṃghātastu tadābhatve 'pi[jñānamya nālambanam /	na aNavaH tAvat Alambanam / saMGAtaH tu tad ABa tve api [jQAnamya na Alambanam /
   yataḥ]	yatas ]
   yadābhāsā na tasmātsā	yad ABAsA na tasmAt sA
   yo 'rthaḥ svāvabhāsivijñaptimutpādayati sahyālambanaṃ yujyate / yataḥ sa	yaH arTaH sva avaBAsi vijQaptim utpAdayati sahya Alambanam yujyate / yatas sa
   eva hyutpattipratyaya ucyate / saṃghātastu naivam /	eva hi utpatti pratyayaH ucyate / saMGAtaH tu na evam /
   dravyābhāvād dvicandravat /	dravya aBAvAt dvi candra vat /
   indriyavaikalyāt dvicandradarśanasya tadābhatve 'pi na tasya viṣayo 'sti /	indriya vEkalyAt dvi candra darSanasya tad ABa tve api na tasya vizayaH asti /
   tadvat saṃghātaḥ dravyato 'sattvena akāraṇātvāt nālambanam /	tadvat saMGAtaH dravyataH asattvena akAraNAtvAt na Alambanam /
   evaṃ bāhyadūyañcaiva na yuktaṃ matigocaraḥ // Āv_2 //	evam bAhyadUyaQcA eva na yuktam mati gocaraH // Āu _2 //
   aṇuḥ kalāpaśceti bāhyo 'rthaḥ nālambanam, ekāṅgavaikalyāt // tatra	aNuH kalApaH ca iti bAhyaH arTaH na Alamba nam, eka aFga vEkalyAt // tatra
   sādhanaṃ sañcitākāramicchanti kila kecana /	sADanam saQcita AkAram icCanti kila kecana /
   sarvo 'rtho bahvākāraḥ ataḥ tatra kenacidākāreṇa pratyakṣa ipyate /	sarvaH arTaH bahu AkAraH atas tatra kenacid AkAreNa pratyakzaH ipyate /
   paramāṇuṣvapyasti sañcitābhajñānotpattikāraṇabhāvaḥ /	paramANuzu api asti saQcita ABa jQAna utpatti kAraNa BAvaH /
   aṇvākāro na vijñapterarthaḥ kaṭhinatādivat // Āv_3 //	aNu AkAraH na vijQapteH arTaH kaWina tA Adi vat // Āu _3 //
   yathā kaṭhinatādi vidyamānamapi na cākṣuṣabuddhiviṣayaḥ / evamanutvamapi	yaTA kaWina tA Adi vidyamAnam api na cAkzuza budDi vizayaH / evam anutvam api
   bhaveddhaṭaśarāvādestathā sati samā matiḥ /	Bavet hawa SarAva AdeH taTA sati samA matiH /
   ghaṭaśarāvādiparamāṇuṣu bahuṣvapi na ko 'pi viśeṣo 'sti /	Gawa SarAva Adi paramANuzu bahuzu api na kaH api viSezaH asti /
   ākārabhedādbhedaśceta	AkAra BedAt BedaH ceta
   yadi manyase grīvādyākāraḥ viśeṣakriyā yena buddherviśeṣaṇamupādhirbhavet	yadi manyase grIvA Adi AkAraH viSeza kriyA yena budDeH viSezaNam upADiH Bavet 
   / iti / ayamupādhirdhaṭādāvasti /	/ iti / ayam upADiH DawAdO= asti /
   nāsti tu dravyasatyaṇau // Āv_4 //	na asti tu dravya satyaNO // Āu _4 //
   pramāṇabhedābhāvāt saḥ	pramANa Beda aBAvAt saH
   paramāṇuṣu dravyāntareṣvapi pārimaṇḍalye bhedo nāsti /	paramANuzu dravya antarezu api pArimaNxalye BedaH na asti /
   adravye 'sti tataḥ sa hi /	adravye asti tatas sa hi /
   ākārabhedaḥ saṃvṛtisatsvevāsti na tu paramāṇuṣu / ghaṭādayaśca	AkAra BedaH saMvRti satsu eva asti na tu paramANuzu / Gawa AdayaH ca
   saṃvṛtisanta eva //	saMvRtisantaH eva //
