   Garbhasaṅgrahaḥ / (Gs)	GarBa saFgrahaH / (Gs)
   namo mahākāruṇikāya /	namaH mahA kAruNikAya /
   trailokyaduḥkhasindhūnāṃ karmabhyaḥ kṣubdhavīcayaḥ /	trElokya duHKa sinDUnAm karmaByaH kzubDa vIcayaH /
   kuśalākuśalādibhyaḥ sāsravebhyo viniḥsṛtāḥ // Gs_1 //	kuSala akuSala AdiByaH sa AsraveByaH viniHsRtAH // Gs_1 //
   rāgadveṣāditastāni jātāni kleśahetutaḥ /	rAga dvezAt itaH tAni jAtAni kleSa hetutaH /
   teṣāmudbhavahetuścāpīṣṭāniṣṭādikastathā // Gs_2 //	tezAm udBava hetuH ca api izwA anizwa AdikaH taTA // Gs_2 //
   dvaidhagrahaṇato jātaḥ padārthagrāhakagrahāḥ /	dvEDa grahaNataH jAtaH padArTa grAhaka grahAH /
   nityavibhvaikatādyāśca samastotpādahetavaḥ // Gs_3 //	nitya viBvEkatA AdyAH ca samasta utpAda hetavaH // Gs_3 //
   bhāgyavān puruṣastasmāt muktikāṃkṣī parātmanoḥ /	BAgyavAn puruzaH tasmAt mukti kAMkzI para AtmanoH /
   pratītyādisuyuktīnām abhyāsairvinivārayet // Gs_4 //	prati iti Adi su yuktInAm aByAsEH vinivArayet // Gs_4 //
   bhāvānāṃ grahaṇaṃ tāvat dharmān bāhyāntarākhilān /	BAvAnAm grahaNam tAvat DarmAn bAhya antara aKilAn /
   sarvalakṣaṇahīnena cākāśena samaṃ bhajet // Gs_5 //	sarva lakzaNa hInena ca AkASena samam Bajet // Gs_5 //
   vastugrahābhibhūtaṃ tu lakṣyīkṛtyākhilaṃ jagat /	vastu graha aBiBUtam tu lakzyIkRtya aKilam jagat /
   duḥkhasāgarasaṃśoṣimahākāruṇyapūrvakam // Gs_6 //	duHKa sAgara saMSozi mahA kAruNya pUrvakam // Gs_6 //
   svaparārthabhavaṃ ratnaṃ bodhicittaṃ prabhāvayet /	sva para arTa Bavam ratnam boDi cittam praBAvayet /
   bodhicaryāmahāvīciṣaṭpāramitādikam // Gs_7 //	boDi caryA mahA vIci zaz pAramitA Adikam // Gs_7 //
   dhyānavyutthānayogena pañcamārgaiḥ kramād vrajet /	DyAna vyutTAna yogena paQca mArgEH kramAt vrajet /
   dvividhāvaraṇaṃ chittvā dvau saṃbhārau prapūrya ca // Gs_8 //	dviviDa AvaraNam CittvA dvO saMBArO prapUrya ca // Gs_8 //
   trikāyaphalamāptavyaṃ trikāyāpteśca lakṣaṇam /	tri kAya Palam Aptavyam trikAya ApteH ca lakzaNam /
   nabhovacchūnyatāyāścānābhogakaruṇāmbudāt // Gs_9 //	naBaH vat SUnyatAyAH ca anABoga karuNa ambudAt // Gs_9 //
   dvikāyāmṛtadhārābhirātridhātu sadārdrayan /	dvikAya amRta DArA aBirAtri DAtu sat A Ardrayan /
   bodhimaṇḍasubījebhyaḥ puṇyaśasyāni pācayet // Gs_10 //	boDimaNxa su bIjeByaH puNya SasyAni pAcayet // Gs_10 //
   hṛdayaṃ sarvabuddhānāṃ garbhasaṅgraha ityayam /	hRdayam sarva budDAnAm garBa saFgrahaH iti ayam /
   kālāntyādalpamāyuṣyaṃ bahurogāścālpabhogitā // Gs_11 //	kAla antyAt alpam Ayuzyam bahu rogAH ca alpa BogitAH // Gs_11 //
   durhetubahuvighnaiśca ciraṃ sthātumaśaktitaḥ /	durhetu bahu viGnEH ca ciram sTAtum aSaktitaH /
   padānucchedaśakyatvāt sanmitraṃ hi samāśrayet // Gs_12 //	pada anucCeda Sakya tvAt sat mitram hi samASrayet // Gs_12 //
   atyantavīryacittena prapātaṃ smaratā bhṛśam /	atyanta vIrya cittena prapAtam smaratA BRSam /
   saṅgṛhīto 'ñjasā garbho moktuṃ svaṃ ca paraṃ tathā // Gs_13 //	saFgRhItaH aQjasA garBaH moktum svam ca param taTA // Gs_13 //
   snehainaitatkṛtātpuṇyāt sattvāḥ sarve 'pi durbhagāḥ /	sneha ena etat kRtAt puNyAt sattvAH sarve api durBagAH /
   bodhicittamayā bhūtvā garbhaṃ gṛhṇantu cāñjasā // Gs_14 //	boDi citta mayA BUtvA garBam gRhNantu ca aQjasA // Gs_14 //
   garbhasaṅgraho nāma mahācārya dīpaṅkaraśrījñānaviracitaḥ samāptaḥ //	garBasaFgrahaH nAma mahA cArya  dIpaFkara SrI jQAna viracitaH samAptaH //
