   Tattvaratnāvalokaḥ (Tra)	Tattva ratna avalokaH (Tra)
   om namaḥ śrīsadgurupādebhyaḥ /	om namaH SrI sat guru pAdeByaH /
   anupamasukharūpī śrīnivāso 'nivāso nirupamadaśadevīrūpavidyaḥ savidyaḥ /	anupama suKa rUpI SrI nivAsaH anivAsaH nirupamadaSa devI rUpa vidyaH sa vidyaH /
   tribhuvanahitasaukhyaprāptikāro 'vikāro jayati kamalapāṇiryāvadāśāvikāsāḥ	triBuvana hita sOKya prApti kAraH avikAraH jayati kamala pANiH yAvat ASa avikAsAH
   // Tra_1 //	// TraH _1 //
   śrīmantranītigatacārucaturthasekarūpaṃ vidanti nahi ye sphuṭaśabdaśūnyam /	SrI mantra nIti gata cAru caturTa seka rUpam vidanti na hi ye sPuwa Sabda SUnyam /
   nānopadeśagaṇasaṃkulasaptabhedais teṣāṃ sphuṭāvagataye kriyate prayatnaḥ	nAnA upadeSa gaNa saMkula sapta BedEH tezAm sPuwa avagataye kriyate prayatnaH
   // Tra_2 //	// TraH _2 //
   saṃbhrāntabodhā nikhilā hi tīrthyās tattvasya sādhyasya ca rūpavittau /	saMBrAnta boDAH niKilAH hi tIrTyAH tattvasya sADyasya ca rUpa vittO /
   tebhyaḥ prakṛṣṭaḥ kila tattvavettā vedāntavādīti[jana] pravādaḥ // Tra_3	teByaH prakRzwaH kila tattva vettA vedAntavAdIti[jana] pravAdaH // Tra_3
   ānandarūpaṃ svavidaprakampyaṃ vedāntinaḥ sādhyamuṣanti sāntam /	Ananda rUpam sva vid a prakampyam vedAntinaH sADi amuzanti sAntam /
   saśrāvakākhaḍgajināśca sādhyam icchanti rūpādyupadhervirāmam // Tra_4 //	sa SrAvakAH Kaxga jinAH ca sADyam icCanti rUpa Adi upaDeH virAmam // TraH _4 //
   ākāraśūnyaṃ gaganendurūpaṃ pratyātmavedyaṃ karuṇārasaṃ ca /	AkAra SUnyam gagana indu rUpam pratyAtma vedyam karuNA rasam ca /
   sallakṣaṇairbhūṣitamarthakāri dānādiniṣyandamapetasaukhyam // Tra_5 //	sat lakzaNEH BUzitam arTa kAri dAna Adi nizyandam apeta sOKyam // TraH _5 //
   sānandasallakṣaṇamaṇḍitāṅgaṃ saṃbhujyamānaṃ daśabhūmisaṃsthaiḥ /	sa Ananda sat lakzaNa maNxita aFgam saMBujyamAnam daSa BUmi saMsTEH /
   sattvārthakāri pravadanti sādhyaṃ dānadiṣaṭpāramitānayasthā // Tra_6 //	sattva arTa kAri pravadanti sADyam dAnadizaz pAramitA naya sTAH // TraH _6 //
   saṃpūrya dānādiguṇānaśeṣān saṃbuddhya kṛtyaṃ sakalaṃ ca kṛtvā /	saMpUrya dAna Adi guNAn aSezAn saMbudDya kRtyam sakalam ca kRtvA /
   yabhdūtakoṭeḥ karaṇaṃ ca sākṣāt sādhyaṃ tadapyasti nirodharūpam // Tra_7	yaBdUta koweH karaNam ca sAkzAt sADyam tat api asti niroDa rUpam // Tra_7
   svābhāṅgaṇā(nā)śleṣi tadarthakāri duḥkhaiḥ sukhaiścaiva vimuktirūpam /	svABAFgaNA(nA)Slezi tad arTa kAri duHKEH suKEH ca eva vimukti rUpam /
   aśītyanuvyañjanabhūṣitāṅgam apetakalpaṃ pravadanti sādhyam // Tra_8 //	aSIti anuvyaQjana BUzita aFgam apeta kalpam pravadanti sADyam // TraH _8 //
   svadevatākāraviśeṣaśūnyaṃ prāgeva saṃbhāvya sukhaṃ sphuṭaṃ sat /	sva devatA AkAra viSeza SUnyam prAk eva saMBAvya suKam sPuwam sat /
   mahāsukhākhyaṃ jagadarthakāri cintāmaṇiprakhyamuvāca kaścit // Tra_9 //	mahAsuKa AKyam jagat arTa kAri cintAmaNi praKyam uvAca kaScid // Tra_9 //
   kṛtvā sākṣāt svādhipaṃ sātarūpaṃ paścāt tyaktvā sātamātraṃ phalaṃ syāt /	kRtvA sAkzAt svADipam sAta rUpam paScAt tyaktvA sa Ata mAtram Palam syAt /
   śuddhaṃ sākṣācchakyate naiva kartuṃ tenākāro bhāvitaḥ svādhipasya //	SudDam sAkzAt Sakyate na eva kartum tena AkAraH BAvitaH svADipasya //
   Tra_10 //	TraH _10 //
   gagaṇasamaśarīraṃ lakṣaṇairbhūṣitāṅgaṃ nirupamasukhapūrṇaṃ svābhayā	gagaNa sama SarIram lakzaNEH BUzita aFgam nirupama suKa pUrNam sva aBayA
   saṃgataṃ ca /	saMgatam ca /
   sphuradamitamunīndraḥ sarvasattvārthakāri pravadati punaranyaḥ	sPurat amita muni indraH sarva sattva arTa kAri pravadati punar anyaH
   sādhyamucchedaśūnyam // Tra_11 //	sADyam ucCeda SUnyam // TraH _11 //
   kṛtvā sākṣāt svādhipaṃ sātarūpaṃ bhāvopekṣājñānamātraṃ phalaṃ syāt /	kRtvA sAkzAt svADipam sAta rUpam BAva upekzA jQAna mAtram Palam syAt /
   āsaṃsārasthāyi sattvārthakāri cintāratnaprakhyamekāntaśāntam // Tra_12 //	AsaMsAra sTAyi sattva arTa kAri cintA ratna praKyam ekAnta SAntam // TraH _12 //
   kṛtvā sākṣānmaṇḍalaṃ sātarūpaṃ paścāttasya svecchayā nirvṛtiṃ ca /	kRtvA sAkzAt maNxalam sAta rUpam paScAt tasya sva icCayA nirvRtim ca /
   sattvārthasyāpyastyabhāvo na vāsmin prādurbhāvo nirvṛtādasti yasmāt //	sattva arTasya api asti aBAvaH na vA asmin prAdurBAvaH nirvRtAt asti yasmAt //
   Tra_13 //	TraH _13 //
   kṛtvā sphuṭaṃ rūpamabhīṣṭameṣāṃ paścānnirodhaṃ phalamāha kaścit /	kRtvA sPuwam rUpam aBIzwam ezAm paScAt niroDam Palam Aha kaScid /
   abhinnarūpaśca yato nirodho na pakṣabhede 'pi tato 'sti bhedaḥ // Tra_14	aBinna rUpaH ca yatas niroDaH na pakza Bede api tatas asti BedaH // TraH _14
   prajñājñānāduttaraṃ bodhicittāsvādasturyaṃ seṣa(ka)māhāvaraṃ tat /	prajQA jQAnAt uttaram boDi citta AsvAdaH turyam sa Iza(ka)mAha avaram tat /
   yasmāt sarvo bhāvanāsu prayāso vyarthaḥ prāptastatphalasya prasiddheḥ //	yasmAt sarvaH BAvanAsu prayAsaH vyarTaH prAptaH tad Palasya prasidDeH //
   Tra_15 //	TraH _15 //
   prajñājñānāduttaraṃ prāptarāmāsvādasturyaṃ sekamāhādhamaṃ tat /	prajQA jQAnAt uttaram prApta rAma AsvAdaH turyam sekamAha aDamam tat /
   yasmāt sarvo bhāvanādau prayatno buddhoddiṣṭo niṣphalaḥ saṃprasaktaḥ //	yasmAt sarvaH BAvanA AdO prayatnaH budDa uddizwaH nizPalaH saMprasaktaH //
   Tra_16 //	TraH _16 //
