   // namaḥ sarvabuddhabodhisattvebhyaḥ //	// namaH sarva budDa boDisattveByaH //
   Viṃśatikākārikā (Vk)	ViMSatikA kArikA (Vk)
   vijñaptimātramevaitadasadarthāvabhāsanāt /	vijQapti mAtram eva etat asat arTa avaBAsanAt /
   yathā taimirikasyāsatkeśacandrādidarśanam // Vk_1 //	yaTA tEmirikasya asat keSa candra Adi darSanam // Vc _1 //
   yadi vijñaptiranarthā niyamo deśakālayoḥ /	yadi vijQaptiH anarTAH niyamaH deSa kAlayoH /
   santānasyāniyamaśca yuktā kṛtyakriyā na ca // Vk_2 //	santAnasya aniyamaH ca yuktA kRtya kriyA na ca // Vc _2 //
   deśādiuniyamaḥ siddhaḥ svapnavat pretavat punaḥ /	deSa Adiu niyamaH sidDaH svapna vat preta vat punar /
   santānāniyamaḥ sarvaiḥ pūyanadyādidarśane // Vk_3 //	santAna aniyamaH sarvEH pUyanadI Adi darSane // Vc _3 //
   svapnopaghātavat kṛtyakriyā narakavat punaḥ /	svapna upaGAta vat kRtya kriyA naraka vat punar /
   sarvaṃ narakapālādidarśane taiśca bādhane // Vk_4 //	sarvam naraka pAla Adi darSane tEH ca bADane // Vc _4 //
   tiraścāṃ sambhavaḥ svarge yathā na narake tathā /	tiraScAm samBavaH svarge yaTA na narake taTA /
   na pretānāṃ yatastajjaṃ duḥkhaṃ nānubhavanti te // Vk_5 //	na pretAnAm yatas tad jam duHKam na anuBavanti te // Vc _5 //
   yadi tatkarmabhistatra bhūtānāṃ sambhavastathā /	yadi tad karmaBiH tatra BUtAnAm samBavaH taTA /
   iṣyate pariṇāmaśca kiṃ vijñānasya neṣyate // Vk_6 //	izyate pariNAmaH ca kim vijQAnasya na izyate // Vc _6 //
   karmaṇo vāsanānyatra phalamanyatra kalpyate /	karmaNaH vAsanA anyatra Palam anyatra kalpyate /
   tatraiva neṣyate yatra vāsanā kiṃ nu kāraṇam // Vk_7 //	tatra eva na izyate yatra vAsanA kim nu kAraNam // Vc _7 //
   rūpādyāyatanāstitvaṃ tadvineyajanaṃ prati /	rUpa Adi Ayatana astitvam tat vineya janam prati /
   abhiprāyavaśāduktamupapādukasattvavat // Vk_8 //	aBiprAya vaSAt uktam upapAduka sattva vat // Vc _8 //
   yataḥ svabījād vijñaptiryadābhāsā pravartate /	yatas sva bIjAt vijQaptiH yad ABAsA pravartate /
   dvividhāyatanatvena te tasyā munirabravīt // Vk_9 //	dviviDa Ayatana tvena te tasyAH muniH abravIt // Vc _9 //
   tathā pudgalanairātmyapraveśo hi hyanyathā punaḥ /	taTA pudgala nErAtmya praveSaH hi hi anyaTA punar /
   deśanā dharmanairātmyapraveśaḥ kalpitātmanā // Vk_10 //	deSanA Darma nErAtmya praveSaH kalpita AtmanA // Vc _10 //
   na tadekaṃ na cānekaṃ viṣayaḥ paramāṇuśaḥ /	na tat ekam na ca anekam vizayaH paramANuSaH /
   na ca te saṃhatā yasmāt paramāṇurna sidhyati // Vk_11 //	na ca te saMhatAH yasmAt paramANuH na siDyati // Vc _11 //
   ṣaṭkena yugapadyogāt paramāṇoḥ ṣaḍaṃśatā /	zawkena yugapad yogAt paramANoH zaz aMSa tA /
   ṣaṇṇāṃ samānadeśatvāt piṇḍaḥ syādaṇumātrakaḥ // Vk_12 //	zaNNAm samAna deSa tvAt piNxaH syAt aNu mAtrakaH // Vc _12 //
   paramāṇorasaṃyoge tatsaṅghāte 'sti kasya saḥ /	paramANoH asaMyoge tad saFGAte asti kasya saH /
   na cānavayavatvena tatsaṃyogo na sidhyati // Vk_13 //	na ca anavayava tvena tad saMyogaH na siDyati // Vc _13 //
   digbhāgabhedo yasyāsti tasyaikatvaṃ na yujyate /	diS BAga BedaH yasya asti tasya ekatvam na yujyate /
   chāyāvṛtī kathaṃ vānyo na piṇḍaścenna tasya te // Vk_14 //	CAyA AvRtI kaTam vA anyaH na piNxaH ced na tasya te // Vc _14 //
   ekatve na krameṇetiryugapanna grahāgrahau /	eka tve na krameNa itiH yugapad na graha AgrahO /
   vicchinnānekavṛttiśca sūkṣmānīkṣā ca no bhavet // Vk_15 //	vicCinna aneka vRttiH ca sUkzma anIkzA ca naH Bavet // Vc _15 //
   pratyakṣabuddhiḥ svapnādau yathā sā ca yadā tadā /	pratyakza budDiH svapna AdO yaTA sA ca yadA tadA /
   na so 'rtho dṛśyate tasya pratyakṣatvaṃ kathaṃ matam // Vk_16 //	na saH arTaH dRSyate tasya pratyakza tvam kaTam matam // Vc _16 //
   uktaṃ yathā tadābhāsā vijñaptiḥ smaraṇaṃ tataḥ /	uktam yaTA tad ABAsA vijQaptiH smaraNam tatas /
   svapne dṛgviṣayābhāvaṃ nāprabuddho 'vagacchati // Vk_17 //	svapne dRS vizaya aBAvam na aprabudDaH avagacCati // Vc _17 //
   anyonyādhipatitvena vijñaptiniyamo mithaḥ /	anyonya aDipati tvena vijQapti niyamaH miTas /
   middhenopahataṃ cittaṃ svapne tenāsamaṃ phalam // Vk_18 //	midDena upahatam cittam svapne tena asamam Palam // Vc _18 //
   maraṇaṃ paravijñaptiviśeṣād vikriyā yathā /	maraNam para vijQapti viSezAt vikriyA yaTA /
   smṛtilopādikānyeṣāṃ piśācādimanovaśāt // Vk_19 //	smRti lopa AdikAni ezAm piSAca Adi manaH vaSAt // Vc _19 //
   kathaṃ vā daṇḍakāraṇyaśūnyatvamṛṣikopataḥ /	kaTam vA daNxaka araNya SUnya tvam Rzi kopataH /
   manodaṇḍo mahāvadyaḥ kathaṃ vā tena sidhyati // Vk_20 //	manodaNxaH mahAvadyaH kaTam vA tena siDyati // Vc _20 //
   paracittavidāṃ jñānamayathārthaṃ kathaṃ yathā /	para citta vidAm jQAnam ayaTArTam kaTam yaTA /
   svacittajñānamajñānād yathā buddhasya gocaraḥ // Vk_21 //	sva citta jQAnam ajQAnAt yaTA budDasya gocaraH // Vc _21 //
   vijñaptimātratāsiddhiḥ svaśaktisadṛśī mayā /	vijQapti mAtra tA sidDiH sva Sakti sadRSI mayA /
   kṛteyaṃ sarvathā sā tu na cintyā buddhagocaraḥ // Vk_22 //	kRtA iyam sarvaTA sA tu na cintyAH budDa gocaraH // Vc _22 //
   // viṃśatikākārikāḥ samāptāḥ //	// viMSatikA kArikAH samAptAH //
