   Ratnāvalī / (NRa)	Ratna AvalI / (NRa)
   (Vaidya 296)	(VEdyaH 296)
   / namo ratnatrayāya //	/ namaH ratnatrayAya //
   sarvadoṣavinirmuktaṃ guṇaiḥ sarvairalaṃkṛtam /	sarva doza vinirmuktam guNEH sarvEH alaMkRtam /
   praṇamya sarvajñamahaṃ sarvasattvaikabāndhavam // NRa_1.1 //	praNamya sarvajQam aham sarva sattva eka bAnDavam // NRaH _1.1 //
   dharmamekāntakalyāṇaṃ rāja[n dha]rmodayāya te /	Darmam ekAnta kalyANam rAja[n Da]rma udayAya te /
   vakṣyāmi dharmaḥ siddhiṃ hi yāti saddharmabhājane // NRa_1.2 //	vakzyAmi DarmaH sidDim hi yAti sat Darma BAjane // NRaH _1.2 //
   prāgdharmābhyudayo yatra paścānaiḥśreyasodayaḥ /	prAc Darma aByudayaH yatra paScAnEH Sreyasa udayaH /
   saṃprāpyābhyudayaṃ yasmādeti naiḥśreyasaṃ kramāt // NRa_1.3 //	saMprApya aByudayam yasmAt eti nEHSreyasam kramAt // NRe _1.3 //
   sukhamabhyudaya[statra mokṣo]naiḥśreyaso mataḥ /	suKam aByudaya[H tatra mokza u]nEH SreyasaH mataH /
   asya sādhanasaṃkṣepaḥ śraddhāprajñe samāsataḥ // NRa_1.4 //	asya sADana saMkzepaH SradDA prajQe samAsatas // NRaH _1.4 //
   śrāddhatvābhdajate dharmaṃ prājñatvādvetti tattvataḥ /	SrAdDa tva aBdajate Darmam prAjQa tvAt vetti tattvataH /
   prajñā pradhānaṃ tvanayoḥ śraddhā pūrvaṃgamāsya tu // NRa_1.5 //	prajQA praDAnam tu anayoH SradDA pUrvaMgama asya tu // NRaH _1.5 //
   chandād dveṣābhdayānmohādyo dharmaṃ nātivartate /	CandAt dvezABdayAt moha At yaH Darmam na ativartate /
   sa śrāddha iti vijñeyaḥ śreyaso bhājanaṃ param // NRa_1.6 //	sa SrAdDaH iti vijQeyaH SreyasaH BAjanam param // NRaH _1.6 //
   kāyavāṅmānasaṃ karma sarvaṃ samyakparīkṣya yaḥ /	kAya vAc mAnasam karma sarvam samyak parIkzya yaH /
   parātmahitamājñāya sadā kuryātsa paṇḍitaḥ // NRa_1.7 //	para Atma hitam AjQAya sadA kuryAt sa paNxitaH // NRaH _1.7 //
   (Vaidya 297)	(VEdyaH 297)
   ahiṃsā cauryaviratiḥ paradāravivarjanam /	ahiMsA cOrya viratiH para dAra vivarjanam /
   mithyāpaiśunyapāruṣyābaddhavādeṣu saṃyamaḥ // NRa_1.8 //	miTyA pESunya pAruzya AbadDa vAdezu saMyamaH // NRaH _1.8 //
   lobhavyāpādanāstikyadṛṣṭīnāṃ parivarjanam /	loBa vyApAda nAstikya dRzwInAm parivarjanam /
   ete karmapathāḥ śuklā daśa kṛṣṇā viparyayāt // NRa_1.9 //	ete karma paTAH SuklAH daSa kRzNA viparyayAt // NRe _1.9 //
   amadyapānaṃ svājīvo 'vihiṃsā dānamādarāt /	amadya pAnam svAjIvaH avihiMsA dAnam AdarAt /
   pūjyapūjā ca maitrī ca dharmaścaiṣa samāsataḥ // NRa_1.10 //	pUjya pUjA ca mEtrI ca DarmaH ca eza samAsatas // NRaH _1.10 //
   śarīratāpanāddharmaḥ kevalā(nnāsti tena hi) /	SarIra tApanAt DarmaH kevalA(t na asti tena hi) /
   na paradrohaviratirna paresāmanugrahaḥ // NRa_1.11 //	na para droha viratiH na paresAm anugrahaH // NRaH _1.11 //
   dānaśīlakṣamāspaṣṭaṃ yaḥ saddharmamahāpatham /	dAna SIlakzamA spazwam yaH sadDarma mahApaTam /
   anādṛtya vrajet kāyakleśago daṇḍakotpathaiḥ // NRa_1.12 //	anAdRtya vrajet kAya kleSa gaH daNxaka utpaTEH // NRaH _1.12 //
   sa saṃsārāṭavīṃ ghorāmanantajanapādapām /	sa saMsAra awavIm GorAm ananta jana pAdapAm /
   kleśavyālāvalīḍhāṅgaḥ sudīrghaṃ pratipadyate // NRa_1.13 //	kleSa vyAla avalIXa aFgaH su dIrGam pratipadyate // NRaH _1.13 //
   hiṃsayā jāyate 'lpāyuḥ bahavābādho vihiṃsayā /	hiMsayA jAyate alpa AyuH bahava AbADaH vihiMsayA /
   cauryeṇa bhogavyasanī saśa(truḥ) pāradārikaḥ // NRa_1.14 //	cOryeNa Boga vyasanI sa Sa(truH) pAradArikaH // NRaH _1.14 //
   pratyākhyānaṃ mṛṣāvādāt paiśunyānmitrabhedanam /	pratyAKyAnam mRzAvAdAt pESunyAt mitra Bedanam /
   apriyaśravaṇaṃ raukṣyādabāddhā(dapārthā?)ddurbhagaṃ vacaḥ // NRa_1.15 //	apriya SravaNam rOkzyAt abAdDA(da pArTA?)t durBagam vacaH // NRe _1.15 //
   manorathān hantyamidhyā vyāpādo bhayadaḥ smṛtaḥ /	manoraTAn hanti amiDyA vyApAdaH Baya daH smRtaH /
   mithyādṛṣṭiḥ kudṛṣṭitvaṃ madyapānaṃ matibhramaḥ // NRa_1.16 //	miTyAdRzwiH kudRzwi tvam madya pAnam mati BramaH // NRaH _1.16 //
   apradānena dāridyaṃ mithyājīvena vañcanā /	apradAnena dAridyam miTyA jIvena vaQcanA /
   stambhena duṣkulīnatvamalpaujaskatvamīrṣyayā // NRa_1.17 //	stamBena duzkulIna tvam alpa ojaska tvam IrzyayA // NRaH _1.17 //
   krodhāddurvarṇatā maurkhyamapraśnena vipaścitām /	kroDAt durvarNa tA mOrKyam apraSnena vipaScitAm /
   phalametanmanuṣyatve sarvebhyaḥ prāk ca durgatiḥ // NRa_1.18 //	Palam etat manuzya tve sarveByaH prAk ca durgatiH // NRaH _1.18 //
   eṣāmakuśalākhyānāṃ vipāko yaḥ prakīrtitaḥ /	ezAm akuSala AKyAnAm vipAkaH yaH prakIrtitaH /
   kuśalānāṃ ca sarveṣāṃ viparītaḥ phalodayaḥ // NRa_1.19 //	kuSalAnAm ca sarvezAm viparItaH Pala udayaH // NRaH _1.19 //
   lobho dveṣaśca mohaśca tajjaṃ karmeti cāśubham /	loBaH dvezaH ca mohaH ca tad jam karma iti ca aSuBam /
   alobhāmohādveṣāśca tajjaṃ karmetaracchubham // NRa_1.20 //	aloBA moha AdvezAH ca tad jam karma itarat SuBam // NRaH _1.20 //
   abhubhātsarvaduḥkhāni sarvadurgatayastathā /	aBuBAt sarva duHKAni sarva durgatayaH taTA /
   śubhātsugatayaḥ sarvāḥ sarvajanmasukhāni ca // NRa_1.21 //	SuBAt sugatayaH sarvAH sarva janma suKAni ca // NRaH _1.21 //
   nivṛttiraśubhātkṛtsnātpravṛttistu śubhe sadā /	nivRttiH aSuBAt kRtsnAt pravRttiH tu SuBe sadA /
