   (Vaidya 1)	(VEdyaH 1)
   āryaśūraviracitā bodhisattvāvadānamālāparaparyāyā	Arya SUra viracitA boDisattva avadAna mAlA para paryAyA
   Jātakamālā	JAtaka mAlA
   om namaḥ śrīsarvabuddhabodhisattvebhyaḥ //	om namaH SrI sarva budDa boDisattveByaH //
   śrīmanti sadguṇaparigrahamaṅgalāni kīrtyāspadānyanavagītamanoharāṇi /	SrImanti sat guNa parigraha maFgalAni kIrti AspadAni anavagIta manoharANi /
   pūrvaprajanmasu muneścaritādbhu tāni bhaktyā svakāvyakusumāñjalinārcayiṣye	pUrva prajanmasu muneH caritAt Bu tAni BaktyA sva kAvya kusuma aQjalinA arcayizye
   // Jm_1.1 //	// Jm_1.1 //
   ślādhyairamībhirabhilakṣitacinhabhūtairādeśito bhavati yatsugatatvamārgaḥ	SlADyEH amIBiH aBilakzita cinha BUtEH AdeSitaH Bavati yat sugata tva mArgaH
   syādeva rūkṣamanasāmapi ca prasādo dharmyāḥ kathāśca ramaṇīyataratvamīyuḥ	syAt eva rUkza manasAm api ca prasAdaH DarmyAH kaTAH ca ramaNIyatara tvam IyuH
   // Jm_1.2 //	// Jm_1.2 //
   lokārthamityabhisamīkṣya kariṣyate 'yaṃ śrutyārṣayuktyaviguṇena pathā	loka arTam iti aBisamIkzya karizyate ayam Sruti Arza yukti aviguNena paTA
   prayatnaḥ /	prayatnaH /
   lokottamasya caritātiśayapradeśaiḥ svaṃ prātibhaṃ gamayituṃ	loka uttamasya carita atiSaya pradeSEH svam prAtiBam gamayitum
   śrutivallabhatvam // Jm_1.3 //	Sruti vallaBa tvam // Jm_1.3 //
   svārthodyatairapi parārthacarasya yasya naivānvagamyata	sva arTa udyatEH api parArTa carasya yasya na eva anvagamyata
   guṇapratipattiśobhā /	guNa pratipatti SoBA /
   sarvajña ityavitathākṣaradīptakīrti mūrdhnā name tamasamaṃ	sarvajQaH iti avitaTa akzara dIpta kIrti mUrDnA name tam asamam
   sahadharmasaṃgham // Jm_1.4 //	sahaDarma saMGam // Jm_1.4 //
   1 vyāghrījātakam	1 vyAGrI jAtakam
   sarvasattveṣvakāraṇaparamavatsalasvabhāvaḥ sarvabhūtātmabhūtaḥ	sarva sattvezu akAraNa parama vatsala svaBAvaH sarva BUta Atma BUtaH
   pūrvajanmasvapi sa bhagavāniti buddhe bhagavati paraḥ prasādaḥ kāryaḥ //	pUrva janmasu api sa BagavAn iti budDe Bagavati paraH prasAdaH kAryaH //
   tadyathānuśrūyate   ratnatrayagurubhiḥ	tat yaTA anuSrUyate  ratnatraya guruBiH
   pratipattiguṇābhirādhitagurubhirguṇapravicayagurubhirasmadgurubhiḥ	pratipatti guNa aBirADita guruBiH guNa pravicaya guruBiH asmad guruBiH
   parikīrtyamānamidaṃ bhagavataḥ pūrvajanmāvadānam /	parikIrtyamAnam idam BagavataH pUrva janma avadAnam /
   bodhisattvaḥ kilāyaṃ bhagavānbhūtaḥ	boDisattvaH kila ayam BagavAn BUtaH
   pratijñātiśayasadṛśairdānapriyavacanārthacaryāprabhṛtibhiḥ	pratijQA atiSaya sadRSEH dAna priya vacana arTa caryA praBRtiBiH
   prajñāparigrahaniravadyaiḥ kārūṇyanisyandairlokamanugṛhṇan	prajQA parigraha niravadyEH kArUNi anisyandEH lokam anugRhNan
   svadharmābhiratyupanataśucivṛttinyuditodite mahati brāhmaṇakule	svaDarmABiH ati upanata Suci vRttini udita udite mahati brAhmaNa kule
   janmaparigrahaṃ cakāra / sa kṛtasaṃskārakramo	janma parigraham cakAra / sa kRta saMskAra kramaH 
   jātakarmādibhirabhivardhamānaḥ (Vaidya 2)	jAtakarma AdiBiH aBivarDamAnaH (VEdyaH 2)
   prakṛtimedhāvitvātsānāthyaviśeṣājjñānakautūhalādakausīdyācca	prakRti meDA vi tvAt sAnATya viSezAt jQAna kOtUhalAt a kOsIdyAt ca
