   Yogāvatāraḥ	YogAvatAraH
   namastārāyai	namaH tArAyE
   śrutvā śāstramudāraṃ niścitya pāramārthikaṃ tattvam /	SrutvA SAstram udAram niScitya pAramArTikam tattvam /
   mṛdvāsanopaviṣṭaḥ saśraddho yogamārabhed [yogī] // 1 //	mRdu Asana upavizwaH sa SradDaH yogam AraBet [yogI] // 1 //
   grāhyagrāhakamubhayaṃ nobhayamahameva nirvṛtirmagna iti /	grAhya grAhakam uBayam na uBayam aham eva nirvRtiH magnaH iti /
   bahuvidhavikalpajālaṃ pravijñāya manaḥsamāpattiḥ // 2 //	bahuviDa vikalpa jAlam pravijQAya manaH samApattiH // 2 //
   jñeyaṃ vilokya sakalaṃ mā yogameva nirbhāsam /	jQeyam vilokya sakalam mA yogam eva nirBAsam /
   pravivācye dehe yat tattathatājñānavajreṇa // 3 //	pravivAcye dehe yat tad taTatA ajQAna vajreNa // 3 //
   sarvākāravivarjitamādyantavibhāgarahitamavikalpam /	sarva AkAra vivarjitam Adyanta viBAga rahitam avikalpam /
   nimarlasahasradīdhitinirbhinnameti sarvaṃ gaganamiva // 4 //	nimarla sahasra dIDiti nirBinnam eti sarvam gaganam iva // 4 //
   svākāramātraśeṣaṃ paśyati cittaṃ svamādyanutpannam /	su a AkAra mAtra Sezam paSyati cittam svamAdi anutpannam /
   yenāpi paśyatīdaṃ tadapi tathaivāvalokayati // 5 //	yena api paSyati idam tat api taTA eva avalokayati // 5 //
   so 'nupalambho 'cittaṃ tathatājñānaṃ tatkoṭiñca /	saH anupalamBaH acittam taTatA ajQAnam tat kowiQca /
   evaṃ tamaso 'bhyāsāt prajñāveditanirodhamāpnoti // 6 //	evam tamasaH aByAsAt prajQA vedita niroDam Apnoti // 6 //
   tābhiryukto yogī sattvārthamanekadhā kurute /	tABiH yuktaH yogI sattva arTam anekaDA kurute /
   asmin pariniṣpanne tiṣṭhati yogī sadāryamadhvānam // 7 //	asmin parinizpanne tizWati yogI sa dAryam aDvAnam // 7 //
   ............danaghavāyau niṣkampyaṃ kleśamārādyaiḥ /	............danaGavAyO nizkampyam kleSa mAra AdyEH /
   prajñāpāramitāṃ vāsmin sarvadā pravṛttasya // 8 //	prajQApAramitAm vA asmin sarvadA pravRttasya // 8 //
   siddhyantyanye bahavaḥ samādhiyogadānarāgādyāḥ // 9 //	sidDyanti anye bahavaH samADi yoga dAna rAga AdyAH // 9 //
   // yogāvatāraḥ samāptaḥ //	// yoga avatAraH samAptaH //
   // kṛtiriyamāryadig nāgapādānāmiti //	// kRtiH iyam Arya diS nAga pAdAnAm iti //
