   ācāryakamalaśīlapraṇīto	AcArya kamala SIla praNItaH 
   Bhāvanākramaḥ prathamaḥ	BhAvanA kramaH praTamaH
   [mahāyānasūtrāṇāṃ ya ādikarmikasya caryāniyamaḥ /	[mahAyAna sUtrANAm yaH Adi karmikasya caryA niyamaH /
   tamadhikṛtya saṃkṣepād bhāvanākramastvabhidhīyate //	tam aDikRtya saMkzepAt BAvanA kramaH tu aBiDIyate //
   acireṇa sarvajñatāṃ prāptukāmaiḥ saṃkṣepataḥ karuṇā, bodhicittam,	acireNa sarvajQa tAm prAptu kAmEH saMkzepataH karuNA, boDi cittam,
   pratipattiśceti triṣu sthāneṣu prayatitavyam /	pratipattiH ca iti trizu sTAnezu prayatitavyam /
   buddhatvasya aśeṣadharmahetumūlaṃ karuṇaiveti jñātvā sādāveva bhāvayitavyā	budDatvasya aSeza Darma hetu mUlam karuNA eva iti jQAtvA sAdO= eva BAvayitavyA
   / yathoktam āryadharmasaṃgītisūtre  "atha khalvavalokiteśvaro bodhisattvo	/ yaToktam Arya Darma saMgIti sUtre "aTa Kalu avalokita ISvaraH boDisattvaH 
   mahasattvo bhagavantametadavocat  na bhagavan bodhisattvena atibahuṣu	mahasattvaH Bagavantam etat avocat na Bagavan boDisattvena ati bahuzu
   dharmeṣu śikṣitavyam / eko dharmo bhagavan bodhisattvena svārādhitaḥ	Darmezu Sikzitavyam / ekaH DarmaH Bagavan boDisattvena su a ArADitaH
   supratividdhaḥ kartavyaḥ / tasya sarvabuddhadharmāḥ karatalagatā bhavanti	su pratividDaH kartavyaH / tasya sarva budDa DarmAH kara tala gatAH Bavanti
   / katama ekadharmaḥ? yaduta mahākaruṇā / mahākaruṇayā bhagavan	/ katamaH eka DarmaH? yat uta mahA karuNA / mahA karuNayA Bagavan
   bodhisattvānāṃ sarvabuddhadharmāḥ karatalagatā bhavanti / tadyathā	boDisattvAnAm sarva budDa DarmAH kara tala gatAH Bavanti / tat yaTA
