   Caryāmelāvaṇapradīpaḥ	CaryAm elAvaNa pradIpaH
   1. prathamaḥ paricchedaḥ	1. praTamaH paricCedaH
   om namaḥ śrīvajrasattvāya /	om namaH SrI vajra sattvAya /
   namata khasamaniḥsvabhāvaśuddhaṃ namatāśeṣamanakṣaramavācyam /	namata Ka sama niHsvaBAva SudDam namata aSezam anakzaram avAcyam /
   namatānāgatasarvagaṃ sugataṃ namata samastāśeṣasarvaśūnyam //	namata anAgata sarva gam sugatam namata samasta aSeza sarva SUnyam //
   "arthapratiśaraṇena bhavitavyaṃ śabdastu yathā tathā" iti /	"arTa pratiSaraNena Bavitavyam SabdaH tu yaTA taTA" iti /
   tantre 	tantre 
   caturaśītisāhasre dharmaskandhe mahāmuneḥ /	caturaSIti sAhasre Darma skanDe mahA muneH /
   tattvaṃ vai ye na jānanti sarve te niṣphalāya vai // iti /	tattvam vE ye na jAnanti sarve te nizPalAya vE // iti /
   ata āha 	atas Aha 
   ādikarmikasandhānaṃ paramārthāvatāraṇe /	Adi karmika sanDAnam parama arTa avatAraNe /
   upāyaścaiva saṃbuddhaiḥ sopānamiva nirmitaḥ // iti /	upAyaH ca eva saMbudDEH sopAnam iva nirmitaH // iti /
   prabodhanamelāvaṇasaṃśayaparicchedaḥ prathamaḥ // 1 //	praboDanam elAvaNa saMSaya paricCedaH praTamaH // 1 //
   2. dvitīyaḥ paricchedaḥ	2. dvitIyaH paricCedaH
   pañcaskandhāḥ samāsena pañcabuddhāḥ prakīrtitāḥ /	paQca skanDAH samAsena paQca budDAH prakIrtitAH /
   vajra āyatanānyeva bodhisattvāgryamaṇḍalam //	vajra AyatanAni eva boDisattva agrya maNxalam //
   pṛthivī locanā khyātā abdhāturmāmakī smṛtā /	pRTivI locanA KyAtA abDAtuH mAmakI smRtA /
   pāṇḍarākhyā bhavettejastārā vāyuḥ prakīrtitā //	pANxara AKyA Bavet tejaH tArAH vAyuH prakIrtitAH //
   rūpaśabdādibhirmantrī devatāṃ bhāvayet sadā //	rUpa Sabda AdiBiH mantrI devatAm BAvayet sadA //
   ityuktaṃ bhagavatā śrīguhyasamājamahāyogatantre /	iti uktam BagavatA SrI guhya samAja mahA yoga tantre /
   kulāḥ śatavidhāḥ proktāḥ saṃkṣepeṇa tu pañcadhā /	kulAH SataviDAH proktAH saMkzepeNa tu paQcaDA /
   punastrividhatāṃ yānti kāyavākcittabhedataḥ //	punar triviDa tAm yAnti kAya vAc citta BedataH //
   "pañcaskandhāḥ samāsena pañcabuddhāḥ prakīrtitāḥ / "	"paQca skanDAH samAsena paQca budDAH prakIrtitAH / "
   pañcahṛdayamāśritya pañcatanuvinirgatam /	paQca hRdayam ASritya paQca tanu vinirgatam /
   pañcavāyusamāyuktaṃ pañcakāmopabhogakṛta // iti /	paQca vAyu samAyuktam paQca kAma upaBoga kRtaH // iti /
   prakramaṇāt prāṇāyāmāccendriyadvāraistantubhiḥ /	prakramaNAt prANAyAmAt ca indriya dvArEH tantuBiH /
   prakramate sadā kālaṃ prāṇa ityabhidhīyate //	prakramate sadA kAlam prANaH iti aBiDIyate //
   vātamūtrapurīṣāṇāṃ śukrādīnāṃ tathaiva ca /	vAta mUtra purIzANAm Sukra AdInAm taTA eva ca /
   apanayanādapāno 'yaṃ yogibhirlakṣyate sadā //	apanayanAt apAnaH ayam yogiBiH lakzyate sadA //
   aśitaṃ khāditaṃ lehyaṃ peyaṃ coṣyañca sarvataḥ /	aSitam KAditam lehyam peyam cozyaQca sarvatas /
   samānayati yo nityaṃ samāna iti cocyate //	samAnayati yaH nityam samAnaH iti ca ucyate //
   ūrdhvagamāt saṃharaṇād bhakṣyabhojyādibhakṣaṇāt /	UrDva gamAt saMharaNAt Bakzya Bojya Adi BakzaNAt /
   udānakarmavijño 'yaṃ jñānena sahayogataḥ //	udAna karma vijQaH ayam jQAnena saha yogataH //
   vyāpanaṃ dhāraṇaṃ caiva gamanāgamanādikam /	vyApanam DAraNam ca eva gamana Agamana Adikam /
   sarvasandhiṣu vyāptatvād vyāna ityabhidhīyate //	sarva sanDizu vyApta tvAt vyAnaH iti aBiDIyate //
   pṛthivī locanā khyātā abdhāturmāmakī smṛtā /	pRTivI locanA KyAtA abDAtuH mAmakI smRtA /
   tejaḥ pāṇḍarā khyātā vāyustārā prakīrtitā //	tejaH pANxarA KyAtA vAyuH tArA prakIrtitAH //
   skandhaśca dhātuśca tathaivendriyaṃ ca pañcaiva pañcaiva kṛtaprabhedāḥ /	skanDaH ca DAtuH ca taTA eva indriyam ca paQca eva paQca eva kRta praBedAH /
   tathāgatādhiṣṭhita ekaikaśaḥ saṃsārakarmāṇi kuto bhavanti //	taTAgata aDizWitaH ekEkaSas saMsAra karmANi kutas Bavanti //
   tathā sabāhyā viṣayāśca pañca ekaikaśaḥ pañcatathāgataiśca /	taTA sa bAhyAH vizayAH ca paQca ekEkaSas paQcataTAgatEH ca /
   svakasvakā nityamadhiṣṭhitāste jñānatrayaṃ pañcasamāśritaṃ ca //	svaka svakAH nityam aDizWitAH te jQAna trayam paQca samASritam ca //
   khadhātumadhyagataṃ cintenmaṇḍalaṃ sarvavajrajam /	Ka DAtu maDya gatam cintet maNxalam sarva vajrajam /
   saṃhāraṃ ca prakurvīta yadīcchecchāntavajradhṛg // iti /	saMhAram ca prakurvIta yadi icCet SAnta vajra DRk // iti /
   pañcātmakaṃ pañcabhireva bhūtairdṛṣṭaṃ narāṇāṃ niyataṃ śarīram /	paQca Atmakam paQcaBiH eva BUtEH dRzwam narANAm niyatam SarIram /
   tabhdāvabhāvairniyataṃ svacittaṃ prabhāvayantaḥ prabhavanti buddhāḥ // iti	taBdAva BAvEH niyatam sva cittam praBAvayantaH praBavanti budDAH // iti
   khasamatantre 'pyāha 	Ka samatantre api Aha 
   pañcabuddhātmaku sarvajago 'yaṃ paśyasu citraku nāṭaku divyam /	paQca budDa Atmaku sarva jagaH ayam paSyasu citraku nAwaku divyam /
   yatra hi eku mahāsuhanāmā nṛtyati eku aneka rasena // iti /	yatra hi eku mahAsuha nAmA nRtyati eku aneka rasena // iti /
   "saṃkṣepeṇa tu pañcadhā"	"saMkzepeNa tu paQcaDA"
   kāyavākcittanidhyaptaiḥ svabhāvo nopalabhyate /	kAya vAc citta niDi aptEH svaBAvaH na upalaByate /
   mantramūrtiprayogeṇa na bodhirna ca bhāvanā //	mantra mUrti prayogeNa na boDiH na ca BAvanA //
   vicāryedaṃ samāsena kāyavākcittalakṣaṇam /	vicArya idam samAsena kAya vAc citta lakzaNam /
   bhāvayedvidhisaṃyogaṃ samādhiṃ mantrakalpitam // iti /	BAvayet viDi saMyogam samADim mantra kalpitam // iti /
   na yogaḥ pratibimbeṣu niṣiktādiṣu jāyate /	na yogaH pratibimbezu nizikta Adizu jAyate /
   bodhicittamahāyogayoginastena devatāḥ //	boDi citta mahA yoga yoginaH tena devatAH //
   ātmā vai sarvabuddhatvaṃ sattvasauritvameva ca /	AtmA vE sarva budDa tvam sattva sOri tvam eva ca /
   svādhidaivadya(ta)yogena tasmādātmaiva sādhayet // iti /	svADi dEvadya (ta) yogena tasmAt AtmA eva sADayet // iti /
   mantranidhyaptikāyena vācā manasi coditaḥ /	mantra niDi apti kAyena vAcA manasi coditaH /
   sādhayet pravarāṃ siddhiṃ manaḥsantoṣaṇapriyām //	sADayet pravarAm sidDim manaH santozaNa priyAm //
   kāyavivekamelāvaṇasaṃśayaparicchedo dvitīyaḥ // 2 //	kAya vivekam elAvaNa saMSaya paricCedaH dvitIyaH // 2 //
   3. tṛtīyaḥ paricchedaḥ	3. tRtIyaH paricCedaH
   pañcavarṇaṃ mahāratnaṃ sarṣapasthūlamātrakam /	paQca varNam mahAratnam sarzapa sTUla mAtrakam /
   nāsikāgre prayatnena bhāvayedyogataḥ sadā // iti /	nAsikA agre prayatnena BAvayet yogataH sadA // iti /
   pañcajñānamayaṃ śvāsaṃ pañcabhūtasvabhāvakam //	paQca jQAna mayam SvAsam paQcaBUta svaBAvakam //
   niścārya padmanāsāgre piṇḍarūpeṇa kalpayet /	niScArya padma nAsA agre piNxa rUpeNa kalpayet /
   pañcavarṇaṃ mahāratnaṃ prāṇāyāmamiti smṛtam //	paQca varNam mahAratnam prANAyAmam iti smRtam //
   atha bhagavān mahāvajrī vajrajāpārthabhāṣiṇam /	aTa BagavAn mahAvajrI vajra jApa arTa BAziNam /
   pratyuvāca tataḥ samyakpraṇamyaikaṃ jagadruruḥ //	pratyuvAca tatas samyak praNamya ekam jagadruruH //
   laukikāgamamevedaṃ bodhicittaṃ prakāśitam //	lOkika Agamam eva idam boDi cittam prakASitam //
   lokottaraṃ kathaṃ nāma pratipatsyantyāgāmikāḥ //	lokottaram kaTam nAma pratipatsyanti AgAmikAH //
   sarvadṛṣṭiprahāṇāya tvayā dharmo hi deśitaḥ /	sarva dRzwi prahANAya tvayA DarmaH hi deSitaH /
   tat kathaṃ bodhicittaṃ tu sā dṛṣṭiḥ sudṛḍhīkṛtā //	tat kaTam boDi cittam tu sA dRzwiH su dRXIkRtAH //
   uktamarthaṃ na budhyanti saṃdhyāyavākyamohitāḥ /	uktam arTam na buDyanti saMDyAya vAkya mohitAH /
   yathārutaṃ te gṛṇhanti tathaiva hi pacanti ca //	yaTArutam te gRNhanti taTA eva hi pacanti ca //
   atha bhagavān viśvo vajrapāṇiṃ vadet tataḥ /	aTa BagavAn viSvaH vajrapANim vadet tatas /
   sādhu sādhu ca guhyeśa vyākṛtāgāmikā tvayā //	sADu sADu ca guhya ISa vyAkRta agAmikA tvayA //
   bodhicittaṃ bhavedvāyurambare ca vyavasthitaḥ /	boDi cittam Bavet vAyuH ambare ca vyavasTitaH /
   prāṇabhūtaśca sattvānāṃ pañcātmā daśasaṃjñakaḥ //	prANa BUtaH ca sattvAnAm paQca AtmA daSa saMjQakaH //
   pratītyadvādaśāṅgākhyaṃ svabhāvāt tritayaṃ bhavet /	pratItyadvAdaSa aFga AKyam svaBAvAt tritayam Bavet /
   sarvendriyapradhānedaṃ vāyvākhyaṃ bodhicittakam //	sarva indriya praDAna idam vAyu AKyam boDi cittakam //
   avyaktaṃ sūkṣmamityevaṃ vyaktamityucyate sadā /	avyaktam sUkzmam iti evam vyaktam iti ucyate sadA /
   tadāśrayāttu karmāṇi kuryādviṣayādikaṃ janaḥ //	tad ASrayAt tu karmANi kuryAt vizaya Adikam janaH //
   śāntikaṃ pauṣṭikaṃ caiva vaśyābhicārakaṃ tathā /	SAntikam pOzwikam ca eva vaSya aBicArakam taTA /
