   Pāramitāsamāsaḥ	PAra mita asamAsaH
   1. dānapāramitāsamāsaḥ	1. dAna pAramitA samAsaH
   namo buddhāya //	namaH budDAya //
   tathāgatānāṃ padam ārurukṣurāśritya ratnatrayam ādareṇa /	taTAgatAnAm padam ArurukzuH ASritya ratna trayam AdareNa /
   bodhau nidhāyāvicalaṃ manaśca kuryāt parātmavyatihāram ādau // Ps_1.1 //	boDO niDAya avicalam manaH ca kuryAt para Atma vyatihAram AdO // Ps_1.1 //
   tataḥ paraṃ dānavidhau prayogaḥ kāryastathā lokahitonmukhena /	tatas param dAna viDO prayogaH kAryaH taTA loka hita unmuKena /
   yathā svagātrāṇyapi yācitasya na yogasaṃkocavirūpatā syāt // Ps_1.2 //	yaTA sva gAtrANi api yAcitasya na yoga saMkoca virUpa tA syAt // Ps_1.2 //
   mātsaryadoṣopacayāya yat syān na tyāgacittaṃ paribṛṃhayed vā /	mAtsarya doza upacayAya yat syAt na tyAga cittam paribRMhayet vA /
   tattyaktumevārhati bodhisattvaḥ parigrahacchadmamayaṃ vighātam // Ps_1.3	tat tyaktum eva arhati boDisattvaH parigraha= Cadma mayam viGAtam // Ps_1.3
   tad bodhisattvaḥ katham ādadīta ratnaṃ dhanaṃ vā divi vāpi rājyam /	tat boDisattvaH kaTam AdadIta ratnam Danam vA divi vA api rAjyam /
   yat tyāgacittapratipakṣadakṣaṃ saṃbodhimārgāvaraṇaṃ karoti // Ps_1.4 //	yat tyAga citta pratipakza dakzam saMboDi mArga AvaraNam karoti // Ps_1.4 //
   saṃsmṛtya caryātiśayaṃ munīnāṃ tadunmukhīṃ svāmapi ca pratijñām /	saMsmRtya caryA atiSayam munInAm tad unmuKIm svAm api ca pratijQAm /
   parigrahasnehavinigrahārthaṃ kuryād imāṃścetasi sadvitarkān // Ps_1.5 //	parigraha sneha vinigraha arTam kuryAt imAn= cetasi sa t vitarkAn // Ps_1.5 //
   yadā nisṛṣṭo jagate mayāyaṃ kāyo 'pī tattyāgakṛto 'pi dharmaḥ /	yadA nisRzwaH jagate mayA ayam kAyaH apI tad tyAga kRtaH api DarmaH /
   bāhye tadā vastuni saṅgacittaṃ na me gajasnānam ivānurūpam // Ps_1.6 //	bAhye tadA vastuni saFga cittam na me gaja snAnam iva anurUpam // Ps_1.6 //
   māṃsārthino māṃsamidaṃ harantu majjānamapyuddharaṇāt tadarthī /	mAMsa arTinaH mAMsam idam harantu majjAnam api udDaraNAt tad arTI /
   ahaṃ hi lokārthamidaṃ bibharmi śarīrakaṃ kiṃ bata vastu bāhyam // Ps_1.7	aham hi loka arTam idam biBarmi SarIrakam kim bata vastu bAhyam // Ps_1.7
   yathaiva bhaiṣajyamahīruhasya tvakpattrapuṣpādi janā haranti /	yaTA eva BEzajya mahIruhasya tvac pattra puzpa Adi janAH haranti /
   madīyamete 'paharanti ceti naivaṃ vikalpāḥ samudācaranti // Ps_1.8 //	madIyam ete apaharanti ca iti na evam vikalpAH samudAcaranti // Ps_1.8 //
   tathaiva lokārthasamudyatena svalpo 'pi kāryo na mayā vikalpaḥ /	taTA eva loka arTa samudyatena su alpaH api kAryaH na mayA vikalpaH /
   duḥkhe kṛtaghne satatāśucau ca dehe parasmāyupayujyamāne // Ps_1.9 //	duHKe kRtaGne satata aSucO ca dehe parasmAyupayujyamAne // Ps_1.9 //
   ādhyātmike caiva mahījalādye bāhye mahābhūtagaṇe ca tulye /	ADyAtmike ca eva mahI jala At ye bAhye mahABUta gaNe ca tulye /
   idaṃ mamedaṃ na mameti ko 'yam ajñānapaṅkāṅkavidhirmayāpi // Ps_1.10 //	idam mama idam na mama iti kaH ayam ajQAna paFka aFka viDiH mayA api // Ps_1.10 //
   gṛhṇīta gātrāṇyapi me yatheṣṭaṃ mā kārṣurasmin parakīyabuddhim /	gRhNIta gAtrANi api me yaTezwam mA kArzuH asmin parakIya budDim /
   yuṣmākameva svamidaṃ kimarthaṃ nātmābhimāno mama kaścidatra // Ps_1.11 //	yuzmAkam eva svam idam kim arTam na Atma aBimAnaH mama kaScid atra // Ps_1.11 //
   ityadbhutā yasya bhavantyabhīkṣṇaṃ saṃbuddhabhāvānuguṇā vitarkāḥ /	iti adButAH yasya Bavanti aBIkzNam saMbudDa BAva anuguNAH vitarkAH /
   taṃ bodhisattvātiśayaṃ vadanti buddhā mahāsattvamacintyasattvāḥ // Ps_1.12	tam boDisattva atiSayam vadanti budDAH mahAsattvam acintya sattvAH // Ps_1.12
   evaṃ sa dānapratipattiśūraḥ karoti kāye 'pi na jātvapekṣām /	evam sa dAna pratipatti SUraH karoti kAye api na jAtu apekzAm /
   tasyāprayatnādupayānti śuddhiṃ karmāṇi vākkāyamanomayāni // Ps_1.13 //	tasya aprayatnAt upayAnti SudDim karmANi vAc kAya manaH mayAni // Ps_1.13 //
   viśuddhakarmā ca hitaṃ pareṣām āyāsaduḥkhena vinā karoti /	viSudDa karmA ca hitam parezAm AyAsa duHKena vinA karoti /
   itthaṃ sa sattvārthamabhiprayatno nayānaye kauśalamabhyupaiti // Ps_1.14	itTam sa sattva arTam aBiprayatnaH naya Anaye kOSalam aByupEti // Ps_1.14
   bhūyastaraṃ prāpya balaṃ sa dānāt saddharmadānena tataḥ karoti /	BUyastaram prApya balam sa dAnAt sat Darma dAnena tatas karoti /
   bhavāndhakāre bhramatāṃ janānāṃ sūryodayāt spaṣṭataraṃ prakāśam // Ps_1.15	Bava anDakAre BramatAm janAnAm sUrya udayAt spazwataram prakASam // Ps_1.15
   sādhāraṇī lokahitārthasiddhiḥ sarvajñabhāvābhyudayapratiṣṭhā /	sADAraNI loka hita arTa sidDiH sarvajQa BAva aByudaya pratizWA /
   ato 'sya puṇyākṣayatābhyudeti prabheva bhānorudayasthitasya // Ps_1.16 //	atas asya puNya akzayatA aByudeti praBA iva BAnoH udaya sTitasya // Ps_1.16 //
   ityadbhutā dānamayā guṇaughā ye bodhisattvābharaṇībhavanti /	iti adButAH dAna mayAH guNa oGAH ye boDisattva ABaraNI Bavanti /
   tasmāt tadīyaṃ parikarma cittaṃ dānasya kāruṇyapuraḥsarasya // Ps_1.17 //	tasmAt tadIyam parikarma cittam dAnasya kAruNya puraHsarasya // Ps_1.17 //
   āyuḥpratībhānabalādi bauddhaṃ niṣpādayeyaṃ jagatāmanena /	AyuH pratIBAna bala Adi bOdDam nizpAdayeyam jagatAm anena /
   sattvā mayā cāmiṣasaṃgṛhītāḥ saddharmapātrāṇyapi me bhaveyuḥ // Ps_1.18 //	sattvAH mayA ca Amiza saMgRhItAH sat Darma pAtrANi api me BaveyuH // Ps_1.18 //
   ityannadānaṃ pradadāti vidvān na svargasaṃpattiparigrahāya /	iti anna dAnam pradadAti vidvAn na svarga saMpatti parigrahAya /
   pānānyapi kleśatṛṣaḥ śamāya lokasya lokārthacaro dadāti // Ps_1.19 //	pAnAni api kleSa tRzaH SamAya lokasya loka arTa caraH dadAti // Ps_1.19 //
   bauddhasya caivarddhiviceṣṭitasya nirvāṇasaukhyasya ca sarvalokaḥ /	bOdDasya ca eva RdDi vicezwitasya nirvANa sOKyasya ca sarva lokaH /
   lābhī kathaṃ syāditi lokanātho yānaṃ mahāyānaratirdadāti // Ps_1.20 //	lABI kaTam syAt iti lokanATaH yAnam mahAyAna ratiH dadAti // Ps_1.20 //
   saṃbuddhavarṇasya ca hemabhāso lajjāmayasyaiva ca bhūṣaṇasya /	saMbudDa varNasya ca hema BAsaH lajjA mayasya eva ca BUzaNasya /
   niṣpattaye vastravidhīnudārān satkṛtya kālānuguṇaṃ dadāti // Ps_1.21 //	nizpattaye vastra viDIn udArAn satkRtya kAla anuguNam dadAti // Ps_1.21 //
   saṃbodhimaṇḍāsanam āsanāni śayyāśca śayyātrayam īkṣamāṇaḥ /	saMboDimaNxAsanam AsanAni SayyAH ca SayyA trayam IkzamANaH /
   sarvajñacakṣuḥpratilabdhaye ca caityeṣu rathyāsu ca dīpamālām // Ps_1.22	sarvajQa cakzuH pratilabDaye ca cEtyezu raTyAsu ca dIpa mAlAm // Ps_1.22
   vādyāni divyaśrutisaṃgrahārthaṃ saṃbuddhaśīlāya ca gandhadānam /	vAdyAni divya Sruti saMgraha arTam saMbudDa SIlAya ca ganDa dAnam /
   sabhāprapārāmavihāragehāñ śaraṇyabhāvābhimukho dadāti // Ps_1.23 //	saBA prapAra Ama vihAra gehAn SaraNya BAva aBimuKaH dadAti // Ps_1.23 //
   dānaṃ rasānāṃ tu susaṃskṛtāṇāṃ rasārasāgratvaparigrahāya /	dAnam rasAnAm tu susaMskRtANAm rasa arasa agra tva parigrahAya /
   bhaiṣajyadānānyajarāmaratvaṃ lokān imān prāpayituṃ dadāti // Ps_1.24 //	BEzajya dAnAni ajara amara tvam lokAn imAn prApayitum dadAti // Ps_1.24 //
   bhujiṣyatāmātmasamaṃ ninīṣurdāśīkṛtān kleśagaṇena lokān /	BujizyatAm Atma samam ninIzuH dASIkRtAn kleSa gaNena lokAn /
   sa dāsadāsyādi sadā dadāti dāsānudāsānaparākariṣyan // Ps_1.25 //	sa dAsa dAsya Adi sadA dadAti dAsAn udAsAn aparAkarizyan // Ps_1.25 //
   dadāti putrān duhitṛḥ priyāśca bodhipriyatvādanavadyadānam /	dadAti putrAn duhitRH priyAH ca boDi priya tvAt anavadya dAnam /
   ekāntasaddharmaratipriyaśca krīḍāviśeṣān ratihetubhūtān // Ps_1.26 //	ekAnta sad Darma rati priyaH ca krIxA viSezAn rati hetu BUtAn // Ps_1.26 //
   suvarṇamuktāmaṇividrumādīn dadāti sallakṣaṇasaṃpadartham /	suvarNa muktA maNi vidruma AdIn dadAti sat lakzaNa saMpad arTam /
   ratnapradīptāni ca bhūṣaṇāni citrāṇyanuvyañjanasauṣṭhavāya // Ps_1.27 //	ratna pradIptAni ca BUzaNAni citrANi anuvyaQjana sOzWavAya // Ps_1.27 //
