   1. prathamaścittotpādaḥ	1. praTamaH citta utpAdaH
   saṃskṛtabhāṣāyāmmadhyamakāvatārabhāṣyaṃ nāma /	saMskRta BAzAyAm maDyamaka avatAra BAzyam nAma /
   (bhoṭabhāṣāyāmdbu ma la 'jug paī bśad pa śes vyava)	(Bowa BAzAya amdbu me la ajug paI bSat pa SeH vyava)
   āryamañjuśrīkumārabhūtāya namaḥ /	Arya maQjuSrI kumAra BUtAya namaH /
   madhyamakaśāstre 'vatārāya madhyamakāvatāracikīrṣayā	maDyamaka SAstre avatArAya maDyamaka avatAra cikIrzayA
   sarvasamyaksambuddhairbodhisattvaiścāpi ādau bhagavatīṃ mahākaruṇāṃ	sarva samyaksambudDEH boDisattvEH ca api AdO BagavatIm mahA karuNAm
   buddhattvahetusampatpradhānām	budDattva hetu sampad praDAnAm
   aśeṣāparimitāśaraṇabhavacārakabaddhasattvaparitrāṇalakṣaṇāṃ stutiyogyatayā	aSeza aparimita aSaraNa Bava cAraka badDa sattva paritrANa lakzaNAm stuti yogya tayA
   darśayituṃ uktam /	darSayitum uktam /
   munīndrajāḥ śrāvakamadhyabuddhāḥ buddhodbhavāḥkhalvapi bodhisattvāt /	muni indra jAH SrAvaka maDya budDAH budDa udBavAH Kalu api boDisattvAt /
   kāruṇyacittādvayabuddhibodhicittāni heturjinaputrakāṇām // Madhy_1.1 //	kAruNya cittA dvaya budDi boDi cittAni hetuH jinaputrakANAm // MaDi _1.1 //
   ityādi ślokadvayam / tatra anuttaradharmaiśvaryasaṃpadarjanāt,	ityAdi Sloka dvayam / tatra anuttara Darma ESvarya saMpad arjanAt,
   śrāvakapratyekabuddhabodhisattvebhyo 'pi paramaiśvaryasaṃpatteḥ,	SrAvaka pratyekabudDa boDisattveByaH api parama ESvarya saMpatteH,
   śrāvakādīnāṃ tadājñāvaśavartitvācca buddhā bhagavanto munīndra iti	SrAvaka AdInAm tad AjQA vaSa varti tvAt ca budDAH BagavantaH muni indraH iti
   kathyante / tebhyaḥ śrāvakādīnāṃ janma tu tebhya utpattiḥ / katham?	kaTyante / teByaH SrAvaka AdInAm janma tu teByaH utpattiH / kaTam?
   buddhānāṃ samutpāde pratītyasamutpādasya aviparyastadeśanāyāṃ praveśārthaṃ	budDAnAm samutpAde pratItyasamutpAdasya aviparyasta deSanAyAm praveSa arTam
   śruticintābhāvanānusāramapi yathādhimuktivacchrāvakatvādiparipūrttiḥ /	Sruti cintA BAvanA anusAram api yaTA aDimukti vat SrAvaka tva Adi paripUrttiH /
   yadyapi kasyacit pratītyasamutpādopadeśaśravaṇamātreṇa	yadi api kasyacid pratItyasamutpAda upadeSa SravaNa mAtreNa
   paramārthādhigamavaiduṣye satyapi dṛṣṭajanmanyeva nirvāṇaprāptirna	parama arTa aDigama vEduzye sati api dRzwa janmani eva nirvANa prAptiH na
