   Antarvyāptisamarthanam /	Antar vyApti samarTanam /
   om namo buddhāya /	om namaH budDAya /
   iha sattvamarthakriyākāritvaṃ taditarasattvalakṣaṇāyogāt / tacca	iha sattvam arTa kriyA kAri tvam tad itara sattva lakzaNa ayogAt / tat ca
   kramayaugapadyābhyāṃ vyāptaṃ parasparavyavacchedalakṣaṇatvādanayoḥ /	krama yOgapadyAByAm vyAptam paraspara vyavacCeda lakzaNa tvAt anayoH /
   prakārāntareṇa karaṇāsambhavāt / kramayaugapadye cākṣaṇikatve na staḥ /	prakAra antareNa karaNa asamBavAt / krama yOgapadye ca akzaNika tve na staH /
   pūrvvāparakālayoaravicalitaikasvabhāvasya karttṛtvākarttṛtve	pUrvva apara kAlayoa ravicalita eka svaBAvasya karttR tva AkarttR tve
   virudvadharmmadvayāyogāt /	virudva Darmma dvaya ayogAt /
   tatra na tāvat kramaḥ kramāṇāmekaikaṃ prati pūrvāparakālayoḥ	tatra na tAvat kramaH kramANAm ekEkam prati pUrva apara kAlayoH
   karttṛtvākarttṛtvāpatteḥ / evaṃ sarvvakramābhāvāt kevalaṃ	karttR tva AkarttR tva ApatteH / evam sarvu akrama aBAvAt kevalam
   sakalakāryyayaugapadyamavaśiṣyate / tatra ca sphuṭa taraḥ	sakala kAryya yOgapadyam avaSizyate / tatra ca sPuwa taraH
   pūrvvāparakālayoḥ karttṛtvākartṛtvaprasaṅgaḥ / virudve ca	pUrvva apara kAlayoH karttR tva akartR tva prasaFgaH / virudve ca
   karttṛtvākarttṛtve ekadharmmiṇi na sambhavataḥ / ekasvabhāvaśca	karttR tva AkarttR tve eka DarmmiNi na samBavataH / eka svaBAvaH ca
   tāvatkālamakṣaṇika iti sidva etasmin kramayaugapadyayorayogaḥ /	tAvat kAlamakzaNikaH iti sidve etasmin krama yOgapadyayoH ayogaH /
   tadevamakṣaṇike vyāpakānupalabdhyā niṣidvaṃ sattvaṃ kṣaṇika evā[va]	tat evam akzaNike vyApaka anupalabDyA nizidvam sattvam kzaNikaH eva a[va]
   tiṣṭhate iti kṣaṇikatvena vyāptaṃ / tattena vyāptaṃ yat yatra dharmmiṇi	tizWate iti kzaNika tvena vyAptam / tat tena vyAptam yat yatra DarmmiNi
   sidhyati tatra kṣaṇikatvaṃ prasādhayati / idamevedānīṃ vicāryyate / keyaṃ	siDyati tatra kzaNika tvam prasADayati / idam eva idAnIm vicAryyate / kA iyam
   (kveyaṃ) vyāptigrahītavyā dṛṣṭāntadharmmiṇi sādhyadharmmiṇi vā / kecidāhuḥ	(kveyan) vyApti grahItavyA dRzwAnta DarmmiNi sADya DarmmiNi vA / kecid AhuH
   / dṛṣṭāntadharmmiṇyeva dhūmavat / anyathā sādhanavaiphalyaṃ syāt /	/ dRzwAnta DarmmiNi eva DUma vat / anyaTA sADana vEPalyam syAt /
   ubhayadharmmasidvi(dve)ranāntarīyakatvāt vyāptisidveḥ / nahi	uBaya Darmmasidvi(dve)rana AntarIyaka tvAt vyApti sidveH / na hi
   mahānasasidvāyāmagnidhūmayorvyāptau punaragnisidvaye dhūmaliṅgamanviṣyata	mahAn asasidvAyAm agni DUmayoH vyAptO punar agnisi dvaye DUma liFgam anvizyata
   iti / tathāhi /	iti / taTA hi /
