   Aparimitāyuḥ Sūtra	Aparimita-AyuH SUtra
   evaṃ mayā śrutam / ekasmin samaye bhagavān śrāvastyāṃ viharatisma jetavane	evam mayA Srutam / ekasmin samaye BagavAn SrAvastyAm viharatisma jetavane
   anāthapiṇḍadasyārāme mahatā bhikṣusaṅghena sārdham	anATapiNxadasya-ArAme mahatA Bikzu-saFGena sArDam
   ardhatrayodaśarbhibhikṣuśataiḥ sambahulaiśca bodhisattvairmahāsattvaiḥ //	arDa-trayoda-SarBi-Bikzu-SatEH sambahulEH-ca boDisattvEH-mahAsattvEH //
   tatra khalu bhagavān mañjuśrīyāṃ kumārabhūtām āmantrayate sma / asti	tatra Kalu BagavAn maQjuSrIyAm kumAra-BUtAm Amantrayate sma / asti
   mañjuśrīrūpariṣṭāyām aparimitāguṇasañcayo nāma	maQjuSrIrUparizwAyAm aparimita-aguNa-saQcayaH nAma
   lokadhātustatrāparimitāyurjñānasuviniścitatejorāja nāma tathāgato 'rhan	lokaDAtuH-tatra-aparimita-AyuH-jQAna-su-viniScita-tejaH-rAja nAma taTAgataH arhan
   samyaksambuddha eva hi tiṣṭhati dhriyate yāpayati sattvānāṃ ca dharmaṃ	samyaksambudDaH eva hi tizWati Driyate yApayati sattvAnAm ca Darmam
   deśayati // 2 //	deSayati // 2 //
   śṛṇu mañjuśrīḥ kumārabhūtā, ime jambudvipakā manuṣyā alpāyuṣkā	SRNu maQjuSrIH kumAra-BUtA, ime jambudvipakA manuzyAH alpa-AyuzkA
   varṣaśatāyuṣas, teṣāṃ bahunyākālamaranāni nirdiṣṭāni / ye khalu mañjuśrīḥ	varza-Sata-Ayuzas, tezAm bahu-nyA-kAla-maranAni nirdizwAni / ye Kalu maQjuSrIH
   sattvastasyāparimitāyuṣaḥ tathāgatasya guṇavarṇaparikīrtana nāma	sattvaH-tasya-aparimita-AyuzaH taTAgatasya guNa-varNa-parikIrtana nAma
   dharmaparyāyaṃ likhiṣyanti likhāpayiṣyanti nāmadheyamātram api śroṣyanti	Darma-paryAyam liKizyanti liKApayizyanti nAmaDeya-mAtram api Srozyanti
   yāvat pustakagatām api kṛtvā gṛhe dhārayiṣyanti vācayiṣyanti	yAvat pustaka-gatAm api kRtvA gRhe DArayizyanti vAcayizyanti
   puṣpadhūpagandhamālyavilepanacūrṇacīvarachatradhvajaghaṇṭāpatākābhiśca	puzpa-DUpa-ganDa-mAlya-vilepana-cUrNa-cIvara-Catra-Dvaja-GaNwA-patAkABiH-ca
   samantāt pūjābhiḥ pūjāyiṣyanti te parikṣiṇāyuṣaḥ punaraiva varṣaśatāyuṣo	samantAt pUjABiH pUjAyizyanti te parikziNa-AyuzaH punarA-eva varza-Sata-AyuzaH-
   bhaviṣyanti / ye khalu punarmañjuśrīḥ	Bavizyanti / ye Kalu punar-maQjuSrIH
   sattvastasyāparimitāyurjñānasuviniścita tejorājasya tathāgatasya	sattvaH-tasya-aparimita-AyuH-jQAna-su-viniScita tejaH-rAjasya taTAgatasya
   nāmoṣṭottaraśataṃ śroṣyanti dhārayiṣyanti vācayiṣyanti, teṣām	nAma-uzwottara-Satam Srozyanti DArayizyanti vAcayizyanti, tezAm
   āyurvadhayiṣyanti, ye parikṣiṇāyuṣaḥ sattvā nāmadheyaṃ śroṣyanti	AyuH-vaDayizyanti, ye parikziNa-AyuzaH sattvAH nAmaDeyam Srozyanti
   dhārayiṣyanti vācayiṣyanti teṣām apyāyurvivardhayiṣyati // 3 //	DArayizyanti vAcayizyanti tezAm api-AyuH-vivarDayizyati // 3 //
   tasmāttarhi mañjuśrīdirghāyuṣkatvaṃ prārthayitukāmaḥ kulaputrā vā	tasmAt-tarhi maQjuSrI-dirGa-Ayuzka-tvam prArTayitu-kAmaH kula-putrAH vA
   kuladuhitaro vā tasyāparimitāyuṣastathāgatasya nāmāṣṭottaraśataṃ śroṣyanti	kula-duhitaraH vA tasya-aparimita-AyuzaH-taTAgatasya nAma-azwottaraSatam Srozyanti
   likhiṣyanti teṣām ime guṇānusaṃsā bhaviṣyanti // 4 //	liKizyanti tezAm ime guNa-anusaMsAH Bavizyanti // 4 //
   om namo bhagavate aparimitāyurjñānasuviniścitatejorājāya tathāgatāyārhate	om namaH Bagavate aparimita-AyuH-jQAna-su-viniScita-tejaH-rAjAya taTAgatAya-arhate
   samyaksambuddhāya, tadyathā, om puṇyamahāpuṇya aparimitāpuṇya	samyaksambudDAya, tat-yaTA, om puNya-mahA-puNya aparimita-apuNya
