   Bhavasaṅkrāntisūtram	Bhava-saFkrAnti-sUtram
   namassarvabuddhabodhisattvebhyaḥ /	namassarva-budDa-boDisattveByaH /
   1. evaṃ mayā śrutam / ekasmin samaye bhagavān rājagṛhe viharati sma	1. evam mayA Srutam / ekasmin samaye BagavAn rAjagRhe viharati sma
   kalantakanivāse veṇuvane mahatā bhikṣusaṅaghena sārdhaṃ dviśatapacāśadbhiḥ	kalantaka-nivAse veNu-vane mahatA Bikzu-saFaGena sArDam dvi-Sata-pacASadBiH
   bhikṣubhiḥ saṃbahulaiśca bodhisattvamahāsattvaiḥ / atha	BikzuBiH saMbahulEH-ca boDisattva-mahA-sattvEH / aTa
   bhagavānanekaśatasahasraparivāraparivṛtaḥ purato 'valokya dharmaṃ deśayati	BagavAn-aneka-Sata-sahasra-parivAra-parivRtaH puratas avalokya Darmam deSayati
   sma / ādau kalyāṇaṃ madhye kalyāṇamavasāne kalyāṇaṃ svarthaṃ suvyajanaṃ	sma / AdO kalyANam maDye kalyANam-avasAne kalyANam svarTam su-vyajanam
   kevalaṃ paripūrṇaṃ pariśuddhaṃ paryavadātaṃ brahmacaryaṃ prakāśayati sma	kevalam paripUrNam pariSudDam paryavadAtam brahmacaryam prakASayati sma
   2. tadā magadharājaḥ śreṇyo vimvisāraḥ mahātā rājavibhavena mahatā ca	2. tadA magaDa-rAjaH SreNyaH vimvisAraH mahAtA rAja-viBavena mahatA ca
   rājabalena rājagṛhānmahānagarānniṣkramya yena veṇuvanaṃ yena ca bhagavān	rAja-balena rAja-gRhAt-mahA-nagarAt-nizkramya yena veNu-vanam yena ca BagavAn
   tenopasaṅakramīt / upasaṅakramya bhagavataḥ pādau śirasā abhivandya triḥ	tena-upasaFakramIt / upasaFakramya BagavataH pAdO SirasA aBivandya tris-
   pradakṣiṇīkṛtya ekānte atiṣṭhat / ekānte sthitvā magadharājaḥ śreṇyo	pradakziNIkRtya ekAnte atizWat / ekAnte sTitvA magaDa-rAjaH SreNyaH-
   bimbisāraḥ bhagavantametadavocat / kathaṃ bhagavan kṛtaṃ karma saṃcayaṃ	bimbisAraH Bagavantam-etat-avocat / kaTam Bagavan kRtam karma saMcayam
   pratirudhya ciraniruddhaṃ maraṇakāla upasthitaṃ manaso 'bhimukhībhavati /	pratiruDya cira-nirudDam maraNa-kAle upasTitam manasaH aBimuKIBavati /
   sūnyeṣu sarvasaṃskāreṣu kathaṃ karmaṇāmavipraṇāśo 'sti //	sUnyezu sarva-saMskArezu kaTam karmaNAm-avipraNASaH asti //
   3. evamukte bhagavān magadharājaṃ śreṇyaṃ bimbisārametadavocat / tadyathā	3. evam-ukte BagavAn magaDa-rAjam SreNyam bimbisAram-etat-avocat / tat-yaTA
   mahārāja puruṣaḥ suptaḥ svapne janapadakalyāṇyā striyā sārdhaṃ paricaret /	mahA-rAja puruzaH suptaH svapne janapada-kalyANyA striyA sArDam paricaret /
   sa śayitavibuddhaḥ janapadakalyāṇīṃ tāṃ striyamanusmaret / tatkiṃ manyase	sa Sayita-vibudDaH janapada-kalyANIm tAm striyam-anusmaret / tat-kim manyase
   mahārāja svapne sā janapadakalyāṇī strī //	mahA-rAja svapne sA janapada-kalyANI strI //
   4. āha! nohīdaṃ bhagavan //	4. Aha! na-uhi-idam Bagavan //
   5. bhagavānāha!tat kiṃ manyase mahārāja api nu sa puruṣaḥ kiṃ	5. BagavAn-Aha!tat kim manyase mahA-rAja api nu sa puruzaH kim
   paṇḍitajātīyo bhavet / yaḥ svapne janapadakalyāṇīṃ striyamabhiniviśet //	paNxita-jAtIyaH Bavet / yaH svapne janapada-kalyANIm striyam-aBiniviSet //
   6. āha! nohīdaṃ bhagavan! tatkasya hetoḥ / atyantatayā tu bhagavan svapne	6. Aha! na-uhi-idam Bagavan! tat-kasya hetoH / atyanta-tayA tu Bagavan svapne
   janapadakalyāṇī strī na saṃvidyate / nopalabhyate / kutaḥ	janapada-kalyANI strI na saMvidyate / na-upalaByate / kutas-
   punaranayāsārdhaṃ paricaraṇā / evaṃ vighātasya klamathasya bhāgī syāt //	punar-anayAsA-arDam paricaraNA / evam viGAtasya klamaTasya BAgI syAt //
   7. bhagavānāha!evameva mahārāja balo 'śrutavān pṛthagjanaścakṣuṣā rūpāṇi	7. BagavAn-Aha!evam-eva mahA-rAja balaH aSrutavAn pRTagjanaH-cakzuzA rUpANi
   ddaṣṭvā saumanasyasthānīyāni rūpāṇyabhiniviśet / abhiniviṣṭa anurajyate /	ddazwvA sOmanasya-sTAnIyAni rUpANi-aBiniviSet / aBinivizwa anurajyate /
   anuraktaḥ saṃrajyate / saṃrakto rāgajaṃ dveṣajaṃ mohajaṃ karma	anuraktaH saMrajyate / saMraktaH rAga-jam dveza-jam moha-jam karma
   kāyavāṅmanobhirabhisaṃskaroti / tacca karma abhisaṃskṛtaṃ nirudhyate /	kAya-vAc-manoBiH-aBisaMskaroti / tat-ca karma aBisaMskRtam niruDyate /
   niruddhaṃ na pūrvāṃ diśaṃ niśritya tiṣṭhati / na dakṣiṇām / na paścimām /	nirudDam na pUrvAm diSam niSritya tizWati / na dakziNAm / na paScimAm /
   nottarām / nordhvam / nādhaḥ / na vidiśaṃ niśritya tiṣṭhati / tat karma	na-uttarAm / na-UrDvam / na-aDas / na vidiSam niSritya tizWati / tat karma
   kadācinmaraṇa kālasamaya upasthite tatsabhāgasya karmaṇaḥ kṣayāt	kadAcid-maraNa kAla-samaye upasTite tad-sa-BAgasya karmaNaH kzayAt-
   caramavijñāne niruddhe manaso 'bhimukhībhavati / tadyathāpi nāma	carama-vijQAne nirudDe manasaH aBimuKIBavati / tat-yaTA-api nAma
   suptaśayitavibuddhasya janapadakalyāṇi strī / evam hi mahārāja	supta-Sayita-vibudDasya janapada-kalyANi strI / evam hi mahA-rAja
   caramavijñānaṃ nirudhyate / aupapattyaṃśikaṃ prathamavijñānaṃ utpadyate /	caram-avijQAnam niruDyate / Opapatti-aMSikam praTama-vijQAnam utpadyate /
   yadi vā deve / yadi vā mānuṣe / yadi vāsure / yadi vā narakeṣu / yadi vā	yadi vA deve / yadi vA mAnuze / yadi vA-asure / yadi vA narakezu / yadi vA
   tiryagyoniṣu / yadi vā preteṣu /	tiryagyonizu / yadi vA pretezu /
   tasya ca mahārāja prathamavijñānasya samanantaraniraddhasya tatsabhāgā	tasya ca mahA-rAja praTama-vijQAnasya samanantara-niradDasya tad-saBAgA
   cittasaṃtatiḥ pravartate / yatra vipākasya pratisaṃvedanā prajñāyate /	citta-saMtatiH pravartate / yatra vipAkasya pratisaMvedanA prajQAyate /
   tatra mahārāja na kaściddharmaḥ asmāt lokātparalokaṃ saṅkrāmati /	tatra mahA-rAja na kaScid-DarmaH asmAt lokAt-para-lokam saFkrAmati /
   cyutyupapattī ca prajñāyete / tatra mahārāja yaścaramavijñānasya nirodhaḥ	cyuti-upapattI ca prajQAyete / tatra mahA-rAja yaH-caram-avijQAnasya niroDaH
