   Bodhisattvaprātimokṣasūtram	BoDisattva-prAtimokza-sUtram
   om namaḥ sarvvabuddhabodhisattvebhyaḥ / ye ca te bodhisattvānāṃ trayaḥ	om namaH sarvu-abudDa-boDisattveByaH / ye ca te boDisattvAnAm trayaH
   śīlaskandhā uktāḥ / saṃvara śīlaṃ kuśaladharmmasaṃgrāhakaśīlaṃ	SIla-skanDAH uktAH / saMvara SIlam kuSala-Darmma-saMgrAhaka-SIlam
   sattvārthakriyāśīlaṃ ca teṣu śikṣitukāmena gṛhiṇā vā pravrajitena vā	sattva-arTa-kriyA-SIlam ca tezu Sikzitu-kAmena gRhiNA vA pravrajitena vA
   'nuttarāyāṃ samyaksaṃbodhau kṛtapraṇidhānena sahadhārmmikasya	anuttarAyAm samyaksaMboDO kRta-praNiDAnena saha-DArmmikasya
   bodhisattvasya mahāpuṇyanidhānasya vāg vijñaptyartha	boDisattvasya mahA-puNya-niDAnasya vAc vijQapti-arTa
   grahaṇāvabodhasamarthasya pādayornnipatyādhyeṣaṇā kāryā / tavāhaṃ	grahaNa-avaboDa-samarTasya pAdayoH-nnipatya-aDyezaNA kAryA / tava-aham
   kulaputrāyuṣman bhadanteti vā 'ntikāt	kula-putra-Ayuzman Badanta-iti vA antikAt-
   bodhisattvaśīlasaṃvarasamādānamākāṅkṣābhyādātum / tadarhasyanuparodhena	boDisattva-SIla-saMvara-samAdAnam-AkAFkzA-aByAdAtum / tad-arhasi-anuparoDena
   muhūrttamadanukampayā dātuṃ śrotuñceti // trirevamadhyeṣya	muhUrttamad-anukampayA dAtum SrotuQcA-iti // tris-evam-aDyezya
   ekāṃsamuttarāṅgaṃ kṛtvādaśasu dikṣvatītānāgatapratyutpannānāṃ buddhānāṃ	eka-aMsam-uttara-aFgam kRtvA-adaSasu dikzu-atIta-anAgata-pratyutpannAnAm budDAnAm
   bhagavatāṃ mahābhūmipraviṣṭānāṃ ca bodhisattvānāṃ sāmīcīṃ kṛttvā teṣāṃ	BagavatAm mahA-BUmi-pravizwAnAm ca boDisattvAnAm sAmIcIm kRttvA tezAm
   guṇānāmukhīkṛtya ghanarasaṃ cetaḥprasādaṃ saṃjanayya	guNAnAmuKIkRtya Gana-rasam cetaH-prasAdam saMjanayya
   nīcairjānumaṇḍalenotkuṭukena vā sthitvā tathāgatapratimāṃ purataḥ	nIcEs-jAnu-maNxalena-utkuwukena vA sTitvA taTAgata-pratimAm puratas-
