   Ekādaśamukham	EkAdaSa-muKam
   oṃ namaḥ sarvabuddhabodhisattvebhyaḥ //	om namaH sarva-budDa-boDisattveByaH //
   evaṃ mayā śrutamekasamaye bhagavān śrāvastyāṃ viharati sma karīramaṇḍale	evam mayA Srutam-eka-samaye BagavAn SrAvastyAm viharati sma karIra-maNxale
   ca / atha khalvāryāvalokiteśvaro bodhisattvo mahāsattvo	ca / aTa Kalu-Arya-avalokita-ISvaraH boDisattvaH mahAsattvaH-
   'nekavidyādharakoṭīniyutaśatasahastrastreṇa parivṛto yena	aneka-vidyADara-kowI-niyuta-Sata-sahastrastreNa parivRtaH yena
   bhagavāṃstenopasamakrāmat / upasaṃkramya bhagavataḥ pādau śirasā vanditvā	BagavAn=-tena-upasama-krAmat / upasaMkramya BagavataH pAdO SirasA vanditvA
   bhagavantaṃ pradakṣiṇīkṛtyaekānte nyasīda bhagavantametadavocat / idaṃ	Bagavantam pradakziNIkRtya-ekAnte nyasIda Bagavantam-etat-avocat / idam
   mama bhagavannekādaśamukhaṃ nāma hṛdayamekādaśabhiḥ kalpakoṭībhirbhāṣitam	mama Bagavan=-ekAdaSamuKam nAma hRdayam-ekAdaSaBiH kalpa-kowIBiH-BAzitam
   / ahaṃ cettarhi bhāṣiṣyāmi sarvasattvānāmarthāya hitāya sukhāya	/ aham ced-tarhi BAzizyAmi sarva-sattvAnAm-arTAya hitAya suKAya
   sarvavyādhipraśamanāya sarvapāpālakṣmiduḥsvapnapratinivāraṇāya	sarva-vyADi-praSamanAya sarva-pApa-alakzmi-duHsvapna-pratinivAraNAya
   sarvākālamṛtyupratinivāraṇāya aprasādānāṃ prasādanāya	sarva-akAla-mRtyu-pratinivAraNAya aprasAdAnAm prasAdanAya
   sarvavighnavināyakānāṃ praśamanāya / nāhaṃ bhagavan samanupaśyāmi (Em 36)	sarva-viGna-vinAyakAnAm praSamanAya / na-aham Bagavan samanupaSyAmi (Em 36)
   sadevake loke samārake sabrahmake saśramaṇabrāhmaṇikāyāḥ prajāyā yadanena	sa-devake loke samArake sa-brahmake sa-SramaNa-brAhmaNikAyAH prajAyAH yat-anena
   hṛdayena rakṣe kṛte paritre parigrahe śāntisvastyayane daṇḍaparihare	hRdayena rakze kRte paritre parigrahe SAnti-svastyayane daNxa-parihare
   śastraparihare viṣaprahāṇe kṛte yaḥ kaścidatikramet na praśamet	Sastra-parihare viza-prahANe kRte yaH kaScid-atikramet na praSamet-
   nedaṃsthānaṃ vidyate sthāptya paurāṇāṃ karma vipacyate / tadasya ca	na-idaMsTAnam vidyate sTAptya pOrANAm karma vipacyate / tat-asya ca
   kalpayato 'bhiśraddadhataḥ sarveṇa sarvaṃ na bhaviṣyati /	kalpayataH aBiSraddaDataH sarveNa sarvam na Bavizyati /
   sarvabuddhastutaḥ samanvāhṛto 'yaṃ hṛdayaṃ sarvatathāgatānumodito 'yaṃ	sarva-budDa-stutaH samanvAhRtaH ayam hRdayam sarva-taTAgata-anumoditaH ayam
   hṛdayam / smarāmyahaṃ bhagavan gaṅgānadīvālukāsamānāṃ kalpānāṃ pareṇa	hRdayam / smarAmi-aham Bagavan gaFgA-nadI-vAlukA-samAnAm kalpAnAm pareNa
   śatapadmanayanacūḍapratihataraṅgavelakiraṇarājasya nāma tathāgatasya /	Satapadma-nayana-cUxa-pratihata-raFga-vela-kiraNa-rAjasya nAma taTAgatasya /
   mayā tathāgatasyāntike śrutamayaṃ hṛdayam udgṛhītaṃca / saha pratilaṃbhena	mayA taTAgatasya-antike Sruta-mayam hRdayam udgRhItaMca / saha pratilaMBena
   daśasu dikṣu sarvatathāgatāḥ (Em 37) sumukhībhūtā	daSasu dikzu sarva-taTAgatAH (Em 37) su-muKIBUtA
   anutpattikadharmakṣāntipratilabdhāḥ / evaṃ bahukaro 'yaṃ hṛdayam	anutpattika-Darma-kzAnti-pratilabDAH / evam bahu-karaH ayam hRdayam
   tasmāttarhi śrāddhena kulaputreṇa vā kuladuhitrā vā satkṛtyāyaṃ hṛdayaṃ	tasmAt-tarhi SrAdDena kula-putreNa vA kula-duhitrA vA satkRtya-ayam hRdayam
   sādhayitavyam / ananyamanasā nityaṃ sādhayitavyam / kalyamutthāya	sADayitavyam / ananya-manasA nityam sADayitavyam / kalyam-utTAya
   aṣṭottaravāraśataṃ pravartayitavyam / ddaṣṭadharmikā guṇā daśa	azwa-uttaravAra-Satam pravartayitavyam / ddazwa-DarmikA guNAH daSa
   parigrahītavyāḥ / katame daśa / yaduta nirvyādhirbhaviṣyati /	parigrahItavyAH / katame daSa / yat-uta nirvyADiH-Bavizyati /
   sarvatathāgataiḥ parigṛhītaśca bhaviṣyati / dhanadhānyahiraṇyābharaṇamasya	sarva-taTAgatEH parigRhItaH-ca Bavizyati / Dana-DAnya-hiraNya-ABaraNam-asya
   akṣayaṃ bhaviṣyati / sarvaśatravo vaśyā avamarditā bhaviṣyanti /	akzayam Bavizyati / sarva-SatravaH vaSyAH avamarditAH Bavizyanti /
   rājasabhāyāṃ prathamamālapitavyaṃ maṃsyati / na viṣaṃ na garaṃ na jvaraṃ	rAja-saBAyAm praTamam-Alapitavyam maMsyati / na vizam na garam na jvaram
   na śastraṃ kāye kramiṣyati / nodakena kālaṃ kariṣyati / nāgninā kālaṃ	na Sastram kAye kramizyati / na-udakena kAlam karizyati / na-agninA kAlam
   kariṣyati / nākālamṛtyunā kālaṃca kariṣyati / apare cattvāro guṇānuśaṃsā	karizyati / na-akAla-mRtyunA kAlaMca karizyati / apare cattvAraH guNa-anuSaMsA
   udgrahīṣyati / maraṇakāle tathāgatadarśanaṃ bhaviṣyati / na	udgrahIzyati / maraNa-kAle taTAgata-darSanam Bavizyati / na
   cāpāyepūpapatsyate / naviṣamāparihāreṇa kālaṃ kariṣyati / itścyutaḥ	ca-apAyepu-upapatsyate / na-vizama-aparihAreNa kAlam karizyati / itScyutaH
   sukhāvatyāṃ lokadhātāvupapatsyate /	suKAvatyAm lokaDAtO=-upapatsyate /
   smarāmyahaṃ bhagavanniti daśānāṃ gaṅgānadīvālukāsamānāṃ kalpānāṃ tataḥ	smarAmi-aham Bagavan=-iti daSAnAm gaFgA-nadI-vAlukA-samAnAm kalpAnAm tatas-
   pareṇa paratareṇa mandāravagandho nāma tathāgato 'bhūt / tatra mayā	pareNa paratareNa mandAravaganDaH nAma taTAgataH aBUt / tatra mayA
   gṛhaparibhūtenāyamudgṛhītam / cattvāriṃśat kalpasahastrāṇi saṃsārāḥ	gRha-pariBUtena-ayam-udgRhItam / cattvAriMSat kalpa-sahastrANi saMsArAH
   paścānmukhīkṛtāḥ / eṣa ca mayā hṛdayaṃ pravartitvā sarvasmin	paScAt-muKIkRtAH / eza ca mayA hRdayam pravartitvA sarvasmin
   karuṇāyanajñānagarbhabodhisattvavimokṣaṃ (Em 38) pratilabdham / ye	karuNAyana-jQAna-garBa-boDisattva-vimokzam (Em 38) pratilabDam / ye
   bandhanabaddhā ye badhyaprāptā ye udakāgnivividhaduḥkhābhyāhatāḥ	banDana-badDAH ye baDya-prAptAH ye udaka-agni-viviDa-duHKa-aByAhatAH
   tadanenāhaṃ sarvasattvānāṃ layanaṃ trāṇaṃ śaraṇaṃ parāyaṇaṃ bhavāmi / yat	tat-anena-aham sarva-sattvAnAm layanam trANam SaraNam parAyaNam BavAmi / yat-
   sarvaduṣṭayakṣarākṣasānāmanena hṛdayena karṣitvā maitracittān dayācittān	sarva-duzwa-yakza-rAkzasAnAm-anena hRdayena karzitvA mEtra-cittAn dayA-cittAn
   kṛtvānuttarāyāṃ samyaksaṃbodhau pratiṣṭhāpayāmi / evaṃ mahardhiko 'yaṃ	kRtvA-anuttarAyAm samyaksaMboDO pratizWApayAmi / evam maharDikaH ayam
   mama bhagavanhṛdayam	mama Bagavan-hRdayam
   ekavelāṃ prakāśitvā cattvāro mūlāpattayaḥ kṣayaṃ gacchanti pacānantaryāṇi	eka-velAm prakASitvA cattvAraH mUla-ApattayaH kzayam gacCanti paca-AnantaryANi
   karmāṇi niravayavaṃ tanvīkariṣyanti / kaḥ punarvādo yathābhāṣitaṃ	karmANi niravayavam tanvIkarizyanti / kaH punar-vAdaH yaTABAzitam
   pratipatsyanti /	pratipatsyanti /
   anekabuddhaśatasahastrāvaropitakuśalamūlaṃ bhaviṣyati / ye śroṣyanti	aneka-budDa-Sata-sahastra-avaropita-kuSala-mUlam Bavizyati / ye Srozyanti
   prāgeva japasādhanādibhiḥ / sarvamanorathaṃ paripūrayiṣyāmi yaśca	prAk-eva japa-sADana-AdiBiH / sarva-manoraTam paripUrayizyAmi yaH-ca
   caturdaśīpaṃcadaśī māmuddiśya upavasati / cattvāriṃśat kalpasahastrāṇi	caturdaSIpaMcadaSI mAm-uddiSya upavasati / cattvAriMSat kalpa-sahastrANi
   saṃsārān paścānmukhīkarisyanti / tena nāmadheyamapi grahaṇena bhagavan	saMsArAn paScAt-muKIkarisyanti / tena nAmaDeyam-api grahaNena Bagavan
   saha so 'yaṃ buddhakoṭīniyutśatasahasrātirekasamam / mama	saha saH ayam budDa-kowI-niyut-Sata-sahasra-atireka-samam / mama
   nāmadheyagrahaṇenasarvasattvā avaivartikatvaṃ prasavanti /	nAmaDeya-grahaNena-sarva-sattvAH avEvartika-tvam prasavanti /
   sarvavyādhibhiḥparimucyate / sarvāvaraṇebhyaḥ sarvabhayebhyaḥ	sarva-vyADiBiH-parimucyate / sarva-AvaraNeByaH sarva-BayeByaH
   sarvakāyavāṅmanoduścaritebhyaḥ parimokṣyante / teṣāmeva karatalagatā (Em	sarva-kAya-vAc-manaH-duScariteByaH parimokzyante / tezAm-eva kara-tala-gatAH (Em
   39) buddhabodhirbhaviṣyati / bhagavānāha / sādhu sādhu kulaputra yat	39) budDa-boDiH-Bavizyati / BagavAn-Aha / sADu sADu kula-putra yat-
   sarvasattvānāmantike evaṃrūpā mahākaruṇā / śakṣyasi tvaṃ kulaputraḥ	sarva-sattvAnAm-antike evaMrUpAH mahA-karuNA / Sakzyasi tvam kula-putraH
   anenopāyena sarvasattvānāmanuttarāyāṃ samyaksaṃbodhau pratiṣṭhāpayitum /	anena-upAyena sarva-sattvAnAm-anuttarAyAm samyaksaMboDO pratizWApayitum /
   udgṛhītaṃ camayā hṛdayamanumoditam / bhāṣadhvaṃ kulaputra / tataḥ	udgRhItam camayAH hRdayam-anumoditam / BAzaDvam kula-putra / tatas-
   khalvāryāvalokiteśvaro bodhisattva utthāyasanādekāṃsamuttarāsaṅga kṛtvā	Kalu-Arya-avalokita-ISvaraH boDisattvaH utTAyasanAdeka-aMsam-uttarAsaFga kRtvA
   bhagavataścaraṇayoḥ praṇipatya idaṃ hṛdayamāvartayati sma /	BagavataH-caraNayoH praNipatya idam hRdayam-Avartayati sma /
   namo ratnatrayāya / namo vairocanāya tathāgatāya / nama	namaH ratnatrayAya / namaH vErocanAya taTAgatAya / nama
   āryāvalokiteśvarāya bodhisattvāya mahāsattvāya mahākāruṇikāya / namaḥ	Arya-avalokita-ISvarAya boDisattvAya mahAsattvAya mahA-kAruNikAya / namaH
   atītānāgatapratyutpannebhyaḥ sarvatathāgatebhyo 'rhad bhyaḥ	atIta-anAgata-pratyutpanneByaH sarva-taTAgateByaH arhat ByaH
   samyaksaṃbuddhebhyaḥ /	samyaksaMbudDeByaH /
   omdhara dhara / dhiri dhiri / dhuru dhuru / iṭṭe viṭṭe / cale cale /	omDara Dara / Diri Diri / Duru Duru / iwwe viwwe / cale cale /
   pracale pracale / kusume kusumavare / ili mili viṭi svāhā / evaṃ	pracale pracale / kusume kusuma-vare / ili mili viwi svAhA / evam
   mūlamantraḥ //	mUlamantraH //
   namo ratnatrayāya / nama āryāvalokiteśvarāya bodhisattvāya mahāsattvāya /	namaH ratnatrayAya / namaH Arya-avalokita-ISvarAya boDisattvAya mahAsattvAya /
   tad yathā hāhā hāhā / ime tile cile bhile khile svāhā /	tat yaTA hAhA hAhA / ime tile cile Bile Kile svAhA /
   snānopasparśanavastrābhyukṣipaṇamantraḥ saptajāpena / (Em 40)	snAna-upasparSana-vastra-aByukzi-paNa-mantraH sapta-jApena / (Em 40)
   namo ratnatrayāya / nama āryāvalokiteśvarāya bodhisattvāyamahāsattvāya /	namaH ratnatrayAya / namaH Arya-avalokita-ISvarAya boDisattvAya-mahAsattvAya /
   tadyathā ṭuru ṭuru hā hā hā hā svāhā / dhūpadīpanivedanamantraḥ /	tat-yaTA wuru wuru hA hA hA hA svAhA / DUpa-dIpa-nivedana-mantraH /
   namo ratnatrayāya / nama āryāvalokiteśvarāya bodhisattvāyā mahāsattvāyā /	namaH ratnatrayAya / namaH Arya-avalokita-ISvarAya boDisattvAyAH mahAsattvAyAH /
   tadyathā thiri thiri dhiri dhiri svāhā / gandhapuṣpopanivedanamantraḥ /	tat-yaTA Tiri Tiri Diri Diri svAhA / ganDa-puzpa-upanivedana-mantraH /
   namo ratnatrayāya / nama āryāvalokiteśvaraya bodhisattvāya mahāsattvāya	namaH ratnatrayAya / namaH Arya-avalokita-ISvaraya boDisattvAya mahAsattvAya
   mahākāruṇikāya / tadyathā sāde sāde sidi sidi sudu sudu svāhā /	mahA-kAruNikAya / tat-yaTA sAde sAde sidi sidi su-du su-du svAhA /
   balinivedanamantra ekaviṃśatijāpena /	bali-nivedana-mantraH ekaviMSati-jApena /
   namo ratnatrayāya / nama āryāvalokiteśvarāyabodhisattvāya mahāsattvāya /	namaH ratnatrayAya / namaH Arya-avalokita-ISvarAya-boDisattvAya mahAsattvAya /
   mahākāruṇikāya / tadyathā yasi ddhasi cari huru icuruḥ suruḥ muruḥ svāhā /	mahA-kAruNikAya / tat-yaTA yasi dDasi cari huru icuruH suruH muruH svAhA /
   homamantraḥ / anena mantreṇa jñātīnāṣṭai(?) ragniṃ prajvālya	homa-mantraH / anena mantreNa jQAtIna-azwE(?) ragnim prajvAlya
   dadhimadhudhṛtābhyaktānāmahorātrauṣikena ekena triṃśatā homaḥ kāryaḥ /	daDi-maDu-DRta-aByaktAnAm-ahorAtra-Ozikena ekena triMSatA homaH kAryaH /
   tataḥ karma samārabhet /	tatas karma samAraBet /
   namo ratnatrayāya nama āryāvalokiteśvarāya bodhisattvāya mahāsattvāya	namaH ratnatrayAya namaH Arya-avalokita-ISvarAya boDisattvAya mahAsattvAya
   mahākāruṇikāya / tadyathā ili mili tili tili hili svāhā / dīpābaddha	mahA-kAruNikAya / tat-yaTA ili mili tili tili hili svAhA / dIpa-AbadDa
   udakena+ +rvā bhasmanā vā saptajāpena /	udakena+ +rvA BasmanA vA sapta-jApena /
   namo ratnatrayāya / nama āryāvalokiteśvarāya bodhisattvāya mahāsattvāya	namaH ratnatrayAya / namaH Arya-avalokita-ISvarAya boDisattvAya mahAsattvAya
   mahākāruṇikāya / tadyathā piṭi piṭi tiṭi tiṭi viṭi viṭi gaccha gaccha	mahA-kAruNikAya / tat-yaTA piwi piwi tiwi tiwi viwi viwi gacCa gacCa
   bhagavānāryāvalokiteśvara svabhavanaṃ svabhavanaṃ svāhā / udake saptavārān	BagavAn-Arya-avalokita-ISvara sva-Bavanam sva-Bavanam svAhA / udake sapta-vArAn
   parijapya caturdiśaṃ kṣipet / āryāvalokiteśvara gaccha svabhavanam /	parijapya caturdiSam kzipet / Arya-avalokita-ISvara gacCa sva-Bavanam /
