   Hayagrīvavidyā	HayagrIva-vidyA
   namo ratnatrayāya / nama āryāvalokiteśvarāya bodhisattvāya mahāsattvāya	namaH ratnatrayAya / namaH Arya-avalokita-ISvarAya boDisattvAya mahAsattvAya
   mahākāruṇikāya / namaḥ sarvasattvavyasanaghātine / namaḥ	mahA-kAruNikAya / namaH sarva-sattva-vyasana-GAtine / namaH
   sarvasattvabhayapraśamanakarāya / namaḥ sarvasattvabhayottāraṇakarāya /	sarva-sattva-Baya-praSamana-karAya / namaH sarva-sattva-Baya-uttAraNa-karAya /
   namaḥ sarvavidyādhigatāya / namaḥ sarvavidyāvidhigatamūrtaye	namaH sarva-vidyA-aDigatAya / namaH sarva-vidyA-viDi-gata-mUrtaye
   mahākāruṇikāya / namo mahāvidyārājaprāptaye mahāyogine /	mahA-kAruNikAya / namaH mahAvidyA-rAja-prAptaye mahA-yogine /
   tasmai namaskṛtvā idamāryāvalokiteśvaramukhodgīrṇaṃ vajradharamahīyaṃ	tasmE namaskRtvA idam-AryA-avalokita-ISvara-muKa-udgIrNam vajraDara-mahIyam
   hayagrīvaṃ nāma paramahṛdayamāvartayiṣyāmisarvakarmārthasādhakam / asahyaṃ	hayagrIvam nAma parama-hRdayam-AvartayizyAmi-sarva-karma-arTa-sADakam / asahyam
   sarvabhūtānāṃ yakṣāṇāṃ cavināśakam / amoghaṃ sarvakarmaṇāṃ viṣāṇāṃ ca	sarva-BUtAnAm yakzANAm ca-vinASakam / amoGam sarva-karmaNAm vizANAm ca
   nāśakam / tadyathā	nASakam / tat-yaTA
   om tarula tarula vitarula vitarula sarvaviṣaghātaka	om tarula tarula vitarula vitarula sarva-viza-GAtaka
   jvalitavisphuliṅgāṭṭahāsa kesarāṭopapravṛddhavega vajrakhuranirghātaka	jvalita-visPuliFga-awwahAsa kesara-Awopa-pravRdDa-vega vajra-Kura-nirGAtaka
   calitavasudhātala niḥsvasitahasitamārutotkṣiptadharaṇīdhara	calita-vasuDA-tala niHsvasita-hasita-mAruta-utkzipta-DaraNI-Dara
   parabhṛtagaṇasamūhavikṣobhaṇakara paravidyāsaṃbhakṣaṇakara	paraBRta-gaNa-samUha-vikzoBaNa-kara para-vidyA-saMBakzaNa-kara
   sarvagrāhotsādanakara paramaśāntikarasarvagrahapraśamanakara budhya budhya	sarva-grAha-utsAdana-kara parama-SAnti-kara-sarva-graha-praSamana-kara buDya buDya
