   Mahāsannipātaratnaketudhāraṇī sūtraṃ	MahAsannipAta-ratna-ketu-DAraNI sUtram
   (Dutt 1)	(Dutt 1)
   START Rkp 1	START RkB 1
   prathamaḥ parivartaḥ	praTamaH parivartaH
   namastathāgatāya gandhaprabhaśriye / namo mahābrahmaghoṣāya /	namaH-taTAgatAya ganDa-praBa-Sriye / namaH mahA-brahmaGozAya /
   eteṣāṃ namaskartāsaṃprāptaḥ māravyūhena /	etezAm namaskartA-saMprAptaH mAra-vyUhena /
   eṣā dhāraṇī udgrahaṇīyā / mayā asyāṃ vidyāyāṃ siddhiḥ prāptā / avāme avāme	ezA DAraNI udgrahaNIyAH / mayA asyAm vidyAyAm sidDiH prAptA / avAme avAme
   avāme / om vare om vare / parikuñja naṭa naṭa puskara vahaja lukha / khama	avAme / om vare om vare / parikuQja nawa nawa puskara vahaja luKaH / Kama
   khama / ili mili / kili mili / kīrtivara / mudre mudre mukhe svāhā / evaṃ	KamaH / ili mili / kili mili / kIrti-varaH / mudre mudre muKe svAhA / evam
   mayā śrutam / ekasmin samaye bhagavān rājagṛhe mahānagare viharati	mayA Srutam / ekasmin samaye BagavAn rAja-gRhe mahA-nagare viharati
   vyākalantakanivāpe sārdhaṃ mahatā bhikṣusaṃghena sārdhaṃ bhikṣusahasraiḥ	vyAkalantaka-nivApe sArDam mahatA Bikzu-saMGena sArDam Bikzu-sahasrEH
   sarvairarhadbhiḥ kṣīṇāsravairniṣkleśairvaśībhūtaiḥ suvimuktacittaiḥ	sarvEH-arhadBiH kzINa-AsravEH-nizkleSEH-vaSIBUtEH su-vimukta-cittEH
   suvimuktaprajñairājāneyaiḥ mahānāgaiḥ kṛtakṛtyaiḥ kṛtakaraṇīyaiḥ	su-vimukta-prajQEH-AjAneyEH mahA-nAgEH kRtakRtyEH kRta-karaNIyEH
   apahṛtabhāraiḥ anuprāptasvakārthaiḥ parikṣīṇabhavasaṃyojanaiḥ	apahRta-BArEH anuprApta-svaka-arTEH parikzINa-Bava-saMyojanEH
   samyagājñāsuvimuktacittaiḥ sarvacetovaśitāparamapāramitāprāptairekānte	samyak-AjQA-su-vimukta-cittEH sarva-cetaH-vaSitA-parama-pAramitA-prAptEH-ekAnte
   niṣaṇṇaiḥ sārdhaṃ bodhisattvaniyutaiḥ mahatā bodhisattvasaṃghena tadyathā	nizaNNEH sArDam boDisattva-niyutEH mahatA boDisattva-saMGena tat-yaTA
   meruśikharadharakumārabhūtena varūṇamatikumārabhūtena sumatikumārabhūtena	meru-SiKara-Dara-kumAra-BUtena varUNam-ati-kumAra-BUtena sumati-kumAra-BUtena
   jinamatikumārabhūtena raśmimatikumārabhūtena ākāśamatikumārabhūtena	jinam-ati-kumAra-BUtena raSmimati-kumAra-BUtena AkASam-ati-kumAra-BUtena
   vidyunmatikumārabhūtena mañjuśriyā kumārabhūtena śākyakumārabhūtena	vidyut-mati-kumAra-BUtena maQju-SriyA kumAra-BUtena SAkya-kumAra-BUtena
   varūṇakumārabhūtena vimalakumārabhūtena maitreyeṇa bodhisattvena	varUNa-kumAra-BUtena vimala-kumAra-BUtena mEtreyeNa boDisattvena
   mahāsattvena / te sarve bodhisattvaniyutāḥ	mahAsattvena / te sarve boDisattva-niyutAH
