   (Vaidya 117)	(VEdyaH 117)
   Pratītyasamutpādādivibhaṅganirdeśasūtram |	PratIti-asamutpAda-Adi-viBaFga-nirdeSa-sUtram |
   evaṃ mayā śrutam | ekasmin samaye bhagavān śrāvastyāṃ viharati sma	evam mayA Srutam | ekasmin samaye BagavAn SrAvastyAm viharati sma
   jetavane anāthapiṇḍadasyārāme mahatā bhikṣusaṃghena	jetavane anATapiNxadasya-ArAme mahatA Bikzu-saMGena
   sārdhamardhatrayodaśabhirbhikṣuśataiḥ | tatra bhagavānāmantrayate sma -	sArDam-arDa-trayodaSaBiH-Bikzu-SatEH | tatra BagavAn-Amantrayate sma -
   pratītyasamutpādasya vo bhikṣavaḥ ādiṃ vo deśayiṣyāmi vibhaṅgaṃ ca |	pratItyasamutpAdasya vaH BikzavaH Adim vaH deSayizyAmi viBaFgam ca |
   tacchṛṇuta, sādhu ca suṣṭhu ca manasikuruta, bhāṣiṣye -	tat-SRNuta, sADu ca suzWu ca manasi-kuruta, BAzizye -
   pratītyasamutpādasya ādiḥ katamaḥ? yaduta asmin sati idaṃ bhavati,	pratItyasamutpAdasya AdiH katamaH? yat-uta asmin sati idam Bavati,
   asyotpādādidamutpadyate | yaduta avidyāpratyayāḥ saṃskārāḥ |	asya-utpAdAt-idam-utpadyate | yat-uta avidyA-pratyayAH saMskArAH |
   saṃskārapratyayaṃ vijñānam | vijñānapratyayaṃ nāmarūpam |	saMskAra-pratyayam vijQAnam | vijQAna-pratyayam nAma-rUpam |
   nāmarūpapratyayaṃ ṣaḍāyatanam | ṣaḍāyatanapratyayaḥ sparśaḥ |	nAma-rUpa-pratyayam zaz-Ayatanam | zaz-Ayatana-pratyayaH sparSaH |
   sparśapratyayā vedanā | vedanāpratyayā tṛṣṇā | tṛṣṇāpratyayamupādānam |	sparSa-pratyayAH vedanA | vedanA-pratyayA tRzNA | tRzNA-pratyayam-upAdAnam |
   upādānapratyayo bhavaḥ | bhavapratyayā jātiḥ | jātipratyayā	upAdAna-pratyayaH BavaH | Bava-pratyayA jAtiH | jAti-pratyayA
   jarāmaraṇaśokaparidevaduḥkhadaurmanasyopāyāsāḥ saṃbhavanti | evamasya	jarA-maraNa-Soka-parideva-duHKa-dOrmanasya-upAyAsAH saMBavanti | evam-asya
   kevalasya mahato duḥkhaskandhasya samudayo bhavati | ayamucyate	kevalasya mahataH duHKa-skanDasya samudayaH Bavati | ayam-ucyate
   pratītyasamutpādasyādiḥ ||	pratItyasamutpAdasya-AdiH ||
   vibhaṅgaḥ katamaḥ? avidyāpratyayāḥ saṃskārāḥ ityavidyā katamā? yat	viBaFgaH katamaH? avidyA-pratyayAH saMskArAH iti-avidyA katamA? yat-
   pūrvānte 'jñānam, aparānte 'jñānam, pūrvāntāparānte 'jñānam,	pUrva-ante ajQAnam, apara-ante ajQAnam, pUrva-anta-apara-ante ajQAnam,
   adhyātmajñānam, bahirdhājñānam, adhyātmabahirdhājñānam, karmaṇyajñānam,	aDyAtma-jQAnam, bahirDAjQAnam, aDyAtma-bahirDa-ajQAnam, karmaNi-ajQAnam,
   vipāke 'jñānam, karmavipāke 'jñānam, buddhe 'jñānam, dharme 'jñānam,	vipAke ajQAnam, karma-vipAke ajQAnam, budDe ajQAnam, Darme ajQAnam,
   saṃghe 'jñānam, duḥkhe 'jñānam, samudaye 'jñānam, nirodhe 'jñānam, mārge	saMGe ajQAnam, duHKe ajQAnam, samudaye ajQAnam, niroDe ajQAnam, mArge
   'jñānam, hetāvajñānam, hetusamutpanneṣu dharmeṣvajñānam, kuśalākuśaleṣu	ajQAnam, heta-a=-ajQAnam, hetu-samutpannezu Darmezu-ajQAnam, kuSala-akuSalezu
   sāvadyānavadyeṣu sevitavyāsevitavyeṣu	sAvadyAnavadyezu sevita-vyAsevitavyezu
   hīnapraṇītakṛṣṇaśuklasapratibhāgapratītyasamutpanneṣu dharmeṣvajñānam,	hIna-praNIta-kRzNa-Sukla-sapratiBAga-pratIti-asamutpannezu Darmezu-ajQAnam,
