   Vinayaviniścaya upāliparipṛcchā	Vinaya-viniScayaH upAli-paripRcCA
   namo buddhāya // tena khalu punaḥ samayenāyuṣmānupaliḥ pratisaṃlayanāta	namaH budDAya // tena Kalu punar samayena-AyuzmA-anupaliH pratisaMlayanAta
   vyutthāya yena bhagavāṃstenopasaṃkrāmat / upasaṃkramya bhagavataḥ pādau	vyutTAya yena BagavAn=-tena-upasaMkrAmat / upasaMkramya BagavataH pAdO
   śirasābhivandya triḥ pradakṣiṇīkṛtyaikāntaṃ nyasīdat / ekānta	SirasA-aBivandya tris pradakziNIkRtya-ekAntam nyasIdat / ekAnta
   niṣaṇnaścāyuṣmānupāliḥ bhagavantametadavocat / iha bhagavanmamaikākino	nizaNnaH-ca-Ayuzma-anupAliH Bagavantam-etat-avocat / iha Bagavat-mama-ekAkinaH-
   rahogatasya pratisaṃlīna cittasyāyamevaṃrupaścetasi cetaḥparivitarka	rahaH-gatasya pratisaMlIna cittasya-ayam-evaMrupaH-cetasi cetaH-parivitarka
   udapādi / prātimokṣasaṃvaro bhagavatā prajñaptaścādhiśīlaśikṣā pariśuddhiḥ	udapAdi / prAtimokza-saMvaraH BagavatA prajQaptaH-ca-aDiSIla-SikzA pariSudDiH
   śrāvakayānikānāṃ pratyekabuddhayānikānām ca / bodhisatvāyānikānāṃ tu	SrAvaka-yAnikAnAm pratyekabudDa-yAnikAnAm ca / boDisatva-AyAnikAnAm tu
   bhagavatā jīvitaparityāge 'pi śikṣāpyatra parideśitā nirdiṣṭā / tat kathaṃ	BagavatA jIvita-parityAge api SikzA-api-atra parideSitA nirdizwA / tat kaTam
   bhagavataḥ parinirvṛtasya tiṣṭhato vā śrāvakayānikānāṃ prātimokṣasaṃvaro	BagavataH parinirvRtasya tizWataH vA SrAvaka-yAnikAnAm prAtimokza-saMvaraH-
   vaktavyaḥ / kathaṃ pratyekabuddhayānikānām / kathaṃ	vaktavyaH / kaTam pratyekabudDa-yAnikAnAm / kaTam
   mahāyānasaṃprasthitānāṃ bodhisattvānāṃ prātimokṣasaṃvaro vaktavyaḥ / ahaṃ	mahAyAna-saMprasTitAnAm boDisattvAnAm prAtimokza-saMvaraH vaktavyaH / aham
