   Mahāsāṃghikānāṃ prātimokṣasūtram	MahAsAMGikAnAm prAtimokza-sUtram
   namo vai bhagavate vītarāgāya //	namaH vE Bagavate vIta-rAgAya //
   PrMoSū(Mā)_1. narendradevendrasuvanditena trilokavidyuṣu viśālakīrtinā /	PrMoSU(MA)_1. narendra-deva-indra-suvanditena triloka-vidyuzu viSAla-kIrtinA /
   buddhena lokānucareṇa tāyināmudeśitaṃ prātimokṣaṃ vidunā //	budDena loka-anucareNa tAyinAm-udeSitam prAtimokzam vidunA //
   PrMoSū(Mā)_2. taṃ prātimokṣaṃ bhavaduḥkhamokṣaṃ śruttvānudhīrāḥ sugatasya	PrMoSU(MA)_2. tam prAtimokzam Bava-duHKa-mokzam SruttvA-anuDIrAH sugatasya
   bhāṣitāṃ /	BAzitAm /
   ṣaḍindriyaṃ samvarasamvṛtatvātkaronti jātīmaraṇasya antaṃ //	zaz-indriyam samvara-samvRta-tvAt-karonti jAtI-maraNasya antam //
   PrMoSū(Mā)_3. cirasya labdhvā ratanāni trīṇi buddho yodaṃ māyikāñca	PrMoSU(MA)_3. cirasya labDvA ratanAni trINi budDaH yodam mAyi-kAQca
   śuddhāṃ /	SudDAm /
   dauḥśīlavadyaṃ parivarjjayitvā viśuddhaśīlā bhavathāpramattāḥ //	dOHSIla-vadyam parivarjjayitvA viSudDa-SIlAH BavaTa-apramattAH //
   PrMoSū(Mā)_4. śīlena yukto śramaṇo tireti śīlena yukto brāhmaṇo tireti /	PrMoSU(MA)_4. SIlena yuktaH SramaNaH tireti SIlena yuktaH brAhmaNaH tireti /
   śīlena yukto naradevapūjyo śīlena yuktasya hi prātimokṣaṃ //	SIlena yuktaH naradeva-pUjyaH SIlena yuktasya hi prAtimokzam //
   PrMoSū(Mā)_5. aneka buddhānumataṃ viśuddhaṃ śīlaṃ pratiṣṭhā	PrMoSU(MA)_5. aneka budDa-anumatam viSudDam SIlam pratizWA
   dharaṇīvasāntaṃ /	DaraNI-vasA-antam /
   tadāhariṣyāmyahaṃ saṃghamadhye hitāya lokasya sadevakasya //	tadAharizyAmi-aham saMGa-maDye hitAya lokasya sa-devakasya //
   upodghātaḥ	upodGAtaH
   PrMoSū(Mā)_1. kiñjīvitena teṣāṃ yeṣāmihākuśalamūlajālāni /	PrMoSU(MA)_1. kiQjIvitena tezAm yezAm-iha-akuSala-mUla-jAlAni /
   pracchādayante hṛdayaṃ gaganamiva samunnatā meghāḥ //	pracCAdayante hRdayam gaganam-iva samunnatAH meGAH //
   atijīvitaṃ ca teṣāṃ yeṣāmihākuśalamūlajālāni /	ati-jIvitam ca tezAm yezAm-iha-akuSala-mUla-jAlAni /
   vilayaṃ vrajanti kṣipraṃ divasakarahatāndhakāramiva //	vilayam vrajanti kzipram divasakara-hata-anDakAram-iva //
   PrMoSū(Mā)_2. kiṃ poṣadhena teṣāṃ ye te sāvadyaśīlacaritrāḥ /	PrMoSU(MA)_2. kim pozaDena tezAm ye te sa-avadya-SIla-caritrAH /
   jarāmaraṇapaṃjaragatā amaravitarkke hi khādyanti //	jarA-maraNa-paMjara-gatAH amara-vitarkke hi KAdyanti //
   kāryaṃ ca poṣadhena teṣāṃ ye te anavadyaśīlacāritrāḥ /	kAryam ca pozaDena tezAm ye te anavadya-SIla-cAritrAH /
   jarāmaraṇāntakarā māriva layamarddanādhīrāḥ //	jarA-maraNa-anta-karAH mAriva laya-marddana-aDIrAH //
   PrMoSū(Mā)_3. kiṃ poṣadhena teṣāmalarjjināṃ bhinnavṛttaśīlānāṃ /	PrMoSU(MA)_3. kim pozaDena teza-amala-RjjinAm Binna-vRtta-SIlAnAm /
   mithyājīvaratānāmamaraṇamiva vadantānāṃ //	miTyA-jIva-ratAnAm-amaraNam-iva vadantAnAm //
   kāryaṃ ca poṣadhena teṣāṃ larjjinām bhinnavṛttaśīlānāṃ /	kAryam ca pozaDena tezAm laRjjinAm Binna-vRtta-SIlAnAm /
   samyajjīvaratānāmadhyāśayaśuddhaśīlānāṃ //	samyat-jIva-ratAnAm-aDyASaya-SudDa-SIlAnAm //
   PrMoSū(Mā)_4. kiṃ poṣadhena teṣāṃ ye te duḥśī layāya karmmāntāḥ /	PrMoSU(MA)_4. kim pozaDena tezAm ye te duHSI layAya karmmAntAH /
   kuṇapamiva samudrato samutkṣiptāḥ śāstuḥ pravacanāt //	kuNapam-iva samudratas samutkziptAH SAstuH pravacanAt //
   kāryañca poṣadhena teṣāṃ ye te tedhātuke atra prajñiptāḥ /	kAryaQca pozaDena tezAm ye te teDAtuke atra prajQiptAH /
   ākāśe viyaṃ pāṇiśuddhānāṃ vimuktacittānāṃ //	AkASe viyam pANi-SudDAnAm vimukta-cittAnAm //
   PrMoSū(Mā)_5. kiṃ poṣadhena teṣāṃ ṣaḍindriyaṃ ye hi arakṣitaṃ nityaṃ /	PrMoSU(MA)_5. kim pozaDena tezAm zaz-indriyam ye hi arakzitam nityam /
   patitānāṃ mārāviṣayesu gocaraṃ varjjayantānāṃ //	patitAnAm mArA-vizayesu gocaram varjjayantAnAm //
   kāryaṃ ca poṣadhena teṣāṃ ṣaḍindriyaṃ ye hi surakṣitaṃ nityaṃ /	kAryam ca pozaDena tezAm zaz-indriyam ye hi su-rakzitam nityam /
   muktānāṃ śāsturvacane jinavacane śāsanaratānāṃ //	muktAnAm SAstuH-vacane jina-vacane SAsana-ratAnAm //
   PrMoSū(Mā)_6. kiṃ poṣadhena teṣāṃ mātmaśīle hi ye svayaṃ vadanti /	PrMoSU(MA)_6. kim pozaDena tezAm mA-Atma-SIle hi ye svayam vadanti /
   sabrahmacāriṇaśca śastādevamanuṣyāśca duḥśīlāḥ //	sabrahmacAriNaH-ca SastA-deva-manuzyAH-ca duHSIlAH //
   kāryañca poṣadhena teṣāṃ śīle hi nāsti gārhyaṃ /	kAryaQca pozaDena tezAm SIle hi na-asti gArhyam /
   sarvvatra yoyaṃvadyā vijñānāmvai sadevake loke //	sarvu-atra yoyaMvadyAH vijQAnAm-vE sa-devake loke //
   PrMoSū(Mā)_7. kiṃ poṣadhena teṣāṃ virāgitaṃ śāstu śāsanaṃ /	PrMoSU(MA)_7. kim pozaDena tezAm virAgitam SAstu SAsanam /
   ye hi āsevitā ca ye hi vipattīyo pañca cāpattīḥ //	ye hi AsevitA ca ye hi vipattIyaH paQca ca-apattIH //
   kāryaṃ ca poṣadhena teṣāṃ yuktānāṃ śāsane daśabalasya /	kAryam ca pozaDena tezAm yuktAnAm SAsane daSa-balasya /
   saṃbuddhasya sarvvadarśinyo maitrīpadā ye hi paricīrṇṇāḥ //	saMbudDasya sarvu-adarSinyaH mEtrI-padAH ye hi paricIrNNAH //
   PrMoSū(Mā)_8. yeṣāṃ ca vasati hṛdaye śāstā dharmmo gaṇottamo /	PrMoSU(MA)_8. yezAm ca vasati hRdaye SAstA DarmmaH gaNa-uttamaH /
   śikṣā uddeśo samvāso saṃtoṣo śāstuno vacanam //	SikzA uddeSaH samvAsaH saMtozaH SAstunaH vacanam //
   teṣām poṣadho adya parityaktāni ye hi etāni /	tezAm pozaDaH adya parityaktAni ye hi etAni /
   paricaryadharmarājanteṣāmasti asaṃskṛtaṃ jñānaṃ //	paricarya-DarmarAjantezAm-asti asaMskRtam jQAnam //
   PrMoSū(Mā)_9. śuddhasya vai sadā hastaḥ sadā śuddhasya poṣadho /	PrMoSU(MA)_9. SudDasya vE sadA hastaH sadA SudDasya pozaDaH /
   śuddhasya śucikarmmasya sadāsaṃghasya te etaṃ //	SudDasya Suci-karmmasya sadA-asaMGasya te etam //
   PrMoSū(Mā)_10. yāvatsūtraprātimokṣe so gaṇamadhya na bheṣyati /	PrMoSU(MA)_10. yAvat-sUtra-prAtimokze saH gaNa-maDya na Bezyati /
   tāvatsthāsyati saddharmo sāmagrī ca gaṇottame //	tAvat-sTAsyati sadDarmaH sAmagrI ca gaNa-uttame //
   PrMoSū(Mā)_11. yāvadduddeśayitāraḥ pratipattāraśca dharmaratanasya /	PrMoSU(MA)_11. yAvat-duddeSayitAraH pratipattAraH-ca Darma-ratanasya /
   tāvatsthāsyati saddharmmo hitāya sarvvalokasya //	tAvat-sTAsyati sat-DarmmaH hitAya sarvu-alokasya //
   PrMoSū(Mā)_12. tasmātsamagrāḥ sahitāḥ sagauravā bhavithā /	PrMoSU(MA)_12. tasmAt-samagrAH sahitAH sa-gOravAH BaviTAH /
   anyamanyaṃ paricaratha dharmarājamadhigacchatha //	anyam-anyam paricaraTa DarmarAjam-aDigacCaTa //
   nirvvāṇatā acyutasya damaśokamiti //	nirvvANa-tA acyutasya dama-Sokam-iti //
   PrMoSū(Mā)_Einl. vastu-atikrāntāḥ suvihitāḥ śuddhanipuṇā antasamāpanno	PrMoSU(MA)_Einl. vastu-atikrAntAH su-vihitAH SudDa-nipuNAH anta-samApannaH-
   upaniṣaṇṇāḥ cāritrāḥ śalākāgaṇitā bhikṣuṇīmāprāptā ettarkajanāḥ /	upanizaNNAH cAritrAH SalAkA-gaNitAH BikzuNIm-AprAptAH ettarka-janAH /
   anāgatānāmāyuṣmanto bhikṣuṇācchanda pāriśuddhimārocethe / ārocitañca	anAgatAnAm-AyuzmantaH BikzuNA-AcCanda pAriSudDim-AroceTe / Aroci-taQca
   prativedetha-ko bhikṣu bhikṣuṇīnāṃ chandahārako nāsti cātra	prativedeTa-kaH Bikzu BikzuNInAm CandahArakaH na-asti ca-atra
   kaścidanupasaṃpannā nāsti uṣṇiyukto nāsti mātṛghātī nāsti pitṛghātī nāsti	kaScid-anupasaMpannA na-asti uzNi-yuktaH na-asti mAtR-GAtI na-asti pitR-GAtI na-asti
   arhantaghātako / nāsti saṃghabhedako / nāsti tathāgatasya	arhanta-GAtakaH / na-asti saMGaBedakaH / na-asti taTAgatasya
   duṣtacittarudhiro khādake / nāsti bhikṣuṇī dūṣako / nāsti stainyasamvāsiko	duzta-citta-ruDiraH KAdake / na-asti BikzuNI dUzakaH / na-asti stEnya-samvAsikaH-
   / nāsti nānāsamvāsiko nāsti asamvāsiko / nāsti kāyakrāntako (?) nāsti	/ na-asti nAnA-samvAsikaH na-asti asamvAsikaH / na-asti kAya-krAntakaH (?) na-asti
   svayaṃ samuddiko / tadevaṃ samanvāharanta bhagavato śrāvakāṇāṃ	svayam samuddikaH / tat-evam samanvAharanta BagavataH SrAvakANAm
   nityaviśuddhānāṃ pariśuddhaśilānāṃ / śṛṇotu me bhante saṃgho adya	nitya-viSudDAnAm pariSudDa-SilAnAm / SRNotu me Bante saMGaH adya
   saṃghasya cāturddaśiko vā sandhipoṣadho vā viśuddhinakṣatraṃ / ettakaṃ	saMGasya cAturddaSikaH vA sanDi-pozaDaH vA viSudDi-nakzatram / ettakam
   rāttasya niggataṃ / ettamavaśiṣṭaṃ / kiṃ saṃghasya pūrvvakṛtyaṃ /	rAttasya niggatam / ettam-avaSizwam / kim saMGasya pUrvvakRtyam /
   alpakṛtyo bhagavataḥ śrāvako saṃgho so bhavati / śṛṇotu me bhante saṃgho	alpa-kRtyaH BagavataH SrAvakaH saMGaH saH Bavati / SRNotu me Bante saMGaH-
   adya saṃghasya pāñcadaśiko poṣadho viśuddhinakṣatraṃ yadi saṃghasya	adya saMGasya pAQcadaSikaH pozaDaH viSudDi-nakzatram yadi saMGasya
   prāptākālaṃ saṃgho imasmin pṛthivīpradeśe yavatakaṃ	prAptA-kAlam saMGaH imasmin pRTivI-pradeSe yavatakam
   bhikṣusaṃghenābhigṛhītaṃ samantanavyāmamātraṃ atrāntare pāñcadaśikaṃ	Bikzu-saMGena-aBigRhItam samantana-vyAma-mAtram atra-antare pAQcadaSikam
   poṣadhaṃ kuryātprātimokṣaṃ ca sūtramuddiśeyyā, ovadikātrayājñapteḥ //	pozaDam kuryAt-prAtimokzam ca sUtram-uddiSeyyA, ovadikA-traya-AjQapteH //
   PrMoSū(Mā)_Einl. kariṣyate bhante saṃgho imasmin pṛthivīpradeśe yāvatakaṃ	PrMoSU(MA)_Einl. karizyate Bante saMGaH imasmin pRTivI-pradeSe yAvatakam
   bhikṣusaṃghenābhigṛhītaṃ samantana vyāmamātramatrāntare pāñcadaśikaṃ	Bikzu-saMGena-aBigRhItam samantana vyAma-mAtram-atra-antare pAQcadaSikam
   poṣadhaṃ prātimokṣaṃ ca sūtramuddiśiṣyati / kṣamate taṃ saṃghasya	pozaDam prAtimokzam ca sUtram-uddiSizyati / kzamate tam saMGasya
   yasmāttūṣṇīmevametandhārayāmi / abhimukhaṃ kṣāmati jarāmaraṇaṃ kṣīyati	yasmAt-tUzNIm-evam-etat-DArayAmi / aBimuKam kzAmati jarA-maraNam kzIyati
   jīvate priyaṃ hāyati saddharmmā astameti / dharmolko nirvvāpanti	jIvate priyam hAyati sat-DarmmA astam-eti / Darma-ulkaH nirvvApanti
   deśayitāraḥ / parīttā bhavanti pratipattāraḥ / gacchanti	deSayitAraH / parIttAH Bavanti pratipattAraH / gacCanti
