   Ārya advayaśatikā prajñāpāramitā sūtra	Ārya advaya-SatikA prajQApAramitA sUtra
   namo bhagavatyai āryaprajñāpāramitāyai //	namaH BagavatyE Arya-prajQApAramitAyE //
   evaṃ mayā śrutam / ekasmin samaye bhagavān rājagṛhe viharatisma gṛdhrakūṭe	evam mayA Srutam / ekasmin samaye BagavAn rAjagRhe viharatisma gRDrakUwe
   parvate mahatā bhikṣusaṃghena	parvate mahatA Bikzu-saMGena
   sārdhamardhatrayodaśabhirbhikṣuśatairanekairbrahmaśakralokapālairdevanāgayakṣagandharvāsuragarūḍakinnaramahoragairūpāsakopāsikābhiḥ	sArDam-arDa-trayodaSaBiH-Bikzu-SatEH-anekEH-brahma-Sakra-lokapAlEH-deva-nAga-yakza-ganDarva-asura-garUxa-kinnara-mahA-uraga-erUpAsa-kopAsikABiH
   sārdham /	sArDam /
   tatra khalu bhagavān āyuṣmantaṃ subhūtiṃmāmantrayate sma / ye kecit	tatra Kalu BagavAn Ayuzmantam suBUtiMm-Amantrayate sma / ye kecid-
   subhūte śrāvakamārgaḥ śikṣitukāmena prajñāpāramitā śrotavyā udgṛhītavyā	suBUte SrAvaka-mArgaH Sikzitu-kAmena prajQApAramitA SrotavyA udgRhItavyA
   dhārayitavyā vācayitavyādeśayitavyā paryavāptavyā / ihaiva	DArayitavyA vAcayita-vyAdeSayitavyA paryavAptavyA / iha-eva
   prajñāpāramitāyāmupāyakauśalya samanvāgatena bodhisattvena mahāsattvena	prajQApAramitAyAm-upAya-kOSalya samanvAgatena boDisattvena mahAsattvena
   sarvabuddhadharmasamudāgamāya yogaḥ karaṇīyaḥ / tatkasya hetoḥ? iha	sarva-budDa-Darma-samudAgamAya yogaH karaNIyaH / tat-kasya hetoH? iha
   prajñāpāramitāyāṃ vistareṇa sarvabuddhadharmā nirdiṣṭāḥ / yatra	prajQApAramitAyAm vistareNa sarva-budDa-DarmAH nirdizwAH / yatra
   bodhisattvena śikṣitavyam, ye kecit subhūte kuśaladharmā bodhipakṣāḥ	boDisattvena Sikzitavyam, ye kecid suBUte kuSala-DarmAH boDi-pakzAH
   śrāvakadharmā vā pratyeka buddhadharmā vā bodhisatvadharmā vā buddhadharmā	SrAvaka-DarmA vA pratyeka budDa-DarmA vA boDisatva-DarmA vA budDa-DarmA
   vā / bodhipakṣāḥ śrāvakadharmāḥ pratyekabuddhadharmā bodhisatvadharmāstvaṃ	vA / boDi-pakzAH SrAvaka-DarmAH pratyekabudDa-DarmAH boDisatva-DarmAH-tvam
   te prajñāpāramitāyāmantargatāmanupraviṣṭāḥ saṃgrahasamavasaraṇaṃ gacchanti	te prajQApAramitAyAm-antargatAm-anupravizwAH saMgraha-samavasaraNam gacCanti
   / bhagavānāha - tadyathā subhūte dānapāramiutā śīlapāramitā kṣāntipāramitā	/ BagavAn-Aha  tat-yaTA suBUte dAna-pAramiutA SIla-pAramitA kzAnti-pAramitA
   vīryapāramitā dhyānapāramitā prajñāpāramitā / adhyātmaśūnyatā	vIrya-pAramitA DyAna-pAramitA prajQApAramitA / aDyAtma-SUnyatA
   vahirdhāśūnyatā adhyātmavahirdhāśūnyatā śūnyatā śūnyatā mahāśūnyatā	vahirDA-SUnyatA aDyAtma-vahirDA-SUnyatA SUnyatA SUnyatA mahA-SUnyatA
   paramārthaśūnyatā saṃskṛtaśūnyatā asaṃskṛtaśūnyatā atyanta śūnyatā	parama-arTa-SUnyatA saMskRta-SUnyatA asaMskRta-SUnyatA atyanta SUnyatA
   anavarāgraśūnyatā anavakāraśūnyatā prakṛtiśūnyatā sarvadharmaśūnyatā	anavara-agra-SUnyatA anavakAra-SUnyatA prakRti-SUnyatA sarva-Darma-SUnyatA
   svalakṣaṇaśūnyatā anupalambhaśūnyatā abhāvaśūnyatā svabhāvaśūnyatā	sva-lakzaNa-SUnyatA anupalamBa-SUnyatA aBAva-SUnyatA svaBAva-SUnyatA
   abhāvasvabhāvaśūnyatā / catvāri smṛutyupasthānāni / catvāri	aBAva-svaBAva-SUnyatA / catvAri smRuti-upasTAnAni / catvAri
   samyakprahāṇāni / catvāri ṛddhipādāni / pañcendriyāṇi / pañcabalāni /	samyak-prahANAni / catvAri RdDi-pAdAni / paQca-indriyANi / paQca-balAni /
   saptabodhyaṅgāni / āryāṣṭāṅgikamārgāḥ // catvāri dhyānāni / catvāri	sapta-boDi-aFgAni / Arya-azwAFgika-mArgAH // catvAri DyAnAni / catvAri
   pramāṇāni / catasra ārūpyasamāpattayaḥ / aṣṭau vimokṣāḥ /	pramANAni / catasraH ArUpya-samApattayaH / azwO vimokzAH /
   navānupūrvavihārasamāpattayaḥ / sarvadhāraṇīmukhāni / daśatathāgatabalāni	nava-anupUrva-vihAra-samApattayaH / sarva-DAraNI-muKAni / daSa-taTAgata-balAni
   / catvāri vaiśāradyāni / catasraḥ pratisaṃvidaḥ / mahamaitrī mahākarūṇā /	/ catvAri vESAradyAni / catasraH pratisaMvidaH / mahamEtrI mahA-karUNA /
   aṣṭādaśāveṇikabuddhadharmāḥ śrotāpattiphalaṃ sakṛdāgāmiphalaṃ	azwAdaSa-AveNika-budDa-DarmAH SrotApatti-Palam sakRdAgAmi-Palam
   anāgāmiphalaṃ sarvajñatā ca //	anAgAmi-Palam sarvajQa-tA ca //
   iyameva subhūte kuśaladharmā bodhipakṣāḥ śrāvakadharmāḥ	iyam-eva suBUte kuSala-DarmAH boDi-pakzAH SrAvaka-DarmAH
   pratyekabuddhadharmāḥ / yatra prajñāpāramitāyāmantargatā anupraviṣṭāḥ	pratyekabudDa-DarmAH / yatra prajQApAramitAyAm-antargatAH anupravizwAH
   sagrahasamavasaraṇaṃ gacchanti /	sa-graha-samavasaraNam gacCanti /
   subhūtirāha - aho! aho!duravagāhā vateyaṃ prajñāpāramitā / yatra hi nāma	suBUtiH-Aha  aho! aho!duravagAhAH vateyam prajQApAramitA / yatra hi nAma
   kuśaladharmā bodhipakṣāḥ śrāvakadharmāḥ pratyekabuddhadharmā	kuSala-DarmAH boDi-pakzAH SrAvaka-DarmAH pratyekabudDa-DarmA
   bodhisatvadharmā buddhadharmā iti / yato prajñāpāramitāyāmantargatā	boDisatva-DarmA budDa-DarmAH iti / yatas prajQApAramitAyAm-antargatA
   anupraviṣṭāḥ saṃgrahasamavasaraṇaṃ gacchanti /	anupravizwAH saMgraha-samavasaraNam gacCanti /
   bhagavānāha - atyantamuktatvāt subhūte prajñāpāramitā /	BagavAn-Aha  atyanta-mukta-tvAt suBUte prajQApAramitA /
   subhūtirāha - aho! aho!duravagāhā vateyaṃ prajñāpāramitā /	suBUtiH-Aha  aho! aho!duravagAhAH vateyam prajQApAramitA /
   bhagavānāha - atyantaviśuddhatvāt subhūte prajñāpāramitā /	BagavAn-Aha  atyanta-viSudDa-tvAt suBUte prajQApAramitA /
   subhūtirāha - aho! aho! duravagāhā vateyaṃ bhagavan prajñāpāramitā /	suBUtiH-Aha  aho! aho! duravagAhAH vateyam Bagavan prajQApAramitA /
   bhagavānāha - atyantaśuddhatvāt subhūte prajñāpāramitā, tasmāttarhi	BagavAn-Aha  atyanta-SudDa-tvAt suBUte prajQApAramitA, tasmAt-tarhi
   subhūte ākāśopamā prajñāpāramitā /	suBUte AkASa-upamA prajQApAramitA /
   subhūtirāha - aho! aho! duravagāhā vateya prajñāpāramitā bhagavan	suBUtiH-Aha  aho! aho! duravagAhAH vateya prajQApAramitA Bagavan
   abhiyuktena /	aBiyuktena /
   bhagavānāha - evameva tadyathā vadasi / duradhimocā prajñāpāramitā	BagavAn-Aha  evam-eva tat-yaTA vadasi / duraDimocA prajQApAramitA
   anabhiyuktena parītakuśalamūlena durmedhasa anāvilena subhūtinā / nahi na	anaBiyuktena parIta-kuSala-mUlena durmeDasa anAvilena suBUtinA / na-hi na
   yadyena pāpamitrasahitena pāpamitrasavargeṇa bahulena pāpamitrasamādāyena	yat-yena pApa-mitra-sahitena pApa-mitra-savargeNa bahulena pApa-mitra-samAdAyena
   saddharmāntaka samanvāgatena ādikarmikeṇa atyantarūpeṇa	sadDarmAntaka samanvAgatena Adi-karmikeNa atyanta-rUpeNa
