   Kṣemendraviracitā	Kzema indra viracitA
   Bodhisattvāvadānakalpalatā /	BoDisattva avadAna kalpa latA /
   namaḥ sarvajñāya /	namaH sarvajQAya /
   1. prabhāsāvadānam /	1. praBAsa avadAnam /
   cittaṃ yasya sphaṭikavimalaṃ naiva gṛhṇāti rāgaṃ	cittam yasya sPawika vimalam na eva gRhNAti rAgam
   kāruṇyārdre manasi nikhilāḥ śoṣitā yena doṣāḥ /	kAruNya Ardre manasi niKilAH SozitAH yena dozAH /
   akrodhena svayamabhihato yena saṃsāraśatruḥ	akroDena svayam aBihataH yena saMsAra SatruH
   sarvajño 'sau bhavatu bhavatāṃ śreyase niścalāya // KAvk_1.1 //	sarvajQaH asO Bavatu BavatAm Sreyase niScalAya // Ka avc _1.1 //
   sacchāyaḥ sthiradharmamūlavalayaḥ puṇyālavālasthitir	sa= CAyaH sTira Darma mUla valayaH puNya AlavAla sTitiH 
   dhīvidyākaruṇāmbhasā hi vilasadvistīrṇaśākhānvitaḥ /	DI vidyA karuNA amBasA hi vilasat vistIrNa SAKA anvitaH /
   saṃtoṣojjvalapallavaḥ śuciyaśaḥpuṣpaḥ sadāsatphalaḥ	saMtoza ujjvala pallavaH Suci yaSaH puzpaH sadA asat PalaH
   sarvāśāparipūrako vijayate śrībuddhakalpadrumaḥ // KAvk_1.2 //	sarva ASAparipUrakaH vijayate SrI budDa kalpadrumaH // Ka avc _1.2 //
   jāyate jagaduddhartuṃ saṃsāramakarākarāt /	jAyate jagat udDartum saMsAra makara AkarAt /
   matirmahānubhāvānāmatrānuśrūyate yathā // KAvk_1.3 //	matiH mahA anuBAvAnAm atra anuSrUyate yaTA // Ka avc _1.3 //
   asti prabhāvatī nāma hemaharmyagṛhairvṛtā /	asti praBAvatI nAma hema harmya gRhEH vRtA /
   purī prabhāvatīva dyaurvimānaiḥ puṇyakarmaṇām // KAvk_1.4 //	purI praBAvati iva dyOH vimAnEH puNya karmaNAm // Ka avc _1.4 //
   vidyādharavatī siddhagandharvagaṇasevitā /	vidyADaravatI sidDa ganDarva gaNa sevitAH /
   gāṃ śritā śakranagarī sukṛtena satāmiva // KAvk_1.5 //	gAm SritA Sakra nagarI sukRtena satAm iva // Ka avc _1.5 //
   sevitā satataṃ satyavratadānadayāmayaiḥ /	sevitA satatam satya vrata dAna dayA mayEH /
   rājadhānīva dharmasya puṇyāvasathaśālinī // KAvk_1.6 //	rAjaDAnI iva Darmasya puNya AvasaTa SAlinI // Ka avc _1.6 //
   abhūdbhūtilakastasyāṃ prabhāso nāma bhūpatiḥ /	aBUt BUtilakaH tasyAm praBAsaH nAma BUpatiH /
   saprabhā sādarairyasya kīrtirabhyarcyate suraiḥ // KAvk_1.7 //	sa praBA sa AdarEH yasya kIrtiH aByarcyate surEH // Ka avc _1.7 //
   guṇasaurabhasaṃbhārāḥ sarvāsāṃ hariṇīdṛśām /	guNa sOraBa saMBArAH sarvAsAm hariNI dRSAm /
   yadyaśaḥpuṣpamañjaryo yātāḥ karṇavataṃsatām // KAvk_1.8 //	yat i aSaH puzpa maQjaryaH yAtAH karNavataMsa tAm // KAvc _1.8 //
   upāyajñasya yasyājñāṃ suvaṇakusumojjvalām /	upAya jQasya yasya AjQAm suvaNa kusuma ujjvalAm /
   mālāmiva mahīpālā maulicakreṣu cakrire // KAvk_1.9 //	mAlAm iva mahIpAlAH mOli cakrezu cakrire // Ka avc _1.9 //
   taṃ kadācitsamāsīnamabhyetya bhuvaneśvaram /	tam kadAcid samAsInam aByetya BuvaneSvaram /
   uvāca kṣitivinyastajānurnāgavanādhipaḥ // KAvk_1.10 //	uvAca kziti vinyasta jAnuH nAga vana aDipaH // KAvc _1.10 //
   deva divyadyutirdantī gṛhīto 'smābhiradbhutaḥ /	deva divya dyutiH dantI gRhItaH asmABiH adButaH /
   tvatkīrtiśravaṇādbhūmimairāvaṇa ivāgataḥ // KAvk_1.11 //	tvad kIrti SravaNAt BUmim ErAvaNaH iva AgataH // Ka avc _1.11 //
   dvāri sthito 'sau dviradastridaśārhaḥ pradṛśyatām /	dvAri sTitaH asO dviradaH tridaSArhaH pradRSyatAm /
   bhṛtyānāṃ prabhunāṃ dṛṣṭaḥ saphalo hi pariśramaḥ // KAvk_1.12 //	BRtyAnAm praBunAm dRzwaH saPalaH hi pariSramaH // Ka avc _1.12 //
