   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   [oṃ] namaḥ sūryakalājāla- $ kāladehāpahāriṇe &	[oM] namaH sUrya-kalA-jAla $ kAla-deha-apahAriNe &
   ādhārādheyapīṭhāya % bhavāyābhavadāyine // CakBhst_1 //	ADAra-ADeya-pIWAya % BavAya-aBava-dAyine // CakBhst-_1 //
   namaḥ śiśuniśākānta- $ kalākamalamāline &	namaH SiSu-niSA-ka-anta $ kalA-kamala-mAline &
   paramānandadehāya % śivāyāvyaktamūrtaye // CakBhst_2 //	parama-Ananda-dehAya % SivAya-avyakta-mUrtaye // CakBhst-_2 //
   namaḥ pāśaughasaṃghaṭṭa- $ layaviśleṣakāriṇe &	namaH pASa-oGa-saMGawwa $ laya-viSleza-kAriNe &
   mantragarbhodarasthāya % harāya paramātmane // CakBhst_3 //	mantra-garBa-udara-sTAya % harAya paramAtmane // CakBhst-_3 //
   yadyapi tvaṃ guṇātīto $ vākpater apy agocaraḥ &	yadi-api tvam guNa-atItaH $ vAkpateH api agocaraH &
   tathāpy ā hṛdayāt stotum % udyatā vāk sadā mama // CakBhst_4 //	taTA-api A hRdayAt stotum % udyatA vAc sadA mama // CakBhst-_4 //
   atibhaktirasāveśa- $ vivaśā viśvatomukha &	ati-Bakti-rasa-AveSa $ vivaSA viSvatomuKaH &
   tvatpreritā yato nātha % nāparādho 'sti me kvacit // CakBhst_5 //	tvad-preritA yatas nATa % na-aparADaH asti me kvacid // CakBhst-_5 //
   tvatpādābjarajaḥpūta- $ citābhūtivibhūṣitāt &	tvad-pAda-abja-rajaH-pUta $ citA-BUti-viBUzitAt &
   gṛhāṇa mattaḥ śrīkaṇṭha! % bhāvapūjām akṛtrimām // CakBhst_6 //	gRhANa mattaH SrIkaNWa! % BAva-pUjAm akRtrimAm // CakBhst-_6 //
   hṛtpuṣkarākhye snātvāntas $ tīrthe yoginiṣevite &	hRd-puzkara-AKye snAtvA-antar $ tIrTe yogi-nizevite &
   saṃbodhadhautavasanaḥ % śyāmakaṇṭhaṃ yajāmy aham // CakBhst_7 //	saMboDa-DOta-vasanaH % SyAma-kaNWam yajAmi aham // CakBhst-_7 //
   prabhūtabhūtasaṃbhūta- $ śoṇitair arghabhājanam &	praBUta-BUta-saMBUta $ SoNitEH arGa-BAjanam &
   kriyate te mahākāla- % kāyakaṃkālakandale // CakBhst_8 //	kriyate te mahAkAla % kAya-kaMkAla-kandale // CakBhst-_8 //
   yad yad vikalpanājālaṃ $ bāhyārthapratipattaye &	yat yat vikalpanA-jAlam $ bAhya-arTa-pratipattaye &
   tat tad dvārādhipakulaṃ % tava pūjyaṃ manasvibhiḥ // CakBhst_9 //	tat tat dvAra-aDipa-kulam % tava pUjyam manasviBiH // CakBhst-_9 //
   aśeṣāvaraṇonmukta- $ guptasauṣuptamaṇḍale &	aSeza-AvaraNa-unmukta $ gupta-sOzupta-maNxale &
   pūjyase nagajākānta! % grahaṇe candrasūryayoḥ // CakBhst_10 //	pUjyase naga-jA-kAnta! % grahaNe candra-sUryayoH // CakBhst-_10 //
   hānādānodayārambha- $ sadasadvibhramojjhitam &	hAna-AdAna-udaya-AramBa $ sat-asat-viBrama-ujJitam &
   jñaptimātrapratiṣṭhānam % āsanaṃ trijagatpate // CakBhst_11 //	jQapti-mAtra-pratizWAnam % Asanam trijagatpate // CakBhst-_11 //
   mūrtidānam anābhāsa- $ śaktibhāsopabṛṃhitam &	mUrti-dAnam anABAsa $ Sakti-BAsa-upabRMhitam &
   turyapīṭhapratiṣṭhānaṃ % vitarāmi jagatpate // CakBhst_12 //	turya-pIWa-pratizWAnam % vitarAmi jagatpate // CakBhst-_12 //
   dikkāladeśakalanā- $ kalaṅkojjhitacetasaḥ &	diS-kAla-deSa-kalanA $ kalaFka-ujJita-cetasaH &
   kaḥ karoti budhaḥ sthāṇor % āhvānādivisarjanam // CakBhst_13 //	kaH karoti buDaH sTANoH % AhvAna-Adi-visarjanam // CakBhst-_13 //
   sūryaśītāṃunetrābhyāṃ $ mathitvā śaktivāridhim &	sUrya-SItAMunetrAByAm $ maTitvA Sakti-vAriDim &
   parāmṛtarasābhyaṅgaṃ % śivāya vinivedaye // CakBhst_14 //	para-amRta-rasa-aByaFgam % SivAya vinivedaye // CakBhst-_14 //
   indriyeṣv indriyārtheṣu $ rāgalobhānuyāyiṣu &	indriyezu indriya-arTezu $ rAga-loBa-anuyAyizu &
   niḥsnehatvaṃ prabhutvaṃ ca % rūkṣam udvartanaṃ tava // CakBhst_15 //	niHsneha-tvam praBu-tvam ca % rUkzam udvartanam tava // CakBhst-_15 //
   saṃśodhyānacchakalayā $ baindhavaṃ tīrthamañjasā &	saMSoDya-anat-SakalayA $ bEnDavam tIrTam-aQjasA &
   tadvirāmarasasnānaṃ % deyaṃ candrārdhamaulaye // CakBhst_16 //	tad-virAma-rasa-snAnam % deyam candra-arDa-mOlaye // CakBhst-_16 //
   svaprabodhāmbarodāra- $ vikasadvastragharṣaṇam &	sva-praboDa-ambara-udAra $ vikasat-vastra-GarzaNam &
   viniveśya bhavatsaṃvid- % vikārān vikarāmahe // CakBhst_17 //	viniveSya Bavat-saMvid % vikArAn vikarAmahe // CakBhst-_17 //
   jñānajñeyaparityāga- $ naganirjharavisrutam &	jQAna-jQeya-parityAga $ naga-nirJara-visrutam &
   paramānandadaṃ me 'ntas % tava pādyam anābilam // CakBhst_18 //	parama-Ananda-dam me antar % tava pAdyam anAbilam // CakBhst-_18 //
   amandānandaniḥṣyanda- $ spandamandirakandarāt &	amanda-Ananda-niHzyanda $ spanda-mandira-kandarAt &
   galatkaivalyasalilam % ādatsvācamanaṃ vibho // CakBhst_19 //	galat-kEvalya-salilam % Adatsu-Acamanam viBo // CakBhst-_19 //
   prakṣālya dhāraṇāmbhobhir $ granthipañcakamauktikam &	prakzAlya DAraNa-amBoBiH $ granTi-paQcaka-mOktikam &
   anarghyam arghaṃ pādebhyaḥ % prayacchāmi vṛṣākape // CakBhst_20 //	anarGyam arGam pAdeByaH % prayacCAmi vRzAkape // CakBhst-_20 //
   turīyodyānavikasat- $ saṃvitsaurabhanirbharaiḥ &	turIya-udyAna-vikasat $ saMvid-sOraBa-nirBarEH &
   girīśa tisṛbhir vāgbhiḥ % stutipuṣpaiḥ prapūjyase // CakBhst_21 //	girISa tisRBiH vAgBiH % stuti-puzpEH prapUjyase // CakBhst-_21 //
   prāṇavahniśikhāstreṇa $ bhaṅktvā brahmabilaṃ lasat &	prANa-vahni-SiKA-astreNa $ BaFktvA brahmabilam lasat &
   dhūpavartinibhābhāso % dhūpas te nagajādhava // CakBhst_22 //	DUpa-varti-niBa-ABAsaH % DUpaH te nagaja-aDava // CakBhst-_22 //
   anāhatā nadaty antar $ yā gaur dhāmni pare parā &	anAhatA nadati antar $ yA gOH DAmni pare parA &
   sā ghaṇṭā vādyate śambhor % agre granthārthagarbhiṇī // CakBhst_23 //	sA GaNwA vAdyate SamBoH % agre granTa-arTa-garBiNI // CakBhst-_23 //
   kandānalollasacchakti- $ śikhāṃ dīpaśikhopamām &	kanda-anala-ullasat-Sakti $ SiKAm dIpa-SiKA-upamAm &
   uddīpayāmi bhagavan % mohadhvāntāpanuttaye // CakBhst_24 //	uddIpayAmi Bagavan % moha-DvAnta-apanuttaye // CakBhst-_24 //
   vṛttityāgāmṛtakalā- $ candraś candrakirīṭinaḥ &	vRtti-tyAga-amRta-kalA $ candraH candra-kirIwinaH &
   samālambhanavevāstu % mumukṣūṇāṃ vimuktaye // CakBhst_25 //	samAlamBana-vevAstu % mumukzUNAm vimuktaye // CakBhst-_25 //
   nādaśaktyuditaṃ dhāma $ malatrayavivarjitam &	nAda-Sakti-uditam DAma $ mala-traya-vivarjitam &
   uṣṇīṣam astu te rudra % vidrāvitanabho 'rgalam // CakBhst_26 //	uzNIzam astu te rudraH % vidrAvita-naBaH argalam // CakBhst-_26 //
