   daśarūpakam /	daSa-rUpakam /
   [pariccheda 1]	[paricCeda 1]
   namastasmai gaṇeśāya yatkaṇṭhaḥ puṣkarāyate /	namaH-tasmE gaNeSAya yat-kaNWaH puzkarAyate /
   madābhegaghanadhvāno nīlakaṇṭhasya tāṇd.ave // DhDaś_1.1 //	mada-aBega-Gana-DvAnaH nIlakaNWasya tANd.ave // DhDaH-_1.1 //
   daśarūpānukāreṇa mādyanti bhāvakaḥ /	daSa-rUpa-anukAreNa mAdyanti BAvakaH /
   namaḥ sarvavide tasmai viṣṇave bharatāya ca // DhDaś_1.2 //	namaH sarva-vide tasmE vizNave BaratAya ca // DhDaH-_1.2 //
   kasyacideva kadācid dayayā viṣayaṃ sarasvatī viduṣaḥ /	kasyacid-eva kadAcid dayayA vizayam sarasvatI viduzaH /
   ghaṭayati kamapi tamanyo jajati jano yena vaidagdhīm // DhDaś_1.3 //	Gawayati kam-api tam-anyaH jajati janaH yena vEdagDIm // DhDaH-_1.3 //
   uddhṛtyoddhṛtya sāraṃ yamakhilanigamān nāṭyavedaṃ viriñciś	udDRtya-udDRtya sAram yam-aKila-nigamAt nAwya-vedam viriQci-H-
   cakre yasya prayogaṃ munirapi bharatastāṇḍavaṃ nīlakaṇṭhaḥ /	cakre yasya prayogam muniH-api BarataH-tANxavam nIlakaNWaH /
   śarvāṇī lāsyamasya pratipadamaparaṃ lakṣma kaḥ kartumīṣṭe	SarvANI lAsyam-asya pratipadam-aparam lakzma kaH kartum-Izwe
   nāṭyānāṃ kintu kiñcit praguṇaracanayā lakṣaṇaṃ saṅkṣipāmi // DhDaś_1.4 //	nAwyAnAm kintu kiQcid praguNa-racanayA lakzaNam saFkzipAmi // DhDaH-_1.4 //
   vyākīrṇe mandabuddhīnāṃ jāyate mativibhramaḥ /	vyAkIrNe manda-budDInAm jAyate mati-viBramaH /
   tasyārthastatpadaistena saṅkṣipya kriyate 'ñjasā // DhDaś_1.5 //	tasya-arTaH-tad-padEH-tena saFkzipya kriyate aQjasA // DhDaH-_1.5 //
   ānandanisyandiṣu rūpakeṣu	Ananda-nisyandizu rUpakezu
   vyutpattimātraṃ phalamalpabuddhiḥ /	vyutpatti-mAtram Palam-alpa-budDiH /
   yo'pītihāsādivadāha sādhus	yaH-api-itihAsa-Adi-vat-Aha sADu-H-
   tasmai namaḥ svāduparāṅmukhāya // DhDaś_1.6 //	tasmE namaH svAdu-parAFmuKAya // DhDaH-_1.6 //
   avasthānukṛtirnāṭyaṃ rūpaṃ dṛśyatayocyate /	avasTA-anukRtiH-nAwyam rUpam dRSyatayA-ucyate /
   rūpakaṃ tat samāropād daśadhaiva rasāśrayam // DhDaś_1.7 //	rUpakam tat samAropAt daSaDA-eva rasa-ASrayam // DhDas-_1.7 //
   nāṭakaṃ saprakaraṇaṃ bhāṇaḥ prahasanaṃ ḍimaḥ /	nAwakam sa-prakaraNam BANaH prahasanam ximaH /
   vyāyogasamavakārau vīthyaṅkehāmṛgā iti // DhDaś_1.8 //	vyAyoga-samavakArO vITi-aFkeha-amRgAH iti // DhDaH-_1.8 //
   anyada bhāvāśrayaṃ nṛtyaṃ nṛttaṃ tālalayāśrayam /	anyada BAva-ASrayam nRtyam nRttam tAla-laya-ASrayam /
   ādyaṃ padārthābhinayo mārgo deśo tathā param // DhDaś_1.9 //	Adyam padArTa-aBinayaH mArgaH deSaH taTA param // DhDaH-_1.9 //
   madhuroddhatabhedena tad dvayaṃ dvividhaṃ punaḥ /	maDura-udData-Bedena tat dvayam dviviDam punar /
   lāsyatāṇḍavarūpeṇa nāṭakādyupakārakam // DhDaś_1.10 //	lAsya-tANxava-rUpeNa nAwaka-Adi-upakArakam // DhDaH-_1.10 //
   vastu netā rasasteṣāṃ bhedako vastu ca dvidhā /	vastu netA rasaH-tezAm BedakaH vastu ca dviDA /
   tatrādhikārikaṃ mukhyamaṅgaṃ prāsaṅgikaṃ viduḥ // DhDaś_1.11 //	tatra-ADikArikam muKyam-aFgam prAsaFgikam viduH // DhDaH-_1.11 //
