   {...} = akṣara unclear	{...}  akzaraH unclear
   prathamaḥ pratyakṣaparicchedaḥ	praTamaH pratyakza paricCedaH
   āryavinītadevakṛtiḥ	Arya vinIta deva kRtiH
   nyāyabinduvistaraṭīkā	nyAya binduvistarawIkA
   (śiṣyahitā)	(Sizya hitA)
   yasya kulaprabhāveṇa viśuddhanyāyavartmani |	yasya kula praBAveNa viSudDa nyAya vartmani |
   siddhi prāhuḥparāṃ, tasmai pravāce munaye namaḥ ||	sidDi prAhuH parAn, tasmE pravAce munaye namaH ||
   ācāryedharmottarakṛtā	AcArye Darma uttara kRtA
   nyāyabinduṭīkā	nyAya binduwIkA
   jayanti jātivyasanaprabandhaprasūtihetorjagato vijetuḥ |	jayanti jAti vyasana prabanDa prasUti hetoH jagataH vijetuH |
   rāgādayarateḥ sugatasya vāco manastamastānavamādadhānāḥ ||	rAga Adaya rateH sugatasya vAcaH manaH tamastAn avamAdaDAnAH ||
   ācāryadharmottarakṛtāyā nyāyabinduṭīkāyāḥ	AcArya Darma uttara kRtAyAH nyAya binduwIkAyAH
   ājñātakartuḥ ṭippaṇī	AjQAta kartuH wippaNI
   sarva eva hi viśiṣṭo janaḥ śāstrārambhe sveṣṭhadevatāstutiṃ kṛtavān |	sarve eva hi viSizwaH janaH SAstra AramBe svezWa devatA stutim kRtavAn |
   tathāyamapi āryadharmottaraḥ sadācārānuvṛttimātmanaḥ khyāpayan,	taTA ayam api Arya Darma uttaraH sat AcAra anuvRttim AtmanaH KyApayan,
   sveṣṭadevatāstuteśca puṇyopacayam, tataśca śāstrasyābidhnena parisamāptiṃ	sva izwadevatA stuteH ca puNya upacayam, tatas ca SAstrasya abiDnena parisamAptim
   vyākhyāyāḥ, śrotṛṇāṃ stutipuraḥsarayā pravṛttyā puṇyātiśayotpādanāt	vyAKyAyAH, SrotRNAm stuti puraHsarayA pravRttyA puNya atiSaya utpAdanAt 
   pārārthya cālocya buddhasya bhagavataḥ stutimārabdhavān  jayantītyādi |	pArArTya ca Alocya budDasya BagavataH stutim ArabDavAn jayanti ityAdi |
