   1. (avidyāpratyayāḥ saṃskārāḥ)	1. (avidyA-pratyayAH saMskArAH)
   (DhskD 3r1) saṃmohaḥ pramoho mohaṃ mohajam iyam ucyate avidyā /	(DhskD 3r1) saMmohaH pramohaH moham moha-jam iyam ucyate avidyA /
   avidyāpratyayāḥ saṃskārāḥ katame / evam uktaṃ bhagavatā /	avidyA-pratyayAH saMskArAH katame / evam uktam BagavatA /
   avidyā bhikṣavo hetuḥ saṃrāgāya hetuḥ saṃdveṣāya hetuḥ saṃmohāya / iti	avidyA BikzavaH hetuH saMrAgAya hetuH saMdvezAya hetuH saMmohAya / iti
   (DhskD 3r2) yā sā saṃrāgatā saṃmohatā iyam ucyate avidyāpratyayāḥ	(DhskD 3r2) yA sA saMrAga-tA saMmohatA iyam ucyate avidyA-pratyayAH
   saṃskārāḥ /	saMskArAH /
   api khalv evam uktaṃ bhagavatā /	api Kalu evam uktam BagavatA /
   avidyā bhikṣavaḥ pūrvaṃgamaṃ pūrvanimittam anekavidhānāṃ pāpakānām	avidyA BikzavaH pUrvaMgamam pUrva-nimittam anekaviDAnAm pApakAnAm
   akuśalānāṃ (DhskD 3r3) dharmāṇāṃ samutpattaye 'nūtpātiko bhavati yad uta	akuSalAnAm (DhskD 3r3) DarmANAm samutpattaye anUtpAtikaH Bavati yat uta
   āḥrīkyaṃ cānapatrāpyaṃ ca / ahrīmān bhikṣavo bhikṣur anapatrāpī	AHrIkyam ca-anapatrApyam ca / ahrImAn BikzavaH BikzuH anapatrA-apI
   mithyādṛṣṭiko bhavati / tatra bhikṣavo mithyā mithyādṛṣṭyā mithyāsaṃkalpo	miTyAdRzwikaH Bavati / tatra BikzavaH miTyA miTyA-dRzwyA miTyA-saMkalpaH-
   bhavati /	Bavati /
   mithyāsaṃkalpān (DhskD 3r4) mithyāvācaṃ bhāṣati / mithyāvāco	miTyA-saMkalpAn (DhskD 3r4) miTyA-vAcam BAzati / miTyA-vAcaH-
   mithyākarmāntaḥ prabhavati / mithyākarmāntān mithyājīvaḥ prabhavati /	miTyA-karmAntar praBavati / miTyA-karmAntAn miTyAjIvaH praBavati /
   mithyājīvān mithyāvyāyāmaḥ prabhavati / mithyāvyāyāmān mithyāsmṛtiḥ	miTyA-jIvAt miTyA-vyAyAmaH praBavati / miTyA-vyAyAmAt miTyA-smRtiH
   prabhavati / mithyāsmṛter (DhskD 3r5) mithyāsamādhiḥ prabhavati / iti yā	praBavati / miTyA-smRteH (DhskD 3r5) miTyA-samADiH praBavati / iti yA
   sā mithyādṛṣṭir mithyāsaṃkalpo mithyāvāṅ mithyākarmānto mithyājīvo	sA miTyAdRzwiH miTyA-saMkalpaH miTyA-avAc miTyA-karmAntaH miTyA-jIvaH-
   mithyāvyāyāmo mithyāsmṛtiḥ mithyāsamādhir ima ucyante avidyāpratyayāḥ	miTyA-vyAyAmaH miTyA-smRtiH miTyA-samADiH ime ucyante avidyA-pratyayAH
   (DhskD 3r6) saṃskārāḥ /	(DhskD 3r6) saMskArAH /
   api khalv evaṃ uktaṃ bhagavatā /	api Kalu evam uktam BagavatA /
   ye ke cid bhikṣavo 'nekavidhāḥ pāpakā akuśalā dharmāḥ saṃbhavanti sarve te	ye ke cit BikzavaH anekaviDAH pApakAH akuSalAH DarmAH saMBavanti sarve te
   avidyāmūlakā avidyāsamudayā avidyājātīyā avidyāprabhavā / (DhskD 3r7)	avidyA-mUlakAH avidyA-samudayAH avidyA-jAtIyAH avidyA-praBavA / (DhskD 3r7)
   avidāgato hi bhikṣavaḥ ajānan kuśalākuśalān dharmān yathābhūtaṃ na	avidAgataH hi BikzavaH ajAnan kuSala-akuSalAn DarmAn yaTABUtam na
   prajānāti sāvadyānavadyān sevitavyāsevitavyān hīnapraṇītān kṛṣṇaśuklān	prajAnAti sAvadyAnavadyAn sevita-vyAsevitavyAn hIna-praNItAn kRzNa-SuklAn
   sapratibhāgapratītyasamutpannān (DhskD 3r8) dharmān yathābhūtaṃ na	sa-pratiBAga-pratItyasamutpannAn (DhskD 3r8) DarmAn yaTABUtam na
   prajānāti / sa evaṃ kuśalākuśalān dharmān yathābhūtam aprajānan	prajAnAti / saH evam kuSala-akuSalAn DarmAn yaTABUtam aprajAnan
   sāvadyānavadyān sevitavyāsevitavyān	sAvadyAnavadyAn sevita-vyAsevitavyAn
   hīnapraṇītakṛṣṇaśuklasapratibhāgapratītyasamutpannān (DhskD 3r9) dharmān	hIna-praNIta-kRzNa-Sukla-sapratiBAga-pratIti-asamutpannAn (DhskD 3r9) DarmAn
   yathābhūtam aprajānan mithyādṛṣṭiko bhavati / tatra bhikṣavo mithyādṛṣṭyā	yaTABUtam aprajAnan miTyAdRzwikaH Bavati / tatra BikzavaH miTyAdRzwyA
   mithyāsaṃkalpaḥ prabhavati vistareṇa yathā pūrvoktaṃ / ima ucyante	miTyA-saMkalpaH praBavati vistareNa yaTA pUrva-uktam / ime ucyante
   avidyāpratyayāḥ saṃskārāḥ /	avidyA-pratyayAH saMskArAH /
   (DhskD 3v1) api khalv evam uktaṃ bhagavatā kuṃbhopame vyākaraṇe /	(DhskD 3v1) api Kalu evam uktam BagavatA kuMBa-upame vyAkaraNe /
   puṇyān api saṃskārān abhisaṃskaroti avidyāpratyayān / apuṇyān apy āniṃjyān	puNyAn api saMskArAn aBisaMskaroti avidyA-pratyayAn / apuNyAn api AniMjyAn
   api saṃskārān abhisaṃskaroti / avidyāpratyayāḥ puṇyasaṃskārāḥ katame / āha	api saMskArAn aBisaMskaroti / avidyA-pratyayAH puNya-saMskArAH katame / Aha
