   śrīpāda dhyāna-candra gosvāmī	SrIpAda DyAna-candra gosvAmI
   sādhako brāhma-muhūrte cotthāya nijeṣṭa-nāmāni smaret kīrtayed vā--	sADakaH brAhma--muhUrte ca-utTAya nija-izwa-nAmAni smaret kIrtayet vA--
   sa jayati viśuddha-vikramaḥ	sa jayati viSudDa--vikramaH
   kanakābhaḥ kamalāyatekṣaṇaḥ /	kanaka-ABaH kamala-Ayata-IkzaNaH /
   vara-jānu-lambi-sad-bhujo	vara--jAnu-lambi--sad-BujaH-
   bahudhā bhakti-rasābhinartakaḥ // GGS_1 //	bahuDA Bakti-rasa-aBinartakaH // GGS_1 //
   śrī-rāmeti janārdaneti jagatāṃ nātheti nārāyaṇe-*	SrI-rAma-iti janArdanA-iti jagatAm nATa-iti nArAyaNe-*
   tyānandeti dayāpareti kamalākānteti kṛṣṇeti ca /	tyAnandA-iti dayA-parA-iti kamalA-kAntA-iti kRzNa-iti ca /
   śrīman nāma-mahāmṛtābdhi-laharī-kallola-magnaṃ muhur	SrImat nAma--mahA-amRta-abDi--laharI--kallola--magnam muhur-
   muhyantaṃ galad-aśru-netram avaśaṃ māṃ nātha nityaṃ kuru // GGS_2 //	muhyantam galat--aSru--netram avaSam mAm nATa nityam kuru // GGS_2 //
   śrī-kānta kṛṣṇa karuṇāmaya kañjanābha	SrI--kAnta kRzNa karuNA-maya kaQjana-ABa
   kaivalya-vallabha mukunda murāntaketi /	kEvalya--vallaBa mukunda murA-antaka-iti /
   nāmāvalīṃ vimala-mauktika-hāra-lakṣmī-	nAma-AvalIm vimala--mOktika--hAra--lakzmI-
   lāvaṇya-vañcana-karīṃ karavāṇi kaṇṭhe // GGS_3 //	lAvaNya--vaQcana--karIm karavANi kaNWe // GGS_3 //
   kṛṣṇa rāma mukunda vāmana vāsudeva jagadguro	kRzNa rAma mukunda vAmana vAsudeva jagadguro
   matsya kacchapa narasiṃha varāha rāghava pāhi mām /	matsya kacCapa narasiMha varAha rAGava pAhi mAm /
   deva-dānava-nāradādi munīndra-vandya dayānidhe	deva-dAnava-nArada-Adi muni-indra-vandya dayAniDe
   devakī-suta dehi me tava pāda-bhaktim acañcalām // GGS_4 //	devakI--suta dehi me tava pAda-Baktim acaQcalAm // GGS_4 //
   he gopālaka he kṛpā-jala-nidhe he sindhu-kanyā-pate	he gopAlaka he kRpA--jala-niDe he sinDu--kanyA--pate
   he kaṃsāntaka he gajendra-karuṇā-pārīṇa he mādhava /	he kaMsAntaka he gaja-indra--karuNA--pArINa he mADava /
   he rāmānuja he jagattraya-guro he puṇḍarīkākṣa māṃ	he rAma-anuja he jagattraya-guro he puNxarIkAkza mAm
   he gopī-jana-nātha pālaya paraṃ jānāmi na tvāṃ vinā // GGS_5 //	he gopI--jana-nATa pAlaya param jAnAmi na tvAm vinA // GGS_5 //
   śrī-nārāyaṇa puṇḍarīka-nayana śrī-rāma sītā-pate	SrI-nArAyaNa puNxarIka-nayana SrI-rAma sItA-pate
   govindācyuta nanda-nandana mukundānanda dāmodara /	govinda-acyuta nanda-nandana mukunda-Ananda dAmodara /
   viṣṇo rāghava vāsudeva nṛhare devendra-cūḍāmaṇe	vizNo rAGava vAsudeva nRhare deva-indra-cUxAmaNe
   saṃsārārṇava-karṇa-dhāraka hare śrī-kṛṣṇa tubhyaṃ namaḥ // GGS_6 //	saMsAra-arNava-karNa--DAraka hare SrI--kRzNa tuByam namaH // GGS_6 //
   bhāṇḍīreṇa śikhaṇḍa-maṇḍana vara śrīkhaṇḍa-liptāṅga he	BANxIreNa SiKaNxa-maNxana vara SrIKaNxa-lipta-aFga he
   vṛndāraṇya-purandara sphurad-amandendīvara śyāmala /	vRnda-araNya--purandara sPurat--amanda-indIvara SyAmalaH /
   kālindī-priya nanda-nandana parānandāravindekṣaṇa	kAlindI--priya nanda-nandana para-Ananda-aravinda-IkzaNa
   śrī-govinda mukunda sundara-tano māṃ dīnam ānandaya // GGS_7 //	SrI---govinda mukunda sundara-tanaH mAm dInam Anandaya // GGS_7 //
   (Padyāvalī 33-38)	(PadyAvalI 33-38)
   samudra-mekhale devi parvata-stana-maṇḍale /	samudra-meKale devi parvata--stana--maNxale /
   viṣṇu-patni namas tubhyaṃ pāda-sparśaṃ kṣamasva me // GGS_8 //	vizNu--patni namaH tuByam pAda--sparSam kzamasva me // GGS_8 //
   tato bahir gatvā maitra-kṛtyādi-vidhiṃ kuryāt, danta-dhāvanādim ācaret,	tatas bahis gatvA mEtra-kRti-Adi-viDim kuryAt, danta-DAvana-Adim Acaret-,
   śuddhaāsane pūrvābhimukhī upaviśya niścala-manāḥ -	SudDaA-Asane pUrva-aBimuKI upaviSya niScala-manAH -
