   Aśokāvadānaṃ	ASoka-avadAnam
   Pāṃśupradānāvadānaṃ	PAMSu-pradAna-avadAnam
   yo 'sau svamāṃsatanubhiryajanāni kṛtvā- tapyac ciraṃ karuṇayā jagato	yaH asO sva-mAMsa-tanuBiH-yajanAni kRtvA tapyat ciram karuNayA jagataH-
   hitāya /	hitAya /
   tasya śramasya saphalīkaraṇāya santaḥ sāvarjitaṃ śṛṇuta	tasya Sramasya saPalIkaraNAya santaH sa-Avarjitam SRNuta
   sāṃpratabhāṣyamāṇaṃ //	sAMprata-BAzyamANam //
   evaṃ mayā śrutamekasmin samaye bhagavān śrāvastyāṃ viharati / iti sūtraṃ	evam mayA Srutam-ekasmin samaye BagavAn SrAvastyAm viharati / iti sUtram
   vaktavyaṃ / atra tāvad	vaktavyam / atra tAvat-
   bhagavattathāgatavadanāmbhodharavivarapratyudgatavacanasaratsaliladhārāsampātāpanītarāgadveṣamohamadamānamāyāśāṭhyapaṅkapaṭalānāṃ	Bagavat-taTAgata-vadana-amBoDara-vivara-pratyudgata-vacana-sarat-salila-DArA-sampAta-apa-nIta-rAga-dveza-moha-mada-mAna-mAyA-SAWya-paFka-pawalAnAm
   śabdanyāyāditarkaśāstrārthāvalokanotpannaprajñāpradīpaprotsāritakuśāstradarśanāndhakārāṇāṃ	Sabda-nyAya-Adi-tarka-SAstra-arTa-avalokana-utpanna-prajQA-pradIpa-protsArita-kuSAstra-darSana-anDakArANAm
   saṃsāratṛṣṇāchedipravarasaddharmapayaḥpānaśauṇḍānāṃ gurūṇāṃ saṃnighau	saMsAra-tRzNA-Cedi-pravara-sat-Darma-payaH-pAna-SONxAnAm gurUNAm saMniGO
   sarvāvavādakaśreṣṭhaṃ	sarvOvavAdaka-SrezWam
   śakrabrahmeśānayamavarūṇakuveravā[va]savasomādityādibhirapyapratihataśāsanaṃ	Sakra-brahma-ISAna-yama-varUNa-kuvera-vA[-va]sava-somAt-itya-AdiBiH-api-apratihata-SAsanam
   kandarpadarpāpamardanaśūraṃ mahātmānam atimaharddhikaṃ	kandarpa-darpa-apamardana-SUram mahAtmAnam ati-mahardDikam
   sthaviropaguptamārabhya kāñcideva vibudhajanamanaḥ prasādakārīṃ dharmyāṃ	sTavira-upaguptam-AraBya kAQcid-eva vibuDa-jana-manaH prasAda-kArIm DarmyAm
   kathāṃ samanusmariṣyāmaḥ / tatra tāvad gurubhiravahitaśrotrairbhavitavyaṃ	kaTAm samanusmarizyAmaH / tatra tAvat guruBiH-avahita-SrotrEH-Bavitavyam
   (A-av 2)	(a-a-au 2)
   evamanuśrūyate / yadā bhagavān parinirvāṇakālasamaye 'palālanāgaṃ vinīya	evam-anuSrUyate / yadA BagavAn parinirvANa-kAla-samaye apalAla-nAgam vinIya
   kumbhakārīṃ caṇḍālīṃ gopālīṃ ca teṣāṃ mathurāmanuprāptaḥ / tatra bhagavān	kumBakArIm caNxAlIm gopAlIm ca tezAm maTurAm-anuprAptaH / tatra BagavAn
