   atha kāvyādarśaḥ	aTa kAvyAdarSaH
   Pariccheda 1	Pari=-CedaH 1
   caturmukhamukhāmbhoja- vanahaṃsavadhūr mama /	caturmuKa-muKa-amBoja vana-haMsa-vaDUH mama /
   mānase ramatāṃ dīrghaṃ sarvaśuklā sarasvatī // 1.1 //	mAnase ramatAm dIrGam sarva-SuklA sarasvatI // 1.1 //
   pūrvaśāstrāṇi saṃhṛtya prayogān upalakṣya ca /	pUrva-SAstrANi saMhRtya prayogAn upalakzya ca /
   yathāsāmarthyam asmābhiḥ kriyate kāvyalakṣaṇam // 1.2 //	yaTAsAmarTyam asmABiH kriyate kAvya-lakzaNam // 1.2 //
   iha śiṣṭānuśiṣṭānāṃ śiṣṭānām api sarvathā /	iha Sizwa-anuSizwAnAm SizwAnAm api sarvaTA /
   vācām eva prasādena lokayātrā pravartate // 1.3 //	vAcAm eva prasAdena lokayAtrA pravartate // 1.3 //
   idam andhaṃ tamaḥ kṛtsnaṃ jāyeta bhuvanatrayam /	idam anDam tamaH kRtsnam jAyeta Buvanatrayam /
   yadi śabdāhvayaṃ jyotir āsaṃsāraṃ na dīpyate // 1.4 //	yadi Sabda-Ahvayam jyotiH AsaMsAram na dIpyate // 1.4 //
   ādirājayaśobimbam ādarśaṃ prāpya vāṅmayam /	AdirAja-yaSaH-bimbam AdarSam prApya vAc-mayam /
   teṣām asaṃnidhāne 'pi na svayaṃ paśya naśyati // 1.5 //	tezAm asaMniDAne api na svayam paSya naSyati // 1.5 //
   gaur gauḥ kāmadughā samyak prayuktā smaryate budhaiḥ /	gOH gOH kAmaduGA samyak prayuktA smaryate buDEH /
   duṣprayuktā punar gotvaṃ prayoktuḥ saiva śaṃsati // 1.6 //	duzprayuktA punar go-tvam prayoktuH sA-eva SaMsati // 1.6 //
   tad alpam api nopekṣyaṃ kāvye duṣṭaṃ kathaṃ cana /	tat alpam api na-upekzyam kAvye duzwam kaTam cana /
   syād vapuḥ sundaram api śvitreṇaikena durbhagam // 1.7 //	syAt vapuH sundaram api SvitreNa-ekena durBagam // 1.7 //
   guṇadoṣān aśāstrajñaḥ kathaṃ vibhajate naraḥ /	guNa-dozAn aSAstra-jQaH kaTam viBajate naraH /
