   Daśasāhasrikā Prajñāpāramitā	DaSa-sA-ahasrikA PrajQApAramitA
   evaṃ mayā śrutam: ekasmin samaye bhagavān rājagṛhe viharati sma	evam mayA Srutam: ekasmin samaye BagavAn rAjagRhe viharati sma
   gṛdhrakūṭaparvate mahatā bhikṣusaṃghena sārdham anekair bhikṣusahasraiḥ,	gRDra-kUwaparvate mahatA Bikzu-saMGena sArDam anekEH Bikzu-sahasrEH,
   sarvair arhadbhiḥ kṣīṇāsravair niṣkleśair vaśībhūtaiḥ suvimuktacittaiḥ	sarvEH arhadBiH kzINa-AsravEH nizkleSEH vaSIBUtEH su-vimukta-cittEH
   suvimuktaprajñair ājāneyair mahānāgaiḥ kṛtakṛtyaiḥ kṛtakaraṇīyair	su-vimukta-prajQEH AjAneyEH mahA-nAgEH kRtakRtyEH kRta-karaNIyEH-
   apahṛtabhārair anuprāptasvakārthaiḥ parikṣīṇabhavasaṃyojanaiḥ	apahRta-BArEH anuprApta-svaka-arTEH parikzINa-Bava-saMyojanEH
   samyagājñāsuvimuktacittaiḥ sarvacetovaśiparamapāramitāprāptair, ekaṃ	samyak-AjQA-su-vimukta-cittEH sarva-cetaH-vaSi-parama-pAramitA-prAptEH-, ekam
   pudgalaṃ sthāpayitvā yadutāyuṣmantam ānandaṃ śaikṣaṃ srotaāpannaṃ;	pudgalam sTApayitvA yat-uta-Ayuzmantam Anandam SEkzam srotaApannaM;
   pañcamātraiś ca bhikṣuṇīśatair, upāsakair upāsikābhiś ca sārdhaṃ, sarvair	paQca-mAtrEH ca BikzuNI-SatEr, upAsakEH upAsikABiH ca sArDaM, sarvEH-
   dṛṣṭasatyair; anekasahasraiś ca bodhisattvair mahāsattvaiḥ sārdhaṃ,	dRzwa-satyEH-; aneka-sahasrEH ca boDisattvEH mahAsattvEH sArDaM,
   sarvair dhāraṇīpratilabdhaiḥ samādhipratilabdhaiḥ śūnyatāvihāribhir	sarvEH DAraNI-pratilabDEH samADi-pratilabDEH SUnyatA-vihAriBiH-
   animittagocarair avikalpitapraṇidhānaiḥ samatākṣāntipratilabdhair	animitta-gocarEH avikalpita-praNiDAnEH sama-tA-akzAnti-pratilabDEH-
   asaṃgapratibhāṇapratilabdhaiḥ sarvaiś ca pañcābhijñair ādeyavacanair	asaMga-pratiBANa-pratilabDEH sarvEH ca paQca-aBijQEH Adeya-vacanEH-
   akuhakair apagatajñānārthalābhasatkāracittair nirāmiṣadharmadeśakair	akuhakEH apagata-jQAna-arTa-lABa-satkAra-cittEH nirAmiza-Darma-deSakEH-
   gambhīradharmakṣāntipāragatair vaiśāradyaprāptair mārakarmasamatikrāntaiḥ	gamBIra-Darma-kzAnti-pAra-gatEH vESAradya-prAptEH mAra-karma-samatikrAntEH
   sarvakaraṇāvaraṇavimuktair dharmanirdeśasaṃcitair	sarva-karaNa-AvaraNa-vimuktEH Darma-nirdeSa-saMcitEH-
   asaṃkhyeyakalpasamārabdhapraṇidhānaiḥ smitamukhaiḥ pūrvābhilāpibhir	asaMKyeya-kalpa-samArabDa-praNiDAnEH smita-muKEH pUrva-aBilApiBiH-
   vyapagatabhrūkuṭīmukhair anantapariṣadabhibhavanavaiśāradyasamanvāgatair	vyapagata-BrU-kuwI-muKEH ananta-parizad-aBi-Bavana-vESAradya-samanvAgatEH-
   anekakalpakoṭinirdeśaniḥsaraṇakuśalair	aneka-kalpa-kowi-nirdeSa-niHsaraNa-kuSalEH-
   māyāmarīcisvapnodakacandrapratibhāsākāśagandharvanagarapratibimbanirmāṇopamadharmādhimuktair	mAyA-marIci-svapna-udaka-candra-pratiBAsA-AkASa-ganDarva-nagara-pratibimba-nirmANa-upama-Darma-aDimuktEH-
   apramāṇavaiśāradyasamanvāgataiḥ	apramANa-vESAradya-samanvAgatEH
   sarvasattvacittagatyadhimuktiparyāptikuśalaiḥ sarvasattvāpratihatacittair	sarva-sattva-citta-gati-aDimukti-paryApti-kuSalEH sarva-sattva-apratihata-cittEH-
   mahākṣāntisamanvāgatair yāthātmyāvatāraṇakuśalair	mahA-kzAnti-samanvAgatEH yATAtmya-avatAraNa-kuSalEH-
   anantabuddhakṣetravyūhaparigṛhītair	ananta-budDa-kzetra-vyUha-parigRhItEH-
   asaṃkhyeyalokadhātugatabuddhānusmṛtisamādhisatatasamitābhimukhībhūtair	asaMKyeya-loka-DAtu-gata-budDa-anusmRti-samADi-satata-samita-aBimuKIBUtEH-
   aparimitabuddhādhyeṣaṇakuśalair nānādṛṣṭisamutthitakleśapraśamanakuśalaiḥ	aparimita-budDa-aDyezaNa-kuSalEH nAnA-dRzwi-samutTita-kleSa-praSamana-kuSalEH
   samādhivikrīḍanaśatasahasranirhārakuśalais, tadyathā bhadrapālena ca	samADi-vikrIxana-Sata-sahasra-nirhAra-kuSala-es, tat-yaTA BadrapAlena ca
   bodhisattvena mahāsattvena, ratnākareṇa ca, sārthavāhena ca, naradattena	boDisattvena mahAsattvena, ratna-AkareNa ca, sArTavAhena ca, naradattena
   ca, varuṇadattena ca, indradattena ca, udāramatinā ca, viśeṣamatinā ca,	ca, varuNa-dattena ca, indradattena ca, udAra-matinA ca, viSeza-matinA ca,
   vardhamānamatinā ca, amoghadarśinā ca, susaṃprasthitena cam,	varDamAna-matinA ca, amoGa-darSinA ca, su-saMprasTitena cam,
   suvikrāntavikramiṇā ca, nityodyuktena ca, anikṣiptadhureṇa ca,	su-vikrAnta-vikramiNA ca, nitya-udyuktena ca, anikzipta-DureNa ca,
   ādityagarbheṇa ca, candragarbheṇa ca, anupamamatinā ca, avalokiteśvareṇa	Aditya-garBeNa ca, candra-garBeNa ca, anupama-matinA ca, avalokita-ISvareNa
   ca, mañjuśriyā ca, ratnamudrāhastena ca, nityotkṣiptahastena ca	ca, maQju-SriyA ca, ratnamudrA-hastena ca, nitya-utkzipta-hastena ca
   bodhisattvena, maitreyeṇa ca bodhisattvena mahāsattvena, evaṃpramukhair	boDisattvena, mEtreyeNa ca boDisattvena mahAsattvena, evaMpramuKEH-
   anekabodhisattvasahasraiḥ, sarvaiḥ kumārabhūtaiḥ sārdham.	aneka-boDisattva-sahasrEH, sarvEH kumAra-BUtEH sArDam.
   tasyāṃ velāyāṃ bhagavān śakraṃ ca brahmāṇaṃ ca sarvāṃś ca lokapālān	tasyAm velAyAm BagavAn Sakram ca brahmANam ca sarvAn ca lokapAlAn
   tejasābhibhūya tāsāṃ catasṛnāṃ parṣadāṃ purato virocamāna ṛddhyā	tejasA-aBiBUya tAsAm catasRnAm parzadAm puratas virocamAnaH RdDyA
   nānāvidhaṃ vikurvaṇaprātihāryaṃ saṃdarśayati sma. romakūpebhyo 'nekāni	nAnAviDam vikurvaNa-prAtihAryam saMdarSayati sma. romakUpeByaH anekAni
   raśmikoṭiniyutaśatasahasrāṇi niśceruḥ.	raSmi-kowi-niyuta-Sata-sahasrANi niSceruH.
   tena khalu samayenāyuṣmān śāradvatīputras tasyāṃ parṣadi saṃnipatito 'bhūt	tena Kalu samayena-AyuzmAn SAradvatI-putraH tasyAm parzadi saMnipatitaH aBUt-
   saṃniṣaṇṇaḥ. sa tathāgatasyedṛśam ṛddhivikurvaṇaprātihāryaṃ dṛṣṭvā tuṣṭa	saMnizaNNaH. sa taTAgatasya-IdRSam RdDi-vikurvaNa-prAtihAryam dRzwvA tuzwa
   udagra āttamanaḥ pramuditaḥ prītisaumanasyajāta utthāyāsanād ekāṃsam	udagre Atta-manaH pramuditaH prIti-sOmanasya-jAtaH utTAya-AsanAt eka-aMsam
   uttarāsaṃgaṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yena	uttarAsaMgam kRtvA dakziNam jAnu-maNxalam pRTivyAm pratizWApya yena
   bhagavāṃs tenāñjaliṃ praṇamya bhagavantam etad avocat: sacen me bhagavān	BagavAn tena-aQjalim praNamya Bagavantam etat avocat: saced me BagavAn
   praśnavyākaraṇāyāvakāśaṃ kuryād ahaṃ bhagavantam kaṃcit pradeśaṃ	praSna-vyAkaraNAya-avakASam kuryAt aham Bagavantam kaMcid pradeSam
   prakṣyāmi.	prakzyAmi.
   evam ukte bhagavān āyuṣmantaṃ śāradvatīputram etad avocat: tathāgataṃ	evam ukte BagavAn Ayuzmantam SAradvatI-putram etat avocat: taTAgatam
   praṣṭuṃ, śāradvatīputra, sadā kṛtāvakāśatvād yat kiṃcit tvaṃ tathāgataṃ	prazwuM, SAradvatI-putra, sadA kRta-avakASa-tvAt yat kiMcid tvam taTAgatam
   praṣṭum icchasi, tat prccha, praśnaprativacanena cāhaṃ tava cittam	prazwum icCasi, tat prcCa, praSna-prativacanena ca-aham tava cittam
   ārādhayiṣye.	ArADayizye.
   evam ukta āyuṣmān śāradvatīputro bhagavantam etad avocat: prajñāpāramitā,	evam uktaH AyuzmAn SAradvatI-putraH Bagavantam etat avocat: prajQApAramitA,
   bhadanta bhagavan, prajñāpāramitety ucyate; katamā bhadanta bhagavan sā	Badanta Bagavan, prajQApAramitA-iti ucyate; katamA Badanta Bagavan sA
