   Devatāsūtra (GBM 1542.5)	DevatA-sUtra (GBm 1542.5)
        evaṃ mayā śrutam ekasmiṃ samaye bhagavāṃ cchrāvastyāṃ viharati sma	evam mayA Srutam ekasmim samaye BagavAm cCrAvastyAm viharati sma
   (Ds; GBM 1542.6) jetavane 'nāthapiṇḍadasyārāme athānyatamā devatā	(Ds; GBm 1542.6) jetavane anATapiNxadasya-ArAme aTa-anyatamA devatA
   atikrāntavarṇā atikrāntāyāṃ rātryāṃ yena bhagavāṃs tenopasaṃkrāntā (Ds;	atikrAnta-varNAH atikrAntAyAm rAtryAm yena BagavAn tena-upasaMkrAntAH (Ds;
   GBM 1542.7) upasaṃkramya bhagavataḥ pādau śirasā vanditvā ekānte niṣaṇṇā /	GBm 1542.7) upasaMkramya BagavataH pAdO SirasA vanditvA ekAnte nizaNNAH /
   atha tasyā devatāyā varṇānubhāvena sarvaṃ jetavanaṃ udāreṇāvabhāsena (Ds;	aTa tasyAH devatAyAH varNa-anuBAvena sarvam jetavanam udAreNa-avaBAsena (Ds;
   GBM 1542.8) sphuṭam abhūt / ekānte niṣaṇṇā sā devatā tasyāṃ velāyām imāṃ	GBm 1542.8) sPuwam aBUt / ekAnte nizaNNA sA devatA tasyAm velAyAm imAm
   gāthām abhāṣata	gATAm aBAzata
        kiṃ nu taṃ niśitaṃ śastraṃ kiṃ vā hālāhalaṃ viṣaṃ /	kim nu tam niSitam Sastram kim vA hAlAhalam vizam /
        ko nu prajvālito vahni kiṃ vā tad dāruṇaṃ tamaḥ 1 (Ds; GBM 1543.1)	kaH nu prajvAlitaH vahni kim vA tat dAruNam tamaH 1 (Ds; GBm 1543.1)
   bhagavān āha /	BagavAn Aha /
        duṣṭā vāṅ niśitaṃ śastraṃ rāgo hālāhalaṃ viṣaṃ /	duzwAH vAc niSitam Sastram rAgaH hAlAhalam vizam /
        dveṣaḥ prajvālito vahni 'vidyā tad dāruṇaṃ tamaḥ 2	dvezaH prajvAlitaH vahni avidyA tat dAruNam tamaH 2
   devatā prāha (Ds; GBM 1543.2)	devatA prAha (Ds; GBm 1543.2)
        gṛhītaṃ kiṃ nu martyena kiṃ vā tad yad ihojjhitaṃ /	gRhItam kim nu martyena kim vA tat yat iha-ujJitam /
        abhedyaṃ kavacaṃ kiṃ nu kiṃ vā tīkṣṇam ihāyudhaṃ / 3	aBedyam kavacam kim nu kim vA tIkzNam iha-AyuDam / 3
