   oṃ namaḥ sarvabuddhabodhisattvebhyaḥ //	om namaH sarva-budDa-boDisattveByaH //
   ñ1.1 evaṃ mayā śru[tam eka{smin}?] samaye bhagavāṃ cchrāvastyāṃ viharati	Q1.1 evam mayA Sru[tam eka{smin-}?] samaye BagavAm cCrAvastyAm viharati
   sma, karī[ṭe ma]ṇḍalavāṭe\var{karī[ṭema]ṇḍalavāṭe\lem \cod; karī[ma]ṇḍale	sma, karI[we ma]Nxala-vAwe\-var{-karI[wema]Nxala-vAwe\lem \cod; karI[ma]Nxale
   ca \Dutt} /	ca \Dutt} /
   ñ1.2 atha khalv āryāvalokiteśvaro bodhisa[ttvo] mahāsattvo	Q1.2 aTa Kalu Arya-avalokita-ISvaraH boDisa[ttvo] mahAsattvaH-
   'nekavidyādharakoṭīniyutaśatasaha[sreṇa] parivṛto yena bhagavāṃs	aneka-vidyADara-kowI-niyuta-Sata-saha[-sreNa] parivRtaH yena BagavAn=-
   tenopasamakrāmad	tena-upasamakrAma-d
   ñ1.3 upasaṃkramya bhagavataḥ pādau śirasā vanditvā bhagavantaṃ	Q1.3 upasaMkramya BagavataH pAdO SirasA vanditvA Bagavantam
   pradakṣiṇīkṛtvā\var{#kṛtvā\lem \cod; #kṛtya \Dutt} kānte nyasīda	pradakziNIkRtvA-a\var{#kRtvA-a\lem \cod; #kRtya \Dutt} kAnte nyasIda
   bhagavantam etad avocat /	Bagavantam etat avocat /
   ñ1.4 idaṃ mama bhagavann ekādaśamukhaṃ nāma hṛdayam ekādaśabhi	Q1.4 idam mama Bagavan ekAdaSamuKam nAma hRdayam ekAdaSaBi
   [kalpako]ṭībhir bhāṣitam /	[kalpa-ko]wIBiH BAzitam /
   ñ1.5 ahaṃ caitarhi\var{caitarhi\lem \cod; cet tarhi \Dutt} bhāṣiṣyāmi	Q1.5 aham ca-etarhi\var{-cEtarhi\lem \cod; ced tarhi \Dutt} BAzizyAmi
   sarva[sattvānā]m arthāya hitāya sukhāya sarvavyādhipraśa[ma]nāya{ḥ}	sarva[-sattvAnA]m arTAya hitAya suKAya sarva-vyADi-praSa[ma]nAya{H}
   sarvapāpālakṣmīduḥsvapnapratinivāraṇāya sarvākālamṛtyupratinivāraṇāya	sarva-pApa-alakzmI-duHsvapna-pratinivAraNAya sarva-akAla-mRtyu-pratinivAraNAya
   aprasādānāṃ prasādanāya sarvavighnavināyakānāṃ praśamanāya /	aprasAdAnAm prasAdanAya sarva-viGna-vinAyakAnAm praSamanAya /
   ñ1.6 nā[haṃ] bhagava(n/t) samanupaśyāmi sadevake loke samārake sabrahmake	Q1.6 na-a[haM] Bagava(n/t) samanupaSyAmi sa-devake loke samArake sa-brahmake
   saśramaṇabrāhmaṇikāyā<ḥ> prajāyā, yad anena hṛdayena rakṣe kṛte paritre	sa-SramaNa-brAhmaNikAyA<H> prajAyA, yat anena hRdayena rakze kRte paritre
   parigra[he śā]ntisvastyayane daṇḍaparihare śastraparihare	parigra[he SA]nti-svastyayane daNxa-parihare Sastra-parihare
   viṣadūṣaṇe\var{viṣa[dūṣa]ṇe \em \Hidas; viṣa[prahā]ṇe \em\Dutt} kṛte yaḥ	viza-dUzaNe\-var{-viza[dUza]Ne \em \Hidas; viza[-prahA]Ne \em\Dutt} kRte yaH
   kaś cid atikrame na praśame, nedaṃ [sthā]na<ṃ> vidyate; sthāpya paurāṇāṃ	kaH cit atikrame na praSame, na-idam [sTA]na<M> vidyate; sTApya pOrANAm
   karma vipacyat tad asya ca kalpayato 'bhiśraddadhataḥ sarveṇa sarvaṃ na	karma vipacyat tat asya ca kalpayataH aBiSraddaDataH sarveNa sarvam na
