   akathyaṃ sukham uttamam GK_3.47b	akaTyam suKam uttamam GK_3.47b
   akalpakam ajaṃ jñānaṃ GK_3.33a	akalpakam ajam jQAnam GK_3.33a
   akāro nayate viśvam GK_1.23a	akAraH nayate viSvam GK_1.23a
   akṣayā śāntir eva ca GK_3.40d	akzayA SAntiH eva ca GK_3.40d
   acintyān bhūtavat spṛśet GK_4.41b	acintyAn BUta-vat spRSet GK_4.41b
   ajam ajena jñeyena GK_3.47c	ajam ajena jQeyena GK_3.47c
   ajam anidram asvapnam GK_1.16c	ajam anidram asvapnam GK_1.16c
   ajam anidram asvapnam GK_3.36a	ajam anidram asvapnam GK_3.36a
   ajam anidram asvapnaṃ GK_4.81a	ajam anidram asvapnam GK_4.81a
   ajaṃ sarvam anusmṛtya GK_3.43c	ajam sarvam anusmRtya GK_3.43c
   ajaṃ sarvam udāhṛtam GK_4.38b	ajam sarvam udAhRtam GK_4.38b
   ajaṃ sāmyaṃ viśāradam GK_4.93d	ajam sAmyam viSAradam GK_4.93d
   ajaṃ sāmyaṃ viśāradam GK_4.100b	ajam sAmyam viSAradam GK_4.100b
   ajaḥ kalpitasaṃvṛtyā GK_4.74a	ajaH kalpita-saMvRtyA GK_4.74a
   ajācalam avastutvaṃ GK_4.45c	ajAcalam avastu-tvam GK_4.45c
   ajātasyaiva dharmasya GK_4.6a	ajAtasya-eva Darmasya GK_4.6a
   ajātasyaiva bhāvasya GK_3.20a	ajAtasya-eva BAvasya GK_3.20a
   ajātasyaiva sarvasya GK_4.77c	ajAtasya-eva sarvasya GK_4.77c
   ajātaṃ jāyate yasmād GK_4.29a	ajAtam jAyate yasmAt GK_4.29a
   ajāti samatāṃ gatam GK_3.2b	ajAti sama-tAm gatam GK_3.2b
   ajāti samatāṃ gatam GK_3.38d	ajAti sama-tAm gatam GK_3.38d
   ajātiṃ khyāpayanti te GK_4.4d	ajAtim KyApayanti te GK_4.4d
   ajātiḥ paridīpitā GK_4.19d	ajAtiH paridIpitAH GK_4.19d
   ajātiḥ prakṛtis tataḥ GK_4.29b	ajAtiH prakRtiH tatas GK_4.29b
   ajātes trasatāṃ teṣām GK_4.43a	ajAteH trasatAm tezAm GK_4.43a
   ajātes trasatāṃ sadā GK_4.42d	ajAteH trasatAm sadA GK_4.42d
   ajāteḥ paridīpakam GK_4.21b	ajAteH paridIpakam GK_4.21b
   ajāto hy amṛto dharmo GK_4.6c	ajAtaH hi amRtaH DarmaH GK_4.6c
   ajāto hy amṛto bhāvo GK_3.20c	ajAtaH hi amRtaH BAvaH GK_3.20c
   ajād vai jāyate yasya GK_4.13a	ajAt vE jAyate yasya GK_4.13a
   ajāyamāno bahudhā GK_3.24c	ajAyamAnaH bahuDA GK_3.24c
   ajenājaṃ vibudhyate GK_3.33d	ajena-Ajam vibuDyate GK_3.33d
   ajeṣv ajam asaṃkrāntaṃ GK_4.96a	ajezu ajam asaMkrAntam GK_4.96a
   aje sāmye tu ye kecid GK_4.95a	aje sAmye tu ye kecid GK_4.95a
   aṇumātre 'pi vaidharmye GK_4.97a	aNu-mAtre api vEDarmye GK_4.97a
   aṇḍajān svedajān vāpi GK_4.63c	aNxa-jAn sveda-jAn vA-api GK_4.63c
   aṇḍajān svedajān vāpi GK_4.65c	aNxa-jAn sveda-jAn vA-api GK_4.65c
   ataḥ kāryam ajaṃ tava GK_4.12b	atas kAryam ajam tava GK_4.12b
   ato vakṣyāmy akārpaṇyam GK_3.2a	atas vakzyAmi akArpaNyam GK_3.2a
   adīrghatvāc ca kālasya GK_2.2a	adIrGa-tvAt ca kAlasya GK_2.2a
   advayaṃ ca dvayābhāsaṃ GK_3.30a	advayam ca dvaya-ABAsam GK_3.30a
   advayaṃ ca dvayābhāsaṃ GK_3.30c	advayam ca dvaya-ABAsam GK_3.30c
   advayaṃ ca dvayābhāsaṃ GK_4.62a	advayam ca dvaya-ABAsam GK_4.62a
   advayaṃ ca dvayābhāsaṃ GK_4.62c	advayam ca dvaya-ABAsam GK_4.62c
   advayena ca kalpitaḥ GK_2.33b	advayena ca kalpitaH GK_2.33b
   advaitaṃ paramārthataḥ GK_1.17d	advEtam paramArTataH GK_1.17d
   advaitaṃ paramārtho hi GK_3.18a	advEtam parama-arTaH hi GK_3.18a
   advaitaṃ budhyate tadā GK_1.16d	advEtam buDyate tadA GK_1.16d
   advaitaṃ samanuprāpya GK_2.36c	advEtam samanuprApya GK_2.36c
   advaitaḥ sarvabhāvānāṃ GK_1.10c	advEtaH sarva-BAvAnAm GK_1.10c
   advaite yojayet smṛtim GK_2.36b	advEte yojayet smRtim GK_2.36b
   ananta iti cāpare GK_2.26d	anantaH iti ca-apare GK_2.26d
   anantatā cādimato GK_4.30c	ananta-tA ca-AdimataH GK_4.30c
   anaparaḥ praṇavo 'vyayaḥ GK_1.26d	anaparaH praNavaH avyayaH GK_1.26d
   anādimāyayā supto GK_1.16a	anAdi-mAyayA suptaH GK_1.16a
   anāder antavattvaṃ ca GK_4.30a	anAdeH antavat-tvam ca GK_4.30a
   anāpannādimadhyāntaṃ GK_4.85c	anApanna-Adi-maDya-antam GK_4.85c
   anābhāsam ajaṃ tathā GK_4.48d	anABAsam ajam taTA GK_4.48d
   anābhāsam ajaṃ yathā GK_4.48b	anABAsam ajam yaTA GK_4.48b
   anāmakam arūpakam GK_3.36b	anAmakam arUpakam GK_3.36b
   aniṅganam anābhāsaṃ GK_3.46c	aniFganam anABAsam GK_3.46c
   animittasya cittasya GK_4.77a	animittasya cittasya GK_4.77a
   animitto viparyāsaḥ GK_4.27c	animittaH viparyAsaH GK_4.27c
