   atha pañcamaṃ pūraṇam	aTa paQcamam pUraNam
   kaṃsa-vadha-kathā	kaMsa-vaDa--kaTA
   [1] atha śrī-kṛṣṇena bhāsamānāyāṃ śrī-vraja-rāja-sabhāyāṃ punaḥ	[1] aTa SrI--kRzNena BAsamAnAyAm SrI--vraja-rAja--saBAyAm punar-
   prātaḥ-kathā, yathā-	prAtaH--kaTA, yaTA-
   [2] snigdhakaṇṭha uvāca,- atha rajanir ajani; prajātāyāṃ ca yasyāṃ bahu-	[2] snigDa-kaNWaH uvAca, aTa rajaniH ajani; prajAtAyAm ca yasyAm bahu-
   śivāyamānā śivā śrī-kṛṣṇaṃ prati śivā jātā, kaṃsaṃ prati sphuṭam aśiveti	SivAyamAnA SivA SrI--kRzNam prati SivA jAtA, kaMsam prati sPuwam aSiva-iti
   sthite tasyāṃ rajanyāṃ svapna-jāgarayos tasya mahā-bhaya-jananyāṃ	sTite tasyAm rajanyAm svapna--jAgarayoH tasya mahA--Baya-jananyAm
   vyatītāyāṃ sa punar dambhī gambhīraṃ malla-līlārambhaṃ sambhṛtavān | tataś	vyatItAyAm sa punar damBI gamBIram malla--lIlA-AramBam samBRtavAn | tatas-
   cālaṅkṛtānāṃ cālaṅkṛtānāṃ ca śubhra-mañca-prapañcānām	ca-alaFkRtAnAm ca-alaFkRtAnAm ca SuBra--maQca--prapaQcAnAm
   adhimadhyam-adhyastaṃ raṅga-sthalaṃ bhrājamāna-citra-viracanaṃ babhrāje |	aDi-maDyam-aDyastam raFga-sTalam BrAjamAna--citra--viracanam baBrAje |
   vidyud-bhrājamānād abhra-śarad-abhrāṇāṃ tārakitaṃ nabha iva |	vidyut--BrAjamAnAt aBra-Sarad--aBrANAm tArakitam naBaH iva |
   [3] tatrāpy unnatatama-mañcam añcan kaṃsaḥ svayam	[3] tatra-api unnatatama-maQcam aQcan kaMsaH svayam
   akhila-durjana-rājāvataṃsati sma | tat tu rājādhipatā-garva-grastatayā	aKila--durjana--rAja-avataMsati sma | tat tu rAja-aDipatA--garva--grasta-tayA
   sambhavad api trastatāyām eva paryavasyati sma | tatra ca-	samBavat api trasta-tAyAm eva paryavasyati sma | tatra ca-
   akrūrānakadundubhī yad akṛta sve mañcake prāntayoḥ	akrUra-AnakadunduBI yat akRta sve maQcake prAntayoH
   paurīṇāṃ gaṇa-bhāji devaka-sutāṃ nandādikān dūrage |	pOrINAm gaNa-BAji devaka-sutAm nanda-AdikAn dUra-ge |
   kiṃ ca dvāri gajaṃ dadhe kuvalayāpīḍaṃ nijāgra-sthale	kim ca dvAri gajam daDe kuvalayApIxam nija-agra--sTale
   mallān kūṭatayā sa bhoja-nṛpatis tasmān na kaḥ kṣubhyati? ||GC_2,5.1||	mallAn kUwatayA sa Boja--nRpatiH tasmAt na kaH kzuByati? ||GC_2,5.1||
   (śārdūla)	(SArdUla)
   tatra ca-	tatra ca-
   kaṃsājñayāsīd yad vādyam atra malla-kalocitam |	kaMsa-AjQayA-AsIt yat vAdyam atra malla-kala-ucitam |
   tad eva maṅgalaṃ jajñe prasthāne rāma-kṛṣṇayoḥ ||GC_2,5.2|| (anuṣṭubh)	tat eva maFgalam jajQe prasTAne rAma--kRzNayoH ||GC_2,5.2|| (anuzwuB)
   [4] atha tayor nija-tad-anargalatā-vyañjanāya svayam anāgamya	[4] aTa tayoH nija--tad--anarga-latA--vyaQjanAya svayam anAgamya
   prathama-prasthāpita- sthavira-gopa-vargayoḥ kṛta-prātaḥ-kṛti-sargayor	praTama--prasTApita sTavira-gopa-vargayoH kRta--prAtaH--kRti--sargayoH-
   yadā raṅga-pura-dvāra-pura-pradeśa-praveśaḥ samajani | tadā tu	yadA raFga-pura-dvAra--pura--pradeSa--praveSaH samajani | tadA tu
   loka-kolāhalata eva sarvas tat kalayāmāsa |	loka-kola-AhalataH eva sarvaH tat kalayAmAsa |
   [5] tataś ca sadotkaṭaṃ madotkaṭaṃ galatkaṭaṃ nago vā nāgo veti	[5] tatas ca sadA-utkawam mada-utkawam galat-kawam nagaH vA nAgaH vA-iti
   nirṇinīṣatāṃ kṛta-vrīḍaṃ kuvalayāpīḍaṃ niṣpīḍayitum aṃśukam āpīḍaṃ ca	nirNinIzatAm kRta--vrIxam kuvalayApIxam nizpIxayitum aMSukam ApIxam ca
   dṛḍhīkurvann agraja-sakhi-vraja-kṛtānuvrajanaḥ suretara-mardanaḥ svayam	dRXIkurvan agraja--saKi-vraja--kRta-anuvrajanaH suretara--mardanaH svayam
   agresaratām avāpa |	agresara-tAm avApa |
   snigdhā nyaṣedhan ye tatra girā svaṃ śatravas tathā |	snigDAH nyazeDan ye tatra girA svam SatravaH taTA |
