   athaikonatriṃśaṃ pūraṇam	aTa-ekonatriMSam pUraNam
   bhāvi-kathā-pramāṇa-prathanam	BAvi--kaTA--pramANa--praTanam
   [1] atha bhāvi-kathāntarāvatāraṇāya kramāt pramāṇaṃ nirūpyate | tad evaṃ	[1] aTa BAvi--kaTA-antara-avatAraNAya kramAt pramANam nirUpyate | tat evam
   tatra maṅgala-bhajane sthite vraja-jane punar atra duḥsthite	tatra maFgala--Bajane sTite vraja--jane punar atra duHsTite
   pūrṇimā-vṛnde'pūrṇa-manastayā viviktam anu viviktavatyau |	pUrNimA--vRnde-apUrNa-manaH-tayA viviktam anu viviktavatyO |
   [2] tathā hi-yadā keśi-mathanasya vrajān mathurāgamana-samanantaram	[2] taTA hi-yadA keSi-maTanasya vrajAt maTurAgamana--samanantaram
   anantaram eva taj-jana-duḥkham īkṣitum akṣamatayā	anantaram eva taj--jana--duHKam Ikzitum akzamatayA
   tad-atidūra-kṣiti-sthitiāṃ gatayor madhumaṅgala-saṅgata-vṛndā-pūrṇimayoś	tad--ati-dUra--kziti--sTitiAm gatayoH maDu-maFgala--saFgata-vRndA--pUrNimayoH-
   ciram ekānta-vana-niśāntatāsīt | tadā ca nānā-saṃvadamānayor anayoḥ	ciram ekAnta--vana--niSA-anta-tA-AsIt | tadA ca nAnA--saMvadamAnayoH anayoH
   saṃprati saṃvadanam evaṃ babhūva |	saMprati saMvadanam evam baBUva |
   [3] yathā-yadā sālva-yuddham udbuddhaṃ tad-duḥkhena ca goṣṭhaṃ ruddham |	[3] yaTA-A-yadA sAlva--yudDam udbudDam tad--duHKena ca gozWam rudDam |
   tadā tat-tad-vṛttaṃ vidnamānā vṛndā sa-ruditam uditavatī-bhagavati ! kim	tadA tat-tat--vRttam vidnamAnA vRndA sa-ruditam uditavatI--Bagavati ! kim
   anantaram antaraṃ bhaviteti na praviśati me hṛdayam |	anantaram antaram BavitA-iti na praviSati me hRdayam |
   [4] atha pūrṇimā gadgada-pūrṇaṃ gadati sma-mama ca vigamita-sarvālokena	[4] aTa pUrNimA gadgada--pUrNam gadati sma-mama ca vigamita--sarva-Alokena
   śokena vapur api na sphurati, kiim uta puraḥ-sthitam āstāṃ tāvad	Sokena vapuH api na sPurati, kiim uta puras--sTitam AstAm tAvat-
   apuraḥsthitam ?	apuraHsTitam ?
   [5] vṛndāha-yogamāyayā bhavatyāḥ sva-gopanārtham eva tapasvi-veṣeṇa	[5] vRndAha--yoga-mAyayA BavatyAH sva--gopana-arTam eva tapasvi--vezeNa
   bhavantyāḥ kathaṃ madhye madhye jñānaṃ parāhanyate ?	BavantyAH kaTam maDye maDye jQAnam parAhanyate ?
   [6] pūrṇimāha-līlā-śakti-rūpavatyā bhavatyā yathā |	[6] pUrNimAha--lIlA--Sakti-rUpavatyA BavatyA yaTA |
   [7] vṛndāha-tac ca katham ?	[7] vRndAha-tat ca kaTam ?
   [8] pūrṇimāha-yā kācid ekā	[8] pUrNimA-aha-yA kAcid ekA
   rati-prema-praṇaya-rāgānurāga-mahābhāva-paryanta-vṛtti-mayī prīti-nāmnī	rati--prema--praNaya--rAga-anurAga--mahABAva--paryanta-vRtti-mayI prIti-nAmnI
   hareḥ śaktir virājate, sā sarvatra pravalāyāsmad-ādīnāṃ paramāśraya-rūpaṃ	hareH SaktiH virAjate, sA sarvatra pravalAya-asmad--AdInAm parama-ASraya--rUpam
   śrī-kṛṣṇam api śaśvan mohayati | yathā-	SrI--kRzNam api SaSvat mohayati | yaTA-
   tato vatsān adṛṣṭvaitya puline'pi ca vatsapān |	tatas vatsAn adRzwvA-etya puline-api ca vatsapAn |
   ubhāv api vane kṛṣṇo vicikāya samantataḥ || [BhP 10.13.16] iti |	uBO api vane kRzNaH vicikAya samantataH || [Bhj 10.13.16] iti |
   [9] vṛndāha-tad etad api sārvatrikaṃ na dṛśyate, kāraṇaṃ tu na parāmṛśyate	[9] vRndAha-tat etat api sArvatrikam na dRSyate, kAraNam tu na parAmRSyate
   [10] pūrṇimāha-sa-prema-bhaktānāṃ nikaṭībhāvata eva sā śaktiḥ śrī-kṛṣṇe'pi	[10] pUrNimA-aha-sa--prema--BaktAnAm nikawIBAvataH eva sA SaktiH SrI--kRzNe-api
   ruciṃ prakaṭayya prakaṭībhavati |	rucim prakawayya prakawIBavati |
   [11] vṛndāha-prastute kim āyātam ?	[11] vRndAha--prastute kim AyAtam ?
   [12] pūrṇimāha-parama-premavatāṃ śrīmati vraje vasatāṃ saṅgād vayam api	[12] pUrNimA-aha-parama--premavatAm SrImati vraje vasatAm saFgAt vayam api
   |kiṃ bahunā, śrī-kṛṣṇaḥ svayam api prema-gaṅgā-pravāham anu magnā unmagnāś	|kim bahunA, SrI--kRzNaH svayam api prema-gaFgA--pravAham anu magnAH unmagnAH-
   ca bhavantaḥ saṃvidam asaṃvidaṃ ca pratipadyāmahe iti |	ca BavantaH saMvidam asaMvidam ca pratipadyAmahe iti |
   [13] vṛndāha-tarhi kāsmad āśāyā gatiḥ ?	[13] vRndAha-tarhi kA-asmat ASAyAH gatiH ?
   [14] pūrṇimāha-bhavatyā iva svapne'pi paridevanām eva sevamānāyāḥ	[14] pUrNimAha-BavatyAH iva svapne-api paridevanAm eva sevamAnAyAH
   kṛta-kṣapaṇāyām anantara-kṣapāyāṃ ko'pi gopitātmā puruṣaḥ pustakam idaṃ	kRta--kzapaNAyAm anantara--kzapAyAm kaH-api gopita-AtmA puruzaH pustakam idam
   mama hasta-vinyastaṃ cakāra |vicāraya tad idam iti vadan punar avadann eva	mama hasta-vinyastam cakAra |vicAraya tat idam iti vadan punar avadan eva
   kutrāpi cacāra ca | tatas tvam atra kāca-kāmalāmala-kāra-duṣpāra	kutra-api cacAra ca | tatas tvam atra kAca--kAmalA-mala-kAra-duzpAra
   bāṣpānumocana-para-locanāyāṃ mayi locanāyamānā bhava |	bAzpa-anumocana--para--locanAyAm mayi loca-nAyamAnA Bava |
   [15] vṛndā tu tad-vandamānā provāca-	[15] vRndA tu tad--vandamAnA provAca-
