   PADA MARKERS	PADAH MARKERS
   For a four pada verse:	FoH a fouH  pada verse:
   For a six pada verse:	FoH a six pada verse:
   Haribhaṭṭa: Jātakamālā	HariBawwa: JAtaka mAlA
   Prabhāsajātaka	PraBAsa jAtaka
   vividhakleśabhujaṅgāj jagad uddhartuṃ bhavaughapātālāt /*	viviDa kleSa BujaFgAt jagat udDartum Bava oGa pAtAlAt /*
   buddhatvāya viśālo na bhavaty amahātmanāṃ praṇidhiḥ // HJm_1.1 //*	budDa tvAya viSAlaH na Bavati amahAtmanAm praNiDiH // HJm_1.1 //*
   tadyathānuśrūyate 'tīte	tat yaTA anuSrUyate atIte
   'dhvanisadākusumitopavanaramaṇīyaparyantāparyantajanasamūhasaṃbādhavīthīcatvarāpaṇamaṇikanakastambhapaṅktimanoharabhavanāntarālā	aDvani sadA kusumita upavana ramaNIya paryanta aparyanta jana samUha saMbADa vITI catvara ApaNa maNi kanaka stamBa paFkti manohara Bavana antarAlA
   śaradadhikavimalatārāpatitārakāgaṇābhyalaṃkṛtā dyaur iva prabhāvatī	Sarad aDika vimala tArA pati tArakA gaNa aByalaMkRtA dyOH iva praBAvatI
   prabhāvatī nāma rājadhānī babhūva |	praBAvatI nAma rAjaDAnI baBUva |
   tasyāṃ ca sakalavasudhāvadhūhārayaṣṭibhūtāyāṃ maṇir ivāmalaprabhāsaḥ	tasyAm ca sakala vasuDA vaDU hAra yazwi BUtAyAm maNiH iva amala praBAsaH
   prabhāso nāma rājā babhūva |	praBAsaH nAma rAjA baBUva |
   yasyāmalasphaṭikabhittiṣu mandirāntaḥ $ karṇāvataṃsatilakapravilokinīnām /	yasya amala sPawika Bittizu mandira antar $ karNa avataMsa tilaka pravilokinInAm /
   hastāḥ prasādhanavidhau mṛdavo 'ṅganānāṃ % nādarśadhāraṇapariśramaduḥkham	hastAH prasADana viDO mRdavaH aFganAnAm % na AdarSa DAraNa pariSrama duHKam
   ūhuḥ // HJm_1.2 //	UhuH // HJm_1.2 //
   viśrāṇanāmbuparivardhitapuṇyabījaṃ $ yaṃ bāndhavā dadṛśur ambudharāyamāṇam	viSrANana ambu parivarDita puNya bIjam $ yam bAnDavAH dadRSuH ambuDarAyamANam
   yasyāsahanta balino 'py arayo na kopam % ahnāya vaidyutam iva jvalanaṃ	yasya asahanta balinaH api arayaH na kopam % ahnAya vEdyutam iva jvalanam
   patantam // HJm_1.3 //	patantam // HJm_1.3 //
   tasyaivaṃvidhavibhūtiparākramodayasya kadācid udayabhūdharaśikharam iva	tasya evaMviDa viBUti parAkrama udayasya kadAcid udaya BUDara SiKaram iva
   savitur amalamaṇisahasravicchuritobhayapārśvaṃ siṃhāsanam adhitasthuṣaḥ	savituH amala maNi sahasra vid Curita uBaya pArSvam siMhAsanam aDita sTuzaH
   kṣitipater yathāsthāpanam upaviṣṭabrāhmaṇarājasāmantāmātyadūtavargāṃ	kzitipateH yaTA sTApanam upavizwa brAhmaNa rAja sAmanta amAtya dUta vargAm
   dauvārikaniṣidhyamānapariśaṅkitetarajanāṃ bahirnibaddhahastyaśvarathavarām	dOvArika niziDyamAna pariSaFki ta itara janAm bahis nibadDa hasti aSva raTa varAm
   āsthānīm ālokayataḥ samutpatyānujñātapraveśair vanacarakair	AsTAnIm AlokayataH samutpatya anujQAta praveSEH vana carakEH 
   avanitalavinihitajānubhiḥ prakṛtilaghumānasatvād	avani tala vinihita jAnuBiH prakRti laGu mAnasa tvAt 
   āgatasādhvasagadgadaskhalitavacanair niveditam |	Agata sADvasa gadgada sKalita vacanEH niveditam |
   asmābhir adrigahane kariṇāṃ samūhe $ dṛṣṭaḥ karī kumudarāśir ivāvadātaḥ &	asmABiH adri gahane kariNAm samUhe $ dRzwaH karI kumuda rASiH iva avadAtaH &
   mūle navāmbudharavṛndatiraskṛtasya % prāleyaśailaśikharasya sarūpamūrtiḥ	mUle nava ambuDara vRnda tiraskRtasya % prAleya SEla SiKarasya sarUpa mUrtiH
   // HJm_1.4 //	// HJm_1.4 //
   idānīṃ tu grahaṇe devaḥ pramāṇam ity atha sa rājā saṃprāptāyāṃ śaradi	idAnIm tu grahaNe devaH pramANam iti aTa sa rAjA saMprAptAyAm Saradi
   karigrahaṇābhivṛddhakutūhalo	kari grahaNa aBivRdDa kutUhalaH 
   halayotronmūlyamānamustadarbhamūlasaṃbhūtataṭataṭāśabdāṃ kvacit	halayotra unmUlyamAna musta darBa mUla saMBUta tawa tawA SabdAm kvacid 
   kṣetragopikāhastatāladhvanivimiśracchoṭkāraśabdasaṃtrāsasamutpatitaśukapakṣākṣepavicalitapariṇatakapiśakalamaśuṅkajālāṃ	kzetra gopikA hasta tAla Dvani vimiSra= SowkAra Sabda saMtrAsa samutpatita Suka pakza Akzepa vicalita pariNata kapiSa kalama SuFka jAlAm
   bhaktahārīpariveṣyamāṇakṛṣīvalāntikanilīnacakitavāyasāṃ	Bakta hArI parivezyamANa kRzIvala antika nilIna cakita vAyasAm
   kaluṣapalvalajalāvasthitaromanthāyamānamahiṣīyūthasavadanāvaghūrṇanavinivāritadaṃśapātāṃ	kaluza palvala jala avasTita romanTAyamAna mahizI yUTa sa vadana avaGUrNana vinivArita daMSa pAtAm
   śrūyamāṇapravicaritagogaṇacalitakiṅkiṇīvikvaṇāṃ	SrUyamANa pravicarita go gaNa calita kiFkiNI vikvaNAm
   kedāratāmarasanālaskhalitaśarārikādambacakravākamithunāṃ	kedAra tAmarasa nAla sKalita SarArikAdamba cakravAka miTunAm
   nagaragrāmasaṃbaddhāṃ kṣetrabhuvam atikramya	nagara grAma saMbadDAm kzetra Buvam atikramya
   sainyasaṃtrāsavibhidyamānahariṇakulākulam aśvakṣuracchidyamānaśaṣpāṅkuraṃ	sEnya saMtrAsa viBidyamAna hariNa kula Akulam aSva kzura= CidyamAna Sazpa aFkuram
   rathavarādhirohī sitātapatravinivāritadivasakarakiraṇasaṃtāpas tad	raTa vara aDirohI sita Atapatra vinivArita divasa kara kiraNa saMtApaH tat 
   acalavanāntaraṃ praviveśa ||	acala vana antaram praviveSa ||
   atha gajapatim ārāt taṃ sthitaṃ yūthamadhye surabhiviśadagandhāṃ śallakīṃ	aTa gaja patim ArAt tam sTitam yUTa maDye suraBi viSada ganDAm SallakIm
   khaṇḍayantam /*	KaNxayantam /*
   avanipatir apaśyad dānalekhopakaṇṭhabhramadalikulam īṣat karṇatālaiḥ	avanipatiH apaSyat dAna leKA upakaNWa Bramat ali kulam Izat karNa tAlEH
   kṣipantam // HJm_1.5 //*	kzipantam // HJm_1.5 //*
   paśyāmas tāvad asya gajapater asya cāsmanmattahastino yuddham iti vicintya	paSyAmaH tAvat asya gaja pateH asya ca asmad matta hastinaH yudDam iti vicintya
   prabhāsaḥ saṃyātaṃ nāma hastyāroham uvāca |	praBAsaH saMyAtam nAma hasti Aroham uvAca |
   protkṣiptamukha paṭam imaṃ kṛtvā kuñjaravaraṃ saṃcodayaitena vanadantinā	protkzipta muKa pawam imam kRtvA kuQjara varam saMcodayA etena vana dantinA
   saha yuddhāyeti |	saha yudDAya iti |
   yad deva ājñāpayatīti hastāsphālanajanitayuddhotsāhaṃ tadabhimukhaṃ tam	yat devaH AjQApayati iti hasta AsPAlana janita yudDa utsAham tat aBimuKam tam
   ādhoraṇaḥ parasainyanivāraṇaṃ vāraṇam akarot |	ADoraNaH para sEnya nivAraNam vAraNam akarot |
   atha parasparālokanakrodhād	aTa paraspara Alokana kroDAt 
   adhikatarasamabhivṛddhamadakaṇapaṅktisaṃsiktasurabhīkṛtabhūrajasoḥ	aDikatara samaBivRdDa mada kaNa paFkti saMsikta suraBIkRta BUrajasoH
   parighaguruviṣāṇasaṃghaṭṭadhvanibhīṣaṇam ayaṃ bhagno 'yaṃ bhagna iti	pariGa guru vizANa saMGawwa Dvani BIzaNam ayam BagnaH ayam BagnaH iti
   senājanenāvalokyamānayoś ciram abhavad yuddham ||	senAjanena avalokyamAnayoH ciram aBavat yudDam ||
