   akarmakaṃ tathā caitat HSvs_[5.1]393c	akarmakam taTA ca-etat HSvH-_[5.1]393c
   akalaṅkaṃ sanātanam HSvs_[1.1]16b	akalaFkam sanAtanam HSvH-_[1.1]16b
   akliṣṭasya viparyayāt HSvs_[2.1]121d	aklizwasya viparyayAt HSvH-_[2.1]121d
   akṣatanmātravargasya HSvs_[3.2]212c	akza-tanmAtra-vargasya HSvH-_[3.2]212c
   akṣayo 'pratipātitvāt HSvs_[9.1]576c	akzayaH apratipAti-tvAt HSvH-_[9.1]576c
   akṣādāv iti cen na tat HSvs_[5.1]399d	akza-AdO iti ced na tat HSvH-_[5.1]399d
   agandhajananavyāvṛtty- HSvs_[4.4]320a	aganDa-janana-vyAvRtty HSvH-_[4.4]320a
   agamyagamanādinā HSvs_[2.1]144b	agamya-gamana-AdinA HSvH-_[2.1]144b
   agamyagamanādiṣu HSvs_[2.1]145b	agamya-gamana-Adizu HSvH-_[2.1]145b
   agamyagamanādīnāṃ HSvs_[2.1]142a	agamya-gamana-AdInAm HSvH-_[2.1]142a
   agorasavrato nobhe HSvs_[7.1]479c	agorasa-vrataH na-uBe HSvH-_[7.1]479c
   agnijñānajam etena HSvs_[4.6]342a	agni-jQAna-jam etena HSvH-_[4.6]342a
   agnyādijñānam eveha HSvs_[4.6]348a	agni-Adi-jQAnam eva-iha HSvH-_[4.6]348a
   acintyacic chaktiyukto HSvs_[3.1]194c	acintya-cit Sakti-yuktaH HSvH-_[3.1]194c
   acetanāni bhūtāni HSvs_[1.2]31a	acetanAni BUtAni HSvH-_[1.2]31a
   ajño jantur anīśo 'yam HSvs_[3.1]196a	ajQaH jantuH anISaH ayam HSvH-_[3.1]196a
   ata eva na yuktimat HSvs_[11.1]657d	atas eva na yuktimat HSvH-_[11.1]657d
   ata evāgamajñasya HSvs_[11.2]686a	atas eva-Agama-jQasya HSvH-_[11.2]686a
   ata evānyasadbhāvād HSvs_[1.2]67c	atas eva-anya-sadBAvAt HSvH-_[1.2]67c
   ata eveti cet tasya HSvs_[3.2]216c	atas eva-iti ced tasya HSvH-_[3.2]216c
   ata evedamicchantu HSvs_[4.3]279c	atas eva-idam-icCantu HSvH-_[4.3]279c
   atatsvabhāvāt tadbhāve- HSvs_[2.2]172a	atatsvaBAvAt tad-BAve HSvH-_[2.2]172a
   atadgrahaṇabhāvaiś ca HSvs_[5.1]383a	atad-grahaNa-BAvEH ca HSvH-_[5.1]383a
   ataś ca kāle tulye 'pi HSvs_[2.2]190a	atas ca kAle tulye api HSvH-_[2.2]190a
   ataś caitad apārthakam HSvs_[5.1]401d	atas ca-etat apArTakam HSvH-_[5.1]401d
   atas tatraiva yuktāsthā HSvs_[1.1]27a	atas tatra-eva yukta-AsTA HSvH-_[1.1]27a
   atas tadānuguṇyena HSvs_[3.1]206c	atas tadA-anuguNyena HSvH-_[3.1]206c
   atas tad itthaṃ no yuktam HSvs_[5.1]396c	atas tat itTam naH yuktam HSvH-_[5.1]396c
   atas tadbheda evātra HSvs_[7.1]525c	atas tad-BedaH eva-atra HSvH-_[7.1]525c
   atas tadbheda eveti HSvs_[7.1]527a	atas tad-BedaH eva-iti HSvH-_[7.1]527a
   atas tadvad asau mukhyaḥ HSvs_[1.3]82c	atas tadvat asO muKyaH HSvH-_[1.3]82c
   atas tadvedane tasya HSvs_[5.1]384c	atas tad-vedane tasya HSvH-_[5.1]384c
   ataḥ katham abādhakam HSvs_[4.6]334d	atas kaTam abADakam HSvH-_[4.6]334d
   ataḥ kathaṃcid ekena HSvs_[4.6]343a	atas kaTaMcid ekena HSvH-_[4.6]343a
   ataḥ kathaṃ nu tadbhāvaḥ HSvs_[7.1]534c	atas kaTam nu tad-BAvaH HSvH-_[7.1]534c
   ataḥ kālādayaḥ sarve HSvs_[2.2]191a	atas kAla-AdayaH sarve HSvH-_[2.2]191a
   ataḥ kimucyate mānam HSvs_[5.1]385c	atas kim-ucyate mAnam HSvH-_[5.1]385c
   ataḥ pratyakṣasaṃsiddhaḥ HSvs_[1.3]87a	atas pratyakza-saMsidDaH HSvH-_[1.3]87a
   ataḥ svabhāvaniyamān HSvs_[4.6]330c	atas svaBAva-niyamAn HSvH-_[4.6]330c
   atiprasaṃgataś caiva HSvs_[4.3]290c	atiprasaMgataH ca-eva HSvH-_[4.3]290c
   atiprasaṃgaḥ syād evaṃ HSvs_[4.5]328c	atiprasaMgaH syAt evam HSvH-_[4.5]328c
   atiprasaṃgād aikyāc ca HSvs_[7.1]508c	atiprasaMgAt EkyAt ca HSvH-_[7.1]508c
   atītājātayor vāpi HSvs_[11.1]648a	atIta-ajAtayoH vA-api HSvH-_[11.1]648a
   atīndriyārthadraṣṭā tan HSvs_[10.1]590c	atIndriya-arTa-drazwA tat HSvH-_[10.1]590c
   atīndriyārthadraṣṭā tu HSvs_[10.1]619a	atIndriya-arTa-drazwA tu HSvH-_[10.1]619a
   atīndriyārthasaṃvādo HSvs_[10.2]641a	atIndriya-arTa-saMvAdaH HSvH-_[10.2]641a
   atīndriyeṣu bhāveṣu HSvs_[2.1]135a	atIndriyezu BAvezu HSvH-_[2.1]135a
   atucchatvāt kathaṃ nanu ? HSvs_[4.2]253d	atucCa-tvAt kaTam nanu ? HSvH-_[4.2]253d
   ato 'tra vada kiṃ yuktā HSvs_[1.1]15c	atas atra vada kim yuktAH HSvH-_[1.1]15c
