   || śrīḥ ||	|| SrIH ||
   sāṅkhyakārikā	sAFKya-kArikA
   māṭharavṛttisahitā	mAWara-vRtti-sahitA
   sarvavidyāvidhātāram ādityasthaṃ sanātanam /	sarva-vidyA-viDAtAram Aditya-sTam sanAtanam /
   nato 'smi parayā bhaktyā kāpilaṃ jyotir īśvaram // 1 //	nataH asmi parayA BaktyA kApilam jyotiH ISvaram // 1 //
   kapilāya namas tasmai yenāvidyodadhau jagati magne /	kapilAya namaH tasmE yena-avidyodaDO jagati magne /
   kāruṇyāt sāṅkhyamayī naur iha vihitā prataraṇāya // 2 //	kAruNyAt sAFKya-mayI nOH iha vihitA prataraNAya // 2 //
   namaskṛtya tu taṃ tasya vakṣye jñānasya kāraṇam /	namaskRtya tu tam tasya vakzye jQAnasya kAraNam /
   hitāya sarvaśiṣyāṇām alpagranthasamuccayam // 3 //	hitAya sarva-SizyANAm alpa-granTa-samuccayam // 3 //
   duḥkhatrayābhighātāj jijñāsā tadabhighātake hetau /	duHKa-traya-aBiGAtAt jijQAsA tad-aBiGAtake hetO /
   dṛṣṭe sāpārthā cen naikāntātyantato 'bhāvāt // ISk_1 //	dRzwe sA-apArTA ced na-ekAnta-atyantataH aBAvAt // ISc-_1 //
   asyā āryāyā upodghātaḥ kriyate ---	asyAH AryAyAH upodGAtaH kriyate ---
   sthānaṃ nimittaṃ vaktā ca śrotā śrotṛprayojanam /	sTAnam nimittam vaktA ca SrotA SrotR-prayojanam /
   sambandhādyabhidhānaṃ ca upodghātaḥ sa ucyate //	sambanDa-Adi-aBiDAnam ca upodGAtaH saH ucyate //
   iha hi bhagavān maharṣiḥ sāṃsiddhikadharmajñānavairāgyaiśvaryasampanno	iha hi BagavAn mahA-RziH sAMsidDika-Darma-jQAna-vErAgya-ESvarya-sampannaH-
   bhagavataḥ purāṇapuruṣasyāvatāro jagadanujighṛkṣayā prajāpateḥ kardamasya	BagavataH purANa-puruzasya-avatAraH jagat-anujiGRkzayA prajApateH kardamasya
   putraḥ svāyambhuvasya manor duhitari devahūtyāṃ kapilo nāma babhūva | sa	putraH svAyamBuvasya manoH duhitari deva-hUtyAm kapilaH nAma baBUva | sa
   tena guṇapuruṣāntaropalabdhirūpeṇa jñānenāpārapāraṃ didarśiṣayā	tena guNa-puruza-antara-upalabDi-rUpeNa jQAnena-apAra-pAram didarSizayA
   hastāvalambeneva, kālāhidandaśyamānajagataḥ sudhāmaṇineva, duścikitsyasya	hasta-avalambena-iva, kAla-ahi-dandaSyamAna-jagataH suDAmaNinA-iva, duScikitsyasya
   bhavavyādher apanayanāya samyagauṣadheneva,	Bava-vyADeH apanayanAya samyak-OzaDena-iva,
   avidyāndhakārapradhvaṃsanapradīpeneva,	avidyA-anDakAra-praDvaMsana-pradIpena-iva,
   muktimārgavirodhimohavṛkṣavivraścanakuṭhāreṇevāmunāvabodhena sampanno	mukti-mArga-viroDi-moha-vRkza-vivraScana-kuWAreNa-iva-amunA-avaboDena sampannaH-
   'ndhe tamasi majjaj jagad idam adrākṣīt | tad avalokyāsya kāruṇyam udapādi	anDe tamasi majjat jagat idam adrAkzIt | tat avalokya-asya kAruNyam udapAdi
   | aho khalv idaṃ jagad anādikālasambaddhaṃ nisargād eva andhe tamasi	| aho Kalu idam jagat anAdi-kAla-sambadDam nisargAt eva anDe tamasi
   vartata iti |	vartate iti |
   athāsau mahāyogī katham asya varākasya andhe tamasi vartamānasya	aTa-asO mahA-yogI kaTam asya varAkasya anDe tamasi vartamAnasya
   viśvasyānugrahaḥ kārya iti samutpannakāruṇyo manasi cintām āpede | sa(p.1)	viSvasya-anugrahaH kAryaH iti samutpanna-kAruNyaH manasi cintAm Apede | sa(p.1)
   evaṃ vicintayan āsurisagotraṃ brāhmaṇaviśeṣaṃ varṣasahasrayājinam	evam vicintayan Asuri-sa-gotram brAhmaNa-viSezam varza-sahasra-yAjinam
   adhikāriṇam avagatya brahmopadeśavidyayā atandrito bhūtvā vācam ity uvāca	aDikAriNam avagatya brahma-upadeSa-vidyayA atandritaH BUtvA vAcam iti uvAca
   --- "bho bho āsure3 ramase gṛhasthadharmeṇa" iti | sa tam uvāca --- "rame	-- "BaH Bo Asure3 ramase gRhasTa-DarmeNa" iti | sa tam uvAca -- "rame
   bho" iti | sa evam ukto munir īṣadaniṣpannavivekavairāgyo 'yam iti	Bo" iti | saH evam uktaH muniH Izat-anizpanna-viveka-vErAgyaH ayam iti
   vyavasya nirgamya bhūyo 'pi dvitīye varṣasahasre pūrṇe pratyāgatya	vyavasya nirgamya BUyas api dvitIye varza-sahasre pUrNe pratyAgatya
   tathaivābhyuvāca --- "bho bho āsure3 ramase gṛhasthadharmeṇa" iti | sa tam	taTA-eva-aByuvAca -- "BaH Bo Asure3 ramase gRhasTa-DarmeNa" iti | sa tam
   uvāca --- "rame bho" iti | athāsau mahāyogīndras tathaiva nirgamya tṛtīye	uvAca -- "rame Bo" iti | aTa-asO mahA-yogI-indraH taTA-eva nirgamya tRtIye
   varṣasahasre sampūrṇe abhyetyovāca --- "bho bho āsure3 ramase	varza-sahasre sampUrNe aByetya-uvAca -- "BaH Bo Asure3 ramase
   gṛhasthadharmeṇa" iti | sa tam uvāca --- "na rame bho" iti | atha sa	gRhasTa-DarmeNa" iti | sa tam uvAca -- "na rame Bo" iti | aTa sa
   bhagavatā uktaḥ --- katham iti | punar āha āsuriḥ ---	BagavatA uktaH -- kaTam iti | punar Aha AsuriH ---
   "duḥkhatrayābhighātāt" iti | athāha kapilaḥ --- tāta utsahase	"duHKa-traya-aBiGAta-at" iti | aTa-Aha kapilaH -- tAta utsahase
   brahmacaryavāsaṃ vastuṃ yadi tadāmīṣāṃ duḥkhatrayāṇāṃ pratīkāraṃ vayam	brahmacarya-vAsam vastum yadi tadA-amIzAm duHKa-trayANAm pratIkAram vayam
   upadekṣyāmaḥ | so 'bravīt --- "bhagavan bāḍhaṃ śakto 'haṃ bhagavatām	upadekzyAmaH | saH abravIt -- "Bagavan bAXam SaktaH aham BagavatAm
