   metre: Śārdūlavikrīḍita	metre: ŚArdUla-vikrIxita
   kvedaṃ dāśabalaṃ guṇair aśabalaṃ caryāvibhutvaṃ vibho	kva-idam dASa-balam guNEH aSabalam caryA-viBu-tvam viBo
   janmasyandanikāvivartanajaḍaṃ cetaḥ kva cedaṃ mama /	janma-syandanikA-vivartana-jaxam cetaH kva ca-idam mama /
   yenāvandhyaphalodayās tvayi bhavanty abhyāhitāḥ pāṃsavas tena	yena-avanDya-Pala-udayAH tvayi Bavanti aByAhitAH pAMsavaH tena
   stutyanubandhinā mukharatām ālambate bhāratī // Js_1 //	stuti-anubanDinA muKara-tAm Alambate BAratI // Js_1 //
   cittālambanalaṅghinaḥ śamadṛśām āveṇikāḥ sadguṇā vācāṃ gocaratāṃ tu yānti	citta-AlambanalaFGinaH Sama-dRSAm AveNikAH sat-guNAH vAcAm gocaratAm tu yAnti
   kalayā sthūlā hi vo mādṛśām /	kalayA sTUlAH hi vaH mAdRSAm /
   ratnāny ambunidher upāmbupulineṣv āvir bhavanty arthinām	ratnAni ambuniDeH upa-ambu-pulinezu Avis Bavanti arTinAm
   antarbhinnataraṅgadyotarucakajyotsnāni gṛhṇāti kaḥ // Js_2 //	antar-Binna-taraFga-dyota-rucaka-jyotsnAni gRhNAti kaH // Js_2 //
   yā vo bodhipathānuyānamahatām utsāhinī karmaṇām āsīl lokahitodaye jina	yA vaH boDi-paTa-anuyAna-mahatAm utsAhinI karmaNAm AsIt loka-hita-udaye jina
   kṛpāviṣyandinī santatiḥ /	kRpA-vizyandinI santatiH /
   sānekāpacitaḥ punāti bhagavan saṃkīrtyamānādhunā jñeyābhogavisāriṇo	sa-aneka-apacitaH punAti Bagavan saMkIrtyamAna-aDunA jQeya-ABoga-visAriNaH-
   gatamalāḥ prāg eva bodhau guṇāḥ // Js_3 //	gata-malAH prAk eva boDO guNAH // Js_3 //
   uddāmadviradasya rāgavaśino vṛttiṃ puronmādinīm ālokyāvyativartinā	uddAma-dviradasya rAgavaSinaH vRttim pura-unmAdinIm Alokya-avyativartinA
   praṇihitā bodhau dhiyo yat tvayā /	praNihitAH boDO DiyaH yat tvayA /
   vinyasyanta ivāmarās tvayi ciraṃ dharmābhiṣekaśriyaṃ tenākampitakeśarāntam	vinyasyante iva-amarAH tvayi ciram Darma-aBizeka-Sriyam tena-akampita-keSara-antam
   asṛjan puṣpopahāraṃ divaḥ // Js_4 //	asRjan puzpa-upahAram divaH // Js_4 //
   kṣudduḥkhaglapitodarīṃ giridarīrandhrāntarālasthitāṃ dṛṣtvā	kzuD-duHKa-glapita-udarIm giri-darI-ranDra-antarAla-sTitAm dRztvA
   śāvakaghālanaikarabhasāṃ vyāghrīṃ dayāghrātadhīḥ /	SAvaka-GAla-na-eka-raBasAm vyAGrIm dayA-GrAta-DIH /
   yat tvaṃ valkalinīṃ jaṭājanavatīṃ mūrtiṃ samutsṛṣṭavāṃs trāṇaṃ tena bhavān	yat tvam valkalinIm jawA-janavatIm mUrtim samutsRzwavAn trANam tena BavAn
   bhavādrivivaravyāvartināṃ dehinām // Js_5 //	Bava-adri-vivara-vyAvartinAm dehinAm // Js_5 //
   yat prāleyasitopalādribahalāṃ mātaṅgatāṃ bibhratā kāntārāntaravartināṃ	yat prAleya-sitopala-adri-bahalAm mAtaFga-tAm biBratA kAntAra-antara-vartinAm
   tanubhṛtām ucchittaye vyāpadām /	tanuBRtAm ucCittaye vyApadAm /
   śailendraṃ pṛthulopalaṃ calayatā muktas tvayātmā taṭān manye matsariṇāṃ	SElendram pRTula-upalam calayatA muktaH tvayA-AtmA tawAn manye mad-sariNAm
   nitāntamalinās tena kṣatā vṛttayaḥ // Js_6 //	nitAnta-malinAH tena kzatAH vRttayaH // Js_6 //
   yal lokāmbaracandracandravapuṣā candraprabhatve tvayā kalmāṣāntaśikhaṃ	yat loka-ambara-candra-candra-vapuzA candra-praBa-tve tvayA kalmAza-anta-SiKam
   śikhāmaṇirucā dattaṃ dvijāyārthine /	SiKAmaNi-rucA dattam dvijAya-arTine /
   nālāl lūnam ivāravindam asinā vyutkṛttamūlaṃ śiras tenaiṣāṃ jagatāṃ gato	nAlAt lUnam iva-aravindam asinA vyutkRtta-mUlam SiraH tena-ezAm jagatAm gataH-
   'si gurutām usṇīṣavan mūrdhani // Js_7 //	asi guru-tAm usNIza-vat mUrDani // Js_7 //
   bālān bālasarojakomalatanūn yat putrakān arthine	bAlAn bAla-saroja-komala-tanUn yat putrakAn arTine
   paryastākṣacalacchikhaṇḍakabhṛto dārāṃs ca bhāvanugān /	paryasta-akza-calat-SiKaNxaka-BRtaH dArAn ca BAvanugAn /
   prādās tvaṃ jina tena nūnam ahhavan mārāṅganānāṃ mukhaṃ	prAdAH tvam jina tena nUnam ahhavat mAra-aFganAnAm muKam
   saṃkocāñcitapakṣmalocanadalaṃ lajjālasāmantharam // Js_8 //	saMkoca-AQcita-pakzma-locana-dalam lajjA-alasA-manTaram // Js_8 //
   śayyāsvapnavicāriṇā vanabhuvāṃ bhūtvā purā pakṣiṇā bhinnāśeṣakale jagaty	SayyA-svapna-vicAriNA vana-BuvAm BUtvA purA pakziNA Binna-aSeza-kale jagati-
   avikale jyāyaḥpathāśaṃsinā /	avikale jyAyaH-paTa-aSaMsinA /
   vistāraṃ gamitaṃ vrataṃ vratabhṛtāṃ yan nātha kāpiñjalaṃ tenājñānarujāṃ	vistAram gamitam vratam vrata-BRtAm yat nATa kApiQjalam tena-ajQAna-rujAm
   kirīṭakiraṇacchāyās padaṃ vo gatāḥ // Js_9 //	kirIwa-kiraNa=-CAyAH padam vaH gatAH // Js_9 //
   yat parṇāmbuphalāśinīṃ śaśatanuṃ tvaṃ nātha bibhrat purā tatkālātithaye	yat parNa-ambu-Pala-ASinIm SaSa-tanum tvam nATa biBrat purA tad-kAla-atiTaye
   kṛpāparicayād ātithyam āvedayan /	kRpA-paricayAt AtiTyam Avedayan /
   ārūḍhaḥ sphuṭavisphuliṅgam analaṃ tenādhunāpi kṣitāv indor	ArUXaH sPuwa-visPuliFgam analam tena-aDunA-api kzitO indoH-
   maṇḍalalāñchanaṃ śaśamayaṃ yuṣmadyaśo laksyate // Js_10 //	maNxala-lAQCanam SaSa-mayam yuzmad-yaSaH laksyate // Js_10 //
