   TEXT IN PAUSA	TA-eXT Iz PAUSA
   GG_1.1-1 meghaiḥ meduram ambaram vana-bhuvaḥ śyāmāḥ tamāla-drumaiḥ	Gu-_1.1-1 meGEH meduram ambaram vana--BuvaH SyAmAH tamAla-drumEH
   GG_1.1-2 naktam bhīruḥ ayam tvam eva tat imam rādhe gṛham prāpaya /	Gu-_1.1-2 naktam BIruH ayam tvam eva tat imam rADe gRham prApaya /
   GG_1.1-3 ittham nanda-nideśataḥ calitayoḥ prati-adhva-kuñja-drumam	Gu-_1.1-3 itTam nanda--nideSataH calitayoH prati-a-Dva-kuQja--drumam
   GG_1.1-4 rādhā-mādhavayoḥ jayanti yamunā-kūle rahaḥ-kelayaḥ //	Gu-_1.1-4 rADA--mADavayoH jayanti yamunA--kUle rahaH--kelayaH //
   GG_1.2-1 vāk-devatā-carita-citrita-citta-sadmā	Gu-_1.2-1 vAk-devatA--carita--citrita-citta-sadmA
   GG_1.2-2 padmāvatī-caraṇa-cāraṇa-cakravartī	Gu-_1.2-2 padmA=-atI--caraNa--cAraNa--cakravartI
   GG_1.2-3 śrī-vāsudeva-rati-keli-kathā-sametam	Gu-_1.2-3 SrI-vAsudeva-rati--keli--kaTA--sametam
   GG_1.2-4 etam karoti jayadeva-kaviḥ prabandham //	Gu-_1.2-4 etam karoti jayadeva--kaviH prabanDam //
   GG_1.3-1 vācaḥ pallavayati umāpatidharaḥ saṃdarbha-śuddhim girām	Gu-_1.3-1 vAcaH pallavayati umApati-DaraH saMdarBa--SudDim girAm
   GG_1.3-2 jānīte jayadevaḥ eva śaraṇaḥ ślāghyaḥ durūha-drute /	Gu-_1.3-2 jAnIte jayadevaH eva SaraNaH SlAGyaH durUha-drute /
   GG_1.3-3 śṛṅgāra-uttara-sat-prameya-racanaiḥ ācāryagovardhana-	Gu-_1.3-3 SRFgAra-uttara--sat--prameya--racanEH AcArya-govarDana-
   GG_1.3-4 spardhī kaḥ api na viśrutaḥ śrutidharaḥ dhoyī kavi-kṣmāpatiḥ //	Gu-_1.3-4 sparDI kaH api na viSrutaH Sruti-DaraH DoyI kavi--kzmApatiH //
   GG_1.4-1 yadi hari-smaraṇe sarasam manaḥ	Gu-_1.4-1 yadi hari-smaraNe sarasam manaH
   GG_1.4-2 yadi vilāsa-kalāsu kutūhalam /	Gu-_1.4-2 yadi vilAsa-kalAsu kutUhalam /
   GG_1.4-3 madhura-komala-kānta-pada-āvalīm	Gu-_1.4-3 maDura--komala--kAnta-pada-AvalIm
   GG_1.4-4 śṛṇu tadā jayadeva-sarasvatīm //	Gu-_1.4-4 SRNu tadA jayadeva--sarasvatIm //
   GG_1.5-1 pralaya-payodhi-jale dhṛtavān asi vedam/	Gu-_1.5-1 pralaya--payoDi--jale DRtavAn asi vedam/
   GG_1.5-2 vihita-vahitra-caritram akhedam //	Gu-_1.5-2 vihita--vahitra--caritram aKedam //
   GG_1.5-3 keśava dhṛta-mīna-śarīra	Gu-_1.5-3 keSava DRta-mIna--SarIra
   GG_1.5-4 jaya jagadīśa hare //	Gu-_1.5-4 jaya jagadISa hare //
   GG_1.6-1 kṣitiḥ ativipulatare tava tiṣṭhati pṛṣṭhe /	Gu-_1.6-1 kzitiH ati-vipulatare tava tizWati pRzWe /
   GG_1.6-2 dharaṇi-dharaṇa-kiṇa-cakra-gariṣṭhe //	Gu-_1.6-2 DaraNi-DaraNa-kiNa--cakra--garizWe //
   GG_1.6-3 keśava dhṛta-kacchapa-rūpa	Gu-_1.6-3 keSava DRta-kacCapa--rUpa
   GG_1.6-4 jaya jagadīśa hare //	Gu-_1.6-4 jaya jagadISa hare //
   GG_1.7-1 vasati daśana-śikhare dharaṇī tava lagnā /	Gu-_1.7-1 vasati daSana-SiKare DaraNI tava lagnA /
   GG_1.7-2 śaśini kalaṅka-kalā iva nimagnā //	Gu-_1.7-2 SaSini kalaFka-kalAH iva nimagnAH //
   GG_1.7-3 keśava dhṛta-śūkara-rūpa	Gu-_1.7-3 keSava DRta-SUkara--rUpa
   GG_1.7-4 jaya jagadīśa hare //	Gu-_1.7-4 jaya jagadISa hare //
   GG_1.8-1 tava kara-kamala-vare nakham adbhuta-śṛṅgam /	Gu-_1.8-1 tava kara--kamala-vare naKam adButa--SRFgam /
   GG_1.8-2 dalita-hiraṇyakaśipu-tanu-bhṛṅgam //	Gu-_1.8-2 dalita-hiraNyakaSipu--tanu--BRFgam //
   GG_1.8-3 keśava dhṛta-narahari-rūpa	Gu-_1.8-3 keSava DRta--nara-hari--rUpa
   GG_1.8-4 jaya jagadīśa hare //	Gu-_1.8-4 jaya jagadISa hare //
   GG_1.9-1 chalayasi vikramaṇe balim adbhuta-vāmana /	Gu-_1.9-1 Calayasi vikramaNe balim adButa--vAmana /
   GG_1.9-2 pada-nakha-nīra-janita-jana-pāvana //	Gu-_1.9-2 pada-naKa--nIra--janita-jana--pAvane //
   GG_1.9-3 keśava dhṛta-vāmana-rūpa	Gu-_1.9-3 keSava DRta-vAmana--rUpa
   GG_1.9-4 jaya jagadīśa hare //	Gu-_1.9-4 jaya jagadISa hare //
   GG_1.10-1 kṣatriya-rudhira-maye jagat apagata-pāpam /	Gu-_1.10-1 kzatriya--ruDira--maye jagat apagata-pApam /
   GG_1.10-2 snapayasi payasi śamita-bhava-tāpam //	Gu-_1.10-2 snapayasi payasi Samita-Bava--tApam //
   GG_1.10-3 keśava dhṛta-bhṛgupati-rūpa	Gu-_1.10-3 keSava DRta--BRgupati--rUpa
   GG_1.10-4 jaya jagadīśa hare //	Gu-_1.10-4 jaya jagadISa hare //
   GG_1.11-1 vitarasi dikṣu raṇe dikpati-kamanīyam /	Gu-_1.11-1 vitarasi dikzu raNe dikpati-kamanIyam /
   GG_1.11-2 daśamukha-mauli-balim ramaṇīyam //	Gu-_1.11-2 daSamuKa--mOli--balim ramaNIyam //
   GG_1.11-3 keśava dhṛta-rāma-śarīra	Gu-_1.11-3 keSava DRta--rAma--SarIra-
   GG_1.11-4 jaya jagadīśa hare //	Gu-_1.11-4 jaya jagadISa hare //
   GG_1.12-1 vahasi vapuṣi viśade vasanam jalada-ābham /	Gu-_1.12-1 vahasi vapuzi viSade vasanam jalada--ABam /
   GG_1.12-2 hala-hati-bhīti-milita-yamunā-ābham //	Gu-_1.12-2 hala-hati--BIti-milita-yamunA-A-ABam //
   GG_1.12-3 keśava dhṛta-haladhara-rūpa	Gu-_1.12-3 keSava DRta-hala-Dara--rUpa
   GG_1.12-4 jaya jagadīśa hare //	Gu-_1.12-4 jaya jagadISa hare //
   GG_1.13-1 nindasi yajña-vidheḥ ahaha śruti-jātam /	Gu-_1.13-1 nindasi yajQa-viDeH ahaha Sruti-jAtam /
   GG_1.13-2 sadaya-hṛdaya darśita-paśu-ghātam //	Gu-_1.13-2 sa-daya--hRdaya darSita-paSu--GAtam //
   GG_1.13-3 keśava dhṛta-buddha-śarīra	Gu-_1.13-3 keSava DRta--budDa--SarIra-
   GG_1.13-4 jaya jagadīśa hare //	Gu-_1.13-4 jaya jagadISa hare //
   GG_1.14-1 mleccha-nivaha-nidhane kalayasi karavālam /	Gu-_1.14-1 mlecCa--nivaha--niDane kalayasi karavAlam /
   GG_1.14-2 dhūma-ketum iva kim api karālam //	Gu-_1.14-2 DUma-ketum iva kim api karAlam //
   GG_1.14-3 keśava dhṛta-kalki-śarīra	Gu-_1.14-3 keSava DRta--kalki--SarIra-
   GG_1.14-4 jaya jagadīśa hare //	Gu-_1.14-4 jaya jagadISa hare //
   GG_1.15-1 śrījayadeva-kaveḥ idam uditam udāram /	Gu-_1.15-1 SrI-jayadeva--kaveH idam uditam udAram /
   GG_1.15-2 śṛṇu sukhadam śubhadam bhava-sāram //	Gu-_1.15-2 SRNu suKa-dam SuBa-dam Bava--sAram //
   GG_1.15-3 keśava dhṛta-daśa-vidha-rūpa	Gu-_1.15-3 keSava DRta-daSa-viDa--rUpa
   GG_1.15-4 jaya jagadīśa hare //	Gu-_1.15-4 jaya jagadISa hare //
   GG_1.16-1 vedān uddharate jagat nivahate bhūgolam udbibhrate	Gu-_1.16-1 vedAn udDarate jagat nivahate BU-golam udbiBrate
   GG_1.16-2 daityam dārayate balim chalayate kṣatra-kṣayam kurvate /	GG_1.16-2 dEtyam dArayate balim Calayate kzatra-kzayam kurvate /
   GG_1.16-3 paulastyam jayate halam kalayate kāruṇyam ātanvate	Gu-_1.16-3 pOlastyam jayate halam kalayate kAruNyam Atanvate
   GG_1.16-4 mlecchān mūrcchayate daśa-ākṛti-kṛte kṛṣṇāya tubhyam namaḥ //	Gu-_1.16-4 mlecCAn mUrcCayate daSa-a-AkRti-kRte kRzNAya tuByam namaH //
   GG_1.17-1 śrita-kamalā-kuca-maṇḍala dhṛta-kuṇḍala e /	Gu-_1.17-1 Srita-kamalA-kuca--maNxala DRta--kuNxalaH e /
   GG_1.17-2 kalita-lalita-vana-māla jaya jayadeva hare //	Gu-_1.17-2 kalita-lalita--vana--mAla jaya jayadeva hare //
