   āmnāyasya //	AmnAyasya //
   "vāyurvai kṣepiṣṭhā devatā vāyumeva svena bhāgadheyenopadhāvati sa evainaṃ	"vAyuH-vE kzepizWA devatAH vAyum-eva svena BAgaDeyena-upaDAvati saH eva-enam
   bhūtiṃ gamayatī" tyādyarthavādānāṃ <B2> (prathamapādena tripādyāḥ dvedhā	BUtim gamayatI" tyAdi-arTa-vAdAnAm <B2> (praTama-pAdena tripAdyAH dveDA
   prasaṃgenākṣepeṇa ca saṃgatinirūpaṇam) jijñāsāsūtre ca	prasaMgena-AkzepeNa ca saMgati-nirUpaNam) jijQAsA-sUtre ca
   dharmādharmasvarūpaṃ yathā pratijñāviṣayaḥ, tathā yāvattatpramāṇajātamapi	Darma-aDarma-svarUpam yaTA pratijQA-vizayaH, taTA yAvat-tad-pramANa-jAtam-api
   pratijñātam /	pratijQAtam /
   tadevāgre nirūpyate /	tat-eva-agre nirUpyate /
   tatra vidhiniṣedhārthavādamantranāmadheyātmako vedo	tatra viDi-nizeDa-arTa-vAda-mantra-nAmaDeya-AtmakaH vedaH-
   manvādismṛtiśiṣṭācārāśrca dharmādharmayoḥ pramāṇāni /	manu-Adi-smRti-Sizwa-AcAra-aSrca Darma-aDarmayoH pramANAni /
   tatra pūrvapāde samastasyaiva vedasya pauruṣeyatvāśaṅkayā	tatra pUrva-pAde samastasya-eva vedasya pOruzeya-tva-ASaFkayA
   tadavayavabhūtānāṃ codanānāmapi pauruṣeyatvadvārā prāptamaprāmāṇyaṃ	tad-avayava-BUtAnAm codanAnAm-api pOruzeya-tva-dvArA prAptam-aprAmANyam
   pūrvoktayuktibhiḥprasādhitāpauruṣeyatvena nirākṛtya	pUrva-ukta-yuktiBiH-prasADitA-pOruzeya-tvena nirAkRtya
   tryaṃśabhāvanāviṣayapravartanānivartanāpratipādakapadasamudāyarūpavidhi	tri-aMSa-BAvanA-vizaya-pravartanA-nivartana-apratipAdaka-pada-samudAya-rUpa-viDi
   niṣedhāparaparyāyacodanāyā dharmādharmapramotpatteḥ prādhānyenaiva	nizeDa-apara-paryAya-codanAyAH Darma-aDarma-pramA-utpatteH prADAnyena-eva
   codanāsūtre tayordharmādharmaprāmāṇyaṃ sādhitamiti	codanA-sUtre tayoH-Darma-aDarma-prAmANyam sADitam-iti
   tadavayavatvenopasthitānāṃ codanātiriktārthavādādivedabhāgādīnāṃ	tad-avayava-tvena-upasTitAnAm codanA-atirikta-arTa-vAda-Adi-veda-BAga-AdInAm
   smṛtyādīnāṃ cāpradhānabhūtānāṃ apauruṣeyatavāditulyatvāt	smRti-AdInAm ca-apraDAna-BUtAnAm apOruzeyatava-Adi-tulya-tvAt
   parigrahadārḍhyācca saṃbhāvitatvājjijñāsitaṃ prathamasūtrapratijñātaṃ	parigraha-dArXyAt-ca saMBAvita-tvAt-jijQAsitam praTama-sUtra-pratijQAtam
   codanāprasaktaṃ dharmādharmapramāṇyamasti na veti prasaṅgena nirūpitam //	codanA-prasaktam Darma-aDarma-pramANyam-asti na vA-iti prasaFgena nirUpitam //
   athavā - codanārthamapyuktenāpauruṣeyatvena samastasyāpi siddhaprāyaṃ	aTavA  codanA-arTam-api-uktena-apOruzeya-tvena samastasya-api sidDa-prAyam
   prāmāṇyaṃ codanāṃśe	prAmANyam codana-aMSe
   dharmādharmaviṣayapravṛttijanakeṣṭāniṣṭasādhanatvānumāpakapravartanānivartanārūpānadhigatārthabodhakatvā-	Darma-aDarma-vizaya-pravRtti-janakezwa-anizwa-sADanatva-anumApaka-pravartanA-nivartanA-rUpAn-aDigata-arTa-boDaka-tvA-
   nnirvāhe 'pi tadatirikteṣu spaṣṭaṃ tadanupalambhāt kathamuktaprāmāṇyaṃ	nnirvAhe api tad-atiriktezu spazwam tad-anupalamBAt kaTam-ukta-prAmANyam
   yujyate ? ityākṣepanirāsena sthirīkartu tripādīmārabdhavān maharṣiḥ	yujyate ? iti-Akzepa-nirAsena sTirIkartu tripAdIm-ArabDavAn mahA-RziH
   āmnāyasya kriyārthatvādānarthakyamatadarthānāṃ tasmādanityamucyate /	AmnAyasya kriyA-arTa-tvAt-AnarTakyamatad-arTAnAm tasmAt-anityam-ucyate /
   Jaim_1,2.1 /	JEm_1,2.1 /
   ityādinā //	ityAdinA //
   (tatra śāstradīpikādṛtavicāraprakārakhaṇḍanapūrvakaṃ vāyurvai ityādi	(tatra SAstra-dIpikA-dRta-vicAra-prakAra-KaNxana-pUrvakam vAyuH-vE ityAdi
   bhāṭṭadīpikāvataraṇam' atra pūrvoktaprasaṃgākṣepasaṃgatidvayenāpi	BAwwa-dIpikA-avataraNam-a atra pUrva-ukta-prasaMga-Akzepa-saMgati-dvayena-api
   vidhyatiriktānāṃ sarveṣāmevaikadā sāmānyato 'prāmāṇyaṃ dharmādharmaviṣayaṃ	viDi-atiriktAnAm sarvezAm-eva-ekadA sAmAnyatas aprAmANyam Darma-aDarma-vizayam
   pratipādyate /	pratipAdyate /
   atadarthānāṃ akriyārthānāṃ arthivādādīnāṃ ānarthakyaṃ	atad-arTAnAm akriyA-arTAnAm arTi-vAda-AdInAm AnarTakyam
   puruṣārthaparyavasāyyabhidheyārtharāhityam	puruza-arTa-paryavasAyi-aBiDeya-arTa-rAhityam
   dharmādharmapramitirūpaprayojanaśūnyatvam /	Darma-aDarma-pramiti-rUpa-prayojana-SUnya-tvam /
   kutaḥ ? āmnāyasya kriyārthitvāt	kutas ? AmnAyasya kriyA-arTi-tvAt
   aṃśatrayānvitabhāvanārūpakriyābhidhāyitvena tenaiva rūpeṇa	aMSa-traya-anvita-BAvanA-rUpa-kriyA-aBiDAyi-tvena tena-eva rUpeNa
   dharmādharmapramāṇatvāt /	Darma-aDarma-pramANa-tvAt /
   ataḥ nityayoḥ vidhipratiṣedhayoruktaṃ dharmādharmaprāmāṇyaṃ tatkāri na	atas nityayoH viDi-pratizeDayoH-uktam Darma-aDarma-prAmANyam tad-kAri na
   bhavati ; nityakriyāvacanapadasamūhātiriktamarthavādādītyarthakādyasūtre	Bavati ; nitya-kriyA-vacana-pada-samUha-atiriktam-arTavAda-Adi-iti-arTaka-Adi-asUtre
   tathaiva pratīteḥ /	taTA-eva pratIteH /
   ataḥ sāmānyataḥ sarveṣāmaprāmāṇyaṃ pūrvapakṣīkṛtya adhyayanavidhinā	atas sAmAnyatas sarvezAm-aprAmANyam pUrva-pakzIkRtya aDyayana-viDinA
   dṛṣṭārthatavānurodhena sakalasya vedasya	dRzwa-arTa-tava-anuroDena sakalasya vedasya
   puruṣārthaparyavasāyyarthaparatvabodhanāt teṣāmapyadhyayanavidhiviṣayatvāt	puruza-arTa-paryavasAyi-arTa-paratva-boDanAt tezAm-api-aDyayana-viDi-vizaya-tvAt
   ekasyaivādhyayanavidheḥ vidhyaṃśe dṛṣṭārthatvaṃ arthavādādyaṃśe	ekasya-eva-aDyayana-viDeH viDi-aMSe dRzwa-arTa-tvam arTavAda-Adi-aMSe
   adṛṣṭārthatvamiti kalpane vairūpyāpatteḥ	adRzwa-arTa-tvam-iti kalpane vErUpya-ApatteH
   kiñcitpuruṣārthaparyavasāyyarthaparatvenāstyeva tadviṣaye teṣāmapi	kiQcid-puruza-arTa-paryavasAyi-arTa-paratvena-asti-eva tad-vizaye tezAm-api
   prāmāṇyamiti sāmānyataḥ siddhāntayitavyam //	prAmANyam-iti sAmAnyatas sidDAntayitavyam //
   naca - adhyayanavidhidṛṣṭārthatvavyutpādanaṃ jijñāsāsūtre kṛtamiti nātra	na-ca  aDyayana-viDi-dRzwa-arTa-tva-vyutpAdanam jijQAsA-sUtre kRtam-iti na-atra
   sādhayitavyam iti - vācyam 'dṛṣṭo hi tasyārthaḥ karmābodhanaṃ nāme' ti	sADayitavyam iti  vAcyam adRzwaH hi tasya-arTaH karma-aboDanam nAme-a ti
   nyāyena vidhiniṣedhabhāgamātrasyaiva tatsiddheḥ, tāvanmātreṇāpica	nyAyena viDi-nizeDa-BAga-mAtrasya-eva tad-sidDeH, tAvat-mAtreNa-apica
   athaśabdoktasya dharmajijñāsāyāṃ adhyayanānantaryasyopapatteṃ 'ato 'traiva	aTa-Sabda-uktasya Darma-jijQAsAyAm aDyayana-Anantaryasya-upapattem aatas atra-eva
   vidhiniṣedhātiriktānāṃ sarveṣāmapi sāmānyataḥ tādṛśārthaparatvaṃ	viDi-nizeDa-atiriktAnAm sarvezAm-api sAmAnyatas tAdRSa-arTa-para-tvam
   sādhanīyam /	sADanIyam /
   nahi stutinindādvāreṇa arthavādānāṃ kriyārthatvaṃ nāmadheyamantrāṇāṃ tatra	na-hi stuti-nindA-dvAreNa arTa-vAdAnAm kriyA-arTa-tvam nAmaDeya-mantrANAm tatra
   dvāraviśeṣavyutpādanena tadarthatvaṃ vinā yujyate /	dvAra-viSeza-vyutpAdanena tad-arTa-tvam vinA yujyate /
   atastatprasādhya adhyayanasya dṛṣṭārthatve 'pi arthavādebhyaḥ	atas-tad-prasADya aDyayanasya dRzwa-arTa-tve api arTa-vAdeByaH
   puruṣārthaparyavasāyyarthapratītyabhāve adhyayanavidhibodhitaṃ	puruza-arTa-paryavasAyi-arTa-pratIti-aBAve aDyayana-viDi-boDitam
   dṛṣṭārthatvamapi na saṃbhavatīti punaḥ sāmnāyasyeti sūtrāvṛttyā	dRzwa-arTa-tvam-api na saMBavati-iti punar sAmnA-ayasya-iti sUtra-AvRttyA
   arthavādamātraviṣayamaprāmāṇyaṃ pūrvapakṣīkṛtya stutinindārūpaviśeṣadvārā	arTavAda-mAtra-vizayam-aprAmANyam pUrva-pakzIkRtya stuti-nindA-rUpa-viSeza-dvArA
   tatsādhyate /	tat-sADyate /
   evaṃ smṛtiparicchedarūpadvāreṇa mantranāmadheyayorapīti sāmānyataḥ	evam smRti-paricCeda-rUpa-dvAreNa mantra-nAmaDeyayoH-api-iti sAmAnyatas-
   sarveṣāṃ vidhyatiriktānāṃ prāmāṇyāprāmāṇyacintā pūrvaṃ kartavr..ti (?)	sarvezAm viDi-atiriktAnAm prAmANya-aprAmANya-cintA pUrvam kartavr..ti (?)
   miśrābhimataṃ śāstradīpikāyāṃ pratibhāti //	miSra-aBimatam SAstra-dIpikAyAm pratiBAti //
   tathā sūtreṇaivāvṛttyā bhinnabhinnopapattikavicāradvayapratipādane	taTA sUtreNa-eva-AvRttyA Binna-Binna-upapattika-vicAra-dvaya-pratipAdane
   lokavedādhikaraṇavadatrāpyadhikaraṇadvayavyavahārāpatter bhāṣyavārtikayoḥ	loka-veda-aDikaraNa-vat-atra-api-aDikaraNa-dvaya-vyavahAra-ApatteH BAzya-vArtikayoH
   viśeṣavicārapūrvapakṣaśeṣatvena sāmānyavicārapūrvapakṣasya	viSeza-vicAra-pUrva-pakza-Seza-tvena sAmAnya-vicAra-pUrva-pakzasya
